post_id,text,comment_time,from_id
1867445,"У меня наоборот вырос, свинины и курятины уже наелся, не хочу.",1674993058,176941658
1867445,Говядина вкусная.,1674993129,150782682
1867445,Я как пенсионер не могу себе позволить роскошь на свою пенсию. Я прихожу на рынок и покупаю свиную голову которая мне обходится килограммов 7 за 350 рублей. Там мне её рубят на части. головы хватает варить супы и приготовить второе на месяц. Причём язык это вообще деликатес а из ушей замечательный холодец.,1674993367,228746952
1867445,"Нифига они жрать говядину😆, по 70 кило",1674993413,52841218
1867445,А  говядину в России потребляют в крайне малых объемах — около 15 кг на человека в год...,1674994944,158403617
1867445,"говядины то особо и нет в магазинах. Есть в Спаре , так цена где-то 1200 руб. за кг.На рынке цена 700-800 рублей. Что за качество вообще непонятно, может это и не говядина. Причина одна, в стране КРС сейчас очень мало. Все фермы разрушенные стоят и частник перестал держать. Будущее для России одно - спасут насекомые тараканы, саранча... У нас совсем нет возможностей выращивать скот. Нет земли, нет лугов...",1674995607,199678198
1863820,Продам лук филиппинцам по 300р.за кг!!!,1674825024,723395829
1863820,Лук не корнеплрд!,1674825430,461608095
1863820,три кг в день. Жрут лук как одурелые.Нормальное количество это не более трёх головок в день.,1674830003,199678198
1863820,"В пятёрочку пусть едут , там дешевле🤧",1674830194,708530178
1863820,Сиреневый лук и у нас по 70 р. за кг.,1674838664,710233104
1860423,"Точно подмечено ...""в мозгах населения- большое смятение"". А ведь могли за один день Киев взять, так нет,начали торговаться,спасая миллиарды олигархов. А контуры будущего для россиян ужасны: нищета и бесправие . Под шумок СВО принимаются всякого рода поправки к законам,направленные на жестокое закабаление населения.",1674717259,170881352
1860423,"Ну хорошо. Взяли бы Киев за один день. А дальше что? Львов?Варшава?Берлин? Лиссабон?Где остановимся? Было уже - наши ,,исконно"" русские завоёвывали, потом веками строили мирные отношения с соседями. Нет сейчас времени. Ни у них, ни у нас.",1674720295,307366892
1860423,Ничего эта статья не прояснила.,1674741716,158515387
1860423,С каким экспертом обсудить вопросы? Тоже с каким - нибудь отставным. Только обсуждалки и рассуждалки. О какой усталости рассуждает? Все слышат и видят по вашим же статьям о поддержке .,1674749976,468371613
1858511,"В России, тоже не дешево. Если читать не одну, а больше в месяц - будешь работать на книги. Приходится покупать электронный вариант.",1674645714,183899797
1858511,В СССР книги пользовались большим спросом.,1674651525,228746952
1848002,,1674234279,719712963
1848002,"Человеку лучше жить при зарплате, на которую можно прожить и с которой  при этом  можно отложить и одолжить .
А какой при этом будет курс доллара или нефти - по барабану..",1674234625,305657591
1848002,63 копейки,1674234628,698923879
