id,owner_id,post_time,post_text,comments.count
1867445,-17862264,1674992927,"🐄В 2022 году в мире резко упал спрос на говядину, пишет Bloomberg.

Это связано с ростом цен. И даже по мере снижения уровня инфляции в 2023 году ожидается падение потребления этого вида мяса. При этом спрос на говядину падает в основном в странах, где ее едят чаще всего: в Аргентине, США, Бразилии и Великобритании.

Аргентинский производитель говядины Ciccra утверждает, что потребление этого мяса составило 47,2 кг на душу населения в 2022 году, тогда как 15 лет назад этот показатель находился на уровне 68,7 кг.",18
1863820,-17862264,1674824702,"Кризис стоимости жизни: как лук стал роскошью на Филиппинах

Согласно официальной статистике, в прошлом месяце цена на лук на Филиппинах выросла до 700 песо (888,5 рублей) за кг. Это больше, чем стоимость мяса и ежедневная минимальная зарплата в стране.

Лук, основной ингредиент филиппинской кухни, стал символом кризиса стоимости жизни. Это происходит на фоне инфляции достигла нового 14-летнего максимума на Филиппинах.

«Раньше мы покупали три килограмма лука в день. Теперь мы покупаем полкилограмма, и это все, что мы можем себе позволить», — рассказали BBC местные жители.

Президент Фердинанд Маркос-младший, который также является министром сельского хозяйства, назвал рост цен на лук «чрезвычайной ситуацией».

«Еще в августе Министерство сельского хозяйства прогнозировало дефицит этого корнеплода. А через несколько месяцев на Филиппины обрушились два мощных шторма, которые еще больше усугубили положение», — сказал Николас Мапа, старший экономист ING Bank.

Фото: BBC",5
1860423,-17862264,1674716414,"«Некоторые российские эксперты и СМИ любят цитировать западных политиков (главным образом отставных), что Европа, дескать, „начала уставать“ от Украины. Но, судя по уже объявленным программам помощи Киеву, усталость если и есть, то мало влияет на реальную политику. Ослабление России остаётся стратегическим приоритетом Запада. Экономика США радостно пожинает плоды отключения России от европейского нефтегазового рынка. Инфляция и безработица падают. Американская элита настроена на продолжение конфронтации».

Будет ли усиливаться или, напротив, сокращаться влияние США и Китая в мире? Сможет ли Европа избавиться от политического и финансового доминирования Америки, не превратится ли в 51-й штат США? И, наконец, какие ресурсы сможет мобилизовать Россия?

«АиФ» вместе с экспертом попытались ответить на эти вопросы:",4
1858511,-17862264,1674645314,"Египтянам предлагают брать кредиты на покупку книг в условиях инфляции.

«Книга стала предметом роскоши в Египте. Это не основной товар, как еда, и люди экономят на предметах роскоши», — говорит Мохаммед Эль-Баали из издательства «Сефсафа».

Поскольку цены на книги выросли более чем в два раза, некоторые египетские авторы говорят, что они сократили количество персонажей и описаний, чтобы быть более экономными.

«Стоимость бумаги и чернил также сильно выросла. Стоимость тонны бумаги сейчас почти в четыре раза выше, чем в начале года», — говорит Эль-Баали.

Египетская ассоциация издателей заявляет, что теперь покупатели могут выбрать период до девяти месяцев, чтобы купить книгу, заплатив 1,5% годовых, сообщает BBC.

В последние месяцы ускорение инфляции привело к снижению покупательной способности египтян, которые уже пережили годы жесткой экономии и повторяющиеся экономические потрясения. Египет, который в значительной степени зависит от иностранного импорта, страдает от валютного кризиса.

Фото: BBC",5
1848002,-17862264,1674234016,"При каком курсе валют нам жить лучше: по 50 рублей за доллар или по 70? Когда-то власти объясняли, что чем больше рублей можно получить за доллар, тем лучше. Бюджет наполняется, у государства есть деньги на то, чтобы заплатить все пенсии, пособия, поднять зарплаты бюджетникам. Правда, вслед за этим начали расти цены, и повышение дохода никакого счастья людям не принесло.

Все теоретические расклады теряют актуальность, как только переступаешь порог магазина, особенно — с электроникой. Сильный рубль, слабый рубль — цены все равно растут.

Что не так с валютами - выяснили у экономистов:",39
1847709,-17862264,1674226205,"Материнская компания Google — Alphabet сокращает 12 000 рабочих мест или 6% штата

Сокращения коснутся различных областей, сообщил генеральный директор Сундар Пичаи.

Пострадавшие сотрудники останутся в штате компании в течение 60 дней и получат выходное пособие в размере не менее 16 недель заработной платы, а также другие льготы.

За последние два года штат компании Alphabet увеличился более чем на 50 000 сотрудников, поскольку высокий спрос на ее услуги во время пандемии способствовал росту прибыли.

Сокращение рабочих мест в Alphabet — последнее из волны увольнений в технологическом секторе. Компании называют такие меры вынужденными, поскольку инфляция утяжеляет потребительские расходы, а растущие процентные ставки сжимают финансирование.

Ранее Microsoft заявила, что сократит 10 000 сотрудников, а Amazon объявила об увольнении 18 000 человек, сообщает CNN.

Фото: CNN",2
1844481,-17862264,1674069600,"📌Годовая инфляция в РФ замедлилась до 11,57%",15
1839902,-17862264,1673899255,"Выравнять темпы роста пенсий с уровнем индексации социальных пособий, выплат и компенсаций предлагает юрист и правозащитник Александр Хаминский.

С 1 февраля более 40 различных социальных выплат, пособий и компенсаций будут увеличены на коэффициент 1,119. Повышение коснется получателей материнского капитала, а также ветеранов войн, участников ликвидации аварии на Чернобыльской АЭС, Героев Советского Союза и России, полных кавалеров ордена Славы и многих других. Коэффициент был определен исходя из официальных данных об инфляции 2022 года — она составила 11,94%, подсчитал Росстат.

📍💬 «В то же время пенсии выросли только на 4,8%. Разве могло так случиться, что потребительские цены для одной категории пожилых людей в течение года росли в 2,5 раза быстрее, чем для другой? Понятно, что назначение пенсий и социальных пособий и компенсаций имеет различную правовую природу, но когда речь идет о социальной защите наиболее уязвимых в финансовом отношении сограждан необходимо сформировать схожие подходы в вопросах оказания помощи», — поясняет Хаминский АиФ.

Кроме того, юрист предлагает ориентироваться не на уже случившуюся инфляцию, а на прогноз роста цен в будущем. Иначе получатели пособий и выплат вынуждены компенсировать возрастающие каждый день расходы за счет личных накоплений, а если их нет, то отказывать себе в покупке самых необходимых товаров.

«В таких экстренных условиях, в которых сегодня находится страна, повышать размер пенсий, социальных выплат и пособий надо не менее двух раз в год», — заключает он.

Алексей Дуэль / АиФ

https://aif.ru/money/mymoney/yurist_aleksandr_haminskiy_sravnil_rost_vyplat_veteranam_i_pensiy",11
1838911,-17862264,1673863802,"С 1 февраля в России на 11,9% проиндексируют более 40 различных выплат, пособий и компенсаций

📌На уровень фактической инфляции вырастет размер единовременного пособия при рождении ребенка, ежемесячного пособия по уходу за ребенком, ежемесячной денежной выплаты ветеранам.

📌На 62,2 тысячи рублей увеличится размер материнского капитала на первого ребенка - в результате он достигнет 587 тысяч рублей.

📌Маткапитал на второго ребенка вырастет на 82,5 тысячи рублей и составит почти 775,6 тысячи.",0
1838890,-17862264,1673862904,"Ежемесячные расходы американцев выросли почти на $400 из-за инфляции

Несмотря на снижение инфляции, в среднем, типичное домохозяйство США потратило в декабре на товары и услуги на 371 доллар больше, чем год назад, по данным Moody's Analytics.

Семьи тратят примерно на $82,60 в месяц больше на оплату коммунальных услуг и на $72,01 больше на еду, согласно данным Moody's Analytics.

Бюро статистики труда сообщило, что американцы стали тратить на продукты питания на 11,8% больше, чем год назад.

Другие статьи расходов, которые обходятся семьям дороже в месяц, включают коммунальные услуги (рост на $47,33), здравоохранение (рост на $17,97), развлечения ($15,27) и алкогольные напитки ($2,67). Аналитики считают, что цены продолжат расти еще некоторое время.

Фото: CNN",8
