post_id,text,comment_time,from_id
3440961,"Эльвира говорит правду. Но не всю. Конечно с тремя вышками, она  знает про торгсины. Но чтобы потом принести туда золото и поесть на эти деньги, сначала его надо купить. Продается мелкими слитками. Рекомендую.",1703959426,64366271
3440961,"Странно, что Коммерсант не знает, что повышенный спрос подстёгивает инфляцию. Правильно Набиуллина говорит. Не надо тратить бабло как не в себя... Лучше накапливать и вкладывать, заставляя деньги работать, а не скупать всё подряд. Видимо, поэтому писаки постов и не на месте Набиуллиной, эксперты блин... 😏",1703961958,741565741
3440961,Мем с Набиуллиной зачем удалили?(,1703965652,70414730
3440961,"Спрос увеличился, значит у людей есть деньги. И работа.",1703969087,11665468
3440961,"Опросы населения показывают, что инфляция в 2024 составит 14%. Это экспертная оценка - опрос населения, серьёзно?",1703969400,512210843
3437175,Перед смертью не надышишься...,1703794008,6057619
3437175,"Это как раз плохо. Это поведение подобно тому, когда приближается конец света, и живое существо старается успеть до этого критического момента выжить. Хоть немного. 
Ничего приятного нет в том, что россияне живут как в последний раз. Честно говоря, это всё ужасно. И люди просто не знают, что будет завтра.",1703812420,626382510
3437175,"обычная стратегия, когда копить деньги на что-то серьезное нет смысла, инфляция всё сожрёт, - значит будем тратить, да побыстрее, пока не подорожало)",1703842896,2691808
3427832,После выборов наверное???,1703411868,539613482
3427832,"Какое производство может отработать кредит в 20%, если оно не производит наркотики и не торгует органами?
ЦБ просто уничтожает развитие промышленности.
И сожаления, что ещё весной не удушили рост военного производства, это как понимать? На кого работает эта пятая колонна в кремле и около?

И ведь чувствуют себя комфортно! И выдвинул её мистер Путин, крышует её, похвалы раздаёт в её адрес.
Воистину - РФ страна дураков! Уникальных. Таких необходимо сберечь, в определённой мере.",1703413772,513184003
3427832,"Мало ей всё,видите ли простой народ стал слишком много покупать по её мнению",1703413992,338134436
3427832,Я всегда знал что у неё в голове тараканы 🪳. Сегодня одно говорит завтра другое. Думаю её уже не вылечат,1703414058,493487060
3427832,"Все правительство под суд за вредительство,хотя кто их осудит?в судах такие же седят.",1703414226,18173959
3427832,"Не часто ли Центробанк ошибается?И его ошибки для России такие ёмкие,значимые,бьющие туда,куда надо",1703414398,768518156
3427832,"Слушайте Ютуб-канал Игоря Липсица. Он всё-всё объяснит про ставочки, про кредитики, про ипотечки, про ВПК и про яйца. Главное - про яйца!",1703415149,1302320
3427832,"Глава ЦБ не дура. Хорошо знает, что и когда надо делать. «Отмазка» не зашла.",1703415171,391015343
3427832,"не знаю, а значит и не комментирую.
как можно рассуждать о том, чего не знаешь?",1703415672,713436686
3427832,Эльвира (Эля),1703429736,370726554
3427832,Набиуллина Эльвира,1703429780,370726554
3427832,"Грамотные экономисты разносят Элю в пух и прах, экономика страдает, но гарант не дает людоедку в обиду",1703475232,21733256
3427832,"Отреагировала.
Поверхностно, ссылаясь не известно на, что.
Но не сказала, что виновата .
Портфель дороже всех обвинений.
Проверочку бы ФСБ  ей, да поглубже копнуть ...",1703497315,793142180
3424831,"Послушайте... Если вы действительно спецы, уезжайте из рашки: здесь нечего ловить.",1703264328,1302320
3423639,Препосылок нет для стабилизации цен. Уже многие компании сказали о росте. Тем более драйверы экономики останавливаются.,1703209953,262005268
3423639,"Потребление росло в рублях, а не в обьёме. Как и мифический рост экономики",1703210885,20903048
3423639,и тогда экономика ускорит своё падение,1703223908,460581962
3423639,"Между тем, рейтинг премьера Мишустина неуклонно растёт...😒",1703233113,4097144
