id,owner_id,post_time,post_text,comments.count
3440961,-23482909,1703955693,,9
3437175,-23482909,1703790900,"Граждане РФ знамениты неординарным поведением в кризисных ситуациях. Достаточно вспомнить отечественных туристов, которых не способны отвадить от пляжей ни теракты, ни землетрясения.

Вот и 2023 год россияне провели совсем не так, как ожидали эксперты и бизнес. Последние готовились чуть ли не к худшему году в новейшей истории, вплоть до тотальной примитивизации потребления.

Но произошло ровно наоборот. Среднестатистический гражданин много ел, крепко пил, покупал одежду и технику, путешествовал. Отличная новость для тех, кто все это продает. Но и плохая тоже — лихорадочное потребление неизбежно раскручивает маховик инфляции.",3
3427832,-23482909,1703411700,"Председатель Банка России Эльвира Набиуллина считает, что начать цикл ужесточения денежно-кредитной политики (ДКП) и поднимать ключевую ставку следовало еще весной. Регулятор же объявил об ужесточении ДКП и повышении ставки в июле.

«Инфляционное давление начало расти во второй половине года. И сейчас действительно темп роста цен достаточно высокий, сильно выше нашей цели по инфляции. И да, оглядываясь назад, мы понимаем, что денежно-кредитная политика была мягкой и надо было повышать ставку раньше»,— рассказала госпожа Набиуллина в интервью РБК. На уточняющий вопрос журналистов, когда регулятору стоило перейти к ужесточению ДКП, она ответила: «Например, весной».",23
3424831,-23482909,1703261400,"🎓6 декабря прошло второе мероприятие зимнего цикла дискуссий Российской экономической школы (РЭШ) о валютном курсе, переменах на рынке труда, влиянии ИИ и других вызовах для экономики.

В последние годы система столкнулась с поликризисом, преодолевая разноплановые шоки.

Беседу с участием советника председателя Банка России Ксенией Юдаевой и профессорами РЭШ Максимом Буевым и Натальей Волчковой модерировали главред научно-популярного портала GURU Филипп Стеркин и ректор университета Антон Суворов.",1
3423639,-23482909,1703209382,"В ноябре—октябре 2023 года потребление населения, судя по косвенным индикаторам, еще росло и подогревалось инфляционными ожиданиями. Впрочем, такой ситуация останется недолго — вскоре частный спрос начнет охлаждаться вместе с остальной экономикой.",14
3422972,-23482909,1703161230,"Турецкий Центробанк повысил ключевую ставку с 40% до 42,5%. Это седьмое повышение ставки с конца июня текущего года. Тогда ее повысили впервые более чем за два года. 
 
В пресс-релизе регулятора сказано, что инфляция в ноябре соответствовала прогнозам. ЦБ Турции, как сказано в сообщении, замедлил темпы ужесточения денежно-кредитной политики в связи с улучшением ситуации на финансовых рынках, ростом валютных резервов и увеличением спроса на активы в национальной валюте. 
 
Инфляции в Турции в ноябре составила 62%. В третьем квартале 2023 года, как ранее сообщал турецкий Центробанк, она превысила прогнозы и достигла 70%. 23 ноября регулятор поднял ключевую ставку с 35% до 40%. 
 
22 июня ЦБ Турции впервые с февраля 2021 года повысил ключевую ставку — с 8,5% до 15,0% годовых. Это стало первым решением Хафизе Гайе Эркан, назначенной на пост главы ЦБ Турции 9 июня.",2
3420823,-23482909,1703037421,"По оценкам топ-менеджеров и HR-специалистов российских компаний, обеспечение компаний кадрами может стать одной из главных задач бизнеса на следующий год. 

При этом опрошенные различными консалтинговыми и кадровыми компаниями респонденты считают, что решить ее можно с помощью увеличения расходов компаний как на наем новых, так и на удержание текущих сотрудников. 

В результате, по оценкам экспертов, рост зарплат работников в следующем году, скорее всего, обгонит уровень инфляции.",0
3419344,-23482909,1702978452,"Импортное вино стоимостью до 700 руб. за бутылку может исчезнуть к началу 2025 года из российских магазинов, считает президент Simple Group (владеет магазином Simple Wine) Максим Каширин, передает РБК. Это может произойти из-за роста импортных пошлин и ставок акцизов.

По словам представителя Simple Group, на импортные вина ценой до €5 за бутылку повлияла новая ставка таможенных пошлин, выросшая в июле этого года.

С 1 августа 2023 года их ставка была повышена до 20% вместо 12,5%. На цены также влияют проблемы в европейских странах-производителях: инфляция, стоимость стеклотары, картона, транспорта, электроэнергии.

«До повышения пошлин многие дистрибьюторы делали запасы, поэтому процесс ""умирания"" этого сегмента будет происходить постепенно. По нашим прогнозам, он начнется после новогодних праздников и продлится вплоть до начала 2025 года»,— рассказал Максим Каширин.

По словам представителя компании, на фоне подорожания импортных вин вырастут цены на отечественные. «Проблема, к сожалению, в том, что в правительстве владеют далеко не всей информацией о том, какие меры поддержки были бы по-настоящему эффективны. Они не должны крыться в повышении цен на импортное вино, потому что подорожает все»,— считает он. Недорогие вина, по его словам, будут только среди южноафриканских производителей.",38
3419155,-23482909,1702970219,"В Общественной палате (ОП) считают нужным ограничить продажу аптечных жидкостей с содержанием этилового спирта выше 30%, предназначенных для употребления внутрь.

Для этого в ОП предложили ограничить время продажи таких препаратов по аналогии с алкоголем, а также повысить их стоимость до уровня минимальной цены на водку.

К аптечным жидкостям крепче 30%, применяемым внутрь, относятся боярышник, корвалол и валокордин, а также ротокан, употребляемый для профилактики пародонтита, стоматита, воспаления десен, отмечает газета.

В числе других мер, предложенных ОП для сокращения смертности от алкоголя:

🔹 запрет любой онлайн-торговли алкогольными напитками;

🔹 сокращение времени продаж напитков крепче 15 градусов;

🔹 повышение минимальной стоимости и индексация акцизов на 5–7% выше уровня инфляции;

🔹 запрет на продажу алкогольных напитков с содержанием этанола более 15% в отделах магазинов, не изолированных от других отделов и не имеющих отдельного входа с улицы;

🔹 введение государственной монополии на продажу крепкой алкогольной продукции выше 15 оборотов, начиная с регионов Дальнего Востока и Крайнего Севера.",42
3416073,-23482909,1702730318,,16
3415480,-23482909,1702680540,"Растущая инфляция, охлаждение рынка жилья и ограниченный доступ к зарубежным активам способствуют росту интереса инвесторов к покупке помещений стрит-ритейла.

В Москве объем инвестиций в этот сегмент в 2023 году может вырасти на 55%, до 1,8 трлн руб.

Но сдать купленные активы не всегда просто: средняя вакантность пока не демонстрирует выраженного снижения, а рост арендных ставок в центре города заметно выше, чем на окраинах.

#Ъузнал",3
3415070,-23482909,1702656187,"🎓 Зимние «Просветительские дни» РЭШ

С 5 по 18 декабря Российская экономическая школа (РЭШ) проводит серию дискуссий в рамках «Просветительских дней».

📑 Тема дискуссии: Мифы о валютных курсах.
🗓 18 декабря (понедельник), 19:00–20:30.
👥 Спикеры: заместитель председателя Банка России Алексей Заботкин, главный экономист «Ренессанс Капитала» по России и СНГ Софья Донец и профессор РЭШ Олег Шибанов.

Вокруг формирования курса рубля сложилось немало мифов. Насколько изменение валютных курсов похоже на свободное блуждание цен? Как все-таки связаны курс и инфляция? Есть ли шансы на относительно стабильный курс в сырьевой экономике и что делать, если личные расходы сильно зависят от его колебаний?

Трансляцию можно будет посмотреть в прямом эфире и записи на сайте «Ъ». Чтобы поучаствовать в любой из сессий, оставляйте свои вопросы в комментариях под постом.",1
3414653,-23482909,1702644600,"🏦Центробанк продолжил повышение уровня ключевой ставки, подняв ее в пятницу еще на 100 базисных пунктов, до 16% годовых.

Как и прежде, такое решение продиктовано высоким инфляционным давлением — по итогам года регулятор ждет инфляцию близко к 7,5%. Желаемое снижение темпов роста цен в 2024 году предполагает «продолжительный период поддержания жестких денежно-кредитных условий», предупреждает ЦБ.

При этом он фиксирует более значительное, чем предполагалось, отклонение динамики экономики от «траектории сбалансированного роста» — теперь ЦБ ожидает, что по итогам 2023 года российский ВВП увеличится более чем на 3%.",23
3414463,-23482909,1702636510,"⚡Совет директоров Центробанка (ЦБ) на заседании 15 декабря в пятый раз подряд повысил ключевую ставку. Она повышена на 100 базисных пунктов (б. п.) — с 15% до 16% годовых. 
 
Цикл повышения ставки ЦБ начал 25 июля. Тогда она была увеличена с 7,5% до 8,5%. До этого ЦБ сохранял ставку неизменной с 19 сентября 2022 года. Ее изменение было связано с начавшимся в стране ростом инфляции. 
 
В октябре ЦБ повысил прогноз по инфляции на 2023 год до 7-7,5% с 6-7%. По итогам октября годовая инфляция ускорилась до 6,69%, а в ноябре составила 7,5%. В декабре она замедлилась до 7,04%.

Однако вчера, 14 декабря, во время «Итого года» президент Владимир Путин говорил, что по итогам года показатель может составить 7,5%, «может быть, чуть больше, к 8 процентам». 
 
Глава ЦБ Эльвира Набиуллина в ноябре допускала, что начать снижать ставку регулятор может в следующем году, когда годовая инфляция приблизится к цели 4%.",28
3413460,-23482909,1702568161,"Европейский центральный банк принял решение сохранить все три ключевые процентные ставки на прежнем уровне.

Базовая ставка по кредитам составляет 4,5%, по маржинальным кредитам — 4,75%, по депозитам — 4%, напомнила пресс-служба ЕЦБ.

Регулятор отметил, что, несмотря на снижение инфляции в еврозоне, в ближайшей перспективе она снова повысится. ЕЦБ ожидает, что в 2023 году инфляция составит в среднем 5,4%, в 2024 — 2,7%, в 2025 — 2,1%, в 2026 — 1,9%. Целевой среднесрочный уровень инфляции для регулятора — 2%.

В ЕЦБ считают, что темпы роста экономики ЕС вырастут с 0,6% в 2023 году до 0,8 % в 2024 году и до 1,5 % в 2025-м и 2026 годах.

ЕЦБ не меняет процентные ставки с сентября. При этом с июля 2022 года регулятор повышал ставки на десяти заседаниях подряд. Долгосрочные эффекты жесткой денежно-кредитной политики регулятора отразились в динамике ВВП еврозоны: после двух кварталов сдержанного роста в третьем показатель снизился — на 0,1%.",3
3412794,-23482909,1702548321,"14 декабря проходят «Итоги года с Владимиром Путиным» — совмещенные пресс-конференция и прямая линия.

🔷Спецоперация на Украине

🔹Необходимости в новой волне мобилизации нет.
 
🔹Мир будет тогда, когда мы достигнем своих целей: денацификация, демилитаризация, нейтральный статус Украины.
 
🔹Не хотят договариваться, мы вынуждены применять другие, военные меры.
 
🔹О военных поставках Украине со стороны Запада: «Халява скоро может закончиться».

 
🔷Внешняя политика

🔹То, что сейчас происходит, похоже на огромную трагедию, на гражданскую войну между братьями.
 
🔹Пока фундаментальных условий для выстраивания отношений с США нет.

🔷Экономика

🔹Запас прочности у экономики РФ достаточный для того, чтобы идти вперед.
 
🔹Рост экономики по итогам года ожидается в 3,5% — отыграли прошлогоднее падение.
 
🔹Инфляция в России к концу года может ускориться до 8%, но ЦБ и правительство принимают меры, чтобы вернуть ее к целевым показателям.
 
🔹Уровень безработицы — 2,9%: «Такого никогда не было в России». 
С 1 января будет повышен МРОТ на 18%.",2
3412683,-23482909,1702545724,"Президент Владимир Путин заявил, что у российской экономики достаточный запас прочности для того, чтобы не просто уверенно себя чувствовать, но и идти вперед. 
 
«За предыдущие десятилетия Россия укрепила запас прочности и устойчивости в финансах и экономике»,— сказал президент во время «Итогов года». 
 
Владимир Путин отметил, что рост экономики по итогам года ожидается в 3,5%: «Отыграли падение и сделали серьезный шаг вперед»,— отметил он.",3
3412316,-23482909,1702518120,"Почти 35% российских IT-специалистов столкнулись со снижением уровня доходов. Среди других проблем сотрудники отмечают снижение возможности удаленной работы и влияние западных санкций.

Между тем, по данным Минцифры, заработки самих IT-компаний в РФ растут на 20%. «Негативное восприятие доходов» работниками, полагают эксперты, в основном обусловлено ростом инфляции и курса доллара.

Также ситуация может быть следствием увеличения на рынке доли «молодых специалистов», чьи зарплатные ожидания не совпадают с тем, что им готовы предложить компании.

#Ъузнал",4
3411989,-23482909,1702494412,"❗Федеральная резервная система (ФРС) США оставила без изменений ключевую ставку на ближайшее время в диапазоне 5,25-5,50%, сообщается на сайте регулятора. Решение сохранить ставку ФРС принимает третий раз подряд. 
 
«Комитет стремится достичь максимальной занятости и инфляции на уровне 2% в долгосрочной перспективе. В поддержку этих целей принято решение сохранить целевой диапазон ставки по федеральным фондам на уровне 5,25-5,5%»,— говорится в сообщении на сайте регулятора. 
 
В заявлении ФРС отмечается, что рост экономической активности замедлился по сравнению с третьим кварталом 2023 года. В то же время с начала года замедлился и рост количества рабочих мест. Инфляция в стране снизилась, но по-прежнему остается на высоком уровне.",11
3410446,-23482909,1702424821,"Минсельхоз и Минпромторг возражают против подготовленных Минприроды базовых ставок экологического сбора и повышающих коэффициентов к ним, которые должны заработать уже с 1 января.

Основное опасение связано с тем, что увеличение платежей бизнеса приведет к росту цен на упаковку и пищевые товары, которые правительству и так тяжело удерживать в пределах инфляции.

#Ъузнал",1
