id,owner_id,post_time,post_text,comments.count
261317,-26517977,1675145100,"Европейские акции закрыли день в минусе после тройного удара от статистиков. Внезапные спады ВВП Германии и Швеции, как и рост инфляции в Испании, не могли перед заседаниями ФРС и ЕЦБ не напомнить рынкам о рецессии.",1
261255,-26517977,1674817500,"Неоднозначная статистика по ВВП не остановила рост фондовых индексов США, разогретых вчера акциями Tesla и лично Илоном Маском. Но уже сегодня на пути рынка встанут мрачные прогнозы Intel, вызвавшие обвал на постмаркете, и данные по инфляции PCE.

📖Полную статью читайте на сайте 

https://expert.ru/2023/01/27/aktsii-ssha/",2
261202,-26517977,1674648600,"Рост налогов и инфляция опустошают кошельки британских налогоплательщиков.

📖Полную статью читайте на сайте 

https://expert.ru/2023/01/25/velikobritaniya/",0
260957,-26517977,1673608200,"Бельгийский премьер-министр считает, что американский закон о борьбе с инфляцией используется Вашингтоном для ослабления европейской экономики и переманивания компаний из Европы в Америку.",2
260939,-26517977,1673521800,"Основные индексы США закрыли среду в плюс в надежде на сильные данные по инфляции, которые выйдут сегодня. Однако те способны очень разочаровать быков.

📖Полную статью читайте на сайте 

https://expert.ru/2023/01/12/aktsii-ssha/",0
260352,-26517977,1671609989,"Повышение ставок шагает по планете: центробанки почти всего мира пытаются спасти свои страны от инфляции.

📖Полную статью читайте на сайте 

https://expert.ru/expert/2022/51/rossiya-vse-yesche-protiv-trenda/",0
260326,-26517977,1671547057,"На пике годовая инфляция приблизилась к 18% — это в четыре с половиной раза выше целевого показателя ЦБ. Однако грамотная политика регулятора, альтернативные поставки и диверсификация экономики сделали свое дело.

 📖Полную статью читайте на сайте 

https://expert.ru/2022/12/20/osobennosti-rossiyskoy-inflyatsii-kak-menyayutsya-tseny-v-stolitse/",2
260158,-26517977,1670997900,"Неожиданные данные об инфляции в США нанесли удар по «медведям» на многих рынках. На закрытии шортов взлетали акции, товары и валюты. Но такой рост недолговечен: уже вечером Dow, выходивший сегодня на максимум с апреля, ушел в минус.",0
259707,-26517977,1669380813,"Турбулентность на фондовом рынке в периоды масштабных экономических изменений создает излишние риски для инвесторов, главная цель которых — получить хоть и не самую высокую, но гарантированную прибыль на длинном отрезке времени.",0
259692,-26517977,1669353000,"В Берлине и Париже не скрывают недовольства тем, что Белый дом практически не обращает внимания на их тревогу относительно Закона о снижении инфляции (IRA), подписанного президентом Байденом 16 августа.",0
