id,owner_id,post_time,post_text,comments.count
267757,-26517977,1703836956,"Новый год — новые траты

Жители России готовы в этом году потратить на празднование Нового года на 16,4 тыс. руб. больше, чем год назад, следует из традиционного предпраздничного опроса ВЦИОМ. 

Рост расходов обгоняет показатель инфляции, а значит, фактически люди в этом году не планируют экономить на празднике. Суммарные средние планируемые затраты перешагнули исторический максимум и составили 54 067 руб. на человека.

Подробнее о новогодних тратах россиян в материале Эксперта",0
267755,-26517977,1703775603,"ЕЦБ: снижение ставок в 2024 г. не гарантировано 
 
“Нормализация денежно-кредитной политики уже оказывает влияние на замедление инфляции, однако думать о снижении ставок пока преждевременно”, - заявил глава центробанка Австрии Роберт Хольцман. 
 
В последние месяцы 2023 г. рынки ожидают смягчения денежно-кредитной политики. Такие ожидания служат одним из факторов всеобщего ралли акций и облигаций, которое наблюдается с ноября. 
 
Больше новостей на Expert.ru",0
267583,-26517977,1702649188,"В России снижается инфляция

Институт исследований и экспертизы ВЭБ выпустил очередное исследование «Мировая экономика и рынки» за период с 8 по 14 декабря 2023 г. 

Авторы исследования отметили снижение уровня инфляции в России, несмотря на рост потребительских расходов, а также сокращение накопленного дефицита бюджета благодаря росту налоговых поступлений.

Подробнее об исследовании читайте в заметке Эксперта
Больше новостей на Expert.ru",1
267581,-26517977,1702640067,"Банк России повысил ключевую ставку до 16%

«Текущее инфляционное давление остается высоким. По итогам 2023 года годовая инфляция ожидается вблизи верхней границы прогнозного диапазона 7,0–7,5% … Возвращение инфляции к цели в 2024 году и ее дальнейшая стабилизация вблизи 4% предполагают продолжительный период поддержания жестких денежно-кредитных условий в экономике», – говорится в пресс-релизе ЦБ РФ.

Больше новостей на Expert.ru",1
267556,-26517977,1702545565,"Президент РФ:

Экономика РФ отыграла падение 2022 года и идет вперед.
Инфляция в стране к концу года может ускориться до 8%.
Рост ВВП РФ к концу года ожидается в 3,5%.
Безработица в стране снизилась до 2,9%, такого никогда не было в истории РФ.

«Прямая линия» 2023
Больше новостей на Expert.ru",0
267475,-26517977,1701955258,"Бедным приоткрыли границу

Граница бедности, рассчитываемая Росстатом, в III квартале 2023 г. составила 14 тыс. 392 руб. Таким образом доходы ниже этой границы получают 14,8 млн человек, что на 0,5 млн человек меньше, чем в III квартале 2022 года. Снижению уровня бедности способствовали адресные социальные программы для наиболее уязвимых групп населения, а также рост зарплат и пенсий.

Статистика выглядит достаточно убедительно, но эксперты относятся к ней скептически. К данным, рассчитываемым Росстатом, есть ряд вопросов, сказал «Эксперту» председатель комитета Госдумы по социальной политике, труду и делам ветеранов Ярослав Нилов. По его словам, инфляция, показанная ведомством, довольно низкая, но «сегодня в каждом кабинете мы обсуждаем рост цен на продукты питания, которые уже выросли явно больше, чем инфляция».

Подробнее в материале Эксперта
Больше новостей на Expert.ru",1
267308,-26517977,1697019971,Угроза выхода инфляции из-под контроля никуда не исчезла. Как и 50 лет назад борьба с ростом цен в США и других развитых странах может затянуться на годы и сопровождаться стагнацией.,0
267036,-26517977,1695810112,"Инвесторы делают ставку на то, что борьба ФРС с инфляцией затягивается на неопределенное время.",0
266962,-26517977,1695492600,После 14 повышений ставки подряд Банк Англии неожиданно не поднял ее. Поводом для этого стало небольшое снижение инфляции.,0
266921,-26517977,1695367800,"Хотя сохранение ставки ФРС на ее вчерашнем заседании было более чем ожидаемым, доллар подскочил, а нефть, акции и облигации упали. Рынкам стало очевидно, что дело на этом не остановится, а высокие доходности – это очень и очень надолго. И хотя ФРС этого не признает, одна из причин инфляции, с которой она таким образом борется –рост цен на нефть. Которые хотя и упали, но несильно и ненадолго",0
