post_id,text,comment_time,from_id
3816401,"Какая инфляция? 
Зачем неточности? 
Правительство побороло инфляцию! 
Санкции на пользу РФ!",1675198821,273443889
3816401,"Это фэйк, сломать ногу резиновой дубинкой..",1675198891,189841120
3816401,топливо не выросло проезд подорожал,1675201154,178423992
3816401,"Уберите маршрутки, оставьте автобусы. Сразу будет рентабельность общественного транспорта.",1675208271,73097190
3816401,А почему не на русском? City Max какой-то...,1675217925,408137884
3816401,Вернуть перевозку пассажиров общественный транспорт государству срочно.,1675242697,244454179
3816192,Штрафы да налоги. Что у нас может изменится. Что жить лучше будет )),1675191052,8953513
3816192,Непомерные платёжки по ЖКХ всё сожрут на раз.,1675222005,236740162
3812584,"Такая какая совесть позволит. А там совесть у всех разная . У небожителей одна , у сельского жителя другая , к дальнобойщика третья. У перекупов , барыг ,как правило 2-3, а то 4 цены на авто , вот и инфляция . Вон в США , там вообще на инфляцию положили , печатные станки дымятся не переставая , выбрасывая миллионы зелёных , а мы всё боимся рынок насытить деньгами .",1675101735,91841362
3812584,"Низкий спрос из за отсутствия денег и низких зарплат,они упорно не хотят это видеть.я бы многое хотел бы себе купить и был бы спрос если бы мне позволял мой кошель.ведь это же элементарно.",1675101957,39730580
3812584,Какая чушь накалякана писаками поста!,1675102056,310524091
3812584,"А почему вообще должна быть инфляция, вон в Европе до этого года писали 20 лет небыло роста цен, а почему у нас каждый год, только все растёт?",1675102555,471986627
3812584,"Ппц. 💀
У наебулиной и силуанова все как не понос, - так золотуха.",1675102576,51901874
3812584,В России инфляция небольшая,1675102618,721211362
3812584,Цены не очень то и сильно выросли,1675102627,721209756
3812584,"У нас похоже что в любом случае простым людям паршиво, что низкая инфляция, что высокая",1675103070,116518134
3812584,"Батон хлеба 54 рубля, литр приличного молока 113, обычная докторская колбаса почти 900 не цены не растут, от слова вообще",1675103143,19219310
