id,owner_id,post_time,post_text,comments.count
3816401,-27532693,1675195200,"На рынке автобусных перевозок сложилась непростая ситуация. Доходность перевозчиков снизилась с начала года из-за роста тарифов и инфляции — из-за этого возникли трудности с обновлением автобусных парков. А некоторые регионы вообще не покупают новый транспорт. 
 
В то же время автопроизводители расширяют модельный ряд. Они стараются объединить под одним кузовом как можно больше потребностей пассажироперевозчиков. Что предлагают российские производители — в нашем материале:
https://iz.ru/1453868/khariton-galitckii/s-shiroko-otkrytymi-dveriami-kakie-avtobusy-obnoviat-parki-regionov",6
3816192,-27532693,1675188000,"В феврале традиционно проводится ежегодная индексация социальных выплат, пособий и компенсаций. Сумма рассчитывается исходя из фактического уровня инфляции за прошедший год. В этом году с 1 февраля проиндексируют более 40 денежных мер поддержки населения, их повысят на 11,9%. В первую очередь это затронет льготные категории граждан — пенсионеров, ветеранов и инвалидов. Всего на индексацию социальных выплат будет направлено более 150 млрд рублей. Кроме того, на ""Госуслугах"" начнет работать биометрия, а невостребованное военными жилье смогут передавать другим льготникам. 
 
Подробнее об этих и других нововведениях — в традиционном обзоре ""Известий"": https://iz.ru/1460700/ekaterina-karaseva/chto-izmenitsia-v-zhizni-rossiian-s-1-fevralia",2
3812584,-27532693,1675101601,"Низкая инфляция может стать серьезной проблемой для российской экономики. Во всяком случае такая идея высказывалась на совещании у президента. Слабый рост цен в нашем случае является и симптомом низкого спроса, и его следствием, и причиной. 
 
О том, почему инфляция в России затормозила так резко и какой уровень повышения цен в текущей ситуации является оптимальным для отечественной экономики — в материале ""Известий"": https://iz.ru/1461352/dmitrii-migunov/utochnit-tcel-kakaia-infliatciia-optimalna-dlia-rossii",30
3810830,-27532693,1675066800,"Инфляция в 2023 году ожидается на уровне 5–6%, а курс нацвалюты в среднем составит 70 руб./$. Такими прогнозами поделился с ""Известиями"" первый замминистра экономического развития России Илья Торосов. 
 
По его оценкам, экономика страны справилась с санкционными вызовами: перестраивается логистика, происходит поворот на Восток, наращиваются темпы в собственном производстве. Илья Торосов заявил и о намерении изменить условия для внесудебного банкротства россиян — порог суммы долга, начиная от которой можно подать заявление, будет снижен до 25 тыс. рублей, а верхняя планка увеличена до 1 млн. 
 
Сколько долгов уже списано, на какие цели деньги из ФНБ будут тратить в этом году и за счет чего экономика России справляется с трудностями — в эксклюзивном интервью первого замглавы Минэка ""Известиям"": https://iz.ru/1461081/irina-tcyruleva-natalia-ilina/ot-krepkogo-rublia-stradaet-biudzhet",9
3809377,-27532693,1675015200,"С принятия американского Акта о снижении инфляции, предусматривающего вложения в зеленую энергетику и другие отрасли промышленности, прошло уже почти полгода, но он по-прежнему вызывает яростные споры. Главные претензии к Соединенным Штатам предъявляются с другого берега Атлантического океана. 
 
Европейцы считают, что акт наносит колоссальный ущерб их экономике, так как предоставляет привилегии американским производителям в ситуации, когда экономика ЕС и так сталкивается сразу с несколькими кризисами. Европа пытается противопоставить этому собственную зеленую стратегию. 
 
О том, как зеленая промышленная политика фактически стала вторым изданием протекционизма, — в материале ""Известий"": https://iz.ru/1460343/dmitrii-migunov/eko-nadolgo-zelenaia-povestka-v-ssha-prevratilas-v-ugrozu-dlia-es",0
3804997,-27532693,1674911700,,5
3800628,-27532693,1674810911,"Венгрия намерена не допустить введения санкций Евросоюза на российскую атомную энергетику, заявил венгерский премьер-министр Виктор Орбан.

Политик напомнил, что сейчас Брюссель разрабатывает план введения новых санкций в ядерной энергетике. Он указал на то, что Будапешт планирует не допустить ограничения, которые еще больше увеличивают инфляцию страны: https://iz.ru/1461011/2023-01-27/orban-poobeshchal-nalozhit-veto-na-sanktcii-es-protiv-iadernoi-energetiki-rossii?main_click",49
3794456,-27532693,1674637636,"На европейских энергорынках наблюдается продолжающийся беспрецедентный рост стоимости электричества. Об этом сообщил председатель правления ПАО ""Интер РАО"" Борис Ковальчук. 
 
""Так, на наших традиционных рынках, где мы раньше работали, — это страны Балтии и Финляндия — цена в августе достигала 825 евро за МВт⋅ч, а предрождественские цены декабря находились на уровне 300 — 400 евро за МВт⋅ч. И всё это происходит на фоне существенного снижения потребления и введения режима жёсткой экономии в данных странах"", — отметил он. 
 
Ковальчук утверждает, что в России напротив — потребление растёт, а цена электроэнергии за два года отстала от инфляции более чем на 11%. 
 
""Поэтому, как и год назад, мы уверенно утверждаем, что электроэнергетика является одним из ключевых факторов сдерживания инфляции в нашей стране"", — добавил председатель правления ПАО ""Интер РАО"".",20
3789931,-27532693,1674504001,"Спустя несколько месяцев крайне натянутых отношений две важнейшие страны Евросоюза Франция и Германия смогли преодолеть недавние разногласия. Лидеры двух государств договорились работать сообща над вопросами европейской обороны и энергетической политики, ответными мерами на американский закон о снижении инфляции и реформой Евросоюза. 

Мы разбирались, почему принципиальные противоречия между Германией и Францией вряд ли можно устранить:
https://iz.ru/1458961/nataliia-portiakova/poshli-na-lad-v-kakikh-sferakh-berlin-i-parizh-preodoleli-raznoglasiia",3
3789250,-27532693,1674484208,"В Хорватии после перехода с национальной валюты куны на евро стоимость на товары и услуги излишне ""округлилась"", а это в свою очередь ведет к развитию инфляции, подчеркнул хорватский премьер Андрей Пленкович:
https://iz.ru/1459015/2023-01-23/premer-khorvatii-ukazal-na-rost-tcen-iz-za-perekhoda-s-kuny-na-evro?main_click&utm_source=vkontakte&utm_medium=social",2
