post_id,text,comment_time,from_id
4647107,Калргентинский Милей - это аналог Егора Гайдара),1703655188,230871356
4647107,Добро пожаловать в 90е:),1703655500,2026826
4647107,"Ну вот, привет инфляция и девальвация) Предрекали нам дефолт, а сами что?)",1703656064,806839397
4647107,"А чего Киркорян-Киркоров не уедет в Израиль у него отец армянин, а мать еврейка.",1703657638,141938737
4647107,Он же хотел вообще отказаться Песо. В итоге выпускает купюры новые. Видимо потому что у него курс доллара скакнул в два раза,1703658884,715415993
4647107,По-павловски.,1703663469,784523904
4647107,Леваки там до него разогнали инфляцию.,1703667793,399843049
4647107,штаты ведь сейчас будут в аргентине проамериканскую власть строить и окончательно забьют на украину,1703670272,690378608
4647107,150% почти жесть) Чё то на Россию они там вякать ещё будут что ли?,1703673579,830773593
4647107,Этим он ещё конечно усилит девальвацию и инфляцию это да.. Но потом конечно уже можно три ноля убирать и отлично дело 😉👍,1703676122,609911993
4647107,"Да в любом случае, ничего хорошего Аргентину не ждет! раз их президент, сразу же прогнулся под Сша...",1703683130,690355910
4631272,,1703127826,69058374
4631272,"Могут конечно, почему нет. Тем более что они уже показали что будут это делать в ответ на действия США.",1703127884,712704651
4631272,"Полностью парализовать не могут. Но стоимость перевозки, за счет роста страхования или маршрута вокруг Африки, существенно возрастет. А для Египта это вообще кирдык - Суэцкий канал для него важный источник дохода. Победить хуситов легко не получится, придется с ними договариваться. Танкера с российской нефтью, кстати, идут пока через Суэц.",1703130464,837591954
4631272,"По любому наши договорились с пиратами,  что бы нападали. Через Северный путь пошли чтоб. 😂",1703132105,449954251
4631272,"Молодцы хуситы,хот кто то  что то делает.",1703136638,737077607
4631272,МОЛОДЦЫ ХУСИТЫ,1703138258,613668551
4631272,,1703138282,613668551
4631272,Рыночек скоро порешает и хуситов накажут.,1703181752,399843049
4631272,,1703196962,324294280
4631272,Всё это мелочи.что там  с войной.вроде как иеменвойну что ли объявил евреям.результат нулевой,1703285165,818862603
4622832,Шутка ?  Или вы про параллельную вселенную ?,1702884288,663450128
4622832,может кто то скажет путину что инфляция более 7% ?,1702884405,721804886
4622832,"В общей сложности в Дуннин из Приморья заехало 7 фур с живым крабом, общая стоимость груза составила более 4 млн юаней.Отмечается, что импортом живого краба занималась Дуннинская торговая компания Гуансыюань (东宁广思源贸易有限公司), она организовала поставку продукции до Дуннина из приморского порта Зарубино.Передержка крабов осуществлялась в морской воде при температуре +3… +4 градуса Цельсия.Сообщается, что продукция дальше будет доставлена на предприятия и в рестораны Шанхая и Гуанчжоу. 
«Мы планируем осуществлять поставки живых морепродуктов на регулярной основе через Дуннин, и возить из России также камчатских крабов, гребешки и морских ежей», заявил в интервью телеканалу гендиректор компании Гуансыюань Ху Вэйда (胡伟大).Отмечается, что на погранпереходе Дуннин-Полтавка изначально имелись водоёмы для передержки рыбы и свежих морепродуктов. Сейчас эти водоёмы постепенно заполняются свежими морепродуктами из России.Грузовое сообщение на автомобильном погранпереходе Дуннин-Полтавка возобновилось 10 декабря.",1702884465,606766316
4622832,"На станции Тунцзян-Северный работает 8 козловых кранов, занимающихся перевалкой грузов, а количество путей для перегрузки контейнеров для поездов «Китай-Европа» с узкоколейных (китайских) платформ на ширококолейные (российские) увеличилось до шести.Как сообщает ведомство, грузы на станции Тунцзян-Северный представлены в основном углём и железной рудой из России, но с этого года по железнодорожному мосту через Амур начал осуществляться импорт в Китай российского продовольствия!!!",1702884529,606766316
4622832,"""В этом году мы обеспечим рекордные поставки угля в КНР - больше 100 миллионов тонн"", - заявил Новак. 
Он подчеркнул, что Китай ""для нас - это основной партнёр в Азиатско-Тихоокеанском регионе и по торговому обороту, и по объёмам сотрудничества, и по реализации совместных инвестиционных проектов как на территории России, так и Китая"". 
Новак сказал также, что за 10 месяцев 2023 года Россия поставила в Китай больше нефти и нефтепродуктов, чем за весь прошлый год: ""У нас уже в этом году поставлено больше объёмов за 10 месяцев, чем за прошлый год по нефти и нефтепродуктам в КНР, осуществляются поставки электроэнергии"".",1702884616,606766316
4622832,"Бред полный, относительно российских торговых точек. Там идет наценка уже ежедневная и на товары даже которые не пользуются спросом. Просто владельцы сетей хотят быть богаче... И всё.",1702884672,299423791
4622832,"Зато в России государство само каждый год разгоняет инфляцию поднимая цены на газ,воду, электричество, бензин, солярку.",1702884855,655507983
4622832,"А мы не будем останавливаться на достигнутом,только вперёд🤣",1702884884,273178411
4622832,Мы впереди всех.,1702886249,748282550
4622832,Тухнет продукция с баснословными наценками?,1702886810,349269962
4622832,"Доллар скаканул ... кто то в правительстве хорошо нагрелся  ,упал ... опять нагрелся.... нестабильность  - всё от неё.... цены больше и налоги с цен больше ....  а о народе у нас не думают .... даже те кого выбираем  , чтобы они ЗА НАШИ ДЕНЬГИ   о нас думали ....",1702890014,739107426
4622832,"з.п.соответвующие конечно ,а вот пенсии нет.Вот Если бы нацилизировали нефть и газ вот тогда бы и у Пенсионеров был достаток и у многих малоимущих.А что разве за счёт войны у Нас не отмываются и не прокручиваются деньги многими?это разве не бьёт по экономике?",1702890149,825376262
4622832,У нас все своё а цены растут из жадности,1702895340,752850900
4622832,,1702986583,773634000
4616099,У меня жена педагог в Вузе Как получала в начале года 24 000 руб. Так и подучает((,1702621443,463265039
4616099,"В регионах майский указ президента 2021 года не выполняется, а вы пишите о каком-то несуществующем росте зарплаты. Будь так, выпускники педвузов толпами побежали бы в школы. А везде нехватка кадров.",1702621796,432664431
4616099,Все верно во всех гос организациях индексируют ежегодно 👍,1702622249,652878
4616099,Какое повышение зарплаты? Не смешите! Как получали 25т так и получаем! Ставки как были 11 544т так и есть! Зачем врать💁‍♂️,1702622259,68947825
4616099,Ооо 🥶,1702622318,765727508
4616099,"У депутатов ГД зарплата 800 000 р. , но что-то она не разогнала инфляцию .",1702622474,438356814
