id,owner_id,post_time,post_text,comments.count
4647107,-27532693,1703655079,"Аргентина выпустит купюры с номиналом в 25 раз больше, чем существующие, подтвердил La Nación президент Аргентины Хавьер Милей.

ЦБ страны выпустит в оборот купюры номиналом 20 000 и 50 000 песо весной 2024 года . На данный момент крупнейшая банкнота в республике — 2 000 песо. На нее можно купить меньше двух килограмм крупы или сахара. 
 
""Тема с купюрами — это пытка... Тебе надо заплатить что-то наличными, ты должен идти с мешком бумажек"", — сказал президент в интервью газете La Nación.

За 11 месяцев 2023 года инфляция в Аргентине превысила 148%",11
4631272,-27532693,1703127648,"Нападения йеменских повстанцев-хуситов на суда в Красном море и Баб-эль-Мандебском проливе вызвали легкую панику в Европе и других частях света. 

Экономисты опасаются нового разрушения цепочек поставок и остановки одной из важнейших торговых артерий мира, что может привести к новому всплеску инфляции. В то же время российские эксперты считают, что эффект от хуситских атак и акции США и их союзников против йеменцев будет ограниченным, а для России — почти нулевым.

""В моменте хуситы обходятся [для транспортных компаний] в 10 раз меньше, чем экологи. Поставки в обход Красного моря будут стоить на 10–15% дороже, но на стоимость товара практически нет влияния. В конкретном рейсе судно будет идти на 8–10 дней больше, зато не станет платить сборы на проход канала. Лондонские страховщики будут, конечно, насчитывать миллиарды"", — комментирует директор исследовательского агентства Infranews Алексей Безбородов.

По его словам, серьезные потери от нарушения потоков в Красном море могут понести только страны Средиземноморского региона: сами Израиль и Египет, а также Греция, Турция и Италия.",13
4622832,-27532693,1702884047,"Инфляция по всему миру начала замедляться. Ощутимое сокращение темпов роста цен отмечено в США и Европе, а в Китае и вовсе наблюдается дефляция. Высокую инфляцию демонстрируют только отдельные значимые экономики, и все они являются ""особыми случаями"" (включая Россию). 

Эксперты до сих пор не могут прийти к единому мнению о том, что стало спусковым крючком для этого взрыва. Скорее совпал сразу комплекс факторов. Во-первых, масштабы ""антиковидного"" фискального и монетарного стимула оказались совершенно беспрецедентными: на этом фоне даже антикризисная программа 2008–2009 годов выглядела копейками. 

Во-вторых, из-за той же самой пандемии случились разрывы в цепочках поставок по всей мировой торговой инфраструктуре. 

В России ситуация не настолько драматична. Взлет цен в последний год обусловлен участием в вооруженном конфликте, особенностями нынешнего подсанкционного положения страны и ее адаптацией к новой реальности.",33
4616099,-27532693,1702621236,"В 2023 году быстрее всего зарплаты росли у педагогов и госслужащих.

На фоне рекордно низкой безработицы в 2,9% и дефицита кадров компании борются за сотрудников. Но не всегда повышение жалованья ведет к улучшению производительности: в таком случае раскручивается инфляция, предупредили эксперты.

Напомним, что Владимир Путин заявил, что реальная зарплата в РФ по итогам года вырастет примерно на 8%, реальные доходы населения — примерно на 5%.",117
4614596,-27532693,1702549242,"Экономика трещит по швам: как обернулась военная поддержка Украины — рассказал ""Известиям"" доктор экономических наук Константин Ордов.

Он отметил, что ситуацию ""прямо здесь и сейчас"" оценивать сложно, так как на Западе до сих пор существуют ""ковидные"" проблемы, которые вылились в рекордную за последние 50 лет инфляцию в США. 

Отельные страны ЕС находятся в технической рецессии, подчеркнул эксперт. Увеличение коммунальных расходов, увеличение стоимости газа — все сказывается на кошельках обычных граждан Европы. Ордов считает, что мировой кризис неизбежен. 

""Вот она история ""Не рой другому яму — сам в нее попадешь"", но они уже вырыли. И в том числе, отчисление, перечисление и помощь Украине — такая общая яма для мировой финансовой системы"", — подытожил специалист.",10
4614463,-27532693,1702545597,"Существование России без суверенитета невозможно, заявил президент в ходе стартовавших ""Итогов года с Владимиром Путиным"". 
Другие заявления главы государства:

— Запас прочности у российской экономики достаточный, чтобы идти вперед;

— Финансово-экономическая система РФ устойчивая;

— Силовые возможности России растут, это тоже один из залогов прочности страны;

— Рост ВВП РФ к концу года ожидается в 3,5%, это хороший показатель;

— Инфляция в России по итогам года может составить 7,5-8%;

— Реальная зарплата в РФ по итогам года вырастет примерно на 8%, реальные доходы населения — примерно на 5%;

— Безработица в РФ снизилась до 2,9%, такого никогда не было в истории страны.",19
4613454,-27532693,1702506658,"В 2023 году рост ВВП составит 3,5%, в следующем также ожидаются положительные тренды, заявил министр финансов Антон Силуанов в интервью ""Известиям"".

Другие заявления министра финансов:

— Финансовый план на ближайшую трехлетку в правительстве называют ""бюджетом победы"": главный приоритет — реализация целей спецоперации, а также исполнение социальных обязательств.

— На развитие экономики при этом планируется направить 10–11% расходов бюджета.

— Для экономической стабильности нужны контроль за инфляцией и за расходами бюджета.

— Налоговая задолженность компаний перед казной снизилась до 2,1 трлн рублей.

— Из ФНБ планируется направить 4 трлн на инфраструктурные проекты.",16
4611238,-27532693,1702449650,"Почти половина россиян (47%) планируют подрабатывать в новом году, следует из опроса сервиса ""Подработка"" и Rambler&Co, на рынке рекрутинговых услуг подтвердили тренд.

 В 2023-м дополнительный доход имел лишь каждый третий. В основном подработку ищут в IT, а также в сферах транспорта и строительства. Гражданам нужно больше денег из-за ускорившейся инфляции и ослабления рубля. Но и компаниям требуется всё больше свободных рук на фоне дефицита кадров: они охотнее нанимают людей под конкретные задачи.

Также бум связан с развитием интернета. Теперь всё больше людей могут решать задачи удаленно и заниматься подработкой, не покидая своих домов, отметила Ася Алексеенко.",15
4610890,-27532693,1702434656,"Правительство Аргентины девальвирует официальный курс песо более чем на 50% — до 800 за $1, сократит энергетические субсидии, отменит тендеры на общественные работы и сократит размер правительства. Об этом сообщает издание Reuters со ссылкой на нового министра экономики Аргентины Луиса Капуто.

По его словам, план, вероятно, будет болезненным в краткосрочной перспективе, но он необходим для сокращения бюджетного дефицита и снижения инфляции.

""Цель состоит в том, чтобы просто избежать катастрофы и вернуть экономику в нужное русло"", — сказал он в обращении.",12
4610518,-27532693,1702406445,"Только и разговоров, что … о ключевой ставке. ""Известия"" разобрались, что это такое и почему к этому вопросу столь пристальное внимание. 

""Ключевая ставка — это инструмент денежно-кредитной политики государства, проводником денежно-кредитной политики является центральный банк. Собственно говоря, с помощью процентной ставки центральный банк влияет на монетарную инфляцию в стране через спрос и предложения на деньги"", — рассказывает ""Известиям"" экономист Лазарь Бадалов. 

Иначе говоря: чем выше ставка, тем меньше будет спрос на деньги. Соответственно, в обратной ситуации работает в другую сторону. Повышение ставки используется в ситуации, когда инфляция растёт. Соответственно снижение ставки происходит ситуация, когда инфляция замедляется, говорит эксперт. 

""Это свидетельствует о том, что в экономике наступает определённый кризисные явления. Но вот этот сценарий, который я вам сейчас описал, - это классическая ситуация"", — говорит Бадалов.  

Но экономика не столь линейна. Бывают ситуации, когда не всегда достаточно использовать только лишь процентную ставку или не всегда повышение отставки связано, например, с чрезмерным экономическим ростом.

""Бывают разные ситуации и разные исключения, когда, скажем так, регулятор центральному банку приходится руководствоваться рядом других ещё причин"", — отметил эксперт. 

Напомним, что 15 декабря состоится заседание Совета директоров Банка России, где будет принято решение по ключевой ставке. Сейчас она утверждена на уровне 15%.",14
