post_id,text,comment_time,from_id
2856746,"не только уйти от доллара, но и от рубля",1675193535,773582573
2856746,Простым россиянам на золото разве что в ломбарде посмотреть,1675193549,352750122
2856746,Так скоро и до бартера дойдём,1675198624,765652761
2856746,"Сколько добывают и добыли за всю известную историю и куда девается золото,столько не уходит и в производстве и на украшению и на хранение отложенное...а куда его девают то остальное и ...или кому все оставшееся отдают?",1675201543,262913240
2853257,"Тоже мне ...))
Раньше выживали 500руб в неделю на питание, нынче 200 рублей на неделю.",1674978313,540998671
2853257,кое-что без соли,1674979037,461498232
2853257,"Не может быть!  -в иноагенты  99,9%поддержки - народ живёт лучше и лучше.",1674979647,752151064
2853257,"Самое символичное что в пабликах Коммерсант и Форбс наконец то пропали дурацкие интервью с предпринимателями "" Как мы успешно справились с санкциями и экстремальной ситуацией в экономике ......",1674985106,12025189
2853257,Рынок самого необходимого чтобы не умереть слишком быстро .. в РФ составляет сегодня всего 20 % ВВП ....вопрос что стало с остальной частью ВВП ...который по уверениям правительства упал только на 2 % .......даже если предположить что военный валовой продукт в 2022 г вырос в 2 раза ..с 25 % до 50 % то куда делись остальные 30%........????????,1674985594,12025189
2852574,"Кто о чем, а маркетологи о своем, о продажном, как развести народ на бабло",1674923043,21733256
2851076,предлагаю МРОТ платить депутатам Госдумы. чтобы поближе к народу были. пусть научат нас как на такие копейки выжить можно. а то им видите ли полмиллиона в месяц уже мало. обнаглели в конец!,1674836190,260388189
2851076,"Если бы его реально интересовало процветание граждан, он бы уже это сделал почти за четверть века. Лицемер((",1674836237,622973828
2851076,"эти минимальные зарплаты если на количество дней в году поделить, то в среднем около 500 рублей в день. в некоторых регионах поболее. но примерно столько же. и это без вычета коммуналки, оплаты телефона и интернета. я хз как на это прожить",1674836286,767543403
2851076,Он сам не уверен что говорит,1674836414,544475476
2851076,И пусть мост хрустальный от моего порога и до городу Парижу!,1674836517,78224021
2851076,"Радуется!  99,9% поддержки - можно и дальше лапшу вешать",1674836813,752151064
2851076,и ещё пенсии,1674836844,227079720
2851076,Пикчер постарался,1674836969,461498232
2851076,Так держать В.В.,1674837208,721238018
2851076,плизидент лясии,1674837502,97910501
2851076,320 тыс. каждому участник ВСО. Куда Вы лезите!,1674838305,234364156
2851076,"И все работодатели тоже показали палец, и рабочим и президенту, но другой))",1674838458,112962792
2851076,плешивые обещания,1674838742,90697346
2851076,как это понять? выше уровня инфляции? на 5-10%?,1674839297,460581962
2851076,"Что будет , если повысить МРОТ ??? Гораздо больше людей станут зарабатывать ниже МРОТ.. 🤣🤣🤣 Вообще МРОТ , это некая константа для обеспечения и индексации расчётов. Пример - Штраф 5 МРОТ ... И .Т. Д... Но, это не гарантирует повышение оплаты труда.. Есть (за рубежом) понятие - мин. оплата в час . И это обязательно для ВСЕХ работодателей.. Если кто заплатит ниже , то мало не покажется.. В США это 9 долларов в час.. Такой подход исключает гипер эксплуатацию работников и гарантирует сумму заработка , достаточную , для проживания. А МРОТ в месяц не обеспечит даже нормального питания . Так что ,это ни о чём.. С чем и поздравляю..",1674839434,560916045
2851076,,1674839686,49661238
2851076,"Всю жизнь работал на комбинатах металлургии заработал болячки и все как так ,жилья не имел от бабушек и дедушек наследства не было,  с родителями ходили по съёмному жилью  мама растила нас четверых одна и не бегали не ныли и пятого канала не было и от сранного государства не вытягивали деньги мат капиталом.",1674840039,774576848
