id,owner_id,post_time,post_text,comments.count
2856746,-23482909,1675193400,"Рекордный спрос на золото на мировом рынке в 2022 году, достигший 1,14 тыс. тонн впервые за полстолетия, во многом обеспечили центробанки различных стран.

Помимо этого, вырос интерес к золоту со стороны частных инвесторов. Причем причины у действий столь разных групп оказались схожими — желание подстраховаться от политической неопределенности и инфляции, а также уйти от доллара.",4
2853257,-23482909,1674977912,,5
2852574,-23482909,1674922561,"Исследователи маркетингово-коммуникационной компании Wunderman Thompson полагают, что основной потребительской тенденцией текущего года станет стремление людей к позитивному опыту, отвлечению от стресса, который они пережили в предыдущие два года из-за пандемии, военных конфликтов и роста инфляции. Люди хотят услуг, которые поднимают настроение, ярких цветов в товарах, позитивных новостей в своих лентах. Это заметили многие компании и организации, которые уже предлагают соответствующие продукты. Формирование такого предложения эксперты назвали «Счастьеномикой» (Joyconomy).",2
2851076,-23482909,1674836092,"Президент России Владимир Путин поручил поднять минимальный размер оплаты труда (МРОТ) в 2023 году выше уровня инфляции, а также представить предложения о дальнейшем росте МРОТ.

Это следует из перечня поручений президента по итогам заседания Совета по стратегическому развитию и национальным проектам.

«Обеспечить повышение в 2023 году минимального размера оплаты труда с опережением темпов роста инфляции и роста среднемесячной заработной платы в стране в 2023 году и представить предложения по дальнейшему повышению минимального размера оплаты труда»,— говорится на сайте Кремля. Крайний срок выполнения поручения — 1 июля.

[club23482909|@kommersant]",216
2850080,-23482909,1674766800,"По итогам 2022 года номинальный рост рынка FMCG-товаров (товаров повседневного спроса) составил 13,6%. При этом продажи преимущественно увеличились за счет роста инфляции — ее вклад составил 17%.",0
2848286,-23482909,1674719937,"По итогам 2022 года номинальный рост рынка товаров повседневного спроса составил 13,6%. При этом продажи преимущественно увеличились за счет роста инфляции — ее вклад составил 17%. Вклад реального потребления товаров составил –3,4%. Это следует из данных исследовательской компании NielsenIQ.

Эксперты NielsenIQ отмечают, что увеличение уровня продаж наблюдалось только в марте 2022 года на фоне сообщений об уходе зарубежных брендов FMCG из России. После начала спецоперации об уходе из российского бизнеса сообщило несколько международных производителей FMCG-товаров, в том числе Coca-Cola, P&G, Henkel, IKEA, Inditex.

Исследование NielsenIQ строится на аудите FMCG-розницы по всей России. В том числе более 200 торговых сетей и более 120 тыс. точек традиционной торговли (рынки, павильоны).

Согласно опросу NielsenIQ, проведенному в 2022 году, 88% участников рынка товаров повседневного спроса указывали на сокращение потребительских доходов. По данным Центробанка, с конца сентября 2022 года домохозяйства перешли в режим экономии повседневного потребления. На этом фоне доля 50 крупнейших FMCG-брендов на рынке сократилась до 25,2% против 27% в 2021 году.

[club23482909|@kommersant]",11
2845333,-23482909,1674614040,"Доплата компаний за низкие тарифы на электроэнергию для населения может существенно увеличиться. В текущем году сразу в 21 регионе РФ сетевые тарифы для бизнеса выросли на 10–20%, превысив предельный общероссийский уровень индексации. Причинами стали высокая инфляция, необходимость компенсации накопленных выпадающих доходов сетевых компаний и запрет на увеличение тарифов для населения. В результате объем нагрузки на коммерческих потребителей в этих регионах, по оценкам аналитиков, увеличится как минимум на 18%, до 95 млрд руб.",8
2845267,-23482909,1674605640,"Котировки золота на мировом спот-рынке обновили максимум с апреля 2022 года. Во многом игра на повышение связана с замедлением инфляции в США и ослаблением доллара. В устойчивость этого тренда не верят профессиональные инвесторы, а потому воздерживаются от наращивания вложений в золото. Однако их пассивность компенсируется покупками со стороны центробанков и ювелиров.",0
2843169,-23482909,1674503281,"Участники криптовалютного рынка продолжают игру на повышение. Курс биткойна закрепился выше $23 тыс., вернувшись к значениям августа 2022 года. С начала года ведущая криптовалюта подорожала на 40%.

Эксперты связывают подъем котировок с возращением на рынок как частных, так и институциональных инвесторов на фоне оптимизма из-за снижения инфляции в США и ожиданий роста экономики Китая.",2
2842149,-23482909,1674467704,,7
2840070,-23482909,1674374564,,26
2838400,-23482909,1674244833,"Ожидаемый в этом году рост мировой экономики на 2,7% будет одним из самых низких за последние два десятилетия — ниже он был лишь дважды: в период глобального финансового кризиса и в «пандемийном» 2020 году, сообщила на завершившемся в пятницу форуме в Давосе глава Международного валютного фонда (МВФ) Кристалина Георгиева.

В фонде называют три основных фактора, которые будут замедлять рост мировой экономики в 2023 году: это высокая инфляция, выросшие процентные ставки и последствия военной операции РФ на Украине.",5
2837676,-23482909,1674208905,"В конце прошлой недели Росстат обнародовал подробные декабрьские и годовые данные по динамике индекса потребительских цен за год . Годовая инфляция по итогам 2022 года составила 11,9%. 

Напомним, скачок до рекордных 18% был зафиксирован в апреле, вскоре после начала СВО, потом инфляция замедлялась. 
 
В 2022 году эксперты и СМИ активно обсуждали рекордный рост цен в России, а также в США, Великобритании и в странах еврозоны. Регуляторы массово повышали процентные ставки. 

Тем не менее, как показывает статистика, никто из этих государств не входит в мировые лидеры по инфляции. Россия по годовым темпам роста также занимает место далеко не в первой десятке.

[club23482909|@kommersant]",3
2835365,-23482909,1674086640,"Минфин скорректировал тактику заимствований на долговом рынке, предложив инвесторам помимо ОФЗ с постоянным купоном гособлигации с переменным номиналом (привязанные к уровню инфляции). 

Спрос на бумаги составил рекордные за два года 107 млрд руб., а размещение — 36,3 млрд руб., свыше трети от всего объема заимствований в этот день. Однако для размещения госбумаг министерство продолжает платить довольно высокие премии инвесторам.",0
2834852,-23482909,1674056274,"Как показал опрос исследовательского центра SuperJob, чаще всего своей заработной платой довольны программисты, доходы которых по-прежнему растут быстрее инфляции. В топ-3 профессий по удовлетворенности заработками также входят проектировщики и представители мидл- и топ-менеджмента. Меньше всего довольных среди менеджеров по рекламе.

В среднем среди представителей всех опрошенных профессий своей зарплатой доволен каждый пятый. В частности, среди учителей и воспитателей таковых 22%, среди экономистов и маркетологов — 20%, среди госслужащих — 18%.

[club23482909|@kommersant]",13
2833971,-23482909,1674021987,"Международная консалтинговая компания Brand Finance представила очередной рейтинг оценочной стоимости самых дорогих брендов мира — Brand Finance Global 500. 
 
Общее снижение котировок технологических компаний, вызванное снятием ковидных ограничений, заметно отразилось на всем рейтинге. В свою очередь, рост инфляции ударил по многим брендам из сектора розничной торговли. 
 
Входящие в рейтинг российские бренды «Сбера», «Газпрома» и ЛУКОЙЛа также подешевели с прошлого года, потеряв от 7% до 19% своей оценочной стоимости.

[club23482909|@kommersant]",4
2833752,-23482909,1674006841,"Профициты текущего счета платежного баланса и счета внешней торговли товарами и услугами в 2022 году оказались рекордными — в 1,8 и 1,6 раза больше, чем год назад, оценил Банк России. 

Впрочем, к концу года профициты почти обнулились — из-за западных санкций и восстановления импорта. В 2023 году рост санкционного давления может привести уже к заметному снижению профицитов, ослаблению курса и повышенной инфляции.",16
2833684,-23482909,1673999640,"В январе ожидания международных инвесторов относительно перспектив мировой экономики заметно улучшились. В ожидании дальнейшего замедления инфляции в США и бурного роста экономики Китая управляющие снижают долю наличности в портфелях. 

Управляющие отдают предпочтение более дешевым европейским акциям, которые восстанавливают привлекательность на фоне падения цен на газ в регионе.

#Ъузнал@kommersant",2
2832046,-23482909,1673897113,"Индекс Московской биржи закрепился выше уровня 2200 пунктов, достигнув максимума за два месяца. На восстановление повлияли оптимистичные настроения инвесторов в начале года в отношении замедления инфляции в США, а также корпоративных новостей российских эмитентов.

Участники рынка не исключают продолжения роста до 2280–2470 пунктов при отсутствии резкого ухудшения геополитического фона.",3
