id,owner_id,post_time,post_text,comments.count
7397324,-15722194,1675065612,"«Российская экономика рухнет на 11,2%!» - пророчил в апреле Всемирный банк. «Доллар будет стоить 200 рублей!» - вещал в марте Джо Байден. Но ничего этого не случилось. Вот как правительству удалось это сделать:

🔻Антироссийские санкции

В 2022 году Россия стала «чемпионом мира» по санкциям. Запад прочил крах экономике России, но по итогам 2022 года Россия вернулась в десятку сильнейших экономик мира и заняла девятое место в рейтинге стран по ВВП. 

Как правительство этого добилось? Одна из эффективных мер - весной 2022 года кабмин разрешил параллельный импорт. А еще, несмотря на европейское эмбарго и потолок цен, у нас не обвалился экспорт нефти. Поставки были перенаправлены в другие страны.

🔻Коронавирус 

С началом пандемии россияне рванули в магазины закупаться продуктами на месяцы вперед. Но правительству удалось избежать дефицита, установив «зеленый коридор» для импортных товаров первой необходимости и продуктов. А когда осенью резко взлетела стоимость базовых продуктов, правительство зафиксировало розничные цены на них.

В 2021 году представители разных стран и международных организаций признали эффективность этих мер нашего правительства.

Как в стране боролись с безработицей и инфляцией - в нашем материале:
https://www.kp.ru/daily/27458.5/4713281/?from=smm

#экономика #инфляция #санкции",145
7364974,-15722194,1674453609,"Последние новости на утро 23 января. Что происходит в России и в мире:
 
🔻Двое украинских военнослужащих из элитной части в ходе спецоперации на Украине перешли на сторону России. Это произошло на запорожском направлении
https://www.kp.ru/online/news/5107158/?from=smm

🔻Владимир Зеленский заявил, что в случае поставки Украине нескольких десятков западных танков ВСУ будут мотивированы, но на спецоперацию это не окажет кардинального влияния
https://www.kp.ru/online/news/5107181/?from=smm
 
🔻Европа собирается “амбициозно и быстро” ответить на американский закон о снижении инфляции, заявил президент Франции Эммануэль Макрон
https://www.kp.ru/online/news/5107163/?from=smm
 
🔻Германия не передает Украине танки из-за нацистской агрессии во время Второй мировой. К такому выводу пришли обозреватели издания NYT. Также социологические опросы показывают, что большинство жителей Германии против поставок танков Киеву
https://www.kp.ru/online/news/5107196/?from=smm
 
🔻Бойцы ДНР в ходе спецоперации захватили в качестве трофеев терминалы системы спутниковой связи Starlink Илона Маска. По словам Рогозина, ранее этими средствами космической связи пользовались ВСУ и это наносили вред российской армии
https://www.kp.ru/online/news/5107221/?from=smm
 
🔻Самолет с российским министром иностранных дел Сергеем Лавровым на борту прибыл в ЮАР. С этой страны начинается очередное африканское турне Сергея Лаврова
https://www.kp.ru/online/news/5107271/?from=smm

🔻Минфин предложил ввести уголовную ответственность за продажу контрафактных сигарет в России
https://www.kp.ru/online/news/5107390/?from=smm

🔻Россия планирует помочь Кубе продовольствием
https://www.kp.ru/online/news/5107370/?from=smm

#новости #Куба #Минфин #сво",7
7361327,-15722194,1674360008,"Росстат посчитал в деталях, на сколько подорожала наша жизнь в 2022 году. Нет, про общую инфляцию в 11,9% мы все уже слышали. И про то, что продукты в целом подорожали меньше всего остального — на 10% с копейками. А промтовары и услуги, опять-таки в среднем, на 12-13%.

Но дьявол, как известно, дьявол в деталях, которые очень часто сильно расходятся со средними цифрами:
https://www.kp.ru/daily/27455.5/4709600/?from=smm

#цены #росстат #статистика",67
7358390,-15722194,1674294725,"Евросоюз идет на большой риск, ужесточая санкционные ограничения в отношении российской нефти. 

Ограничительные меры, направленные на поставки дизельного топлива из России, могут ударить по экономикам европейских стран, а также усложнить задачу по сдерживанию инфляции в европейском регионе:
https://www.kp.ru/online/news/5106088/?from=smm

#Евросоюз #нефть #санкции",124
7354143,-15722194,1674207906,"Ровно два года назад, 20 января 2021 года, состоялась инаугурация Джо Байдена на пост президента США. Впереди у него еще половина срока правления, но он уже сейчас подумывает о втором. Впрочем, многие слабо верят в успех этой затеи - слишком много было неудач на его счету:

🔻Спецоперация на Украине

Байден грозился разрушительными санкциями, которые отправят экономику России в свободное падение, и бредил «долларом за 200 рублей». Но оказалось, что есть в мире страны, которых вся эта грозная риторика дворового «старшака» совершенно не пугает. 

🔻Бесславный уход американских войск из Афганистана

Бегство было таким неорганизованным и спешным, что многие назвали его признаком угасающего влияния США в мире.

🔻Рост цен и инфляция

Они достались Байдену от преемника. В самом начале своего президентства 46-ой глава Белого дома заявил, что легко справится со всем этим. Однако и тут промах - рост цен находится на уровнях, которого не видели десятилетиями, а в 2023 году экономике страны предсказывают сокращение ВВП.

Остальные неудачи Байдена:
https://www.kp.ru/daily/27454/4708561/?from=smm

#Байден #США #Белый_дом",13
7343758,-15722194,1674027307,"Спецоперация на Украине представляет один из главных рисков для мировой экономики.

Боевые действия, по словам директора-распорядителя Международного валютного фонда Кристалины Георгиевой, оказывают влияние и на «кризисную инфляцию стоимости жизни»:
https://www.kp.ru/online/news/5100518/?from=smm

#сво #экономика #инфляция",9
7339301,-15722194,1673948105,"- Инфляция оказалась ниже ожидаемой. И она может еще снизиться с 11,9% примерно до 5%, - сказал президент.

Цифра в 11,9% - это данные Росстата. И это не так уж плохо: весной 2022 года эксперты рисовали нам куда более страшные цифры. Но чтобы инфляция упала аж до 5% годовых - не слишком ли смелый прогноз?

Отвечаем сразу: в нынешних условиях такое вполне реально. И вот почему:
https://www.kp.ru/daily/27452/4706796/?from=smm

#инфляция #экономика #Путин",25
7333442,-15722194,1673857808,"Инфляция в 2022 году составила 11,9% - таковы окончательные данные, которые на днях озвучил Росстат. Именно на эту цифру будут увеличены социальные выплаты, которые традиционно повышают в России с февраля.

Кого коснутся изменения: 
https://www.kp.ru/daily/27452.5/4706327/?from=smm

#инфляция #пенсия #выплаты",23
7332414,-15722194,1673838007,"Кому и на сколько проиндексируют пособия с 1 февраля 

Инфляция в 2022 году составила 11,9% - именно на эту цифру будут увеличены социальные выплаты, которые традиционно повышают в России с февраля. 

В общей сложности планируется проиндексировать свыше 40 различных выплат, пособий и компенсаций:
https://www.kp.ru/daily/27452.5/4706327/?from=smm

#пособия #выплаты #компенсация",32
7328167,-15722194,1673751605,"Если вы не профессиональный инвестор, то лучше на фондовый рынок не ходить, а заниматься обычными банковскими вкладами. 

Другой доступный инструмент — валюта, это страховка от инфляции (сейчас особую популярность набирают вклады в юанях). Ну и в дополнение к этому можно попробовать до 10% сбережений направить в золото и немного, чтобы не рисковать (не более 3% сбережений) — в криптовалюту.

Экономист также поделился, с какими явлениями нам придется столкнуться в наступившем году:
https://www.kp.ru/daily/27452.5/4706030/?from=smm

#инвестор #экономика #деньги",30
