post_id,text,comment_time,from_id
8321936,Что за бред,1703936802,652446295
8321936,"да тут от специальности зависит. Ну и проиндексировали тоже зп, чуть больше стала",1703936976,681514697
8321936,"Когда зарплата 15 тыс и прибавили 300 руб… жить стало лучше , жить стало веселей 🙄",1703937038,419955594
8321936,"нам вроде подняли на стандартные 4-5%, но с ростом цен это было катастрофически незаметно. в следующем году вроде 4 тыс. собираются прибавить🤔",1703937151,9714165
8321936,"Я с 2016 не работаю, на ставках больше поднимаю",1703937272,7452083
8321936,"Почему разница зарплат в стране достигает в десятки раз ,это же не правильно.",1703937390,731562980
8321936,Кто на что учился и пристроился)) капитализм штука суровая)))),1703937562,758745693
8321936,"Хуже всего тем, кто работает у ИП или в ООО. Черные зарплаты самые невыгодные. Пора начать проверять бизнесы по-настоящему!",1703940237,246513232
8321936,"Опять пытаются впарить белое вместо пушистого😡 
Причём тут инфляция??? Вопрос был выросла ли ЗП или нет. Т.е. по-русски если, она у вас в прошлом году была 30тыс и в этом тоже 30(к примеру)? 
А не то что вы просто не заметили, что вам подняли из-за инфляции 🤦 У нас подняли оклад в том году на 10% . Но в то же время провели ""оптимизацию"" доп надбавок и премии. 
Т.е. по бумаге всё прекрасно, народу ЗП подняли, а по факту она осталась на том же уровне. Только цены все го чуть чуть поднялись за этот год, всего-то 7%😄 И что народу не нравится, это же ерунда))",1703941222,17192803
8321936,один я только меньше?,1703951446,6542254
8321936,Так и цены в магазинах не стоят на месте,1704017200,523433005
8318819,,1703830735,837032701
8318819,"Наши основные операторы связи, те ещё акробаты
Придумают ещё что-то, чтобы цены повысить
Примеров много",1703830749,209387070
8318819,"Как работает ФАС, мы уже убедились в ситуации с яйцами. Хуже них работает только местный бот Vasia.",1703831485,283109166
8318819,"О, мне уже написали Теле2, мол, с января месяца оплата будет на 45 руб больше..",1703831671,281947928
8318819,Настю и Диму надо кормить,1703833017,22186949
8318819,"МТС плати за право оплатить свой телефон
Или открывай счёт в банке МТС",1703833531,172275991
8318819,"Алексей, надо больше интересоваться новостями, чтобы не писать чушь. Вот ФАС как раз сейчас работает и очень хорошо.",1703835160,247705957
8318819,"Яйца дороже тарифа на интернет , а как вы хотели, хотите жрать - платите !",1703835846,828426211
8318819,А до этого почему не запрещали?????,1703868295,487589028
8316231,Это кому то интересно?😂😂😂,1703752866,514408102
8316231,"Да тьфу на вас. Ребят, Новый год! Каждый год цены растут на то, что больше всего покупают - ажиотаж это называется, в чём новость?)",1703752889,681512430
8316231,Сами нагоним! Тоже мне проблема!,1703752969,469232815
8316231,Ааа пофиг.я-не пьющий🤣🤣🤣,1703752970,53248232
8316231,,1703753086,218445700
8316231,Да по....ую,1703753127,189643446
8316231,"""Без , каких либо существенных затрат "" 😂",1703753158,331308365
8316231,"Это не продукт первой необходимости - людей больше возмущают растущие цены на яйца, курятину, рыбу, сыр и т.д.😡😡😡😡",1703754912,286829136
8316231,Проблема роста цен будет решена нашей властью,1703755325,827099684
8310930,Дедка старался,1703609065,780571546
8310930,"К деньгам надо относиться уважительно и тихо, особенно если сам их заработал...Все траты надо взвесить по их первоочерёдности и нужности для семьи.",1703609197,286829136
8310930,"Большинство людей в России сидят на бюджетной игле и реально деньги не зарабатывают, они ничего не производят. Люди которые ничего не производят, тратят эти деньги без ума, просто потребляют.",1703611827,754348838
8278923,не с Росстата надо было брать а посмотреть цены в магазинах и посчитать !! даже в магазины ходить не надо а посмотреть цены в онлайне !! смотрю яйца куриные Волгоград 140 р,1702974141,613334039
8278923,"В магазинах теперь всё есть, а есть то и не хочется. Ждём мира и уверенности в завтрашнем дне.",1702976275,708652077
8278923,"А где мой комментарий про почти 50 % увеличения расходов? Убрали, паразиты!",1702979891,68173866
8274302,"Наши друзья взяли пример с нашей семьи и тоже с помощью сельской ипотеки строят себе дом, а маткапитал пустили как первоначальный взнос. Удобно.",1702802593,732530147
