id,owner_id,post_time,post_text,comments.count
8321936,-15722194,1703936702,"Треть россиян стали зарабатывать в 2023 году больше, у каждого второго зарплата осталась прежней

Слишком часто в последнее время приходится слышать, что реальные зарплаты растут. Но, согласно статистике, рост произошел не у всех работающих граждан. KP.RU решил это проверить, и мы спросили у пользователей соцсетей: ""А у вас выросла зарплата в 2023 году?"". На опрос откликнулись почти 11 тысяч человек. Рост зарплаты подтвердила нам треть опрошенных. А у половины читателей она осталась прежней.

Кстати, экономист Максим Чирков уверен, что хоть подобные опросы не отражают реальную картину происходящего, но и по ним можно увидеть некие тенденции. Например:

💭 На ответы повлияла, конечно, инфляция, которая на сегодня составляет 7,5%, – объясняет экономист. – И даже если у кого-то и повысились доходы, то этот рост съедает повышение цен. А еще при росте средних заработных плат не значит, что все абсолютно начинают получать больше. Ведь разные отрасли и развиваются по-разному. Поэтому главная задача государства сейчас – это выравнивание положения, чтобы не было разрыва финансовых доходов между разными отраслями.

https://www.kp.ru/daily/27550/4873481/?from=smm

Источник: тг-канал truekpru
#зарплата #работа #финансы #доход #опрос #экономист #новости",20
8318819,-15722194,1703830479,"📱 Операторы сотовой связи не смогут бесконтрольно повышать тарифы выше уровня инфляции. Об этом заявил вице-премьер российского правительства Дмитрий Чернышенко.

По его словам, Федеральная антимонопольная служба (ФАС) следит за тем, чтобы цены на тарифы были обоснованными. Вице-премьер отметил, что слишком сильных скачков цен не должно быть.

https://www.kp.ru/online/news/5611046/?from=smm

#новости #сотовая_связь #ФАС #Дмитрий_Чернышенко",16
8316231,-15722194,1703752803,"Во-первых, вырастут акцизы. Во-вторых, подорожало практически всё, из чего делают выпивку, а также сырье и услуги - от спирта до доставки. Из-за этого крупные импортеры и производители алкоголя уже уведомили торговые сети о повышении стоимости в новом году.

KP.RU рассказывает, на сколько российские и импортные напитки могут прибавить в цене, и как скоро ждать «алкогольной инфляции - 2024»:
https://www.kp.ru/daily/27600/4872419/?from=smm

#повышение_цен #алкоголь #акцизы #новости",12
8310930,-15722194,1703607978,"Финансовые итоги года

В этом году на первое место вышли траты россиян на самые первостепенные, базовые нужды. А экономить стали на том, на чем можно сэкономить.

Рассказываем, на что все мы тратили деньги в 2023 году. Кстати, есть и хорошая новость — по мнению экспертов, в ближайший год инфляция должна пойти на спад:
https://www.kp.ru/daily/27599/4871883/?from=smm

Фото: Светлана Маковеева
#финансы #аналитика #траты #деньги #новости",3
8278923,-15722194,1702974003,"🎄 Почем Новый год для народа? Посчитали, во сколько новогоднее пиршество обойдется вашему кошельку

За основу взяли данные Росстата в среднем по России - наиболее свежие, какие есть за этот год, и аналогичные на ту же дату прошлого года.

🥚 Самым вздорожавшим блюдом оказалась нехитрая закуска – яйца под майонезом. В самом скромном варианте, по яичку на каждого - прибавка в цене более чем на треть.

🥗 С оливье и селедкой под шубой дела получше - их стоимость увеличилась примерно на размер официальной инфляции (7,5%). Выручает картофель, он за год подешевел на 11%. Увы, того же нельзя сказать про морковку и свеклу - они выросли на 19% и 17%.

🍗 В нашем рейтинге самых вздорожавших блюд у запеченной курицы - второе место, с ростом цены на четверть.

🐟 Третье место - у заливной рыбы. Сделали народный вариант - с треской. И все равно плюс 15% к прошлому году. Но не столько из-за рыбы (+9% за год), сколько из-за тех же яиц и морковки.

🍊 Из других продуктов, которые обычно присутствуют на новогоднем столе, круче всего подорожали мандарины. Их новогодний запах обойдется дороже на 46%. Примерно на столько же подорожали и бананы.

Что подорожало меньше всего❓

Бутерброды с красной икрой - всего плюс 3%! Не сильно - в сравнении с продуктами - подорожала выпивка. Если, конечно, покупать отечественные напитки.

https://www.kp.ru/daily/27595/4867989/?from=smm

Источник: тг-канал truekpru
Фото: PHOTOXPRESS
#новый_год #цены",7
8274302,-15722194,1702800903,"Вот ряд изменений в ипотечных программах:

🔻С 20 до 30% повышен взнос по льготной ипотеке, которая выдается по ставке 8% годовых.

🔻Максимальный размер льготного ипотечного кредита для всех регионов, включая столичные, теперь составляет 6 млн рублей.

🔻По Дальневосточной и Арктической ипотеке с 6 до 9 млн рублей увеличен предельный размер кредита.

❓Зачем это сделали?

Глава Центробанка Нибиуллина не раз обращала внимание на слишком доступную ипотеку. Это провело к разгону цен на новостройки. В результате льготная ипотека из меры социальной поддержки превратилась в один из локомотивов, разгоняющих инфляцию. Предпринятые правительством меры должны снизить спрос на ипотеку в новостройках примерно на треть. А следом начнет снижаться и цена. Но не сразу.

❓Когда изменения вступят в силу?

Через 7 дней после даты опубликования. Получается, что с 23 декабря.

https://www.kp.ru/daily/27595.5/4867183/?from=smm

Источник: тг-канал truekpru
#ипотека #недвижимость #кредит",6
8272496,-15722194,1702721704,"🥚 Яйца достигли своей справедливой цены? Как производители объясняют подорожание и что будет дальше

Яйца только за ноябрь, по данным Росстата, подорожали на 15%. А с начала года — уже больше чем на 40%. Это в пять с лишним раз больше средней инфляции по стране. При этом Минсельхоз уверяет, что за последние 10 месяцев производство яиц у нас в сравнении с прошлым годом увеличилось на 2,3%. Откуда же тогда проблемы?

Производители уверяют, что яйцо сейчас ""достигает своей справедливой цены"". Потому что с 2014 года яйца подорожали всего в два раза, а другие продукты — в три и даже четыре. Еще, как водится, обвиняют торговлю и жалуются на резкий рост расходов. Ну, и птичий грипп конечно. Только в первом полугодии в стране уничтожили около 5 млн кур (1% поголовья):
https://www.kp.ru/daily/27595.5/4867104/?from=smm

Источник: тг-канал truekpru
#яйца #цены #производители",26
8272222,-15722194,1702713604,"Совет директоров Банка России принял решение повысить ключевую ставку до 16% – это пятое повышение за последние полгода. Ряд российских банков мгновенно отреагировал на изменения и сделал условия по депозитам еще более привлекательными.

На сегодня инфляция составляет почти 8%, а доходность депозитов от 11 до 16%. То есть в реальном исчислении депозиты приносят 5-6% годовых, утверждают эксперты.

❓А как вы защищаете ваши сбережения от инфляции?

https://www.kp.ru/daily/27595.5/4866796/?from=smm

Подробнее в нашем Телеграм-канале: truekpru
#ключевая_ставка #инфляция #банки",5
8271329,-15722194,1702661449,Набиуллина: основная задача Центробанка на 2024 год - вернуть инфляцию к 4%,13
8270697,-15722194,1702644262,"🏦 Глава ЦБ Эльвира Набиуллина сделала несколько заявлений на фоне повышения ключевой ставки до 16%:

🔺 Пока Центробанк не увидит устойчивой тенденции на замедление инфляции, ставка будет оставаться высокой;

🔺 Мы близки к завершению цикла повышения ставки, но дальнейшие решения будут зависеть от поступающих данных;

🔺 Экономика РФ не успевает за спросом, без повышения ключевой ставки ЦБ был бы эффект перегретого двигателя автомобиля;

🔺Риски отклонения инфляции в 2024 году вверх от прогнозного диапазона высоки;

🔺 ЦБ не ожидает рецессии в экономике РФ в 2024 году;

🔺 Безадресную программу льготной ипотеки надо завершать, программу семейной ипотеки можно продлить с уточнением параметров;

🔺 Выдача рыночной ипотеки в РФ замедлилась, но по льготным кредитам продолжается рост, их доля в ноябре достигла 80%.

Подробнее в нашем Телеграм-канале: truekpru
#Эльвира_Набиуллина #ЦБ #ключевая_ставка",11
8267775,-15722194,1702557216,"Заявление Владимира Путина о блогерах:

💬 Государство не должно мешать развитию блогосферы, но и там надо соблюдать этику, мораль и самоограничения. Блогосфера максимально демократизирована, если государство мешает в чем-то — готовы поправить.

Другие заявления президента:

🔻Авиационные пассажирские перевозки в РФ выросли на 16,4%;

🔻Внутренний туризм в России развивается хорошими темпами;

🔻Путин рассчитывает, что грядущая индексация пенсий на 7,5% окажется не ниже инфляции;

🔻Что касается миропорядка, основанного на правилах — нет никаких правил, они меняются каждый день;

🔻Путин назвал беспрецедентным уровень сотрудничества России с Китаем — товарооборот в этом году превысит $200 млрд;

🔻Видим попытки Запада переключить деятельность НАТО на Азию, создать блоки;

🔻РФ готова взаимодействовать с Францией, но это Макрон прекратил отношения.

Подробнее в нашем Телеграм-канале truekpru
#Путин #итоги_года #пресс_конференция",3
8251395,-15722194,1702018817,"Все же прекрасно понимают, от чего в провинциальных школах катастрофический недобор учителей, почему они перегружены работой, почему они быстро перегорают — а отсюда и конфликты с учениками и родителями.

Думаете, тут помогут уроки труда? Запрет телефонов? Простое резкое повышение зарплаты педагогам (не надо пугаться слова «резкое» — идет речь о зарплатах в 30 — 40 тысяч рублей) произведут волшебный эффект. Это на время притормозит пожирание учительских денег инфляцией, остановит бегство специалистов, и даже — затеплится интерес молодежи пойти в школу…

Но мы привыкли решать проблемы ни к чему не обязывающими казну законами. Это как помочь нищему книгой о вкусной и здоровой пище. Школе уже давно должен помогать Минфин, хитроумно прячущийся за ностальгическими речами «о молотках и борще». Подробнее — в материале спецкора KP.RU Владимира Ворсобина:
https://www.kp.ru/daily/27591/4863066/?from=smm

#школа #образование #урок_труда",22
8245601,-15722194,1701866403,"🍾 Выдыхаем, отечественное шампанское к Новому году не подорожает

За год отечественное шампанское подорожало в среднем на 6,25% до 465,6 рублей за литр. Такие данные приводит ассоциация Руспродсоюз. По нынешним временам — как-то даже слишком терпимо, ниже уровня инфляции, который в годовом измерении по итогам ноября оценивался в 7% с лишним. Но это еще без учета предпраздничной новогодней торговли.

💬 Перед Новым годом цены на главный новогодний напиток вряд ли вырастут, — заявил зампред правления Руспродсоюза Дмитрий Леонов, — в декабре шампанского традиционно продается в разы больше, чем в любой другой месяц. Бизнес зарабатывает на объемах продаж.

https://www.kp.ru/daily/27590/4861534/?from=smm

Источник: тг-канал truekpru
#шампанское #новый_год",6
8244726,-15722194,1701844802,"Закат капитализма, нейросетей и эпидемия ожирения: Saxo Bank опубликовал «шокирующие предсказания» на 2024 год

Обычно датчане стараются разглядеть не вполне очевидные тенденции, значение которых эксперты недооценивают, но которые, тем не менее, способны изменить привычную картину мира. И часто банкиры попадают в точку.

🔻Они, например, предрекли поражение Трампа на выборах в США в 2020-м году.
🔻Гонку вооружений и новый виток холодной войны в 2022-м.
🔻В прошлом году Saxo Bank прогнозировал резкое подорожание золота из-за инфляции и геополитической нестабильности. И цены на этот драгметалл, действительно, достигли в этом декабре своего исторического максимума.

Так что у нас есть все основания прислушаться к прогнозу Saxo Bank на 2024 год. А прогноз, надо сказать, не слишком оптимистичный:
https://www.kp.ru/daily/27590/4861803/?from=smm

#прогноз #нейроеть #эпидемия_ожирения #нефть",6
8244386,-15722194,1701828005,"В России резко выросло число людей с зарплатами от миллиона рублей: где столько платят 
 
Сегодня такими доходами могут похвастать 24,4 тыс. россиян. За 2 года число подобных ""миллионеров"" увеличилось на 43%, подсчитали аналитики FinExpertiza на основе данных Росстата. Главная причина такого положения вещей – дефицит кадров. Безработица в стране на историческом минимуме, рабочих рук не хватает, и компании вынуждены повышать зарплаты. Но, во-первых, речь идет о зарплатах до вычета подоходного налога. Во-вторых, эксперты напоминают, что немалую долю роста доходов откусывает инфляция. 
 
Больше половины всех российских ""работников-миллионеров"" живут в Москве (удивили?). В столице такие зарплаты имеют 14,7 тыс. человек - то есть почти 0,5% занятых, или каждый двухсотый. Если брать по отраслям, то больше всего ""миллионеров"" работают в торговле - 4,3 тысячи человек. Затем идут обрабатывающая промышленность, а также страхование и финансы. А меньше всего миллионеров – в ЖКХ. 

https://www.kp.ru/daily/27590/4861641/?from=smm

Источник: тг-канал truekpru
#миллионеры #зарплата #вакансии #работа #деньги",10
8235600,-15722194,1701493205,"Больше всего жители России боятся тяжело заболеть перед Новым Годом

Аналитический центр НАФИ провел исследование и выяснил, чего опасаются россияне на фоне приближающегося Нового года. О наличии опасений разного рода рассказали 93% участников проведенного опроса. Ничего не боятся лишь 7% жителей страны. (Выбирать можно было несколько вариантов, поэтому сумма голосов более 100%)

Вот чего больше всего боятся жители России:

▪️Тяжело заболеть – 30%
▪️Инфляции и роста цен – 27%
▪️Страхи, связанные с детьми – 26%
▪️Снижения уровня доходов – 23%
▪️Терактов – 19%
▪️Начала новой волны пандемии – 18%
▪️Катаклизмов (наводнений, ураганов, землетрясений, природных пожаров) – 14%
▪️Мошенников – 13%

Источник: тг-канал truekpru
Фото: кадр из фильма ""Один дома""
#страх #новый_год #здоровье",7
8227599,-15722194,1701189619,"Как вернуть деньги, украденные телефонными мошенниками и компенсировать инфляцию?

Верховный суд подготовил очередной обзор судебной практики по делам о правах потребителей в 2022–2023 годах. В нем разобраны и характерные ситуации, про которые гражданам из каждого утюга рассказывают, что не надо и пытаться защитить свои права — сами виноваты.

Но оказывается, все не совсем так… Подробнее — в материале обозревателя KP.RU Елены Аракелян:
https://www.kp.ru/daily/27586/4857687/?from=smm

#судебная_практика #верховный_суд #права_потребителей
Фото: PHOTOXPRESS",5
8219398,-15722194,1700881203,"Хлеб и булочки из пшеничной муки за год (то есть в сравнении с прошлым ноябрем) подорожали на 5%. Ржаной хлеб — на 5,7%, сообщили в Руспродсоюзе. Цифры по нынешним временам очень даже скромные. Они ниже инфляции, которой, по подсчетам Росстата, за год уже набежало больше 7%.

Но почему он дорожает, ведь у нас второй год выдающиеся урожаи? А все потому, что не пшеницей едины. По данным Зернового союза, доля собственно зерна в стоимости каждой булки сейчас всего от 12% до 23%.

💬 Рост цен на хлеб произошел из-за составляющих себестоимости: логистики, роста заработных плат, удорожания сервисного обслуживания оборудования и запчастей, — объясняют в Руспродсоюзе.

И приводят пару примеров. В частности, с начала года:

🔺тарифы транспортных компаний выросли на 35%;
🔺расходы на персонал подскочили на 25 — 30% (людей не хватает, поэтому приходится поднимать зарплаты).

А вы заметили подорожание❓

https://www.kp.ru/daily/27585/4856016/?from=smm

#хлеб #рост_цен #урожай",29
8209711,-15722194,1700556007,"В конце октября Центробанк снова повысил ключевую ставку. С августа она выросла вдвое и достигла 15% годовых. Сейчас идеальное время, чтобы копить.

В пользу размещения денег на срочных депозитах в банках говорит и тот факт, что цель ЦБ осталась неизменной. В регуляторе хотят во что бы то ни стало снизить инфляцию и довести ее до 4% уже в 2024 году. А это значит, что вклады, открытые сейчас, в ближайший год могут принести очень хороший доход.

Рассказываем, в чем именно выгоднее всего держать свободные деньги: https://www.kp.ru/putevoditel/spetsproekty/my-money/",7
8198916,-15722194,1700129699,"Набиуллина: ЦБ готов снижать ключевую ставку, когда инфляция приблизится к 4%

Об этом председатель Центробанка Эльвира Набиуллина заявила в ходе выступления в Госдуме. Она отметила, что некоторое время ключевая ставка будет оставаться на высоком уровне, чтобы ""затормозить маховик инфляции"". Она отметила, что такая стратегия — залог нормального и стабильного развития российской экономики в будущем.

💬 Наш базовый сценарий показывает, что в следующем году мы вернем инфляцию к цели в 4% и соответственно сможем начать снижать ставку.

https://www.kp.ru/online/news/5546900/?from=smm

Фото: REUTERS
#цб #ключевая_ставка #инфляция",20
8198883,-15722194,1700128786,"Набиуллина: ЦБ готов снижать ключевую ставку, когда инфляция приблизится к 4%",1
