id,owner_id,post_time,post_text,comments.count
19508041,-24199209,1675193400,"Кто получит прибавку к пенсии в 2023 году. 
 
Президент РФ Владимир Путин дал поручение Правительству РФ увеличить пенсионные выплаты. Кого это затронет? 
 
На 2023 год запланировано несколько повышений для разных видов пенсий. В дополнение к произошедшей с 1 января 2023 года индексации страховых пенсий для неработающих пенсионеров на 4,8% президент России поручил правительству срочно начать работу по новой индексации прожиточного минимума, а это напрямую влияет на размер пенсий, увеличение которых запланировано на 1 июня 2023 года. Эксперты обратили внимание, что президент сделал акцент на росте, который должен опережать инфляцию. 
 
— В прошлые годы индексация пенсий не опережала, а догоняла инфляцию, поэтому пенсионеры получали повышение положенных им выплат только на следующий год, — поясняет финансовый аналитик инвестиционной компании ""Регион"" Михаил Киселёв. — С реализацией нового подхода доходы пенсионеров должны возрасти на процент, не меньший уровня инфляции на дату повышения. 
 
Согласно заявлениям Правительства РФ, на новые пенсии и соцвыплаты уже направлено почти 1,5 трлн рублей. 
 
Какие выплаты ждут работающих пенсионеров 
 
Январское повышение выплат не коснулось тех пенсионеров, которые продолжают свою трудовую деятельность. Однако некоторым из них перерасчёт всё же положен. 
 
Во-первых, повышенная сумма причитается тем, кто решит прекратить трудовую деятельность после 1 августа. Согласно закону, этим гражданам положен перерасчёт. Новую сумму определят пенсионные коэффициенты за предыдущий год, а максимальная прибавка может составить до трёх пенсионных баллов. 
 
Помимо права на индексацию пенсионер должен получить все дополнительные социальные выплаты, которые полагаются неработающим: социальную доплату до регионального прожиточного минимума и региональные компенсации, которые назначаются в зависимости от дохода получателя (субсидии на оплату ЖКУ, компенсация проезда в транспорте, адресная социальная помощь одиноким пенсионерам и т.д.). 
 
Во-вторых, президент Владимир Путин поручил правительству до 15 апреля рассмотреть вопрос об индексации страховых пенсий работающим людям, имеющим инвалидность. 
 
В поддержку данной идеи в Госдуму внесён законопроект о механизме индексации выплат всем работающим инвалидам, получающим пособия. Согласно законодательной инициативе, таких пенсионеров предлагается освободить от уплаты страховых взносов. По замыслу депутатов, в случае принятия закона появится возможность индексировать пенсию для инвалидов одновременно с индексацией для неработающих пенсионеров. Для этого не потребуется вносить изменения в другие законодательные нормы. 
 
А вот для обычных пенсионеров, которые решили продолжить работу после оформления пенсии по возрасту, пока никакой индексации не предусмотрено. 
 
В 2016 году вступил в силу закон, который установил, что в общем порядке назначать индексацию к пенсии можно только неработающим пенсионерам. В текущем году депутаты Госдумы отклонили сразу пять предложений, которые предусматривали различные варианты возврата к такой индексации. 
 
— Госчиновники разных уровней неоднократно заявляли, что заботиться о доходах работающих пенсионеров должно не только государство, но и непосредственные работодатели этих граждан, которые платят им заработную плату, — напомнил ведущий финансовый эксперт компании ""Аналитика онлайн"" Глеб Задоя. — Скорее всего, это связано с невозможностью разом изыскать в бюджете значительные суммы, необходимые для всеобщей индексации. 
 
Для справки: согласно данным Росстата, на начало 2023 года в России проживало 8 млн официально работающих пенсионеров. Сколько граждан, получающих пенсию, трудится без законного оформления отношений, неизвестно. По подсчётам Правительства РФ, для индексации пенсий для учтённых работающих пенсионеров на уровень инфляции в 2023 году дополнительно потребовалось бы 538 млрд рублей, которые не предусмотрены бюджетом. 
 
Автор: Максим Греков",1
19495492,-24199209,1674761100,"Резко упало число сделок с недвижимостью: к чему надо приготовиться продавцам и покупателям. 
 
Сразу в нескольких сегментах недвижимости просел спрос. Что изменилось на рынке, когда лучше выходить на сделку и как новые тренды скажутся на стоимости квартир и домов. 
 
Что изменилось на рынке первичной и вторичной недвижимости в январе 
 
В январе спрос на вторичное жильё обычно всегда низкий. Это соответствует факту сезонности. В первый месяц года, как правило, всегда мало сделок. Впрочем, сейчас развивается необычная ситуация. Увеличение спроса не ожидается и в феврале. 
 
— В ближайшие месяцы мы также не ждём всплеска спроса. Для этого попросту отсутствуют предпосылки. Покупательский интерес во вторичном сегменте поддерживается грамотной дисконтной политикой собственников-продавцов. Абсолютное большинство предоставляет скидки, плюс снизилась базовая стоимость объектов, по которой они выставляются на продажу, — рассказал директор направления ""Вторичный рынок"" ""ИНКОМ-Недвижимости"" Сергей Шлома. 
 
Он добавил, что в целом по итогам 2022 года фактическая цена продажи уменьшилась на 20% и в дальнейшем она продолжит снижение. Совершенно спокойно и безболезненно цена на вторичном рынке может опуститься на 10–15%, с учётом того что за 2020–2021 годы она была перегрета на 30–35%. 
 
— У всех участников рынка сегодня есть понимание, что стоимость вторичного жилья будет снижаться, поэтому продавцы стараются не затягивать сделки. Для продавца на падающем рынке ожидание противопоказано. Нужно следовать правилу: кто раньше реализовал, тот и в выигрыше. Мы отмечаем, что увеличилось количество свободных продаж: человек предпочитает поскорее получить деньги за свой объект и повременить с покупкой новой квартиры — возможно, позже удастся совершить более выгодную сделку, — добавил Сергей Шлома. 
 
Волатильность ипотечных ставок, замедление ввода нового жилья и, конечно, не слишком стабильная международная обстановка, разумеется, сказываются на рынке недвижимости в целом. Это касается как новостроек, так и вторички. Об этом рассказал сооснователь, председатель совета директоров Mr.Doors Максим Валецкий. 
 
— Производители мебели напрямую зависят от рынка недвижимости, и мы обсуждаем стресс-сценарии на текущий год, учитывающие замедление продаж в этом секторе. По результатам 2022 года мы наблюдали очевидную стагнацию в заказах меблировки жилых помещений, однако в противовес ей возрастал спрос на мебель для нежилых пространств (офисов, бизнес-центров). Отмечу, однако, что при проседании рынка недвижимости в целом мы фиксируем увеличение суммы чека. Растёт количество так называемых премиальных заказов в первую очередь за счёт ухода некоторых международных игроков. Если говорить о росте цен в 2023 году, то пока прогнозируем порядка 10–15% по отношению к прошлому году на меблировку апартаментов базовым комплектом изделий, — добавил Максим Валецкий. 
 
Продавцам однозначно надо менять подходы в работе с клиентами. В частности, повышать ценность своего проекта для покупателя. Теперь у девелоперов вырастет конкуренция и нужно будет более тщательно подходить к изучению потребностей своих клиентов. Так описала ситуацию генеральный директор Key Capital Ольга Гусева. 
 
— Спрос за последний календарный год просел достаточно пропорционально во всех сегментах в среднем на 40–50%. В ближайшей перспективе каких-то серьёзных предпосылок к восстановлению спроса не видно. К примеру, после исчезновения с рынка в начале весны выгодных ипотечных программ мы наблюдали крайне драматичное обрушение спроса. Некоторому восстановлению способствовало появление новых субсидированных программ от застройщиков, включая ипотечные продукты с беспрецедентно низкими годовыми ставками — ниже 1%. Однако даже такие предложения не смогли восстановить спрос до уровня 2021 года, — рассказала управляющий партнёр компании Nordhus Ольга Магилина. 
 
По её словам, цены на новостройки начиная с сентября 2022 года впервые с 2008-го несколько корректируются в сторону снижения. Но переоценивать этот тренд тоже не нужно. Падение средних значений по рынку не превышает 1–1,5% в месяц и только в октябре 2022-го оказалось немного выше. Зато начиная с Нового года средние цены снова снижаются очень медленно — меньше чем на 0,5% в январе. Дальнейшее снижение возможно, но высоких темпов ждать опять же не стоит. А ещё следует учитывать крайне высокую вероятность серьёзной инфляции в 2023 году. 
 
Как меняются цены на загородные дома 
 
Если спрос на квартиры упал, то на строительство быстровозводимых домов вырос. С января месяца наблюдается повышение интереса покупателей в этом сегменте. Он повысился примерно на 15%. Об этом рассказал директор по продажам строительной компании HalleHouse Вячеслав Котлов. 
 
— Причём если в 2022-м мы наблюдали интерес только к объектам B2B, то в январе оживился и спрос на ИЖС. Появляются запросы на новые проекты, а также запускаются строительные площадки, где ранее были остановлены работы. Всё это говорит о том, что рынок ИЖС просыпается после затяжного сна и общество начинает видеть стабильность. На этом этапе подъёма рынка я рекомендовал бы начать строительство. В дальнейшем цены могут вырасти до 30–40%, если речь идёт об объектах элитной недвижимости с высокой долей импортных материалов и инженерии, — добавил Вячеслав Котлов. 
 
Владелец строительной компании ""Дом Лазовского"" Максим Лазовский на данный момент не видит падения спроса в сегменте домов стандартного класса из газобетона. Интерес покупателей к таким объектам падал до 50–80% по сравнению с 2021 годом, но это было ещё в 2022-м. Декабрь показал незначительную активизацию спроса во многом за счёт снижения стоимости ИЖС на 5–10% и новогодних акций. 
 
— В праздничные дни января мы фиксировали активизацию покупателей. Особенно в сегменте участков и домов в 80–90 километрах от МКАД стоимостью до 6 000 000 рублей. В середине января активность начала спадать, но мы связываем это скорее с выходом людей на работу и их адаптацией к трудовому ритму жизни. Далее мы ожидаем сохранения текущего уровня цен с незначительным дисконтированием в зависимости от объекта. До начала марта. Затем начнётся высокий строительный сезон, поэтому цены начнут расти. Пропорционально стоимости рабочей силы (сейчас на рынке низкая конкуренция, зимой строят мало, поэтому и стоимость работ ниже), — добавил Максим Лазовский. 
 
Именно поэтому в случае с ИЖС он рекомендует начать строительство сейчас. Во-первых, зимой строить можно. Но готовы это делать только настоящие профессионалы с соответствующими компетенциями. Во-вторых, это дешевле. В-третьих, гарантированно можно успеть построиться в один строительный сезон (до конца года), а при выборе быстровозводимого дома ещё и провести в нём часть лета. 
 
Автор: Нина Важдаева",0
19482240,-24199209,1674361627,Итальянцы потеряли более 40 млрд евро накоплений из-за инфляции и дорогой энергии https://life.ru/p/1553498,11
19472372,-24199209,1674036064,"На февраль намечены несколько событий в России и в мире, которые могут значительно повлиять на курсы валют. Какие даты станут важнейшими для экономики, что это значит для рубля и ждать ли россиянам инфляции, рассказывает Лайф: https://life.ru/p/1552484",0
19468699,-24199209,1673895604,"С 1 февраля повысят социальные выплаты: Сколько составит прибавка.

С 1 февраля проиндексируют целый ряд социальных выплат. Что ждёт получателей, кого затронет прибавка и сколько она составит?

С 1 января этого года появилось достаточно много новшеств в социальной сфере. В частности, начал работать Социальный фонд России. Он объединил в себе два ведомства: ПФР и ФСС. Кроме того, вместо привычных выплат на детей и для беременных женщин появилось одно универсальное пособие. Оно заменяет шесть существовавших ранее выплат. Назначать пособие будут исходя из принципа нуждаемости. Оно положено семьям, уровень дохода в которых на каждого человека не превышает прожиточного минимума.

— При этом государственные органы будут устанавливать размер пособия в размере 50%, 75% и 100% от прожиточного минимума в зависимости от доходов получателей. Если в семье несколько детей, то выплату будут делать на каждого из них. Также помимо доходов будет учитываться имущество, которым владеет семья. Если оно превышает установленные минимумы, пособие назначаться не будет, — рассказал старший управляющий партнёр юридической компании PG Partners Петр Гусятников.

Например, если семья не многодетная, чтобы получать пособие, ей нельзя иметь два автомобиля. Любой семье независимо от количества детей нельзя иметь автомобиль моложе пяти лет и мощностью более 250 л.с. и т.д. Для кого-то такой подход будет менее выгоден, для кого-то более.

— Так, исходя из новых правил, неработающие женщины в каких-то случаях смогут получать больше, чем фиксированное пособие на ребёнка до полутора лет, которое полагалось им до нововведений. Сейчас на первый план будет выходить более персонифицированный подход, помощь будет оказываться более адресно. Для тех, кто не хочет сразу переходить на новую систему получения выплат, предусмотрен переходный период. В 2023 году те, кто имеет детей, рождённых до 31 декабря 2022 года, смогут обратиться за назначением пособия по старым правилам, — добавил Петр Гусятников.

Часть социальных выплат уже проиндексировали с 1 января: в частности, повысили пенсии неработающим пенсионерам. Следующая индексация будет 1 февраля. На сегодняшний день точный размер индексации федеральных социальных выплат официально не установлен. Тем не менее Минтруд РФ сообщил, что намерен с 1 февраля на 11,9% проиндексировать более 40 различных выплат, пособий и компенсаций. Соответствующий проект постановления выставлен на общественное обсуждение. Индексация коснётся, в частности, единовременного пособия при рождении ребёнка, материнского капитала, ежемесячного пособия по уходу за ребёнком, ежемесячной выплаты ветеранам, страховой выплаты. Кроме того, размер маткапитала на первого ребёнка достигнет 587 тысяч рублей, на второго — 775,6 тысячи.

Все социальные выплаты, индексация которых зависит от уровня инфляции, должны будут быть проиндексированы на установленный процент. Такое пояснение сделала юрист по экспертным заключениям ""Европейской юридической службы"" Ирина Белова.

По её словам, региональные и муниципальные выплаты будут индексироваться в соответствии с соответствующим муниципальным и региональным бюджетом, субъекты РФ и муниципалитеты самостоятельно утвердят дату и размер индексации.

Юрист отметила некоторые нюансы, которые будут связаны с новым единым пособием. Те, кто уже получает соответствующие пособия и выплаты, вправе продолжить получать их до истечения в 2023 году срока их назначения, а затем перейти на новое пособие.

— Отметим, что новое пособие не подлежит индексации с 1 февраля 2023 года, так как оно не зависит от уровня инфляции, его размер рассчитывается из установленной соответствующей величины прожиточного минимума, — добавила Ирина Белова.

Автор: Нина Важдаева",18
19455922,-24199209,1673380805,"Вырастут социальные выплаты работникам: Кто получит больше и на сколько.

В правительстве анонсировали новое повышение социальных выплат медикам. При этом прибавка ждёт и работников ряда других специальностей. Какие выплаты вырастут и на сколько?

Правительство установило специальные выплаты для медиков. Они касаются работников дефицитных специальностей. Новые специальные выплаты для медиков затронут примерно 1,1 миллиона человек. Об этом рассказал премьер-министр Михаил Мишустин.

Выплачивать деньги начнут с 1 января 2023 года. Они положены медикам таких дефицитных специальностей, как врачи и специалисты первичного звена здравоохранения, сотрудники скорой помощи, ‍медики, работающие в сельской местности и отдалённых районах. Дополнительные начисления положены также экспертам, которые занимаются проведением сложных исследований. В частности, диагностикой онкологических заболеваний.

Суммы доплат составят от 4,5 до 18,5 тысячи рублей в месяц. На реализацию программы выделено более 152 миллиардов рублей.

— Кроме того, в этом году повысят зарплату бюджетникам в целом. Причём прибавку могут сделать несколько раз в год. Уже подписано постановление правительства о выделении средств на повышение зарплат отдельным категориям работников. Это затронет, например, сотрудников федеральных государственных научных учреждений. Повысят зарплаты научным сотрудникам в регионах, — рассказала ведущий юрист Европейской юридической службы Оксана Красовская.

Она добавила, что также выделены деньги на получение дополнительных выплат медицинским работникам, которые выявили онкологические заболевания в ходе проведения диспансеризации и профилактических медицинских осмотров населения. Если диагноз заболевания, который был обнаружен во время диспансеризации или профосмотра, подтверждается, то за каждый такой случай медицинской организации из фонда ОМС направляется дополнительное финансирование. Затем уже организация выплачивает деньги сотрудникам.

По словам юриста Елены Кузнецовой, прибавка к зарплате у бюджетников составит не менее 8%. При этом индексировать оклады обязаны не только государственные предприятия, но и коммерческие компании. Прибавку должны делать с учётом роста инфляции и потребительских цен. Об этом говорится в ст. 130, ст. 134 ТК РФ.

Автор: Нина Важдаева",4
19418379,-24199209,1671912007,"С 1 января увеличат доплаты к пенсии: Кому сделают прибавку, в каком размере и как её получить.

С 1 января повысят пенсии и ряд социальных доплат. При этом размер прибавки будет разным. Зависит он, в частности, от региона проживания пенсионера. На сколько вырастут выплаты и кто получит больше?

С 1 января 2023 года в России заработает новый Фонд пенсионного и социального страхования. Его образуют путём слияния ПФР и ФСС. Предполагается, что средства, которые освободятся после оптимизации расходов, потратят на повышение пенсий. Об этом рассказала юрист ""Европейской юридической службы"" Екатерина Туслякова.

Она пояснила, что по новым правилам территориальные органы Фонда пенсионного и социального страхования получат доступ к Единому государственному реестру записей актов гражданского состояния, Единой государственной информационной системе социального обеспечения и Единому федеральному регистру.

Таким образом, людям не придётся собирать справки, чтобы подтвердить периоды, засчитываемые в страховой стаж, до того как они зарегистрировались в качестве застрахованного лица. С появлением объединённого фонда появится возможность обслуживания в единых клиентских центрах. Максимально проще станет система подачи заявлений, отдельные государственные услуги будут предоставлять в беззаявительном порядке.

С 1 января страховую пенсию по старости для неработающих пенсионеров увеличат на 4,8%. В итоге её средний размер к концу 2023 года составит 21 862 рубля. Именно такие показатели заложены в бюджете объединённого фонда.

Кстати, в России установлено несколько этапов индексации разных пенсий и пособий. Например, с 1 января индексируют страховые пенсии с учётом инфляции за прошедший год; с 1 февраля — ежемесячные денежные выплаты всем получателям, кому они положены; с 1 апреля — социальные пенсии; с 1 августа — пенсии тем, кто работал в прошедшем году и за кого уплачивались страховые взносы.
— Кроме того, в Госдуму внесён законопроект, направленный на поддержку работающих пенсионеров и улучшение их материального положения. Как следует из пояснительной записки, ежегодный перерасчёт страховой пенсии и доли страховой пенсии по старости работающим пенсионерам даёт увеличение размера страховой пенсии максимум на три балла за год. Для сравнения: при обычном исчислении индивидуального пенсионного коэффициента максимум составляет 10 баллов. При этом тариф страховых взносов на обязательное пенсионное страхование, уплачиваемых работодателями за работающих застрахованных лиц, одинаков как для работающих пенсионеров, так и для застрахованных лиц, не являющихся пенсионерами, — рассказала Екатерина Туслякова.

Она добавила, что инициаторы законопроекта предлагают дополнить Налоговый кодекс положениями о праве на получение пенсионерами, которые работают или осуществляют иную деятельность, пенсионного социального налогового возврата.

Составляет он 50% суммы налога на доходы физических лиц, исчисленного, удержанного и перечисленного налоговым агентом в бюджет в отношении пенсионера за налоговый период. Впрочем, предусматривается и ограничение — не более 25 000 рублей.

— Получить возврат можно по окончании налогового периода. Для этого нужно написать заявление в налоговый орган по месту учёта налогоплательщика. Там нужно указать сведения о фактически полученных доходах. Налоговый орган обязан рассмотреть заявление за 10 дней и перечислить деньги на указанный пенсионером счёт в банке в течение месяца со дня получения заявления. При нарушении срока выплаты на просроченную сумму возврата начисляются проценты в размере ставки рефинансирования Банка России. Если законопроект будет принят, то поправки вступят в силу с 1 января 2023 года, — пояснила Екатерина Туслякова.

В конце декабря в регионах уже начали объявлять о размерах местных доплат пенсионерам. Дело в том, что 4,8% — это индексация пенсий на федеральном уровне. При этом местные власти могут увеличить выплаты пенсионерам по собственной инициативе. Например, в Москве с 1 января социальные выплаты проиндексируют на 10%. В результате минимальный размер пенсии с городской доплатой вырастет до 23 313 рублей.

— Кроме того, с 1 января 2023 года вырастет минимальный размер оплаты труда. Он составит 16 242 рубля в месяц. Таким образом, сумма прибавки будет 6,3%. Это скажется на доходах многих работающих пенсионеров, так как именно они нередко устраиваются на работу с минимальным размером оплаты труда, — рассказала юрист Елена Кузнецова.

Она добавила, что с 1 января индексации пенсии работающим пенсионерам не будет. Тем не менее они могут рассчитывать на прибавку в том случае, если уволятся с работы.

— Работающие пожилые люди получают страховую пенсию и фиксированную выплату к ней без учёта плановых индексаций. Эта норма закона распространяется только на получателей страховых пенсий. Под неё не подпадают получатели пенсий по государственному пенсионному обеспечению, включая социальные пенсии. Когда человек увольняется с работы, то ему положена индексация выплат. Делают её с первого числа месяца, который следует за увольнением, — пояснили в ПФР.

В то же время нужно понимать механизм проведения перерасчёта пенсии уволившегося пенсионера. Допустим, человек перестал работать в августе. В сентябре в ПФР поступила отчётность от работодателя за август. Там пенсионер ещё числился работающим. В октябре фонд получил отчётность за сентябрь. Там пенсионер работающим уже не числился.

Соответственно, в ноябре ПФР принял решение о возобновлении индексации, а в декабре пенсионер получил уже полный размер пенсии. Более того, ему выплатили денежную разницу между прежним и новым размером пенсии за предыдущие три месяца — сентябрь, октябрь, ноябрь. Таким образом, проиндексированные суммы начнут выплачивать через три месяца после увольнения, но эти три месяца будут компенсированы.

С 1 января таким пенсионерам уже будет положена индексация как неработающим. При этом, если пожилой человек захочет снова устроиться на работу, допустим, в феврале, то размер его страховой пенсии уже не уменьшится.

Автор: Нина Важдаева",79
19395485,-24199209,1671134405,"На что можно потратить материнский капитал в 2023 году.

Какие выплаты будут положены по программе маткапитала, каковы новые условия и возможности для применения детских денег.

В России объявлено об индексации в следующем году материнского (семейного) капитала на уровень фактической инфляции. Кроме того, помимо повышения размера госвыплат расширен перечень случаев, при которых материнский капитал может быть использован.

Размер маткапитала в 2023-м

Согласно цифрам, которые заложены в бюджете Фонда пенсионного и социального страхования, в следующем году начисление маткапитала будет вестись по следующей шкале:

на первого ребёнка (дата рождения с 01.01.2020) — 589 500 рублей;

на второго ребёнка (если маткапитал на первого ребёнка ещё не выплачивался) — 779 000 рублей;

на второго ребёнка (если маткапитал на первого ребёнка уже получен) — 189 500 рублей;

на третьего или последующего ребёнка (если маткапитал не назначался) — 779 000 рублей.

При этом на материнский капитал имеют право: женщины, родившие или усыновившие второго или третьего ребёнка с 1 января 2007 года; женщины, родившие или усыновившие первого ребёнка с 1 января 2020 года; мужчины — единственные усыновители второго и третьего ребёнка после 1 января 2007 года; мужчины, которые в одиночку усыновили первого ребёнка после 1 января 2020 года; отцы, оставшиеся единственным родителем ребёнка, рождённого после 1 января 2007 года.

Как получить маткапитал

Материнский, или семейный капитал (МСК), — это деньги, которые государство выделяет по специальной программе для семей с маленькими детьми, чтобы стимулировать рост населения.

Право на материнский капитал подтверждается сертификатом. Полномочиями на его выдачу начиная с 2023 года наделён единый Фонд пенсионного и социального страхования (ФПСС). Сведения о рождении или усыновлении ребёнка поступят в фонд из загса автоматически, поэтому обращаться с заявлением на оформление документа о маткапитале не требуется. Данные об оформлении сертификата можно найти на ""Госуслугах"" в личном кабинете родителей либо в ФПСС.

Помимо материнского капитала, который выплачивается по федеральной программе, в ряде регионов дополнительно существуют их собственные программы. Но они действуют только на территории конкретного субъекта и на тех условиях, которые установлены нормативным актом региона. На сегодня регионального маткапитала нет в Москве, Московской, Астраханской, Новгородской, Пензенской, Омской областях, Пермском и Ставропольском краях, Крыму, Северной Осетии и Чеченской Республике.

Куда потратить материнский капитал в 2023 году

По закону просто так получить материнский капитал наличными нельзя, но средства маткапитала можно использовать для:

полной или частичной оплаты покупки квартиры или дома за свои деньги или в ипотеку;

реконструкции или строительства дома, при этом допускается, чтобы строения были возведены как на землях для индивидуального жилищного строительства, так и на садовом участке, но помещение должно иметь статус жилого дома и быть пригодным для постоянного проживания.

— Некоторые граждане считают, что маткапитал можно реализовать при покупке любой недвижимости, лишь бы в состав собственников был включён ребёнок, на имя которого выдан сертификат. Но такое мнение ошибочно, — пояснил заведующий Западной коллегией адвокатов города Москвы Александр Инютин. — На сегодня средствами материнского капитала нельзя оплачивать покупку апартаментов и земельного участка без жилого дома. Также маткапитал нельзя потратить на ремонт квартиры или покупку гаража.

А ещё закон позволяет использовать материнский капитал для оплаты образования ребёнка (как школьников, так и дошкольников); на оплату социальной реабилитации для детей с инвалидностью; на накопительную часть пенсии матери или ежемесячные выплаты на второго ребёнка до трёх лет.

Ряд региональных программ предусматривает возможность потратить средства маткапитала на приобретение автомобиля. Такие программы действуют, например, в Новосибирской, Тульской, Ленинградской, Ростовской и Самарской областях, в Камчатском крае и Республике Саха (Якутия). Но на федеральном уровне закон, позволяющий приобретать транспорт за счёт средств маткапитала, пока не принят, возможно, это произойдёт во второй половине 2023 года.

Как обналичить материнский капитал

В настоящее время возможность получить часть суммы из средств маткапитала в виде наличных есть только у семей, которые официально признаны нуждающимися. С 2023 года ежемесячная выплата пособия за счёт средств материнского капитала станет доступна на первого и последующих детей, если среднедушевой доход семьи не превышает двух прожиточных минимумов в регионе.

Закон определяет, что эта выплата будет дополнительной к основному пособию, которое назначается из бюджета, если доход семьи не превышает прожиточного минимума.

Для справки: за 10 месяцев 2022 года с заявлениями на выдачу части суммы маткапитала наличными обратилось 295 200 россиян.

Автор: Максим Греков

#купоннарандом",2
