id,owner_id,post_time,post_text,comments.count
20374532,-24199209,1704013206,"Канцлер ФРГ Олаф Шольц в своём новогоднем обращении назвал президента РФ Владимира Путина виновным в том, что у Германии начались проблемы с поставками газа.

""Как только коронавирус немного отступил, Россия начала конфликт в центре Европы. Вскоре после этого президент России перекрыл газовый кран, а осенью ХАМАС напало на Израиль"", — высказался Шольц, оправдывая этими событиями проблемы граждан.

По его словам, мир стал жестоким и стремительно меняющимся. Шольц уверен, что это беспокоит подавляющее большинство немцев. Однако, как заверил политик, Германия преодолела экономический кризис, победила инфляцию и заполнила газохранилища. Статистику канцлер приводить не стал.

По его мнению, сейчас европейцам нужно сплотиться, пока продолжается конфликт на Украине. Он упомянул, что будущий год может преподнести сюрпризы, ведь состоятся выборы президента США, результаты которых могут отразиться на ЕС. После этого обращения политик подвергся критике со стороны жителей ФРГ. Немцы напомнили Шольцу, что Берлин сам отказался от российского газа, а США подорвали ""Северные потоки"". Граждане также призвали канцлера уйти в отставку.",123
20373770,-24199209,1704000601,"Премьер-министр Риши Сунак в новогоднем обращении к британцам не счёл нужным упомянуть Украину. Документ опубликован на официальном сайте правительства страны, он сильно контрастирует с прошлогодним поздравлением политика, где говорилось о солидарности с Киевом.

В этот раз премьер Соединённого Королевства сконцентрировался на внутренних делах страны и планах на будущее. Он признал имеющиеся проблемы в здравоохранении и высокую стоимость жизни, отметил достижения правительства в сокращении инфляции вдвое, привлечении инвестиций в размере 60 миллиардов евро (75 миллиардах долларов) в Великобританию и крупнейшем снижении налогов для бизнеса в современной истории страны. Также политик выразил благодарность военным, медикам, учёным и новаторам и дал новогоднее обещание ""продолжать идти вперёд"".

""Мы должны смотреть вперёд, полные гордости и оптимизма за то, что мы можем сделать вместе, чтобы построить светлое будущее для всех. Это то, что я полон решимости сделать"", — завершил послание британский премьер, рейтинг которого достиг рекордно низкой оценки.",40
20351426,-24199209,1703613601,"С 1 января вырастут акцизы на бензин: как изменятся цены на АЗС. 
 
С 1 января 2024 года вступает в силу закон, согласно которому повышаются акцизные ставки на топливо. Какая ситуация сейчас складывается на рынке и сколько будет стоить бензин с 1 января. 
 
Оптовые цены на бензин в России в декабре немного снизились по сравнению с осенними месяцами. Это связано с сезонным понижением спроса и наличием запасов топлива в стране. Однако по сравнению с декабрём 2022 года цены выросли более чем на 6%, а на марки АИ-98 и выше — более чем на 10%. Об этом рассказал финансовый аналитик BitRiver Владислав Антонов. 
 
Он обратил внимание на то, что с 1 января 2024 года планируется повышение акцизных ставок на топливо на 5%, на 4% — в 2025 году и на 4% — в 2026-м. Это приведёт к удорожанию бензина примерно на 50–58 копеек. 
 
— Цены на топливо будут расти в пределах уровня инфляции в 2024 году. По прогнозам ЦБ, инфляция в 2023 году составит 7,5%. Значит, рост цен на бензин не должен существенно опережать этот показатель. За последние 10 лет в среднем цена на нефть дорожала в пределах 8% ежегодно. Скорее всего, стоимость топлива будет расти, но нестремительными темпами. Правительство приняло решение восстановить с 1 октября топливный демпфер в прежнем объёме, поэтому оптовые цены идут вниз, а розничные цены снижаются неохотно. Но и стремительного роста не наблюдается, — пояснил Владислав Антонов. 
 
Возобновление экспорта топлива из России также может оказать влияние на внутренние цены. Дело в том, что для нефтяных компаний экспортные поставки более выгодны. 
 
Таким образом, считает Владислав Антонов, с 1 января 2024 года следует ожидать некоторого повышения цен на бензин. Он будет связан в первую очередь с ростом акцизов. Однако резкий скачок цен вряд ли произойдёт. 
 
Как видно из графиков Санкт-Петербургской международной товарно-сырьевой биржи, где торгуются различные марки бензина и дизельного топлива, оптовая цена после снижения в декабре за последнюю неделю практически не изменилась. АИ-92 стоит 38 264 рубля за тонну, 95-й — 41 188, межсезонное ДТ — 52 562, зимнее ДТ — 64 239. 
 
— В рознице в регионах и столице бензин также подешевел, но надо признать, что чисто символически, буквально на копейки. Чего, к сожалению, не скажешь о зимнем дизельном топливе. Цена на него незначительно, но растёт. Связано это в первую очередь с сезонным фактором. На мой взгляд, цена на топливо в 2024 году будет плавно и незначительно расти в связи с увеличением налоговой нагрузки на АЗС начиная со второго квартала. В то же время я не ожидаю скачкообразных взлётов или падений. До марта цены на все виды топлива останутся на текущих уровнях, — считает руководитель направления ""Сопровождение"" ГК CMS Николай Переславский. 
 
Начиная со второго квартала 2024 года цена на бензин будет зависеть от нескольких факторов. Среди них — цена нефти на мировом рынке, цена бензина и ДТ на европейском рынке, техническое состояние нефтеперерабатывающих заводов и их возможность работать на проектных мощностях. 
 
По прогнозам Николая Переславского, во второй половине 2024 года цены на бензин и дизель прибавят от 8 до 10% в зависимости от марки и региона. 
 
Автор: Нина Важдаева",13
20341684,-24199209,1703527202,"С 1 января валюта начнёт входить в новый диапазон: на каком уровне будет курс рубля.

В конце декабря курс валют ведёт себя нетипично для этого времени. Каких трендов ждут на рынке с 1 января и сколько будет стоить рубль?

Обстановка на валютном рынке в этом году

Сейчас мы наблюдаем довольно умеренное ослабление рубля, учитывая негативное влияние сезонного фактора. Декабрь и январь — статистически самые неудачные месяцы для российской валюты. В конце года бюджетные траты на федеральном и региональном уровнях увеличиваются. Это вместе с предпраздничным всплеском потребительской активности повышает спрос на импорт, а значит, и на иностранную валюту. Так охарактеризовал обстановку на рынках эксперт по фондовому рынку компании ""БКС Мир инвестиций"" Дмитрий Бабин.

Кроме того, очередной налоговый период подходит к концу. Это лишает рубль поддержки со стороны дополнительного предложения валюты, которую экспортеры заранее продают для исполнения фискальных обязательств.

По оценкам Дмитрия Бабина, конъюнктура сырьевого рынка также постепенно ухудшает ситуацию для рубля. Нефтяные цены находятся недалеко от двухлетних минимумов, как и многие другие ключевые товары российского экспорта. Это со временем сокращает экспортную выручку наших компаний. Краткосрочные отскоки котировок нефти не способны существенно изменить данную ситуацию, поскольку для её улучшения необходимо длительное нахождение нефтяных цен на более высоких уровнях.

— Сейчас мы видим укрепление рубля — всё благодаря очередному повышению ключевой ставки ЦБ РФ до 16% годовых, а также других действий финансового блока правительства. Вместе с тем мы видим, что существенного замедления инфляции пока так и не произошло. А вот на рынке труда нарастает напряжённость, закредитованность населения на фоне падения реальных доходов также растёт. Так что до 1 января 2024 года точно продлится этот тренд. После новогодних праздников он постепенно начнёт терять силу, поскольку рубль в скором времени исчерпает все дезинфляционные факторы. Выгодная ""полка"" нашей нацвалюты продержится до начала весны, а потом наступит заметная обратная динамика, — рассказал руководитель аналитического департамента AMarkets Артём Деев.

Прогноз курса рубля с 1 января

Дмитрий Бабин считает, что доллар до конца уходящего года будет находиться в диапазоне 92–94 рублей. Он обратил внимание на то, что январь является худшим месяцем для рубля. На фоне снижения потребительской и деловой активности, связанного с длинными праздниками, рубль может по инерции продолжать дешеветь. Это в том числе вызвано уменьшением ликвидности валютного рынка. Многие его участники отсутствуют из-за праздников или просто воздерживаются от активности в ожидании значимых драйверов.

— В январе обычно мало каких-либо запланированных событий, способных ощутимо повлиять на курс рубля. К тому же с весны 2022 года на российском валютном рынке значительно уменьшилось количество инвесторов и спекулянтов. Особенно нерезидентов, которые ранее оперативно закладывали в курс рубля важные тенденции мировых бирж, новостные драйверы, а также основанные на этих сигналах ожидания существенных изменений внешних или внутренних условий для российской валюты. Сейчас на динамику курса рубля в основном влияет конъюнктура рынка сырья. Она с определённым лагом во времени изменяет объём валютной выручки российских экспортёров, что в итоге определяет уровень притока иностранной валюты на внутренний рынок, — рассказал Дмитрий Бабин.

Поскольку, считает аналитик, в последние месяцы цены на нефть и большинство других ключевых сырьевых товаров российского экспорта находились на относительно низких уровнях, это может оказывать давление на курс рубля и в январе. В результате доллар способен до конца следующего месяца подняться в диапазоне 92,5–94,5 рубля.

От более быстрого обесценивания рубль продолжат защищать большие обязательства экспортёров по возврату и продаже валютной выручки, установленные в октябре президентским указом. Кроме того, ключевая ставка остаётся на высоком уровне. Это охлаждает кредитование и в целом спрос на товары и услуги, который ранее был излишним, увеличивая импорт.

Артём Деев считает, что до марта курс рубля будет держаться примерно на следующем уровне: 87–89 рублей за доллар, около 98 рублей за евро и порядка 12,3–12,5 рубля за юань.

— Мы считаем, что торги сразу после праздников откроются на уровне 89–91 рубля за доллар и 99–101 за евро. Важные события пока непредсказуемы. Может прилететь ""чёрный лебедь"", но на то он и ""чёрный лебедь"", так как никто не знает, какой неприятный сюрприз он принесёт. Если прилетит, то доллар и евро могут скакнуть до 95 рублей за доллар и 105 за евро и даже выше — в зависимости от того, что произойдёт, насколько будет сильна угроза для российской экономики. Если же никаких негативных событий не произойдёт, тогда на валютном рынке будет затишье и посленовогодняя спячка. Доллар и евро тогда останутся в вышеназванных коридорах, — считает экономист, директор по коммуникациям BitRiver Андрей Лобода.

По его словам, в третьей декаде месяца наступит налоговый период, а ещё в бюджет поступит до конца января единовременный налог на непредвиденную прибыль — windfall tax. Эти события могут оказать влияние на укрепление рубля. Доллар может опуститься до 88 рублей, евро — до 98.

— До конца первого квартала 2024 года мы ожидаем курс доллара на уровне 90–100 рублей. Далее не исключаем рост до 100–110. Всё так же влияние на курс будут оказывать геополитика, объёмы продажи валютной выручки экспортёрами и уровень потребительского спроса. При этом главными катализаторами, на которые мы больше всего обращаем внимание, останутся динамика экспорта и импорта, цены на нефть, а также уровень инфляции и ключевая ставка, — считает управляющий директор по инвестициям УК ПСБ Николай Рясков.

Автор: Нина Важдаева

#статьиlife",0
20338277,-24199209,1703501641,"Глава Банка России Эльвира Набиуллина заявила, что ей сложно комментировать присвоение ей статуса ""разрушителя года"" журналом Politico за противодействие санкциям. Она призналась в искушении считать, что экономика РФ ""хорошо прошла 2022 год и теперь нам, что называется, море по колено"".

""Мне тяжело комментировать [присвоение статуса], сложно. Я считаю, что Центральный банк вёл, ведёт и будет вести политику, нацеленную на то, чтобы доходы не обесценивались от высокой инфляции, чтобы был устойчивый финансовый сектор, чтобы он позволял сохранять сбережения людей, бизнеса и давал финансовые ресурсы структурной перестройке экономики. Мы видим, что структурная перестройка экономики идёт достаточно быстро. И это прежде всего благодаря как раз рыночному характеру нашей экономики, бизнесу, который очень быстро адаптировался"", — объяснила глава ЦБ.

Несмотря на искушение думать, что Россия прошла 2022 год хорошо, и ей ""море по колено"", Набиуллина отметила необходимость быть готовым к дальнейшему усилению санкционного давления. Она обратила внимание на то, что в финансовом секторе у нас остаются проблемы, которые не до конца решены, в том числе трансграничные платежи. По словам главы ЦБ, острота этой проблемы чуть-чуть снизилась благодаря выстраиванию цепочек, которые постоянно меняются, но для многих предприятий она ещё остаётся нерешённой.

Набиуллина добавила, что вызовом остаётся поддерживать те же темпы развития инноваций и технологий. Вместе с тем она признала, что финансовый сектор России достаточно продвинутый по сравнению с другими странами, и многие за рубежом это сейчас понимают: https://life.ru/p/1629348",46
20337436,-24199209,1703494921,"Цены на куриные яйца в России подскочили не только лишь из-за инфляции, но и из-за высокого спроса, ""который опережает возможности предложения"". Об этом сообщила глава Центробанка Эльвира Набиуллина.

""Когда темп роста цен высокий, у нас постоянно что-нибудь выстреливает. Я вспоминаю 2021 год — то один тип товаров резко подорожал, то другой. И есть искушение связать высокую инфляцию с каким-то видом товаров. Но, к сожалению, там есть общие причины. Прежде всего в нашем случае это то, что высокий рост спроса опережает возможности предложения"", — рассказала Набиуллина: https://life.ru/p/1629312",110
20324139,-24199209,1703254800,"С 1 января цены на недвижимость начнут меняться: что подорожает, а что подешевеет. 
 
На рынке недвижимости складывается непростая ситуация. С одной стороны, ужесточаются условия по ипотеке. С другой — меняются цены на жильё. Сколько будет стоить покупка и аренда недвижимости с 1 января 2024 года? 
 
Как изменятся цены на новостройки с 1 января 
 
Ужесточение условий по программам льготной ипотеки приведёт к переходу спроса из высокобюджетных и многокомнатных квартир в сторону бюджетных 1- и 2-комнатных. Также интерес покупателей будет смещаться за пределы МКАД. Это поспособствует росту рынка Подмосковья. Такой прогноз сделал директор направления ""Новостройки"" ""ИНКОМ-Недвижимости"" Валерий Кочетков. 
 
По его словам, ужесточение условий по ипотеке, в отличие от рынка вторичного жилья, не приведёт к снижению цен на новостройки. В том сегменте на конечную стоимость жилья влияет не только спрос, но и себестоимость строительства. Соответственно, цены в Москве будут стагнировать или немного снижаться — до 5–7% в сегменте 3- и 4-комнатных квартир. Бюджетное предложение начнёт активно сокращаться. За дешёвыми квартирами будет охота, а стоимость их увеличится на 10–15%. В Подмосковье рост цен может составить 5–10%. 
 
— 2024 год будет для нас сложным. Сейчас высокие темпы инфляции. Люди стали больше тратить денег на бытовые расходы, и им стало сложнее покупать недвижимость. Тем не менее ликвидные объекты будут по-прежнему пользоваться спросом. Что касается востребованности жилья, то всё зависит от его вида и уровня. Например, элитный сегмент будет расти в цене. Это связано с дефицитом мест под застройку в престижных локациях. Комфорт-класс тоже не будет дешеветь. А вот на квартиры в экономклассе можно получить скидки. Особенно если это территории комплексной застройки с большим объёмом предложения, — рассказал генеральный директор петербургской строительной компании Сity Solutions Василий Тимофеев. 
 
Он обратил внимание, что в крупных городах наиболее востребованным считается жильё, расположенное на расстоянии 5–10 минут пешком от метро. Также покупатели всё чаще запрашивают жильё за пределами этой дистанции, что связано с ростом цен. Тогда можно получить больше квадратных метров за ту же сумму. 
 
— Кстати, ""жёсткий"" экономсегмент фактически исчез. Например, если раньше ""двор без машин"" был предложением отдельных проектов комфорт-класса, то сейчас это частое явление и в недорогих комплексах, так же как и стеклянные двери в парадных, вход в парадную без ступеней, элементы умного дома. Тем самым повышается привлекательность жилья, — добавил Василий Тимофеев. 
 
Как будут меняться цены на вторичном рынке с 1 января 
 
В сентябре, октябре и ноябре спрос на вторичное жильё держался на одном уровне. Он был примерно на 20% выше, чем в аналогичный период 2022 года. При этом сейчас примерно 20% потенциальных покупателей вторичного жилья переходят в сектор новостроек. С одной стороны, это объясняется недостатком предложения на вторичном рынке. Высокий спрос вымыл ликвидные объекты, и выбор сейчас очень ограничен. С другой стороны, сказывается возможность использовать льготную ипотеку, которая пока предлагается на первичном рынке. Об этом рассказал директор направления ""Вторичный рынок"" ""ИНКОМ-Недвижимости"" Сергей Шлома. 
 
— Тем не менее спада нет и массового оттока покупателей мы не ждём. Большинство сделок альтернативные, когда человек продаёт одну квартиру и на вырученные деньги покупает другую. По нашим данным, 40% собственников-продавцов вторичных квартир взамен приобретают тоже вторичное жильё. 30% покупают объекты в новостройках. Лишь 30% на рынке составляют чистые продажи. Покупателей не отпугнули ставки по ипотеке в 17%, как мы того ожидали. Заёмные средства обычно нужны им лишь для доплаты, а это не огромные суммы. Кроме того, заёмщики рассчитывают впоследствии при снижении ипотечных ставок рефинансировать кредиты, — пояснил Сергей Шлома. 
 
Он отметил: пока предложение квартир, с которыми можно работать, не растёт. Но при сохранении нынешних ипотечных ставок неизбежно ослабление спроса. В 2024 году рынок будет работать на 70% от своей нормы. Соответственно, последуют рост числа объектов в экспозиции и постепенное снижение цен. 
 
По прогнозам Сергея Шломы, снижение цен составит примерно 10% и произойдёт не раньше второго квартала следующего года. 
 
— На рынке вторичного жилья категорий бизнес и премиум относительно прошлого месяца цены почти не изменились. В сравнении с показателями 2022 года стоимость выросла до 20% в зависимости от сегмента и районов. Сейчас клиенты находятся в поисках хорошего и качественного предложения, которого на рынке мало. На такие объекты цены в 2024 году, вероятнее всего, падать не будут. Стоимость квартир в старом фонде с устаревшими ремонтами, требующих серьёзного обновления и переустройства с заменой коммуникаций, оборудования и инженерии, будет постепенно снижаться даже в престижных районах. К концу года такая недвижимость может подешеветь на 5–10% в зависимости от локации, дома и состояния квартиры, — отметила руководитель направления ""Продажи"" компании Apple Real Estate Виолетта Хачатурова. 
 
Сколько будет стоить аренда недвижимости с 1 января 
 
На рынке высокобюджетной аренды в этом году сформировалось несколько тенденций. Спрос увеличивался в течение всего года. Предложение после постоянного наращивания объёма в первом полугодии стало резко сокращаться во втором. К концу года число квартир и апартаментов оказалось в три раза меньше, чем в четвёртом квартале 2022 года, и на 10% меньше, чем в аналогичный период 2021-го. Такие цифры привёл руководитель направления ""Аренда"" Apple Real Estate Владимир Родионов. 
 
По его словам, стоимость найма в первом полугодии оставалась в среднем стабильной — на уровне прошлого года, во втором — цены увеличились в среднем на 15%, а в ряде случаев на 20%. Если в первом полугодии можно было найти объекты со скидками, то во втором арендодатели прекратили предоставлять дисконты и стали более придирчиво относиться к выбору будущих арендаторов. 
 
Владимир Родионов считает, что в первой половине 2024 года при сохранении текущей экономической и политической обстановки можно прогнозировать продолжение роста активности арендаторов не менее чем на 15%. Этому будут способствовать и сохранение высоких ипотечных ставок, и сохранение дефицита ликвидных предложений на рынке, и ограниченный выход абсолютно новых предложений. На этом фоне возможно увеличение стоимости аренды примерно на 10%. 
 
Особенность нынешнего года в том, что интерес нанимателей в массовом сегменте сосредоточен исключительно на самых дешёвых предложениях. Уже весной они стали активно исчезать с рынка. Летом сформировался дефицит самых экономичных предложений. Таким образом, высокий сезон на московском рынке аренды начался на месяц-полтора раньше обычного. Спрос в июле был на 25% выше, чем в июле прошлого года. Такую статистику озвучила заместитель директора Управления аренды квартир компании ""ИНКОМ-Недвижимость"" Оксана Полякова. 
 
В результате наиболее демократичные по стоимости варианты ушли. В августе самых дешёвых квартир в старой Москве — с арендными ставками 25 тысяч рублей в месяц — уже не было. Нижняя ценовая планка поднялась на 5 тысяч — до 30 тысяч рублей в месяц. В сентябре уже сформировался острый дефицит квартир экономкласса. 
 
— И в конце года основной тренд в массмаркете — снижение бюджета найма, и в ближайшей перспективе мы не прогнозируем значительных изменений в спросе и предложении. Усреднённые арендные ставки, вероятнее всего, будут оставаться на прежнем уровне в соответствии с сезонностью (зимние месяцы — период стагнации на рынке найма). Обычно в декабре происходит незначительное увеличение предложения (от тех наймодателей, которые решат сдать свои объекты до Нового года), но на арендные ставки это не влияет. А в настоящее время и этого не произошло, экспозиция не начала пополняться, — добавила Оксана Полякова. 
 
Какие тренды ожидаются на рынке загородной недвижимости 
 
В январе, после праздников, поставщики материалов начинают пересматривать сметы. Склады готовятся к пополнению новой продукцией, а остатки старой, в свою очередь, отправляются на распродажу. Именно поэтому в зимний период у потребителя традиционно есть шанс сэкономить на материалах. Скидки в этот период реальные — до 20–25% в зависимости от материала и оставшегося его гарантийного срока эксплуатации. Это является плюсом и для клиента, и для застройщика. На такой момент обратил внимание директор по продажам строительной компании HalleHouse Вячеслав Котлов. 
 
Но дальше строительные компании получают новые прайс-листы. И, соответственно, начинают корректировку собственных. Происходит это ближе к февралю, так как за январь идёт процесс формирования цен на материалы. 
 
— В результате фактически цены в январе ещё останутся прошлогодними. Для сегмента ИЖС ""комфорт"" и выше сейчас они начинаются от 90 000 рублей за 1 м2. В феврале цены на ИЖС повысятся минимум на 10%, — добавил Вячеслав Котлов. 
 
Автор: Нина Важдаева",15
20310337,-24199209,1703097362,"В Минсельхозе рассказали, когда снизятся цены на яйца

Стоимость куриных яиц в России стабилизируется после Нового года на фоне наращивания производства и импорта продукции из дружественных государств по нулевой пошлине. Как уточнили в Министерстве сельского хозяйства РФ в среду, 20 декабря, на неделе в страну поступило 612 тысяч яиц из Азербайджана, кроме того, в течение двух-трёх недель ожидаются поставки из Турции.

В ведомстве указали, что в этом году фиксируется хорошая динамика производства ряда сельскохозяйственных культур, а также пищевой продукции. В министерстве отметили, что по молоку, сливочному маслу, сыру, муке, хлебу, макаронам, свёкле, мороженой рыбе и подсолнечному маслу темпы роста цен производителей ниже уровня общей инфляции. По ряду товаров отпускные цены меньше, чем годом назад (например, на картофель, репчатый лук, гречку и вермишель). Также заметно снижение стоимости у производителей свинины и куриного мяса — за неделю она уменьшилась на 2,9% и 1,1%.

""Продолжается сезонное снижение стоимости сахара — сейчас его производство в активной фазе, кроме того, в России в этом году существенно вырос урожай сахарной свёклы. За последнюю неделю цены на этот товар у производителей упали на 0,7%, а в рознице — на 0,47%"", — отметили в Минсельхозе РФ.",44
20306950,-24199209,1703031007,"Центробанк озвучил данные по инфляции и выявил товары, которые подорожали больше всего. Экономисты оценили новые тренды и рассказали, что ждёт покупателей в магазинах с 1 января. Как изменятся цены на продукты, технику, электронику, товары для дома и быта: https://life.ru/p/1628183",11
20288660,-24199209,1702651081,"Банк России близок к завершению цикла повышения ключевой ставки, однако дальнейшие решения будут зависеть от поступающих данных. Соответствующее заявление сделала глава регулятора Эльвира Набиуллина.

""Если исходить из нашего базового сценария, то мы действительно близки к завершению цикла повышения ставки, но во многом всё будет зависеть от ситуации, что будет происходить с устойчивыми компонентами инфляции"", — сказала она в ходе брифинга по итогам заседания совета директоров ЦБ.

По словам Набиуллиной, ключевая ставка будет оставаться высокой до тех пор, пока регулятор не увидит устойчивую тенденцию к замедлению роста цен и инфляционных ожиданий: https://life.ru/p/1627378",16
