post_id,text,comment_time,from_id
1347571,2.5кг в год？！это катастрофически мало！,1675162926,396738587
1347571,А то что у нас за месяц на 50% никто не заметил!,1675178871,95655583
1343052,Может лучше инфляцию понизить?,1674838565,748282550
1341955,Ахахахахахахахахах 🤣,1674743906,156851437
1341955,как были билеты ~15к так и остались лол,1674749339,108565493
1341534,"В Новороссийске подоражали, и продолжают дорожать все хлебо-булочные изделия.",1674720054,614595225
1341534,Надо затянуть пояса.,1674720349,756217783
1341534,"Денег нет, но мы пока держимся",1674722207,173628274
1341534,Кремлевские мясники,1674722769,748282550
1341534,"Сокращение населения любыми способами , в хлебе- то дрожжи  не подарок для живого организма , то ли травись то ли голодай и подыхай , а им надо зачистить намеление , а от хозяев достанется.",1674725351,619328663
1340790,🤣🤣🤣🤣 класс .это  чувствуется .👍,1674664262,530121839
1340790,"Что русскому инфляция 11,49%,то немцу смерть)",1674664432,35932313
1340790,🤣🤣🤣,1674664960,44060647
1340790,"Рыба, мясо сами за себя говорят о инфляции 18 %",1674665092,492684344
1337205,"А сало с Белоруссии почему стоило 550, а сейчас 690?",1674397479,173628274
1333549,"Проснулся? Деиндустриализация Европы уже идёт, а он только-только испугался...",1674150772,637098260
1330745,"давно пора , о чем он 20 лет думал!!!",1673967093,628821994
1330745,так и пенсий и пособий - тоже,1673967250,186259734
1330745,"20 лет пытается, а зп только у Силовиков и чинушей растёт...",1673967507,4776209
1330745,Тот еще призывальщик.,1673967610,35487564
1330745,"Экономика активно стагнирует, производительность труда низкая, экспорт упал в разы! Деньги на увеличение зарплаты можно добыть лишь эмиссией, что увеличит инфляцию. Такой себе лозунг.",1673967668,255216315
1330745,Балабол. Уже даже не смешно,1673973677,40643017
1330745,"Приказ нужен, а не призыв.",1673986992,211225809
1330745,Сказочник,1674014448,644686211
1330745,А как это сделать в коммерческом секторе? Ау!!,1674034959,591312921
1323581,зато внешний долг растёт и подходит к 40 триллиона долара! Сша всю свою жизнь живёт в  долгах и в кредит!,1673573062,158839344
1321635,"Может, помидоров?",1673455361,465019671
1318249,Нормальная компания.,1673271310,173628274
1318249,"Не 12 а всё 50  , если взять  в примеру моторное масло цена была 1200 р а стало 3,500 р Лукойл ,это даже не 50 а все 100.",1673284282,644686211
1301719,"гоминиды-каменотёсы, низшая раса, — хужее фрицев и поляков",1672461288,772781506
1301719,Хорошо в России есть аквадискотека,1672462047,242018798
1290215,,1671728733,2089131
1290215,"Тенденции есть, снижения нет.....и не будет!!🤣🤣🤣",1671730592,704089923
1286296,"Надо ли верить, если имя Сунь да ещё там Янь хун?",1671507575,182296045
1281711,Бумеранг никто не отменял.,1671283163,628026737
1281711,Нам то по барабану. Главное что у нас все замечательно. И чего это гражданка Захарова переживает за ЕС,1671283214,233482585
