id,owner_id,post_time,post_text,comments.count
1347571,-20648295,1675157838,"🟣 Лук по цене $15 за кг стал роскошью на Филиппинах
 
🔹 За последние месяцы на Филиппинах резко выросла стоимость репчатого лука. В торговых центрах Манилы один килограмм стоит 15 долларов (1043 рубля), дороже чем мясо курицы или свинина.
 
🔹Некоторые рестораны и кафе убрали его из блюд, а обычные семьи перестали покупать. Филиппинцы шутят, что могут его только понюхать.

🔹Правительство столкнулось с призывами наказать продавцов, наживающихся на дороговизне лука в стране, где зафиксирована самая высокая за последние 14 лет инфляция. Власти хотят ввезти 21 тысячу тонн лука, чтобы вчетверо снизить розничные цены. 
 
🔹Члены экипажа Филиппинских авиалиний, летевшие недавно с Ближнего Востока, были арестованы при попытке пронести через аэропорт Манилы несколько сумок с репчатым луком.

🔹Это не первый случай, когда Филиппины сталкивались с дефицитом основных продуктов питания. В прошлом был зафиксирован резкий рост цен на сахар, соль и рис. 
 
🔹Согласно официальным данным, каждый филиппинец съедает в среднем 2,34 кг лука в год, и теоретически страна производит достаточно, чтобы удовлетворить существующий спрос. Но тропический климат не позволяет его долго хранить. Правительству надо было позаботиться об импорте лука еще в августе, считают местные эксперты",2
1345188,-20648295,1674983697,Более 40 социальных выплат будут увеличены в России с 1 февраля,0
1343052,-20648295,1674834168,"Рост минимального размера оплаты труда (МРОТ) в 2023 году должен быть выше уровня инфляции, соответствующее поручение российскому правительству дал президент Владимир Путин",1
1341955,-20648295,1674742793,"⭕️ Названы факторы, разогнавшие цены на авиабилеты: дорожает буквально все

«Мера вынужденная, ведь россияне стали летать за границу гораздо реже»",2
1341947,-20648295,1674742335,"В 2022 году инфляция в России составила 11,9%, хотя по многим товарным позициям она сильно превысила этот показатель. Тем не менее власти считают, что рост цен ниже 12% - это безоговорочная победа. 

Какие товары, продукты, услуги будут дорожать сильнее других? Какой будет инфляция в этом году? И когда ждать остановку роста цен? 

Об этом и многом другом поговорим в прямом эфире из пресс-центра МК 27 января в 16.30",0
1341534,-20648295,1674719869,"🟣 Спад спроса на потребительские товары в России побил рекорд 2014 года 
 
🔹 РБК, ссылаясь на исследовательскую компанию NielsenIQ, сообщил, что в прошлом году на российском рынке товаров повседневного спроса произошло рекордное снижение объемов потребления с 2014 года.

🔹Уточняется, что номинальный рост рынка товаров повседневного спроса год к году оказался на уровне 13,6%. При этом, продажи росли только за счет того, что увеличивалась стоимость. Около 17% составил вклад инфляции, а вклад реального потребления составил -3,4%. 
 
🔹 По мнению экспертов, такая тенденция связана с сокращением реальных располагаемых доходов населения. 
 
🗣 «На протяжении 11 месяцев прошлого года наблюдался тренд на снижение объемов продаж. При этом, в марте произошел ажиотажный всплеск на фоне новостей об уходе ряда зарубежных брендов», — заявил директор по работе с ретейлерами NielsenIQ Константин Локтев.",8
1340790,-20648295,1674664095,"В России зафиксировано замедление инфляции в годовом выражении до 11,49%",4
1338358,-20648295,1674491321,Паи высокодоходного назначения,2
1337743,-20648295,1674443716,"Президент Франции Эммануэль Макрон на пресс-конференции по итогам встречи с канцлером Германии Олафом Шольцем заявил, что обе страны договорились об амбициозном европейском ответе на американский закон о снижении инфляции",0
1337205,-20648295,1674397272,"Официальный годовой уровень инфляции в прошлом году составил 11,9%",1
