post_id,text,comment_time,from_id
1639826,👏,1703843253,152512497
1639826,А зачем тогда вводили обязательную продажу 💶 и 💵 экспортёрами?!,1703845781,694295529
1639826,Когда в карманах ветер свищет мы доверяем только пище.,1703847565,818528368
1639826,"Я доверяю доллару и евро, не знай как другие. Юани мне нужны, как зайцу стоп сигнал",1703847964,173628274
1639636,Когда?,1703821280,837390518
1639636,"Некоторое повышение стоимости архивных тарифов не так катастрафично, потому что находится в пределах инфляции, да и является весьма целесообразным развитием всех мобильных операторов. Связь постоянно модернизируется и используется почти каждым современным человеком, невозможно обесценивать работу их.",1703822494,798874142
1639636,Национализировать надо все сети,1703825039,159011493
1639636,"А они то знают про это??? Да впрочем им на эти высказывания..., бабам по пояс корче",1703825952,174166645
1639636,А кто не разрешит?,1703829537,694247444
1636440,И чем занимается офисный планктон?,1703521611,445661840
1635559,"С нашей инфляцией, пенсиями  и "" дегенератами"" здоровьем России можно уже не интересоваться! "" Пациент скорее мертв""🤣🤣🤣",1703444136,592755993
1635559,"Националистическая политика Киева привела к закономерному итогу. Все, видимо, забыли как одна националистическая европейская страна, тоже при поддержке штатов, кстати, развялаза Вторую мировую войну. То, что сейчс происходит на Украине - желание предотвратить новый глобальный конфликт в будущем. То, что сейчас делает Россия и миллионы беженцев в Европе - целиком и полностью вина Зеленского.",1703445297,792124397
1635559,ПОСОбия мигрантов в РОссии не хочет сравнить с пенсиями и даже зарплатами граждан РФ?,1703445625,642079548
1635559,"Поинтересовался бы здоровьем того, кто на почту получит вот эту карту",1703455006,152512497
1629710,А кто управляет этим разогнавшимся автомобилем?🚘,1702657434,403811201
1629710,Остановится эта ... Или нет когда нибудь?,1702658155,573998506
1629710,Как говорила Эльвира - ближайшие 5 лет ничего хорошего не ждите,1702659265,29545530
1629710,Брехня,1702662955,633522276
1629710,Когда уже ей скажут: Довольно гнать!,1702669038,403811201
1629710,Когда её КамАЗ по трассе распидорасит уже!?,1702674660,828872697
1629710,Гнать рыночную бестолочь,1702689679,274438375
1629710,Куда едим,1702705400,118837335
1629710,"Какой автомобиль сейчас разогнался?)))Уж не тот,который яйца по магазинам развозит?",1702748247,683141632
1629710,"это капитализм,а им капиталистам выгодно",1702762307,793738032
1629652,"Конечно, она наш риск основной",1702648289,50742024
1629652,Наебулина — один из сильнейших рисков!,1702648312,173339000
1629652,"У ЦБ нет других инструментов, кроме повышения ставки? Возмутительно 🤬",1702650243,711445060
1629652,Кто эту дуру,1702651807,788691683
1628887,"Сегодня доширак покупать даже не надо, лапшу развешивают всем, причем бесплатно",1702546853,52309250
1610610,"Лиса Алиса рассказывает Базилио (народ) про 5 золотых,5на два не делится, тогда 5 разделим на 5 ровно 1, значит Алисе 4 золотых, а народу 1, вот так.",1700145602,635128478
1610610,"Женщина хоть сказала правду, а остальные министры""мужики"" только о новых достижениях в экономике, улучшение жизни людей",1700147787,232931960
1610571,Ей верят ещё? 🤣😂,1700138129,828332827
1610571,То ли ещё будет.,1700141143,173628274
1609734,Это даже очень хорошо. Спасибо правительству и дяде Вове.,1700045755,731071486
1607639,"Это точно, для этого нужно очень много сделать - остановить военные действия, раскулачить олигархов, начать вкладывать деньги в развитие страны, сделать реформу налогообложения и не подстраивать законы под заинтересованных лиц, начать думать о населении. Это так, основное...",1699705599,514859817
1607639,"Да, но основную причину экономической задницы экономист назвать бздит.",1699707572,40643017
1607639,Посмотрим какие будут тарифы монополий и посчитаем инфляцию.,1699707982,616924632
1607639,Это понятно любому кто хоть немного разбираеться в экономике и только видимо в ЦБ этого не понимают.,1699714660,809029935
1607639,,1699717835,215172956
1607267,Кому сейчас поёт Эдита Пьеха? Куда приедет Николай Носков?,1699646473,13001167
1607267,"Самое главное, все очень любят страну, поддерживают ребят на СВО и часть гонорара передают им. Или я ошибаюсь?",1699687176,313855769
1607127,Никто не думает о Будущем!,1699628939,388967445
1607127,"Лет 20 назад рукожопые правители думали, что России больше не потребуются токари, слесари и сварщики. Гораздо важнее для них были менеджеры да юристы. Теперь имеем что имеем",1699629710,215172956
1605597,"54 - по Чернобылю, 22 года от звонка до звонка по 40 часов в неделю= ШИШ от государства - 14 000. НадоТь старичка найти - вместе прожить можно!",1699451156,44829884
1605597,"24 тысчи у меня в Беларуси, так коммуналка копейки и цены по сравнению с вашими +бесплатная медицина. Жаль что такое в России происходит(((",1699452044,190827712
1605597,"А может уже не надо приводить в пример Московских! пенсионеров!😡. И льготы, и пенсии, и подарки - все у них! 
Не злите народ!",1699452480,313855769
1605597,"""Каждый народ имеет то правительство, которое он заслуживает."" Жозеф де Местр. (1753 - 1821г.)",1699452796,254458661
1605597,"Москва не Россия? У нас цены другие , все дороже",1699455289,813670059
1605597,"Что значт все дороже. В Пятерочках, Перекрестках, Магнитах и прочих сетевых магазинах цены одинаковые по всей России. Пенсионеры покупают в основном в этих магазинах. Пенсии в Москве и за МКАДом  отличаются значительно.  При этом, коммуналка дороже, чем в Москве.",1699456396,448883294
1605597,"Только коммуналка 10 к, это как?",1699456844,313233984
1601759,"Надо не тратить меньше, а больше зарабатывать",1698984924,597519422
1601759,Уволить главного редактора.,1698987005,4504120
1601759,"За бюджет, проголосовали люди ни чего не смыслящие в экономике. И эти же спортсмены и артисты принимают законы. 
  Мы видим, к чему приводит, когда клоун добирается до власти. 
  И в нашей стране пора задуматься, - а нужен ли нам такой орган как Госдума? Которая живёт далеко в облаках и  не вникает в реальное положение дел на земле. Оставить один Совет Федерации, который можно сократить, что ни как не повлияет на результат.",1698988369,337388092
1600911,Врет и не краснеет.,1698890472,667064011
1600911,Это кому он всё время рассказывает? Счастливчики!,1698891531,182296045
1600911,Сказочник,1698892865,717271769
1600911,Уже не интересно!,1698896562,535111933
1600911,Хорошо жить информационном поле президента! Там всегда всё хорошо!,1698900019,255216315
1600911,"Жалко, что российские граждане об этом не знают.",1698901373,337388092
1600911,Он выдает то что докладывают чиновники ему.,1698903278,686237371
1600911,Его обманывают😆😆😆 вспоминается сказка про короля (голого),1698907110,186187948
1600379,Странно. Даже при Ельцине жили без кредитов и ничего не схлопывалось... что случилось на 24 году стабильности то??!!,1698767943,40643017
1599473,"Почти как в начале 1990 годов.
Только разница, товары есть.., денег нет",1698406483,10155084
1599473,"Что значит все кроме бензина?...он так резко подорожал, что дальше только в космос",1698406661,2226959
1599473,а что так?,1698406698,70348275
1599473,,1698407166,22662558
1599473,Путинский режим во всей красе. Но по телевизору скажут что опять американцы виноваты🤦‍♂️,1698407384,250083636
1599473,получается 7.5 процентов инфляция это Филькина киркорго грамота .ну что все безграмотные не могут посчитать как я инфляция? она как минимум в два раза больше,1698645961,761515615
1598623,"Интересно, а прожиточный минимум останется тот же? Тогда у многих пенсия не изменится",1698233983,533893979
