id,owner_id,post_time,post_text,comments.count
1640060,-20648295,1703870089,"Эксперты перечислили события, которые могут вызвать кризис",0
1639826,-20648295,1703843020,Россияне перестали доверять доллару и евро,6
1639636,-20648295,1703818644,"Вице-премьер РФ Дмитрий Чернышенко заявил, что операторам связи не разрешат бездумно повышать тарифы выше уровня инфляции",7
1636486,-20648295,1703523579,"Чтобы заглянуть в будущее, необходимо осмыслить настоящее",0
1636440,-20648295,1703520253,Московский бизнес повышает статус,2
1636435,-20648295,1703520068,Когда начнут дешеветь «квадраты» в 2024 году?,0
1635559,-20648295,1703443211,"Заместитель главы Совета безопасности России Дмитрий Медведев в преддверии Рождества поинтересовался состоянием Европы в связи с высокой инфляцией, большим количеством украинских беженцев с пособиями выше, чем у европейских пенсионеров, ""политиками-дегенератами""",15
1635469,-20648295,1703437406,Охота за доходом: названы самые выгодные направления инвестиций в наступающем году,0
1634545,-20648295,1703334574,Более трети граждан готовы отнести деньги в банки для сбережения их от инфляции,0
1632768,-20648295,1703090656,"Подмосковные производители объяснили, почему яйца стали лидером инфляции",0
1632696,-20648295,1703084536,"Возможно ли накопить на безбедную старость? 
 
В пятницу, 22 декабря, в 12:00 в прямом эфире из пресс-центра «МК» эксперты расскажут о том, как накопить на достойную старость. Хранить деньги «под подушкой» или в бабушкиных сундуках — прямой путь к сокращению сбережений: ведь их наверняка «съест» инфляция. Между тем существуют эффективные способы сформировать капитал на пенсию в современных рыночных условиях. 
 
Поможет ли ежегодная индексация приумножить сбережения? Что делать молодым гражданам, которые уже сейчас задумываются о своем будущем на заслуженном отдыхе? 
 
Об этом и многом другом поговорим в прямом эфире из пресс-центра «МК».",0
1629710,-20648295,1702653322,"«Ехать будем быстро, но недолго»

Речь на пятничной пресс-конференции главы ЦБ шла о вещах максимально концептуальных. Стержневой темой стала, разумеется, инфляция.",15
1629652,-20648295,1702648190,"👩‍⚖ Набиуллина перечислила ключевые риски ближайших лет для экономики РФ

Внешние:
- санкции
- замедление и фрагментация мировой экономики

Внутренние:
- слишком медленное снижение инфляции
- замедление адаптации экономики к новым условиям
- усиление дефицита рабочей силы",7
1629560,-20648295,1702637670,❗️Центробанк повысил ключевую ставку до 16% для борьбы с ускоряющейся инфляцией,0
