post_id,text,comment_time,from_id
4942354,вот ведь путин устроил нам всем,1675188660,723941385
4942354,Это Зрада или Перемога?,1675189052,9330696
4942354,Получите- распишитесь!🤣,1675189101,423709073
4942354,"У них хотя бы что-то своё есть, в отличии от нас",1675189336,619544320
4942354,"Чё, отгрузка вышиванкам леопёрдов и прочих збройных девайсов тормозится? Кам цурюк бонбить айову!",1675189469,334673288
4942354,"И у нас будет все что нужно, просто нужно подождать.",1675189473,736887257
4942354,"Своими пустыми головами продали свою независимость,а затем и благосостояние Америке,видимо учились у Горбачёва с Ельциным 🤷‍♂️🤷‍♀️🤷‍♂️",1675190601,554182725
4942354,"Конец Европе 
     🇷🇺🇷🇺🇷🇺",1675190799,486397438
4942354,Сосите банан 🍌 🍌 🍌,1675190837,486397438
4942354,какие торговые войны? со своим хозяином? пчелы против мёда воевать будут?,1675191994,6542254
4942354,"Так вам и надо, европейские марионетки... Надеюсь, что бумеранг вы свой поймаете ещё не раз! 👎👎👎",1675196655,140323713
4942354,Да хрен с ними.....!!!,1675235772,305130718
4942354,америка готова спасать свое положение ценой благополучия Европы. вот аткой вот из нее союзник,1675252779,719406988
4941658,"ну что сказать, я думаю, что у РФ очень достойные показатели )",1675183565,682479857
4932251,"Слов нет,разве эти образования должны вякать?????",1674839112,172162417
4932251,Ленинград город-герой!,1674839443,603566649
4932031,"Пенсии тоже индексировать выше инфляции было решение,но результат 4,8.,Президент,наверное не знает, не информирован?",1674832770,195923289
4932031,"Ольга, потому что магазины поднимают цены вместе с мротом это бесконечная цепочка. Путин поднял на 2% а магазины тоже на 2% . Сделают МРОТ 200 000 - магазины просто также сделают хлеб по  1000 руб. вот и всё. Нужно государственное регулирование цен",1674832787,617157687
4932031,А Сталин поступал иначе! Он каждый год цены понижал и понижал.,1674833069,714079465
4932031,Правильно все делает👍 подняв на опережение мы и роста цен не почувствуем. Так с пенсиями было и пенсионеры вот комфортно адаптировались,1674833556,746900136
4932031,"Ждём , где опять заберут",1674834375,290466049
4932031,"Как-то интересно, зарплату поднимают один раз в 20 лет , а налоги новые придумывают раз в квартал. Может вы просто перестанете придумывать новые налоги и народ скажет вам спасибо",1674834473,290466049
4932031,😁😁😁давольно пощади,1674834947,44060647
4932031,Поздно,1674837699,531278351
4932031,"У нас прожиточный минимум официально в Московской области 18000, а зарплаты 20000-30000 даже на оборонных предприятиях, на них не прожить",1674838511,4403304
4932031,"В муниципальных учреждениях зарплаты по 30 000, хотя если даже взять минимальный размер оплаты, на семью из 4 человек (2 ребенка, 2 взрослых) необходимо 71000 р",1674838606,4403304
4932031,Значит к новому году рассмотрят,1674842104,185306261
4932031,"Одно но, потребительская инфляция в десятки раз не сходится с центробанковской. Все эти меры предполагают только одно укрепление уровня жизни чиновника, ну и членов их семей включая прислугу...",1674875535,384745890
4932031,"Рост выплаты приведёт к росту цен на продукты! Далее последует рост выплат, который опят вызовет рост цен... и так дальше инфляция будет расти выше назначенного уровня.
Может пора ввести гос.контроль за ценами?
Но это не возможно, т.к. Россия- страна с рыночной экономикой.🤷🏻‍♂️",1674887990,6660804
4932031,Если люди поднимутся хорошего будет мало!!!,1674972127,99428892
4924109,От всей планеты благодарность за инфляцию долбанной америке......,1674588783,554182725
4924109,"Во 2 квартале и ВВП страны просядет, ежику понятно, что инфляция рассчитывается коэффициентном от ВВП…",1674588834,728654492
4924109,Всемирный нае*анк?,1674592184,515239505
4908160,"Учителям уже подняли на 5%, минимальная зарплата растет раз в полгода-год, но они продолжают добиваться большего. У нас все, всем довольны, начнут дустом посыпать, скажем манна небесная.",1674061067,2089131
4908160,"Скоро и до Риши очередь дойдет, одноразовый выйди вон.",1674061112,301817482
4908160,Зато на Украину денег хватает,1674062017,351872563
4908160,"Большой абсурд в Британии.У Сунака нет денег на повышение зарплат своим британским гражданам,люди бедствуют.На помощь укронацистам,деньги находит.",1674066501,712198827
4908160,"Максим, вас кто-то обманул. 

Забастовки - это результат провала политической жизни. Результат неучастия граждан в политике. Результат гражданской пассивности, наплевательского отношения к политике. 

Политическая жизнь - она начинается и длится совершенно в других местах. 

Ишь - побастовать вышли. Пожить политически? Не смешно такое политической жизнью звать? 

Надо было заниматься политикой, чтобы определять политический курс участием в политических партиях. А так -это не жизнь, это сопротивление тому результату, который пустили на самотёк.

Это хорошо, если этот ""самотек"" - окажется людьми, которые на то положили время жизни - чтобы ""самотёк"" направить в доброе русло. А если как на недавних окраинах - обрастут нечистью и обнаружат, что зло ныне правит бал- и ходить можно только на демонстрации с факельными шествиями - как на Украине?",1674104568,14073878
4905127,Бумага все стерпит,1673959956,691603629
4905127,"Может, а может и не может.",1673960020,776744022
4905127,"""Как скажете, так и нарисуем"", был ответ.",1673960063,632240785
4905127,"Цены вырастут в100 раз, тогда да.",1673960481,758244834
4905127,...а может и не снизиться? Опять Путин зубы заговаривает нам,1673960641,687524657
4905127,"Ты достойную зарплату плати, и не нужны твои кредиты. Никому. Платить потом вам ещё придурком.",1673961168,713152518
4905127,А что есть предпосылки для снижения? Не вижу.,1673961181,746725724
4905127,,1673961565,248752960
4905127,,1673961602,248752960
4905127,А по факту все 50 будет,1673961612,403129134
4905127,"Спасибо 🇷🇺🇷🇺🇷🇺, прорвёмся!!!",1673962601,486397438
4905127,Может снизится🤣🤣🤣,1673962958,240986220
4905127,При таком уровне цен?,1673963095,587174015
4905127,,1673964223,2345763
4905127,"Посмотрим на цены, во сколько сразу всё подорожает???",1673964653,398324246
4905127,"Радостный пзц, ему там сказки пишут , а он эти сказки на серьезных щах озвучивает🤣",1673964800,18224909
4905127,"Раньше дефицит товаров было и не было инфляции, а сейчас дефицит денег + инфляция и товаров много.",1673965112,303801745
4905127,Ха ха ха может уже ни когда))),1673977454,700500585
4904981,"Интересно, Арестович сразу в Израиль полетит или для начала на Лубянку дать показания заглянет?))",1673956121,211873684
4904981,"ес перевели украине бабки, а жена зеленского уже в швейцарии развлекается",1673956183,720133332
4904981,Вот так!!!!,1673957413,328497094
4904981,вот грузия вроде им оружие и не поставляет но при этом террлристов у себя прикрывает ну и как это так вообще понять?,1673959271,772103234
4904981,"Шпионов можно было бы и на месте ликвидировать, конечно, сейчас время неспокойное, мало ли как и кому он мог передать информацию.",1673960709,720128081
4859049,А так называемое СВО никто и не заметил.,1672475514,300865623
4859049,"На самом деле для них война это уже не событие, они очень долго сражались внутри своей страны, от чего для них это стало обычным делом. Зато сейчас у них действительно повод для радости!",1672479817,570675980
4859049,"Признание Запорожья и Херсона, не?",1672487046,498631
4859049,"Главное событие этого года - война, а все остальное...",1672498104,720480179
4854553,Ну это если только на продукты. На промтовары все 50%,1672308200,89039372
4854553,Да у них в Думе своя жизнь . У нас другая . 12 процентов ? Ха ха ха,1672308288,105882611
4854553,,1672308593,180444714
4854553,"Инфляция в России по итогам года будет порядка 12%, а цены в магазинах вырастут порядка 120% Они там просто нолик забыли добавить в конце 😏",1672308889,31741772
4854553,Ни фига себе...,1672309562,560743226
4854553,Одно вранье с его то доходами может и 12 а по нашим все 120.,1672309616,736887257
4854553,Этого нужно гнать нафиг,1672312281,425200321
4854553,Вообще то процент инфляции это не подорожание продуктов в магазинах. Не надо путать.,1672330496,648389299
4854553,Новость для бангладешского обозрения. Нам очки втирать не надо.,1672382755,89131769
4841810,Новак профессионал - грамотный управленец👍,1671905347,14017569
4841810,Ха- ха! Весна покажет!,1671906953,402632247
4841810,Дизельное топливо 64₽:,1671907440,731341319
4841810,Чушь какую то несёт !!! Цены они делают такую какой УДОБНЕЙ ГРАБИТЬ НАСЕЛЕНИЕ НАШЕЙ СТРАНЫ И ПЕРЕПРАВЛЯЮТ ДЕНЬГИ ЗАГРАНИЦУ ДЛЯ СВОИХ НУЖД !!!,1671907617,605148943
4841810,Новаку верить нельзя,1671909387,347798978
