post_id,text,comment_time,from_id
5592182,🤦🏼‍♀️,1702637807,211200640
5592182,"Не смешите своими процентами. Вы сами то ходите по магазинам? Видите какие цены и растут они ежедневно, одни яйца выросли на 100%. Не надо врать",1702638121,420820725
5592182,"Чипсы  Lays в этом году в пятерочке стоили 109, с осени ценник вырос до 134. 25 рублей от 109 - это 22,9%. И это только про чипсы. И если взять даже те категории, которые выросли на 7%, и суммировать с отдельными позициями, по которым рост очень сильный, то никак средняя 7-7,5 не получится🙄",1702638657,47126963
5592182,Прогноз он и в Африке прогноз. И не более.,1702639382,773634000
5592182,Хватит дурить народ и сСать в уши😡,1702640421,466350148
5592182,"Совсем уже! Ещё и пытаются сказать, что если по Вашим ощущениям инфляция больше, чем 7,5%, то это Ваши ощущения неправильные. Ах-ха-ха!.. )))",1702641013,149971555
5527891,"Правильно, ибо потом начнётся крупный развод. До ""пятницы"" - 100 рублей, во время ""супер акции"" - 150...",1699267327,205593446
5527891,"Все черныепятницы и грандиозныераспродажи ассоциируются не с большими скидками, а с кучей спам-рассылок и кричащих вывесок. Может там где их придумали это реально работает. Но не у нас.",1699268578,547610965
5527891,Давно всем понятен обман черной пятницы.,1699268737,192933905
5527891,"Нет у них ни какой пятницы , скидки на неликвид, а так под пятницу цены еще выше делают типа скидка",1699269203,17205703
5527891,"""Капитан очевидность.. ""! (",1699269421,132810705
5527891,"А этот в черную пятницу - во что прикупил..Ему можно.Вы будете смеяться, но с недавних пор хозяином крупнейшего порносайта в мире PornHub стал раввин Соломон Фридман – глава канадской инвестиционной компании Ethical Capital Partners, купившей PornHub вместе с фирмой MindGeek, владеющей сайтами кино для взрослых. Что мораль Ветхого Завета строго осуждает контент такого рода, товарища Соломона, очевидно, не смущает. Вернее, у него есть ответ: ""Это другое"". .",1699270656,732329370
5527891,"Ухватил нужный товар, особенно,по старой цене....никакой пятницы не надо,ибо будут торговать ненужным товаром(размеры,расцветки,возврат),словом,залежалый товар...",1699285212,510425105
5527891,,1699287191,469602166
5509278,Ветер дует поэтому что деревья качаются,1698415808,30067657
5509278,"на брифинге ее конкретно спросили , каким образом ставкой в 15% при ограничении спроса и предложения можно уменьшить инфляцию и она ответила , что надо подождатьи если будет недостаточно , то они до конца года еще раз повысят. Посмотрите на пример Турции, там Центробанк поднял ставку до 35% , а инфляция растет до 80%..Центробанк не способен сегментировать отрасли где спрос выше предложения и вместо того , что бы мотивировать банки увеличивать предложение , она бьет и по спросу и по предложению ...Монетаристы давят на экономику , считая рост кредитования отрицательным фактором , способствующим инфляции , а государственники под 0% ставки финансируют отрасли. Может пора определяться Верховному на каком стуле ему сидеть ?",1698415821,672103623
5509278,"Самая главная битва идет не на СВО, а в высоких московских кабинетах.

Путин демонстрирует решимость, проводя учения всех составляющих РВСН.

В ответ на это подпиндосный финансово-экономический блок шлет противоположенный сигнал дяде Сэму, повышая ключевую ставку. Что мол мы все твои, мы готовы уничтожить Россию, и положить ее обломки к ногам нашего западного хозяина. Мы сделаем всё, чтоб остановить российскую промышленность, чтоб Россия никогда не победила Запад на полях СВО.",1698415824,172572888
