id,owner_id,post_time,post_text,comments.count
5592182,-26284064,1702637729,"15 декабря ЦБ РФ оставил прогноз по инфляции на 2023 год на уровне 7,0–7,5%. 

Инфляция — это рост общего уровня цен на товары и услуги в экономике, который также называют обесцениванием денег. Показатель высчитывается через вычитание 100% из индекса потребительских цен. Индекс показывает изменение стоимости средней корзины. 

По данным на 2023 год, структура расходов делится на 79 категорий товаров и услуг. Среди непродовольственных товаров наибольшую долю занимают легковые автомобили, среди продовольственных — мясопродукты, среди услуг — жилищные и коммунальные.

Официальные расчеты могут не совпадать с личным ощущением изменения цен. Одна из причин — различие средней и личной потребительских корзин. 

Подробнее о том, как рассчитывается инфляция в России и почему она может не совпадать с личной оценкой стоимости товаров и услуг, — в нашей инфографике.

#ТАСС_Инфографика",11
5527891,-26284064,1699266691,"Эксперты Роскачества советуют не дожидаться скидок ежегодной ""черной пятницы"" и купить нужные товары уже сейчас, а тем, кто все же хочет принять участие в распродаже, стоит уже сейчас начать отслеживать цены, сообщили нам в организации.

Руководитель Центра финансовой экспертизы организации Ольга Вяльшина отметила, что ""цены могут еще вырасти из-за инфляции и роста издержек у бизнеса, а в условиях сжимающейся прибыли продавец не будет готов предоставить скидки в сезон распродаж"":
https://vk.cc/csawGZ",11
5509278,-26284064,1698415233,"ЦБ считает возможным переход к снижению ключевой ставки после устойчивого снижения инфляции и полагает, что это может произойти в 2024 году, заявила глава ЦБ РФ Эльвира Набиуллина на пресс-конференции по итогам заседания совета директоров регулятора:
https://vk.cc/crXOY0",7
5462944,-26284064,1696533077,"Рост мировой экономики замедляется, а инфляция на международном уровне остается высокой. Банк России отмечает, что товары подорожали почти во всех регионах страны: по прогнозу регулятора, в 2023 году инфляция составит 6-7%, а к 2024-му показатель вернется к целевому значению — 4%. Подробнее — в нашем сюжете.

Видео: ТАСС/Ruptly/Reuters",20
5448064,-26284064,1695925830,"Правительство на этой неделе внесет в Госдуму проект ""здорового и нормального"" бюджета, основной упор в котором сделан на ""все необходимое для фронта, все необходимое для победы"". Об этом сообщил министр финансов РФ Антон Силуанов на пленарной сессии Московского финансового форума.

Участники дискуссии рассказали, каким будет основной финансовый документ страны, поспорили о том, как влиять на курс рубля, и обсудили инфляцию. Мы собрали основные заявления, сделанные на сессии:
https://vk.cc/crgp05",12
5447957,-26284064,1695918650,"Главные темы дня:

▪️Владимир Путин подписал закон об установлении 30 сентября Дня воссоединения Донецкой и Луганской народных республик, Запорожской и Херсонской областей с Россией:
https://vk.cc/crgjPJ

▪️Президент непризнанной Нагорно-Карабахской республики Самвел Шахраманян подписал указ о прекращении ее существования. Число беженцев, которые выехали из Карабаха, превысило 70 тыс. В Армении профильная комиссия приняла законопроект о ратификации Римского статута МУС и направила его в парламент. Собрали основное о событиях в регионе:
https://vk.cc/crgmv3

▪️Группировка российских войск ""Восток"" улучшила положение по переднему краю на южнодонецком направлении и отразила две атаки Вооруженных сил Украины в районе Приютного в Запорожской области, сообщили в Минобороны РФ:
https://vk.cc/crfVuP

▪️Министерство финансов США внесло российскую компанию ""Авиатрейд"" из Ижевска в санкционный список по Судану:
https://vk.cc/crgclR

▪️Власти Белгородской области не подтвердили информацию, появившуюся в нескольких источниках о якобы прорыве украинских диверсионно-разведывательных групп на территорию региона:
https://vk.cc/crfxfR

▪️Российские силы ПВО сбили украинский беспилотник в районе села Макаровка в Курской области, где возводят Курскую АЭС-2. Пострадавших и разрушений нет:
https://vk.cc/crfLkm

▪️Участники Московского финансового форума рассказали, каким будет основной финансовый документ страны, поспорили о том, как влиять на курс рубля, и обсудили инфляцию. Собрали основные заявления, сделанные на пленарной сессии:
https://vk.cc/crgp05

▪️Суд в Калмыкии признал ""Конгресс ойрат-калмыцкого народа"" экстремистским объединением:
https://vk.cc/crgp0i

▪️Госдума приняла в первом чтении законопроект, устанавливающий уголовную ответственность вплоть до пяти лет лишения свободы за пропаганду и оправдание экстремизма:
https://vk.cc/crg4Lk

▪️Британский актер ирландского происхождения Майкл Гэмбон, сыгравший профессора Альбуса Дамблдора в шести фильмах о Гарри Поттере, умер в возрасте 82 лет:
https://vk.cc/crfW2l",5
5439840,-26284064,1695630633,"Инфляция в России будет оставаться на достаточно высоких уровнях весь 2024 год. Об этом сказал министр экономического развития РФ Максим Решетников:
https://vk.cc/cr8CBZ",21
5426497,-26284064,1695008740,"Магазины Tommy Hilfiger в России могут перезапустить до конца 2023 года. Цены на ассортимент вырастут в пределах инфляции. Таким мнением поделился с нашим агентством вице-президент Союза торговых центров Павел Люлин:
https://vk.cc/cqYqbU",3
5354985,-26284064,1692268240,"Депутат Госдумы Яна Лантратова предложила списать кредитные долги семьям с детьми, пишут ""Известия"".

В обращении отмечается, что задолженность граждан перед банками к 1 мая 2023 года достигла 30,22 трлн рублей и это сопровождается стагнацией доходов и инфляцией.

Лантратова подчеркнула, что из числа бедных в России более 80% это семьи с детьми:
https://vk.cc/cqeH1O",16
5312590,-26284064,1690466433,"26 июля Федеральная резервная система США повысила ставку до 5,25–5,5%. Ставка ФРС — процентная ставка, по которой американские банки предоставляют свои избыточные средства в кредит другим коммерческим банкам. Соответственно, ее изменение влияет и на стоимость кредитов для клиентов: физических и юридических лиц.

Также ставка позволяет влиять на объем денег в обороте и контролировать инфляцию. Ценность денег является одним из показателей, на который ФРС ориентируется при установлении диапазона ставки.

Под диапазоном значений подразумевается целевая ставка по федеральным фондам (federal funds target rate). Также существует средневзвешенное значение — эффективная ставка по федеральным фондам (federal funds effective rate).

Повышение стоимости кредитов может быть одной из причин роста долгов населения. Объясняем, что такое ставка ФРС, как она меняется и на что влияет:
https://vk.cc/cpKZQT

#ТАСС_Инфографика",5
5308796,-26284064,1690302651,"Главные темы дня:

▪️Дума приняла закон о призывном возрасте срочной службы с 18 до 30 лет:
https://vk.cc/cpGO0N

▪️Минобороны РФ сообщило о попытке ВСУ атаковать корабль ""Сергей Котов"" в Черном море:
https://vk.cc/cpGt5X

▪️Призывникам будет запрещено покидать Россию со дня размещения повестки в реестре:
https://vk.cc/cpGAAg

▪️Госдума ужесточила ответственность за нарушение требований воинского учета:
https://vk.cc/cpGM8g

▪️Инфляция в России сейчас умеренная, однако уже есть признаки ее ускорения, заявил Владимир Путин на совещании по экономическим вопросам. Собрали основные заявления президента РФ:
https://vk.cc/cpH956

▪️Россия ввела запрет на ввоз продукции из рыбы и морепродуктов из недружественных стран:
https://vk.cc/cpHabx

▪️ФСБ возбудила дело об оправдании терроризма в отношении социолога Бориса Кагарлицкого (признан в РФ иноагентом):
https://vk.cc/cpGK9a

▪️Деятельность SIA TV Rain и TVR Studios B.V. признали нежелательной в России:
https://vk.cc/cpGQvx

▪️МО РФ сообщило об освобождении населенного пункта Сергеевка на краснолиманском направлении:
https://vk.cc/cpH1GQ

▪️Цинь Гана сняли с должности главы МИД КНР. Ван И снова занял этот пост:
https://vk.cc/cpGN8d

▪️Маск заявил, что твиты теперь будут называться ""иксами"":
https://vk.cc/cpHacc",4
5308766,-26284064,1690301727,"Инфляция в России сейчас умеренная, однако уже есть признаки ее ускорения, заявил Владимир Путин. Президент также поручил своевременно индексировать зарплаты в бюджетной сфере. Собрали основные заявления Путина на совещании по экономическим вопросам:
https://vk.cc/cpH956",43
5308700,-26284064,1690299986,"Инфляция в России сейчас умеренная, но есть риски ее ускорения, поэтому надо сохранить ценовую стабильность экономики. Об этом заявил президент РФ Владимир Путин на совещании с правительством:
https://vk.cc/cpH6NS

Видео: ТАСС/Ruptly",15
5300896,-26284064,1689924628,"Правительство разработало предложения по стабилизации цен на топливо. По словам вице-премьера Александра Новака, кабмин не намерен возвращаться к практике введения заградительных пошлин на бензин, чтобы стабилизировать ситуацию на рынке.

Новак добавил, что меры касаются рынка бензина и именно оптового, так как цены в рознице держатся в пределах инфляции:
https://vk.cc/cpBM9r",9
5287140,-26284064,1689284006,"Голливудские актеры в полночь 14 июля (10:00 мск) начнут забастовку, не достигнув договоренности об увеличении выплат с крупными студиями и стриминговыми компаниями.

Среди причин забастовки в Гильдии киноактеров США назвали тот факт, что нынешняя стриминговая модель мешает получать прибыль от повторных показов фильмов, а также высокую инфляцию:
https://vk.cc/cptPIo",6
5269556,-26284064,1688533270,"Главные новости к этому часу:

▪️Путин считает обнадеживающими показатели в экономике России:
https://vk.cc/cpexH5

▪️Мишустин заявил, что инфляция в России за год не должна превысить 5%:
https://vk.cc/cpey0S

▪️Парламентская ассамблея ОБСЕ признала ЧВК ""Вагнер"" террористической организацией:
https://vk.cc/cpet8w

▪️Антонов заявил, что США опозорили себя из-за открытой поддержки украинских нацистов:
https://vk.cc/cpeFIE

▪️Дефицит бюджета России в I квартале составил 2,402 трлн рублей:
https://vk.cc/cpeBKW

▪️Кабмин Японии в свете поездки Трутнева назвал Итуруп незаконно оккупированной территорией:
https://vk.cc/cpeDmb

▪️США заблокировали кандидатуру Уоллеса на пост генсека НАТО, пишет The Daily Telegraph:
https://vk.cc/cpeAHN

▪️Аналог Zara Home и H&M Home выйдет на рынок России осенью:
https://vk.cc/cpeF7m",36
5269170,-26284064,1688509228,"Инфляция в России на начало июля составила 3,4%. В годовом исчислении ожидается, что не превысит 5%, заявил премьер-министр России Михаил Мишустин на встрече с Владимиром Путиным:
https://vk.cc/cpey0S",43
5261293,-26284064,1688122838,"Рабочая группа по фиксированной связи предложила разрешить операторам мобильной связи ежегодно поднимать тарифы на связь на уровень, превышающий инфляцию на 5%. Отбором и проработкой предложений занимается Минцифры РФ, сообщили нам в аппарате вице-премьера РФ Дмитрия Чернышенко:
https://vk.cc/cp8Y00",10
5228202,-26284064,1686943827,"Владимир Путин, выступая на пленарной сессии Петербургского международного экономического форума, объявил о переходе России к суверенной ""экономике предложения"". Также он сообщил о значительном повышении минимального размера оплаты труда и некоторых других новшествах в социальных выплатах.

Во время дискуссий на ПМЭФ обсуждались способы борьбы с инфляцией, будущее международной платежной системы и проверки бизнеса правоохранительными органами.

Собрали основные заявления и события третьего дня форума:
https://vk.cc/coQIVm

#ПМЭФ2023",2
5227462,-26284064,1686919647,"Путин подтвердил индексацию МРОТ с 2024 года на 18,5%, подчеркнул, что это намного выше инфляции:
https://vk.cc/coQdkY

#ПМЭФ2023",9
5214638,-26284064,1686312044,"Банк России в шестой раз сохранил ключевую ставку на уровне 7,5% годовых. ЦБ допускает повышение ставки на ближайших заседаниях для стабилизации инфляции вблизи 4% в 2024 году.

Что такое ключевая ставка? Как решают, какой она будет? Почему ЦБ не стал менять ключевую ставку? Подробнее — в нашем материале:
https://vk.cc/cmnYcF

#ТАСС_Инфографика",4
5181858,-26284064,1684818026,"Главные новости к этому часу:

▪️Мишустин назвал уровень инфляции в России на начало мая самым низким в Европе:
https://vk.cc/cohLf2

▪️Маккарти заявил, что будет ежедневно общаться с Байденом на тему потолка госдолга США:
https://vk.cc/cohEVd

▪️Управляющие компании могут получить доступ к ЕГРН для взыскания долгов по ЖКХ:
https://vk.cc/cohEtM

▪️Адмирал ВМС США заявил, что дефолт может обернуться катастрофическими последствиями для ВС:
https://vk.cc/cohJyx

▪️В НМИЦ эндокринологии заявили о нехватке в России врачей-эндокринологов:
https://vk.cc/cohGEn

▪️Уход брендов из РФ не повлиял на уровень жизни большинства опрошенных россиян:
https://vk.cc/cohHzE",21
5172281,-26284064,1684350546,"Инфляция в зоне евро возобновила рост, в апреле она достигла 7%. Во Франции продовольствие подорожало на 15% за год. В Греции продуктовая инфляция — 10%. В Германии продажи продуктов питания сократились на 10% за месяц, это максимум за 30 лет. В ЕС по итогам года инфляция ожидается на уровне 6%.

Подробнее — в нашем видео.

Видео: ТАСС/Ruptly/Reuters",6
5151457,-26284064,1683377764,"#Прямосейчас в Праге проходит антиправительственная акция протеста. Тысячи людей собираются, чтобы призвать правительство уйти в отставку из-за высокой инфляции и роста стоимости жизни.

Видео: ТАСС/Ruptly",14
5122010,-26284064,1682085895,"В Париже четыре года восстанавливают Нотр-Дам. Работы продолжаются, несмотря на инфляцию и протесты против пенсионной реформы. 15 апреля 2019 года в соборе Парижской Богоматери пламя полностью уничтожило деревянную крышу и шпиль. Причины возгорания неизвестны, но следователи исключают версию поджога. Открыть его для посетителей планируют в 2024-м. Подробнее о реставрации — в нашем видео.

Видео: ТАСС/Reuters",10
5112926,-26284064,1681731910,"Профильный комитет Думы отклонил проект об увеличении МРОТ до 30 тыс. рублей в месяц, потому что изменения не учтены в бюджете на этот год.

Законопроект был внесен в Госдуму депутатами от фракции ЛДПР 11 августа прошлого года. Им предлагается установить МРОТ с 1 января 2023 года в сумме 30 тыс. рублей в месяц. Как отмечается в пояснительных материалах, инициатива направлена на обеспечение ""приемлемого уровня жизни граждан Российской Федерации в условиях роста инфляции и снижения доходов из-за введения антироссийских санкций"":
https://vk.cc/cncmPy",81
5101981,-26284064,1681226183,"Инфляция в России впервые за долгое время оказалась ниже целевого ориентира Центробанка, заявил Владимир Путин на совещании по экономическим вопросам:
https://vk.cc/cn2GMZ

Видео: ТАСС/Ruptly",11
