post_id,text,comment_time,from_id
1771068,"Кроме инфляции есть и другие факторы ухудшения жизни, в основном они связаны с войной. Так что будет только хуже",1674988101,686045911
1771068,Вот только это демографию не спасет никто не хочет рожать Пушечное мясо для Путина,1674988313,765746270
1771068,В стародавние времена данный процесс происходил бездвоздмездно (даром)да и тем кто родил чуток ранее так то не повезло.,1674988426,749588097
1771068,"С этим режимом самому жить страшно, а тут ещё семью создавать. Ну нет, спасибо.",1674989401,688789713
1771068,"11,9 это 9-11 . Не хорошие цифры",1674991114,397377870
1769104,"Время идёт, страна развивается и круто то, что правительство поднимает такие выплаты, повышая уровень жизни людей в стране",1674841077,676213564
1769104,"такую сумасшедшую инфляцию ни индексация, ни путин не опередят. ну повысите вы мрот, а как частные компании будут ее исполнять?",1674841430,529829799
1769104,"Ой!
Опять поручил!
И так 23 года подряд.
Он наш главный поручальщик.",1674841480,344401771
1769104,"5
Колонна, снова всё сольет. Как майские указы. Напомню президент не является властью, по конституции, у него мало полномочий.",1674842120,200082169
1769104,"Кардинально, согласен...",1674842869,16060081
1769104,,1674846671,132942061
1769104,"Да завалил уже деньгами.
Хватит! 🤣",1674848504,240603788
1769104,Что то забыли сюда нагнать защитников властей. Одна Станислава отдувается.,1674849052,5887815
1769104,+²копейки🙆🤷‍♀️🙉😳🤣🤣🤣,1674853553,402007272
1769104,Поручил он... Убийца!,1674865276,16177755
1769104,"Я помню майские указы с такими же поручениями, которые никто и не собирался выполнять.",1674866453,20903048
1769104,🤮🤮🤮,1674868197,5602503
1769104,,1674869058,49661238
1769104,"Он не успевает поручать, инфляция бежит бегом аж спотыкается бежит, но всегда опережает.",1674871534,509648294
1769104,,1674872450,418041852
1769104,"О, сейчас будут просто больше печатать денег и раздавать, не забывая повышать цены.
Европейский бизнес в рф .",1674876012,758337109
1769104,"Шел 24 год ( Обнуленыш все поручает !) итог. Поднял пенсионную , обнулил себя , война между славянами ((( трепло 🤬",1674876140,710168624
1769104,Тролли и боты набежали на работы!,1674877398,710115919
1769104,Сейчас реально МРОТ должен быть 50 тр...,1674880299,650939240
1769104,"Также очень актуален вопрос о пенсиях. Очень неразумно и несправедливо всем пенсионерам повышать пенсии на одинаковый процент.И каждый год, неравенство только возрастает. кому-то пенсия повышается на 5-10 тыс.и т.д., а кому-то только на 0,5 тыс. За несколько лет одна часть пенсионеров благоденствуют (к слову, некоторые работая и получая миллионы) а другие будут еще больше нищенствовать или умрут от недостатка питания и лечения. Что за экономист считает инфляцию и соответствующее повышение пенсий, соцвыплат?! На сумму повышения МРОТ должны повышаться и пенсии., одинаково и одновременно, и обязательно иметь верхний предел. Считаю, что необходимо внести предложение о пересчете и повышении пенсий на сумму повышения МРОТ, который уже учитывает инфляцию и прожиточный минимум.Нужно пресечь разбазаривание бюджета и обеспечить достойную жизнь пенсионерам!",1674882691,552055577
1769104,"Игра на электорат, опять Вовины сказки",1674882899,153404265
1769104,"Опережая на ""пол процента"", кто нибудь верит что наш экономический блок сильно болеет за это? Давайте начнем с отмены пенсионного возраста, ибо многие вообше до него не доживают!",1674884292,711343786
1769104,идиоттизм   🤣🤣🤣🤣,1674884983,266375371
1769104,Кормчий наш.,1674887924,705636
1769104,Правительство Путина как с майскими указами на три буквы пошлет,1674889643,52812491
1769104,"и нахрена нам огромная армия чиновников, дармоедов",1674890086,231743143
1769104,"Епт, куда опять повышать? Задолбали налогами уже",1674895068,710121114
1769104,Рабочие места сокращаются. Кому будут повышать зарплаты не понятно.,1674895491,179780333
1769104,Великий комбинатор,1674898523,458377908
1769104,"У нас тут завод открыли в мо,от мо.15-20 тысяч зарплаты.
А на скорой в Москве водителям 8  лет тариф не поднимали.",1674898649,4866882
1769104,"КОГДА Просыпаться, выходить из ентого Морока Будем ! ???",1674898926,38328214
1769104,Поручик Галицкий,1674899094,35847692
1769104,"Поручать бесполезно, если нет исполнительной дисциплины",1674899488,197353955
1769104,Путин и власть считают...что если на каждого члена семьи выходит более7000 то эта семья считается не бедной...🤣🤣🤣,1674901852,249766663
1769104,"Ресурсы частные, кредиты ,налоги личные  война народная 🤦‍♂️",1674903316,376699406
1769104,Исполняли бы все это частные компании,1674903539,36622959
1769104,ЦИПСО работают ...деньги отрабатывает...боты,1674903758,85376903
1769104,"повысили мрот, а то народ мрот",1674905414,40340586
1769104,"Сколько можно?поручатель😂на пенсию,среднероссийскую😂",1674905489,460696347
1769104,трудящиеся сами должны определять свои доходы на предприятиях. в связи с уровнем доходов предприятия и планами перевооружения или модернизации и амортизации,1674906690,324331692
1769104,,1674916810,314509510
1769104,Зачем нам пенс???...у нас чё молодых перспективных нет???,1674922285,8853239
1769104,Долой пенсацарямаразматика!!!,1674922367,8853239
1769104,"Кабздец.
Вот вы, там, воруете... Пока воруйте( х.ле вам надо от народа? Пиде.ы",1674922597,235612880
1769104,Опять поручения.. кажись это уже было,1674927174,1741420
1769104,"Это я правильно понял, что зачёт этого повышения налоги вырастут. Многие по минималке устроены)))",1674930514,5602282
