post_id,text,comment_time,from_id
1887198,"Ну дак экономика на месте не стоит, постоянно меняется, и вместе с ней меняются и цены на все. Тоже мне повод для паники, взяли бы да перешли на другой тариф, который более выгодный будет, и все",1703831457,795465467
1883625,"Для министра может быть нет, с его зарплатой....",1702017254,270201291
1879445,А может и не повысить. Главное подача информации.,1700049651,4550469
1879445,Просто диверсанты.,1700051227,235204369
1879445,"Разогнать ЦБ, достал",1700056151,711445060
1879445,Теперь это уже не ЦБ а последыш после всех махинаций и руководитель этого стал обычным клерком без печати а её у неё ни когда и небыло но перед камерами пускали пройтись. Вот и доходилась а весь ЦБ перешёл в юрисдикцию к Китаю. Игра окончилась дураков бултунов.,1700118842,195518650
1878681,Ставка ФРС имеет значение для всего мира. Только идиоты хотят краха американской экономики и финансовой системы.,1699613296,77055785
1878681,"Все можно с толком перестроить, перераспределить.",1699614138,147587074
1878681,"Госдолг почти как ВВП ,поднимать ео бесконечно у них не получится",1699614705,708713097
1878681,"Конечно не сложно повысить ставки, когда у тебя не страна, а один большой доллоровый печатный станок",1699621155,820135218
1878509,"Да, Добейте бизнес и инвестиции. Отличное решение. Госкомпаниям дадут бюджетное финансирование  и полностью уничтожим предпринимательство, рабочие места и инвестиции. Вместо того, чтобы дать дешевые деньги, чтобы экономика пришла в движение",1699536458,373398635
1877116,"Сама же гейропа и виновата что теперь кризис у нее, не стоило вводить глупые санкции против РФ",1698836603,732508541
1874072,"ой, так санкции то нам должны были исполртиит жизнь - страннно получается...",1697523540,808408901
1873311,"Правильно говорит ☝🏻
А потом наши люди удивляются почему падает лепнина 🤷‍♂️",1697047279,652878
1871151,😃,1695993465,14606392
1871151,Морген,1695993483,14606392
1870324,"Когда она низкой была, если под 10% ежегодно тарифы естественных монополий поднимают, вопрос министру?",1695627759,55758568
1868131,Инфляция 30 процентов.,1694074529,776001604
1866829,Инна м,1693485185,787264674
1863189,Похоже- они враги нашей страны!!!,1692685694,432605718
1857504,Зарплаты растут с отставанием от инфляции в несколько лет,1691136678,1477812
1856934,"Самое главное, чтобы экономика развивалась в интересах общество. Необходим значительный рост числа рабочих мест",1691044821,797912713
