id,owner_id,post_time,post_text,comments.count
1771068,-15548215,1674987902,"В феврале материнский капитал проиндексируют на уровень фактической инфляции, для семей с одним ребенком он составит 586 946 руб., сообщается в Telegram-канале Госдумы.",14
1769104,-15548215,1674840902,"Президент России Владимир Путин поручил правительству в 2023 г. повысить в стране уровень минимального размера оплаты труда (МРОТ) с опережением роста инфляции и среднемесячной зарплаты, сообщается на сайте Кремля.",91
1767008,-15548215,1674770400,"Российский ритейлер Fix Price успешно отчитался за 2022 г. Компания нарастила выручку и открыла новые магазины в соответствии с планом, говорится в отчете компании за IV квартал и 2022 г. На рост акций дискаунтера в будущем будет влиять увеличение темпа роста продаж и только затем дивидендная политика, говорят эксперты. Но темпы притормозили к концу года на фоне замедления продовольственной инфляции, а по выплатам акционерам менеджмент группы не дал никакой конкретики.",5
1763780,-15548215,1674695701,"На неделе с 17 по 23 января цены на плодоовощную продукцию увеличились в среднем на 3%, в том числе на огурцы – на 6,3%, на репчатый лук – на 5,3%, на морковь – на 3,1%, на помидоры – на 2,8%. С начала января, по данным Росстата, потребительские цены выросли на 0,53%.",5
1760732,-15548215,1674630606,"Главные и самые интересные материалы в газете | 25 января

Госдолг по итогам прошлого года вырос почти на 2 трлн руб. Он приблизился к 23 трлн.

КС обязал суды рассматривать жалобы арестантов на перевод в другие СИЗО. Раньше они считали, что расположение изолятора не лишает доступа к адвокату.

Власти начали обсуждать проблему слишком низкой инфляции. В Минэке посчитали стагнацию спроса в экономике ключевой проблемой этого года.",0
1756398,-15548215,1674489612,"Минюст предлагает новые условия содержания заключенных

Минюст предлагает увеличить сумму, которую заключенные смогут тратить на продукты. Соответствующие поправки, в частности, содержатся в законопроекте ведомства, которым предлагается внести изменения в Уголовно-процессуальный кодекс, а также в закон «О содержании под стражей подозреваемых и обвиняемых в совершении преступлений». Законопроект уже одобрен правительственной комиссией по законодательной деятельности, сообщил «Ведомостям» источник, близкий к Белому дому, и подтвердил собеседник в Минюсте.

Основные поправки

Размер денежных средств для приобретения продуктов питания и предметов первой необходимости предлагается увеличить в размере, эквивалентном уровню инфляции за период 2016–2021 гг. Осужденные граждане в соответствии с законом могут приобретать предметы и вещи по безналичному расчету за счет средств, заработанных в период отбывания наказания, а также за счет получаемых пенсий, социальных пособий и переводов денежных средств. Деньги зачисляются на лицевые счета осужденных.

Среди мер, предложенных Минюстом, есть также увеличение нормы общей площади на одного осужденного в исправительных центрах (ИЦ), где гражданин отбывает наказание в виде принудительных работ. Согласно статистическим данным ФСИН России, приведенным в документе, 98,98% содержащихся в ИЦ осужденных привлечены к труду, из-за чего и возникла необходимость создать для них более комфортные условия.

Полный текст статьи доступен по ссылке:
https://www.vedomosti.ru/society/articles/2023/01/23/959985-novie-usloviya-soderzhaniya-zaklyuchennih",17
1754848,-15548215,1674433201,"Регулярная индексация минимальных заработных плат (minimum wages, российский аналог – МРОТ) странами еврозоны не смогла защитить наименее обеспеченные слои населения от роста цен. К такому выводу пришли эксперты Организации экономического сотрудничества и развития (ОЭСР) в докладе «Минимальные зарплаты в период растущей инфляции».",17
1746014,-15548215,1674079200,"JPMorgan, Bank of America, Citigroup и другие крупнейшие банки открыли сезон отчетности за IV квартал в США. Наряду с финансовыми результатами они опубликовали экономические прогнозы. Главную угрозу для экономики США по-прежнему представляет инфляция, хотя всплеск потребительских цен прошлым летом до 40-летнего пика (9,1% год к году) сошел на нет. Годовая инфляция снижается шестой месяц подряд: в декабре она достигла самого низкого уровня более чем за год, опустившись с ноябрьских 7,1% до 6,5%.",12
1745087,-15548215,1674050569,"Путин ожидает инфляцию в первом квартале на уровне 5%

В I квартале 2023 г. инфляция может составить 5%, заявил президент России Владимир Путин в рамках встречи с рабочими Обуховского завода, входящего в концерн воздушно-космической обороны «Алмаз-Антей».",99
1742235,-15548215,1673957242,"Путин заявил, что динамика экономики РФ оказалась лучше прогнозов

Фактические показатели российской экономики по итогам 2022 г. оказались лучше многих прогнозов. Об этом заявил президент РФ Владимир Путин на совещании по экономическим вопросам.

Главное из заявления: 
 
▪ВВП России в 2022 году, по предварительным данным, снизился лишь на 2,5%. Показатель по дефициту бюджета стал одними из лучших в G20 
 
▪Снижение инфляции в первом квартале 2023 года может составить до 5% 
 
▪Российские газовые компании получили «хорошую прибыль» в 2022 году, а нефтедобыча выросла на 2%, несмотря на санкции 
 
▪Стране нужно отказаться от экспорта необработанной древесины и поставлять продукцию с высокой добавленной стоимостью 
 
▪Надо стимулировать занятость и рост реальных зарплат 
 
▪Важно закрепить тенденцию роста российской экономики 
 
▪Некоторым компаниям разрешается не учитывать голоса акционеров из недружественных стран 
 
[club15548215|@vedomosti]",42
1740887,-15548215,1673884814,"Росстат оценил инфляцию по итогам 2022 года в 11,94%

Инфляция в России по итогам 2022 г. составила 11,94%, следует из данных Росстата. Больше всего выросли цены на услуги – на 13,19% в декабре 2022 г. по сравнению с аналогичным периодом 2021 г. На непродовольственные товары рост цен составил 12,7%, на продовольственные – 10,29%.

В декабре в помесячном выражении Росстат зафиксировал ускорение темпа роста цен на 0,78% после 0,37% в ноябре и 0,18% в октябре. Инфляцию в декабре подстегнула индексация тарифов ЖКХ – услуги подорожали на 2,04% за месяц. Непродовольственные товары в декабре выросли в цене на 0,05% в месячном выражении, продовольственные – на 0,60%.

Цены на продукты выросли за счет сезонного удорожания плодоовощной продукции (на 5,83% после 5,58% в ноябре) и возобновления роста цен на остальные продовольственные товары, говорится в обзоре Минэкономразвития «О текущей ценовой ситуации». Сдерживающее влияние на инфляцию оказало снижение темпов роста цен в секторе непродовольственных товаров при продолжающемся удешевлении большинства товаров длительного использования, отмечается в комментарии министерства.

Полный текст статьи доступен по ссылке:
https://www.vedomosti.ru/economics/articles/2023/01/13/959014-rosstat-otsenil-inflyatsiyu",16
1737263,-15548215,1673634603,"Больше всего выросли цены на услуги – на 13,19% в декабре 2022 г. по сравнению с аналогичным периодом 2021 г. На непродовольственные товары рост цен составил 12,7%, на продовольственные – 10,29%.",10
1734557,-15548215,1673533447,"Инфляция в США в декабре замедлилась до 6,5%

Индекс потребительских цен в США по итогам декабря снизился на 0,1% по сравнению с ноябрем, когда было зафиксировано, наоборот, его увеличение на 0,1%. В годовом выражении потребительские цены выросли на 6,5%",16
1732488,-15548215,1673446004,"Минэкономразвития оценило инфляцию по итогам 2022 года в 11,9%

В 2022 г. инфляция в России составила 11,9%, сообщил глава Минэкономразвития Максим Решетников на совещании президента Владимира Путина с членами правительства.",11
1717597,-15548215,1672385183,"Второй этап повышения тарифов на ЖКУ в России пройдет 1 января

С 1 января 2023 г. в России в среднем на 9% вырастет стоимость жилищных услуг, а ранее, с 1 декабря 2022 г., уже были проиндексированы коммунальные тарифы.",91
1716288,-15548215,1672306677,"Росстат включит в расчёт инфляции расходы на ремонт телевизоров и мойку авто

С 1 января набор товаров и услуг для расчета месячной инфляции увеличится с 558 до 566 позиций. Среди них: молоко более 3,2% жирности, сухие приправы и специи, поездки в Крым.",5
1716078,-15548215,1672301138,"Силуанов: инфляция в России по итогам 2022 года составит около 12%.

«Мы справились с инфляцией, и по этому году инфляция будет около 12%. Хотя ожидания изначально были гораздо выше», — заявил Силуанов в интервью телеканалу «Россия 24»",6
1713746,-15548215,1672207164,"«Ведомости» оценили, какие сценарии ждут экономику и подготовили консенсус-прогноз на 2023 г. по основным макроэкономическим показателям – ВВП, инфляции, курсу рубля, цене нефти и инвестициям.

[club15548215|@vedomosti]",27
1712494,-15548215,1672144787,"Белоусов спрогнозировал инфляцию в России ниже прогноза в 2023 году

Инфляция в России в 2023 г., скорее всего, будет ниже прогноза в 4-5%, заявил вице-премьер Андрей Белоусов.",10
1711881,-15548215,1672130904,"Силуанов спрогнозировал снижение инфляции в первой половине 2023 года

В первом полугодии 2023 г. инфляция в России будет находиться на низком уровне. Такое заявление сделал министр финансов Антон Силуанов.",13
1692947,-15548215,1671194791,"Набиуллина сообщила о замедлении годовой инфляции в ближайшие месяцы

Годовая инфляция в России продолжит замедление в ближайшие месяцы, заявила председатель Банка России Эльвира Набиуллина.",20
1688722,-15548215,1671040818,"Инвесторы ждут от ФРС замедления темпов повышения ставки

Индекс потребительских цен в США (индекс CPI) снижается пятый месяц подряд. В июне он находился в районе 9,1%, а к ноябрю опустился до 7,1% годовых, став самым низким показателем с декабря прошлого года. Это значительно выше целевых 2%, но ниже рыночных ожиданий в 7,3%, что дает основания ожидать от ФРС более сдержанных темпов повышения ставки. На последнем заседании в ноябре регулятор повысил диапазон ставки на 0,75 п. п. до 3,75–4%. Это стало шестым подряд повышением и четвертым – с шагом 0,75 п. п. В результате стоимость заимствований достигла максимума с 2008 г.

Федрезерв может замедлить темпы повышения процентных ставок уже в декабре, предупредил председатель ФРС Джером Пауэлл 30 ноября. Он также отметил, что денежно-кредитная политика (ДКП) будет оставаться ограничительной, пока не появятся реальные признаки охлаждения инфляции. После его заявления рынок пересмотрел прогноз в пользу более мягкого повышения ставки: инвесторы начали ждать шага не в 0,75, а в 0,5 п. п. Согласно данным CME Group, вероятность такого повышения выросла с 65 до 77%. Все опрошенные «Ведомостями» аналитики ожидают от ФРС того же.

Полный текст статьи доступен по ссылке:
https://www.vedomosti.ru/investments/articles/2022/12/14/955139-investori-zhdut-ot-frs-zamedleniya",1
1680716,-15548215,1670440806,"Недельная инфляция в России ускорилась до 0,58%",16
1678566,-15548215,1670154132,"Евросоюз и США не смогут прийти к компромиссу по вопросу вокруг субсидирования Вашингтоном американских компаний, необходимо подать жалобу в ВТО, заявили в Европарламенте.

Ранее Джо Байден подписал закон, который должен способствовать снижению инфляции:",4
1675546,-15548215,1669886410,Нефтяники обсудили с властями снижение рентабельности АЗС. Цены на топливо растут ниже уровня инфляции.,15
1673140,-15548215,1669608505,"«Вопросы и опасения ЕС в связи с законом США о снижении инфляции обсуждаются в рабочей группе ЕС и США с целью поиска взаимовыгодных решений», – сообщили «Ведомостям» в правительстве Германии.",19
1669723,-15548215,1669138816,"Украинский кризис не является основной причиной ухудшения экономической ситуации в Европе. Об этом заявил канцлер ФРГ Олаф Шольц.

Он отметил, что счастливые времена, когда европейцы и североамериканцы могли наслаждаться лучшим из всех экономических благ — стабильным ростом, низкой инфляцией и высоким уровнем занятости — прошли.",65
1667580,-15548215,1668946809,"Годовая инфляция в сентябре была выше всего в Зимбабве, Ливане, Венесуэле и Судане, Россия же заняла в этом списке 45-е место, следует из расчетов «РИА Новости». 

Агентство провело исследование на основе данных статистических служб 193 стран:",17
1651068,-15548215,1667293258,"Годовая инфляция в Европе в октябре достигла нового рекорда и превысила 10,7%. Больше всего выросли цены на электроэнергию (41,9%), а также на продукты питания, табак и алкоголь (13,1%).

Инфляция продолжает разгоняться, несмотря на ужесточение денежно-кредитной политики Европейским центральным банком:",20
1650657,-15548215,1667248218,"Годовая инфляция в еврозоне по итогам октября составит рекордные 10,7% после 9,9% в сентябре.

Наибольшие темпы годовой инфляции зафиксированы в Эстонии (22,4%), Литве (22%) и Латвии (21,8%), наименьшие – во Франции (7,1%), Испании (7,3%) и на Мальте (7%). На что сильнее всего выросли цены:",29
1649985,-15548215,1667206823,"Сезонная дефляция закончилась, заявил «Ведомостям» министр экономического развития Максим Решетников. При этом нынешние темпы инфляции «даже ниже целевых», отметил он.

По итогам года показатель может быть меньше, чем предусмотрено в официальном прогнозе Минэка:",6
1645950,-15548215,1666876815,"Европейский центральный банк принял решение поднять три ключевые процентные ставки на 75 б.п.

Совет управляющих ожидает дальнейшего повышения процентных ставок, чтобы обеспечить своевременное возвращение инфляции к ее среднесрочному целевому показателю в 2%:",3
1645562,-15548215,1666858505,"Страховые организации фиксируют рост выплат в добровольном медицинском страховании (ДМС), а вместе с ним и убыточности из-за медицинской инфляции.

Это связано с подорожанием медицинских услуг и высоким спросом:",4
1645450,-15548215,1666850412,"Рекордная инфляция в еврозоне не оставляет для местного центробанка пространства для маневра даже с учетом риска рецессии в экономике: на заседании 27 октября Европейский центробанк поднимет ставки на 0,75%, считают опрошенные «Ведомостями» аналитики.

Таким образом, базовая процентная ставка по кредитам может быть повышена 27 октября до 2%, ставка по депозитам – до 1,5%, по маржинальным кредитам – до 2,25%:",87
1644100,-15548215,1666688437,"Предельный размер страхового возмещения по банковским вкладам предлагается увеличить с 1,4 млн руб. до 3 млн руб. Максимальная страховая защита по вкладам с 2014 года составляет 1,4 млн руб., а инфляция за этот период достигла 68,16%, отмечают законодатели.

Санкции против России сказались на инфляционных ожиданиях, темпе роста отечественной экономики и стабильности финансовой системы – доверие к финансовым институтам снизилось, говорится в законопроекте:

https://www.vedomosti.ru/finance/articles/2022/10/24/947103-strahovoe-vozmeschenie-po-vkladam-hotyat?utm_source=vk.com&utm_medium=social&utm_campaign=predelnyi-razmer-strahovogo-vozmescheniya",9
1642982,-15548215,1666546749,"Некоторые крупные американские компании скорректировали порядок выделения бонусов топ-менеджерам, чтобы те не почувствовали последствий ухудшающейся ситуации в экономике. 

Об этом пишет Financial Times:",9
1640395,-15548215,1666342810,"Отношение средней пенсии неработающего пенсионера в РФ к средней зарплате к 2026 г. опустится ниже 30%, пишет РБК со ссылкой на заключение Счетной палаты.

Сохранение тренда на понижение объясняется тем, что, хотя пенсии и будут расти с опережением инфляции, зарплаты будут расти быстрее:",35
1640193,-15548215,1666336509,"Премьер-министр Михаил Мишустин подписал распоряжение о направлении 1 трлн руб. из Фонда национального благосостояния на покрытие дефицита федерального бюджета в текущем году.

Хотя распечатывание кубышки можно считать прямой денежной эмиссией, на цены это почти не повлияет, считают эксперты:",5
1640026,-15548215,1666330214,"Банки ужесточают свои риск-политики на фоне частичной мобилизации, повышая проценты по зай­мам наличными. Средняя ставка по потребкредитам в топ-20 банках с 13 по 20 октября выросла до 19,88% годовых:",34
1637326,-15548215,1666099814,"Российский ритейлер X5 Group, управляющий торговыми сетями «Пятерочка», «Перекресток» и «Чижик», показал сильные операционные результаты за 9 месяцев.

Общие продажи выросли на 19,5% год к году, динамика выручки ускорилась по сравнению со II кварталом (18,6%). У ритейлеров есть сильные перспективы роста:",5
