id,owner_id,post_time,post_text,comments.count
1887198,-15548215,1703822711,Операторам связи запретят бесконтрольно увеличивать тарифы выше уровня инфляции. Об этом заявил вице-премьер России Дмитрий Чернышенко в интервью «РИА Новости».,1
1887014,-15548215,1703723713,"«Ведомости» подготовили консенсус-прогноз на 2024 г. по основным макроэкономическим показателям – ВВП, инфляции, курсу рубля, цене нефти, стабильности бюджета и доходам граждан. Пока оценки традиционно консервативны. Но годом ранее аналитики также смотрели в будущее со скепсисом: в конце 2022 г. большая часть экономистов прогнозировали спад ВВП на 2023 г. Минэк ожидал падения на 0,8%, в ЦБ допускали снижение на 1–4%. Сейчас понятно, что ситуация сложилась противоположным образом: ВВП по итогам года вырастет на 3,5%.",0
1886029,-15548215,1703172649,"Центральный банк Турции повысил базовую ставку с 40 до 42,5% в рамках усилий по сдерживанию инфляции. Об этом сообщается в релизе ЦБ.",0
1885324,-15548215,1702932012,"Годовая инфляция в России в ноябре ускорилась до 7,48% после 6,7% в октябре. Рост цен зафиксирован из-за сезонного подорожания отдельных товаров и услуг. Данные опубликованы в традиционном вестнике «Динамика потребительских цен», который подготовил Центробанк.",0
1885112,-15548215,1702849247,"Весь этот год в России говорят о стремительном росте заработных плат. Президент Владимир Путин во время прямой линии 14 декабря заявил, что рост реальных зарплат населения по итогам 2023 г. должен составить 8% за вычетом инфляции. По последним данным Росстата за сентябрь, средняя зарплата в России составила 70 900 руб.",0
1884651,-15548215,1702518023,"Вице-спикер Госдумы Владислав Даванков (фракция «Новые люди») предложил заместителю председателя правительства Татьяне Голиковой проиндексировать размер выплат медицинским работникам за выявление онкологических заболеваний, учитывая инфляцию в 31,94% с момента запуска этой стимулирующей меры в 2020 г. по октябрь 2023 г. (по данным Росстата). Соответствующее обращение депутат направил Голиковой, «Ведомости» ознакомились с его содержанием и направили запрос в аппарат вице-премьера.",0
1884404,-15548215,1702420811,"Индекс потребительских цен (CPI) в США составил по итогам ноября 3,1% в годовом выражении по сравнению с 3,2% в октябре, сообщило федеральное бюро статистики труда страны на своем сайте.",0
1883625,-15548215,1701982212,"Инфляция в России превышает цель ЦБ, но не является критичной, заявил министр экономического развития Максим Решетников на инвестиционном форуме «Россия зовет!».",1
1883399,-15548215,1701896107,"Недельная инфляция в России с 28 ноября по 4 декабря составила 0,12%. С начала декабря цены выросли в среднем на 0,07%, с начала года – на 6,79%, следует из данных Росстата. Среднесуточный прирост в декабре составил 0,017%.",0
1883392,-15548215,1701890706,"В России по итогам 2023 г. ВВП вырастет на 3,1%, а годовая инфляция составит 7,6%, ожидают аналитики, принявшие участие в макроэкономическом опросе ЦБ. Прогноз по обоим показателям был увеличен на 0,6 п. п. по сравнению с октябрем.",0
1882917,-15548215,1701735614,"Сотовые операторы смогут проиндексировать цены на связь выше уровня инфляции. Это предусматривает целевой сценарий развития, включенный в стратегию отрасли связи до 2035 г. Документ был утвержден правительством 4 декабря. Но для того, чтобы реализовать этот сценарий, операторы должны будут взять на себя обязательства по развитию новых поколений связи, современных технологий и также по строительству инфраструктуры на новых территориях (ДНР, ЛНР, Херсонской и Запорожской областях), следует из документа.",0
1882330,-15548215,1701365423,"Годовая инфляция в 20 странах Еврозоны замедлилась по итогам ноября до минимальных с июля 2021 г. 2,4% после 2,9% в октябре и 4,3% в сентябре, следует из предварительной оценки Евростата.",0
1881753,-15548215,1701196819,"Аналитики «БКС экспресс» назвали пять фаворитов на российском фондовом рынке – «Новатэк», Сбербанк, «Татнефть», «Магнит», «Северсталь». По их мнению, эти акции исторически показывают хороший рост и на горизонте нескольких лет могут не только увеличить размер портфеля, но и значительно обогнать инфляцию.",0
1881303,-15548215,1701042601,"В 2023 г. российская экономика преодолела несколько шоков. В начале года власти фиксировали рекордный дефицит бюджета из-за падения цен на нефть, а летом и в начале осени пришлось принимать экстренные меры для стабилизации рубля на фоне «перелета» курса за 100 руб./$. Сейчас ситуация стабилизировалась. Более того, прогнозы ВВП и дефицита бюджета на 2023 г. недавно вновь были скорректированы в лучшую сторону. Западные СМИ начали писать, что экономику намеренно приводят в оптимальную форму к старту президентской кампании. Путин ни одно решение не принимает «под выборы», заявил 21 ноября в интервью «Московскому комсомольцу» помощник президента Максим Орешкин, отвечая на соответствующий вопрос. Но признал, что в российской экономике ситуация складывается благоприятно. «Ведомости» оценили, какими будут курс рубля, инфляция и другие базовые экономические показатели в ближайшие месяцы.",0
1880964,-15548215,1700812846,"Национальный банк Казахстана снизил базовую ставку с 16% до 15,75% с коридором +/– 1 п. п. на фоне «динамичного» замедления инфляции, сообщается на сайте регулятора. Это уже третье снижение показателя подряд с августа.",0
1879722,-15548215,1700151329,"Сейчас годовая инфляция в России превышает 7%, такие показатели нельзя назвать безобидными. Об этом заявила председатель Банка России Эльвира Набиуллина, выступая в Госдуме. Трансляция заседания шла на сайте нижней палаты.",0
