id,owner_id,post_time,post_text,comments.count
8562360,-24136539,1703503431,"Инфляция не стала единственной причиной резкого роста цен на яйца заявила Эльвира Набиуллина. 
 
Глава ЦБ объяснила, что при высоких общих темпах инфляции регулярно ""выстреливают"" цены на тот или иной продукт. 
 
Однако свою роль на этот раз сыграл высокий спрос, который ""опередил возможности предложения"", добавила она.
 
Смотрим подробности: https://smotrim.ru/article/3722870?utm_source=smm&utm_medium=vgtrk&utm_campaign=r24",108
8558263,-24136539,1703413800,"В канун католического Рождества Дмитрий Медведев напомнил европейцам о высокой инфляции, ""толпах украинцев, праздно шатающихся по улицам"" и получающих щедрые пособия, а также ""политиках-дегенератах"", кричащих о войне между Украиной и Россией ""до победы"". 
 
""Европа, привет! Что с тобой не так, ты совсем разболелась?"" - так российский политик закончил свое поздравление в социальной сети X.",91
8550675,-24136539,1703170145,,20
8529888,-24136539,1702552278,"Президент РФ назвал обеспечение безопасности пассажиров главным критерием при решении вопроса об открытии аэропортов на юге России. 
 
🔺 Путин: высокоскоростная дорога для ж/д сообщения планируется сначала между Москвой и Петербургом, а потом и на юг. 
 
🔺Внутренний туризм в России развивается хорошими темпами, сообщил российский лидер. 
 
🔺Президент РФ заявил об отсутствии ""охоты на ведьм"" в делах против журналистов по обвинениям в вымогательстве. 
 
🔺""Я сам немножко оторопел, когда об этом услышал"": Владимир Путин прокомментировал приговор журналистке Баязитовой. 
 
🔺Также президент РФ подчеркнул, что экономические приговоры у него тоже вызывают вопросы. 
 
🔺Путин: поручу законодателям оценить строгость наказания за экономические преступления. 
 
🔺Нужно постоянно работать над собой, и я постараюсь это делать, отметил президент РФ. 
 
🔺Президент РФ рассказал, что указывал главе Минсельхоза на проблему с ценами на яйца. 
 
🔺Владимир Путин извинился перед россиянами за повышение цен на яйца, назвал это сбоем в работе правительства. 
 
🔺Глава государства на прямой линии пообещал разобраться с ростом тарифов на ЖКХ в Новосибирске. 
 
🔺Владимир Путин рассчитывает, что грядущая индексация пенсий на 7,5% окажется не ниже инфляции.

Смотрим прямую трансляцию в нашем сообществе ""Вконтакте"": https://vk.com/video-24136539_456349668",25
8529371,-24136539,1702546299,"""Реальная зарплата вырастет на 8%. Это за вычетом инфляции. Я понимаю, что не у всех будет так, но в среднем по стране – эта статистика точная"", - подчеркнул Владимир Путин. 
 
Президент также сообщил, что с 1 января 2024 года МРОТ будет повышен сразу на 18%.",96
8513833,-24136539,1702050274,,49
8463828,-24136539,1700315588,,30
8460387,-24136539,1700164800,"Главное к вечеру четверга: 
 
🔲 Банк России планирует в 2024 году вернуть инфляцию к цели в 4% 
https://smotrim.ru/article/3657056?utm_source=smm&utm_medium=vgtrk&utm_campaign=r24
 
🔲 Возглавивший британский МИД Дэвид Кэмерон первым делом посетил Украину 
https://smotrim.ru/article/3656800?utm_source=smm&utm_medium=vgtrk&utm_campaign=r24
 
🔲 Мировые СМИ обсуждают итоги переговоров лидеров Китая и США
https://smotrim.ru/article/3655864?utm_source=smm&utm_medium=vgtrk&utm_campaign=r24
 
🔲 В Астрахани обрушились два подъезда жилой пятиэтажки
https://smotrim.ru/theme/12144?utm_source=smm&utm_medium=vgtrk&utm_campaign=r24",29
8422606,-24136539,1698862104,"Путин ожидает, что санкции против РФ будут усиливаться.

Нужно усиливать все положительный тенденции экономики — Путин.

Указ по валютной выручке уже сыграл положительную роль.

Безработица в России устойчиво низкая, около 3%, а зарплаты растут выше инфляции.

Путин указал правительству и ЦБ, что нужно скоординировано снижать инфляцию.",98
8317408,-24136539,1695833831,,42
8302192,-24136539,1695390759,"Новое равновесие рубля в 2024-2026 годах будет формироваться на уровне 90-92 рубля за доллар, сообщил Максим Решетников. 
 
Социальные выплаты в РФ будут проиндексированы по фактической инфляции, добавил министр экономики.",45
8280323,-24136539,1694780525,"Потребуется продолжительный период жесткой монетарной политики в РФ, заявила Эльвира Набиуллина. Другие заявления председателя ЦБ: 

📌 Набиуллина: валютная структура экспортных расчетов России не влияет на динамику курса рубля, даже если расчеты в рублях. 

📌 Ставка ЦБ повышена из-за инфляционных рисков, она останется высокой до устойчивого замедления инфляции – Набиуллина. 
 
📌 Глава Банка России подчеркнула, что рисков финансовой стабильности нет.",70
8279962,-24136539,1694773928,"Банк России повысил ключевую ставку до 13% с 12% годовых.

Также ЦБ повысил прогноз по инфляции в России на конец 2023 года до 6-7%.",30
8276385,-24136539,1694683525,"Стоимость обучения в российских вузах для первокурсников выросла примерно на 9% по сравнению с прошлым годом, сообщил министр науки и высшего образования РФ Валерий Фальков.
 
В интервью Наиле Аскер-заде в эфире телеканала ""Россия 24"" он уточнил, что со второго курса и далее повышение стоимости привязано к уровню инфляции.",27
8232521,-24136539,1693473760,"⚡ Конкретных итогов обсуждения по зерновой сделке нет, заявил Дмитрий Песков. Также он отметил, что Москва готова к ней вернуться после выполнения всех условий, касающихся России. 
 
Заявление Киева о виновности России в голоде на африканском континенте он назвал безосновательными и ошибочными.

Другие заявления:
 
🔺 Россия и КНДР поддерживают добрые, взаимоуважительные отношения, намерены развивать их и дальше. 
 
🔺 Россия является ответственным поставщиком зерновых, несмотря на трудности, связанные с санкциями. 
 
🔺 Инфляция сейчас ""чуть выше"" целевого уровня, но все равно достаточно низкая. 
 
🔺 Путин держит на постоянном контроле и регулярно обсуждает с правительством тему роста цен.",46
8227846,-24136539,1693375689,"С начала года в России цены на жизненно необходимые препараты и важнейшие лекарства выросли на 1,6%, что ниже уровня инфляции, сообщил Михаил Мурашко. 
 
Также министр здравоохранения добавил, что скачков цен из-за валютных колебаний не ожидается.",39
8203012,-24136539,1692717529,"⚡С 1 января 2024 года запланировано опережающее повышение МРОТ – сразу на 18,5%, заявил Владимир Путин. 
 
Глава государства подчеркнул, что это будет гораздо выше и темпов инфляции, и темпа роста зарплат в стране.",64
8167934,-24136539,1691669727,"Россия в ближайшее время поставит шести странам Африки от 25 до 50 тысяч тонн зерна, сообщил министр сельского хозяйства РФ Дмитрий Патрушев.

Говоря о продовольственной инфляции в стране, глава сельскохозяйственного ведомства отметил, что пока она достаточно незначительная. Он напомнил, что у правительства имеется масса инструментов для сдерживания инфляции. В их числе – меры таможенно-тарифного регулирования, меры, работающие в рамках механизма интервенционного фонда по зерну, а также точечная поддержка отдельных подотраслей.",88
8160061,-24136539,1691423864,,33
8079612,-24136539,1689072425,"""По всем направлениям есть динамика"", — сообщил председатель правления Банка ВТБ Андрей Костин на рабочей встрече с Владимиром Путиным.

📌Санкции против России разрушили мировую экономику и привели к инфляции на Западе.

📌Мы постепенно начинаем работать в юанях и других валютах.",15
8061241,-24136539,1688536606,"""Все социальные обязательства будут выполнены"", – заявил Михаил Мишустин, завершая доклад Владимиру Путину о ситуации в экономике. Президент отметил, что ""это очень важно"". ""Но не менее важно то, что у нас результаты лучше ожидаемых ранее, лучше прогнозных"", - подчеркнул глава государства.

Ключевые тезисы Михаила Мишустина:

🔲 ""Экономика страны продолжает уверенно восстанавливаться, несмотря на санкции"".
 
🔲 Средний уровень достижения показателей по нацпроектам составляет 98,95%.
 
🔲 Рост ВВП за 5 месяцев составил 0,6%. По прогнозу он должен составлять более 2% за год.
 
🔲 Инфляция на начало июля – 3,4%. По итогам года показатель ожидается в районе 5%.

🔲 Реальные заработные платы за четыре месяца выросли на 4,2%. В апреле показатель год к году составил 10,4%. В номинальном выражении – на 11,4% 
 
🔲 Безработица достигла исторического минимума 3,1–3,2%. Созданы программы переобучения.

🔲 Промышленное производство в мае показало рост 1,8% месяц к месяцу. 

🔲 Уровень обрабатывающей промышленности май к маю вырос на 12,8%. 
 
🔲 Рост оптовой торговли составил 8,4%, строительной отрасли – 4,7%. В годовом выражении рост оптовой торговли на 14,5%, стройки – на 13,5%. 
 
🔲 Рост суммарного оборота розничной торговли, общественного питания и платных услуг населению ускорился до +8,8% год к году.",181
8012398,-24136539,1687251127,"Выручка российских компаний в 2022 году выросла почти в два раза – до 1,27 квадриллиона рублей – и впервые в истории превысила 1 квадриллион рублей.
 
При этом прибыль компаний выросла только на 5,9% – с 29,4 триллиона рублей до 31,1 триллиона рублей. Фактически же этот показатель даже снизился, учитывая инфляцию в 13,8%.",63
8004635,-24136539,1686945600,"Важные новости к вечеру пятницы: 
 
🔺 Путин: такой низкой безработицы еще не было, инфляция близка к минимуму: https://smotrim.ru/article/3407315?utm_source=smm&utm_medium=vgtrk&utm_campaign=r24
 
🔺 Россия слезает с нефтегазовой иглы, тенденция набирает обороты: https://smotrim.ru/video/2633760?utm_source=smm&utm_medium=vgtrk&utm_campaign=r24
 
🔺 РФ увеличит экспорт по маршруту ""Север – Юг"": https://smotrim.ru/article/3408037?utm_source=smm&utm_medium=vgtrk&utm_campaign=r24
 
🔺 МРОТ и пособия: заявления президента: https://smotrim.ru/article/3407962?utm_source=smm&utm_medium=vgtrk&utm_campaign=r24
 
🔺 Для учебных заведений введут показатели эффективности: https://smotrim.ru/article/3408145?utm_source=smm&utm_medium=vgtrk&utm_campaign=r24",194
8003944,-24136539,1686925051,"Запад предпринимает максимальные усилия, чтобы Россия понесла стратегическое поражение на поле боя, делают все, что в их силах, - Путин на ПМЭФ. Другие заявления: 

🔴В некоторых случаях скидки на российскую энергопродукцию минимальные, при этом в целом объемы продаж приличные, никакой катастрофы нет.

🔴Любые нерыночные ограничения в мировой торговле контрпродуктивны.

🔴Те, кто говорят, что Россия попадет в зависимость от Китая, сами уже давно в нее попали.

🔴Санкции не мешают развитию России, а те, кто пытаются искусственно ограничить что-то, сами страдают в первую очередь.

🔴Западу выгоден нынешний кризис на Украине, он стал поводом прикрыть свои ошибки, когда довели себя до резкого роста инфляции, вваливая деньги в экономику. 

🔴У нас нет цели дедолларизации экономики.",18
8003651,-24136539,1686918338,"""Инфляция в России сейчас ниже чем во многих западных странах, близка к историческому минимуму и составляет 2,9% процента"", — заявил Путин в эфире телеканала ""Россия 24"". 

Президент также добавил, что безработица в стране сейчас составляет 3,3%: ""Такой низкой она еще никогда не была в нашей истории"".

Смотрим трансляцию: https://vk.com/video-24136539_456341323",12
8003618,-24136539,1686917901,"""Мы сохраним свое место в числе ведущих экономик"", — отметил президент, выступая на пленарном заседании ПМЭФ. 
 
Другие заявления Путина: 
 
⚫️ Инфляция в РФ ниже, чем во многих западных странах и близка к историческому минимуму - составляет 2,9%. 
 
⚫️ Безработица, по словам президента, составляет 3,3%, такой низкой она ещё никогда не была. 
 
⚫️ Россия должнна увеличивать расходы на оборону для обеспечения безопасности страны. 
 
⚫️ Финансовые возможности России позволяют держать курс на сокращение бедности и неравенства, - отметил глава государства. 
 
⚫️ Реальные и располагаемые доходы граждан вернулись к росту. 
 
⚫️ Россия слезает с нефтяной иглы, эта тенденция постепенно набирает обороты. 
 
⚫️ Президент отметил, что Россия никогда никого не выгоняла с российского рынка. У каждого было право выбора.",30
7971335,-24136539,1685991680,"Бюджетная система России устойчива, несмотря на ограничительные меры. Об этом заявил министр финансов РФ Антон Силуанов в интервью китайскому телеканалу CGTN. ""Произошло снижение инфляции, у нас сегодня инфляция ниже 3% – 2,3% в отличие от тех стран, которые вводили санкции против России"", – отметил он. 
 
Глава Минфина также подчеркнул, что РФ полностью выполняет все бюджетные обязательства.",60
7924931,-24136539,1684818600,"Инфляция в России в начале мая замедлилась до 2,3% годовых, что является минимальным показателем среди всех стран Европы. 
 
Об этом заявил Михаил Мишустин на Российско-китайском бизнес-форуме в Шанхае.",99
