post_id,text,comment_time,from_id
1871888,Дмитрий Анатолич! 🔥🔥🔥,1675168976,27708781
1871888,Кто разбудил пустобрёха???,1675168977,579438064
1871888,я думаю-удивлю москву снегопадами-раз с первого раза не поняли,1675169097,404728269
1871888,"а потому что поделлом им, кто сказал что россия долна быть по запретом получения информации? вплоть до получения кино!",1675169105,777091516
1871888,"Годами травили пиратов, блокировали торенты, давали статьи за пиратское по, а теперь это ччело пиратов хвалит вдруг.",1675169284,744777869
1871888,И мы ещё об авторском праве говорить пытаемся!,1675170024,160277916
1871888,"А если на западе, страшно сказать, нашего Чебурашку пираты возьмут на абордаж?",1675170282,775165973
1871888,"Жириновского не стало. Но свято место, пусто не бывает.",1675170805,199678198
1871888,"Ну а как ещё с ними поступать? Вводят санкции, вот им ответ, считаю что это справедливо",1675173199,777219899
1871888,Переобувается МГНОВЕННО.,1675177248,128992342
1871888,Молодец в президенты его.,1675183757,493303048
1871888,Грузию за месяц разнёс будучи главнокомандующим.,1675183809,493303048
1871888,Пока остальные на олимпиаду ездили,1675183934,493303048
1871888,"Запад не хочет, чтобы Россия платила за их контент. ОК. Будем потреблять его бесплатно.",1675221650,699459384
1871888,"Мне кажется если запад решил вести грязную игру и ограничивать нас в контенте, то и не надо стремиться им за него денег заносить",1675223174,777010473
1870686,,1675100630,59797614
1870686,А на импорт не запрещает?  Как это понять?,1675101055,61265334
1870686,"То, как Пригожин уделывает Гиркина в принципе можно применить ко всем врагам России, только лица в ФШ менять 😀",1675101165,365123442
1870686,"В санкционный перечень вошли также радиоактивные материалы,🤣они уже не хотят на уничтожать?",1675102976,505186807
1870686,А рыбку ловить хочется?,1675103345,175234777
1870686,Да  обмен что надо мы вам санкции а вы нам рыбу Вот переживаю насчет Хари  не треснет,1675104353,713255874
1870686,Любовь любовью кушат хочется всегда.,1675104845,473717625
1870686,Засуньте свои санкции себе в Очко!!🤣🤣🤣,1675105872,622518380
1870686,"Вот и хорошо. А мы их пускать не будем осьминогов и всякую рыбу, с крабами ловить. У них 150мл. человек населения, и все они сидят на морепродуктах. Запасайтесь попкорном, будем глядеть, как они будут изворачиваться в этой ситуации.",1675139335,749452989
1869807,понятное дело,1675075413,52841218
1869807,"Ох уж этот деревенский прапорщик, который никогда не врёт... 😁",1675075772,734057518
1869807,"Ну да.. А хозяин Пескова правдив до невозможности😏.. Про пенсионный возраст, сроки на троне, про мобизации не будет и пр.",1675075798,755162520
1869807,"Верю Джонсону больше чем Путину...
он в бункере не прячется, а катает на велосипеде как простой английский мужик.",1675075816,374507280
1869807,Трудности перевода.,1675075867,681466608
1869807,Грязное дело политика.,1675076428,735840728
1869807,Когда начнёт работать трибунал награда найдёт каждого без срока давности.,1675077502,228746952
1869807,"Пескову чуть-чуть не по себе за бориса, а за своего бункерного хозяина, видимо, нет. А вот мне- наоборот, и не чуть-чуть, а совсем и навсегда.",1675078162,467990555
1869807,"У всех жителей России не хватит пальцев, чтобы посчитать, сколько раз врали путин и песков🤣",1675078698,770798011
1869807,Лживость - одна из основных черт буржуазных правителей . Везде.,1675084780,205855570
1869807,"Опубликуйте текст, и все станет на свои места",1675089190,476979452
1869807,"Джонсон хочет показать себя ""великим""...правда с должности премьера быстро ""слетел""!",1675106864,483049908
1869807,"Как будто это первый раз когда Джонсон слухи пускает, как вообще кто то на это купился?",1675113114,731671711
1869807,Россия никогда никому не угрожала. Россия лишь всегда защищает интересы своей страны и народ!,1675116586,732463658
1869342,Больше промывания мозгов!😇,1675066364,532207880
1869342,Детей давно надо забирать со школ и переводить на домашнее обучение.,1675066839,755366974
1869342,Зачем такое вводить в историю?,1675067105,598873158
1869342,Опять частичное уточнение истории? Где правдивый переработанный учебник?,1675067210,31267273
1869342,👍👍👍,1675067405,758777702
1869342,"Наших детей все больше делают Иванами родства не помнящими те, кого вообще к образовательному процессу подпускать нельзя. 
Не написана настоящая история народов, населявших древнюю Русь. До девятого века вся история выстроена немцами. Молодежи на основании литературного вранья  вбивают в сознание, что советский период был периодом угнетений свободомыслия, а не расцветом возможностей и достижений социалистического строя. Но зато будут изучать СВО, которое неизвестно чем закончится, как достижение новейшей России.",1675068985,709312718
1869342,"Еще никто этот учебник в глаза не видел. Никто не знает что там будет, как там будет, чему будет учить наших детей. Но зато , уже все диванные эксперты , здесь присутствующие вздрючились и каждый уверен , что вот он то точно знает, чему надо учить детей. А вчера вы все знали  надо или не надо делать всем прививки от ковида!!!",1675069538,634145220
1869342,"Всё, что происходит сейчас уже вошло в историю и должно, обязано, войти в учебник! Дети должны знать Героев, правду и врагов!",1675071752,744508729
1869342,Вообще надо отменить преподавание истории в школах и институтах. Это лженаука. Не нужны вообще никакие учебники истории. Все они врут.,1675072218,735840728
1869342,"ЦИПСО истерит, что детям начнут правду рассказывать и их влияние на неокрепшие умы через интернет ослабеет.",1675072383,68804736
1869342,"Учебник нужен ещё и для родителей, которые не понимают,что происходит....",1675073127,721497197
1869342,до конца года кацапстана не будет....учебники😄,1675073443,634727416
1869342,Смешно будет когда эти регионы вернутся в состав Украины,1675073459,200161747
1869342,Интересно о предательстве ельцина там будет? Оккупация Крыма и Севастополя в 1991?,1675075627,96335993
1869342,"Дети должны знать историю, тем более ту историю, которая разворачивается на наших глазах, и не из интернета и мемов, а из школьной программы",1675077630,731505348
1869342,Это правильно! Школьники должны быть в курсе про ситуацию на Донбассе и СВО. Это часть новой истории России!,1675093120,729191230
1869342,😏,1675110759,775093398
1869342,"А может ввести учебник по англосаксоноведению, в котором описать все их преступления?",1675138335,756086517
1867641,😂😂😂😂 испугал,1674998424,4010191
1867641,"«ПОЛЗУЧИЙ ГЛОТОК АНАКОНДЫ» 
За всю историю СССР старался себя обезопасить по внешнему периметру границ от враждебных стран буферной зоной : союзами, дружественными и нейтральными странами. Особенно политика удалась после войны 1941-1945гг..США и Запад обуял страх неминуемой катастрофы, и они разработали план «АНАКОНДЫ»(Даллеса) – ползучий, неторопливый план против Советского Союза, чтобы шаг за шагом отбирать у него пространство, как анаконда проглатывает постепенно даже огромную жертву. Денег и средств не жалели. Первым из созданной СССР «обоймы» полетел Китай: США сумели вбить клин и превратить во врага, воспользовавшись волюнтаристской политикой Хрущева. Следующий шаг – это разрушение при помощи взращенных ими предателей ,Горбачева и Ельцина, Совета Экономической Взаимопомощи (СЭВ), Варшавского Договора. После этого США и Запад «голыми руками» свергли социалистический строй в восточно-европейских странах. Были выведены наши войска из бывшей ГДР и других стран. Это на ближних подступах. На дальних «выбили» Египет, затем Югославию, Ирак, Ливию. НАТО «проглотило» прибалтийские республики. США «отбили» себе Украину и натравили на Россию. Буферные зоны (нейтральные страны) Финляндия и Швеция подали заявку на вступление в НАТО. Пространство вокруг РФ сужается , как вокруг Серой Шейки. В чем же дело ? Прежде всего – это «хлеб» Министерства иностранных дел. Если «слизняк»(назвал Р.Никсон) Козырев сдавал позиции в открытую, то с 9 марта 2004 года главой МИД РФ является С.Лавров. Даже на просторах бывшей СССР ( сферы влияния России) растеряли всех, кроме Белоруссии, но это не заслуга Лаврова и его ведомства, а лично Батьки и Путина. За правильными, казалось бы, рассуждениями С.Лаврова, присутствует на антироссийские дела других стран, в основном «ОЗАБОЧЕННОСТь» и все дела. С 2004 по 2022 гг. МИД РФ своей беззубостью и тихим умиротворением довело дело до того, что мы вплотную уперлись в свои границы и уже начались обстрелы даже глубин территорий РФ (г.Энгельс). Отступать больше некуда - позади РОССИЯ ! Пора ДЕЙСТВОВАТЬ, а не хныкать, чтобы хищница «АНАКОНДА» подавилась, взорвалась изнутри, или была разрублена снаружи. И первым шагом этого является БЫСТРЫЙ разгром всей ВЕРХУШКИ бандер-нациков и ЗАКРЫТИЕ западной границы Украины. 
Дело РОССИИ правое, бандер-нацики и «5-я колонна» будут отправлены в НЕБЫТИЕ, мир придет на МНОГОСТРАДАЛЬНУЮ землю родной, братской Украины !",1674998443,103106255
1867641,"На укре есть активы? Вот новость, так новость!😂",1674998548,457002090
1867641,"Когда особых достижений нет , только и остаётся создавать видимость победы : сносить памятники, да рисовать указы с санкциями",1674998588,15695417
