id,owner_id,post_time,post_text,comments.count
1871888,-17862264,1675168805,"Зампред Совбеза РФ Дмитрий Медведев поблагодарил всех, кто причастен к разработке специальных программ для пиратского использования дорогостоящих западных продуктов.

И предложил принять правила об использовании западной интеллектуальной собственности без лицензии в качестве ответа на антироссийские санкции. По мнению Медведева, это должно касаться как зарубежных фильмов, так и промышленного софта.",41
1870686,-17862264,1675100400,"«Новый пакет санкций Японии в отношении России касается, прежде всего, оборонной промышленности, радиоактивных материалов и медицинских изделий для нужд оборонного комплекса. В опубликованных материалах Министерства экономики, торговли и промышленности Японии прямого упоминания оборудования для ЛПК на данный момент мы не видим. Возможно, последуют дальнейшие разъяснения».

Япония вводит очередной пакет антироссийских санкций. С 3 февраля запрещается поставлять в Россию медицинское оборудование, вакцины и промышленных роботов. В санкционный перечень вошли также радиоактивные материалы, оборудование для атомных объектов и для разведки нефтяных и газовых месторождений:",9
1869807,-17862264,1675075364,"Песков: слова экс-премьера Великобритании Бориса Джонсона о его разговоре с президентом РФ Владимиром Путиным перед СВО - ложь.

Ранее Джонсон в документальном фильме, вышедшем в эфир сегодня, заявил о «пугающем» разговоре с президентом РФ, состоявшемся в феврале прошлого года, в ходе которого Путин якобы «угрожал ему ракетным ударом».

«Это или сознательная ложь, тогда нужно спросить Джонсона с какой целью он избрал такой вариант изложения, или несознательная и, фактически, он не понял, о чем с ним говорил Путин. Тогда становится чуть-чуть не по себе за собеседников нашего президента», - заявил пресс-секретарь президента РФ Дмитрий Песков.

По словам Пескова, речь в той беседе действительно шла о ракетах. Но Владимир Путин упомянул о них в контексте, что в случае вступления Украины в НАТО размещение оружия альянса у российских границ «будет означать, что любая ракета долетит до Москвы за считанные минуты».

Также британский политик утверждал, что в разговоре с российским лидером предупредил его об антироссийских санкциях в случае начала военных действий на Украине.",34
1869342,-17862264,1675066201,"Глава Минпросвещения РФ Кравцов: новый учебник истории России, который будет содержать главы про спецоперацию, может появиться в школах страны уже в следующем учебном году. На сегодняшний день раздел про цели и задачи СВО уже есть в программе курса по истории. В разрабатываемом учебнике причины и задачи военной спецоперации России на Украине также будут изложены подробно, сообщает ТАСС со ссылкой на министра.

Ранее Кравцов рассказывал, что в новое пособие войдут темы, связанные с антироссийскими санкциями и вхождением в состав нашей страны новых регионов.",59
1867641,-17862264,1674998102,"Опубликован список из 182 юридических и трех физических лиц, против которых киевский режим ввел односторонние санкции.

📌В нем есть компании «Уралкалий», «Беларуськалий» и Белорусская железная дорога.

📌Накануне президент страны Владимир Зеленский ввел в действие решения Совета национальной безопасности и обороны Украины об ограничительных мерах. В список попали Московский коксогазовый завод, «Щекиноазот», группа компаний «Титан», Гомельский химический завод, «Омск карбон Могилев» и Сибирская угольная энергокомпания.

📌Многие из внесенных в список компаний РФ и Белоруссии занимаются лизингом, транспортировкой нефти и иных грузов, к примеру «Газпромбанк лизинг» и «Белинтертранс».

📌На Украине заблокируют активы компаний и лиц, их имущество намерены использовать для обороны государства. Санкции ввели сроком на 10 лет.",33
1862867,-17862264,1674802822,"Огромный комплекс «фабрики смерти» стал самым известным символом нацистской политики уничтожения. Несколько тысяч выживших вышли из ворот Освенцима благодаря советским солдатам. Благодаря им «фабрика смерти» прекратила работу навсегда.

Но в этом году приглашения на мероприятия, посвященные 78-й годовщине освобождения, российским представителям не прислали. А в самом музее Освенцима закрыли российскую экспозицию «со ссылкой на то, что из-за санкций, в том числе и в банковской сфере, Музей Победы не может по обычной схеме переводить деньги за содержание и обслуживание экспозиции».

Мы говорим «Никто не забыт, ничто не забыто». Но опыт последних десятилетий говорит — помнят там, где постоянно напоминаешь.",49
1861418,-17862264,1674739213,"Французская газета L’Opinion назвала поездки главы МИД России Сергея Лаврова по Африке символом угрозы для гегемонии США и Европы. А совместные учения РФ, ЮАР и КНР привели Запад в ярость.

Как пишет обозреватель Паскаль Эро, тесное сотрудничество Москвы и Черного континента доказало, что санкции Запада бесполезны. «Ему не удастся сдержать влияние Кремля», — говорится в статье.

По словам обозревателя, родина Нельсона Манделы не только не осудила спецоперацию России на Украине, но даже раскритиковала западные санкции и продолжила сотрудничать с Москвой, несмотря на давление со стороны США и Европы.

Подробнее о ситуации в материале «АиФ»:",16
1860587,-17862264,1674721818,"❕Санкции против российской атомной отрасли, введение которых обсуждается в ЕС, могут вернуться Западу бумерангом. пишет колумнист французского издания AgoraVox Патрис Браво.

Автор статьи отмечает, что Россия - признанный во всем мире поставщик уникальных технологий обогащения урана. Кроме того, страна входит в число крупнейших экспортеров этого топлива, а также обладает 42% мировых мощностей по его переработке.

По данным Браво, в 2021 году только США импортировали 550 тонн обогащенного российского урана общей стоимостью $645 млн. На эту же сумму Америка закупила топлива с января по октябрь 2022 года. Значительно увеличила закупки российского урана в прошедшем году и Франция. Колумнист отмечает, что неизвестно, хватит ли у Парижа топлива для АЭС в случае введения ограничений против атомной отрасли РФ.

Браво напоминает, что Россия также участвует в крупных зарубежных проектах по строительству АЭС, например, в Белоруссии, Турции, Венгрии, Индии, Египте, Китае и Бангладеш.

💬«Таким образом, неясно, будут ли эффективными новые санкции против России. При этом ограничения в отношении атомной отрасли обернутся против самих европейских стран».",20
1859864,-17862264,1674675401,"Россия не может поставить Сирии удобрения из-за американских санкций, заявил постпред России при ООН Василий Небензя.

На заседании Совбеза ООН он заявил, что РФ готова бесплатно передать Сирии заблокированные удобрения. Однако США приняли «акт Цезаря» - санкции против Дамаска, поэтому сделать это невозможно в связи с так называемым двойным назначением. По словам постпреда, РФ и Сирия ждут от генсека ООН четкого ответа о том, что делается для решения этой проблемы.",17
1859704,-17862264,1674670801,🇨🇭Швейцария присоединилась к девятому пакету антироссийских санкций ЕС.,13
