post_id,text,comment_time,from_id
2527229,,1704013142,32235073
2527229,Нет такой нации есть укронацисты,1704013240,834073637
2527229,Можно дальше не платить😆😆😆,1704013738,796521606
2527229,Северный Кавказ больше всего долгов за ЖКХ ждут когда спишет Москва,1704015049,708600308
2527229,Цены на коммуналку зашкаливают....,1704016499,232563349
2527229,Правительство продлило решение об отмене начисления повышенных пеней за просрочннные платежи. Т.е.правительство запретило на неопределенный срок начислять повышенные пени или правительство продляет своё решение и тем самым  запрещает отменять начисление повышенных пени?   Как правильно понимать?,1704024359,695352659
2527229,"ох спасибочки!!!!! заживем теперь, блин!!!🤣🤣",1704025174,341473031
2527229,А штрафы за чуть тёплые трубы и нечищенные тротуары будут вводить ?,1704025983,269916880
2524568,,1703930729,335551381
2524568,"наши обещались все исправить, ФАС так или иначе с ценами на яйца уже разбирается... посмотрим..",1703930917,768743861
2524568,"поэтому народ рожайте у кого есть хорошее финансовое положение, кто беден лучше не рожайте, не портите судьбу ребенку",1703930920,774401275
2524568,"давайте теперь всё на ковид сваливать, а не на дикие расходы на силовиков и армию",1703931381,20903048
2524568,Бла-бла-бла....,1703932153,717555162
2524568,"Ну этот,, экономист,, Вовану уже доложил?",1703932715,836704865
2524568,А что по этому поводу думают наши буржуины?,1703933390,623972958
2524568,мы все заплатим за эту войну !!! кто - то жизнью а кто - то деньгами !!!,1703933442,499159054
2524568,"Когда в мире утихнет все эти конфликты и расприи, тогда и будут цены падать в большинстве своем . Наша страна идет в правильном направлении и развивает экономику, что даст огромный прирост через несколько лет",1703933493,681514664
2524568,Спасибо большое Единой России и Президенту России за нами цены и жизнь,1703933948,201168256
2524568,"Хочется узнать, долго будет идти этот  поиск баланса???? Похоже, многие не увидят сбалансированного интереса между покупателями, производителями и поставщиками.",1703934433,525713877
2524568,"Встречайте Новый год позитивно!!! Вот такое новогоднее обращение должны быть от главы государства, а не вот это вот всё... крепитесь, держитесь, и т.п. длинною в 20 лет..",1703935093,99164106
2524568,Бой курантов без Путина.,1703935115,99164106
2524568,"Если говорят, что 90-х не будет - значит ждите повторения",1703935438,261854034
2524568,"Нет времени на раскачку ©
Импортозамещение. 
Реновация. 
Инновация.",1703935800,207541046
2524568,"Почем сегодня яйцы путена, помогли ему турки?",1703935985,46188929
2524568,"А как же ""великие достижения"" Путина?)...",1703936265,129658462
2524568,Бой курантов и гимн в СССР,1703936350,99164106
2524568,Поздравление Юрия Гагарина,1703937503,99164106
