id,owner_id,post_time,post_text,comments.count
2527229,-17862264,1704011702,"💬Правительство продлило решение об отмене начисления повышенных пеней за просрочку платежей за ЖКУ. В 2024 году при расчете штрафных санкций будут исходить из ключевой ставки Центробанка 9,5% годовых, которая действовала на конец февраля 2022 года, а не 16%, которая установлена сейчас.

Доцент кафедры экономики городского хозяйства и сферы обслуживания Московского университета имени Витте Кирилл Парфенов считает, что это будет спасением для одной категории россиян и поощрением безответственного поведения для другой.

💬«Не платят в срок за ЖКХ две большие категории граждан, — объяснил Парфенов. — Во-первых, те, кто попал, как это обычно говорят, “в сложную жизненную ситуацию”. Потерял доход, заболел, что-то еще нехорошее случилось. Для них такое снижение размеров пени за просроченные платежи будет еще одной мерой поддержки. Вторая категория — это вполне благополучные люди, которые в силу своей безответственности и расхлябанности просто не считают нужным вовремя платить по своим счетам. Для такой категории снижение ставки пени — своего рода поощрение их неправильного поведения».",9
2524568,-17862264,1703930589,"Цены в 2024 году году продолжат заметно расти — на это есть две причины, совладать с которыми невозможно, говорит в беседе с АиФ экономист Пётр Кирьян.

📍💬 «Во-первых, продолжится рост и балансировка производственных издержек, — пояснил эксперт. — От расхода на персонал, до стоимости перевозки, от ставок по кредитам до скорректированных цен на импорт. Производители как могли сдерживали общий рост отпускных цен, но этот процесс не может быть вечным. Во-вторых, будет идти поиск баланса между интересами покупателей и поставщиков или производителей товаров и услуг».

Чтобы платить персоналу пристойные зарплаты и вовремя их индексировать, надо увеличить выручку. То есть повысить отпускные цены.

Возвращение потребительской инфляции оказалось особенно неприятным для россиян. Эта инфляция — в том числе эхо ковидных мер, когда власти принимали решения для поддержки экономики в период жесткой заморозки деловой активности, объясняет Кирьян. Да и санкции дают о себе знать.

📍💬 «Хорошая новость — это то, что повторения 1990-х не будет. Сегодня экономика имеет и работающую учетную ставку ЦБ, и разные механизмы борьбы со спиралью роста цен. А главное — опыт профильных министерств и структур в части купирования инфляционных рисков. Такого задела и компетенций тридцать лет тому назад не было».

Подробнее — на АиФ:

https://aif.ru/money/market/dva_drayvera_ekonomist_kiryan_rasskazal_chto_budet_s_cenami_v_2024_godu",92
2523895,-17862264,1703913581,"📰 Россия может применять даже лампочки для холодильников на поле боя, заявил глава ситуационного центра по вопросам Украины при Минобороны Германии, бригадный генерал Кристиан Фрейдинг.

Такой пример военный привел, говоря о том, что западные страны недооценили возможности российского военно-промышленного комплекса.

Запад не верил в способность Москвы выстоять под грузом санкций и потому проигнорировал некоторые ее возможности, приводит его слова Suddeutsche Zeitung. В частности, он упомянул привлечение поддержки союзников России.

📍💬 «Будь то Северная Корея, будь то Китай, а также страны глобального юга. Даже если эти государства будут поставлять только освещение для холодильников, то и его могут использовать в военных целях», — сказал генерал.",73
2522180,-17862264,1703847637,"🗣 Собрали самое важное из заявлений Дмитрия Пескова:

▪️ Российские власти составили список западных активов, которые будут конфискованы, если США и Евросоюз выполнят угрозу и заберут замороженные российские активы за рубежом.

▪️ Когда ЕС и США начинали вводить беспрецедентные санкции против России, они не задумывались об эффекте бумеранга. А сейчас он очевиден.

▪️ Россия всегда отстаивает интересы отечественных производителей. И будет продолжать это делать.

▪️ Никакой новости в результатах опроса ВЦИОМ о том, что Владимира Путина поддерживает 80% россиян, нет.

▪️ Во время новогодних праздников у президента запланированы рабочие мероприятия.",10
2521423,-17862264,1703826023,"🖊В 2023 году в орфографический словарь Института русского языка имени Виноградова РАН добавили 150 новых слов.

Большинство из них многие знали и использовали. Словарь же официально закрепил их в языке. АиФ  собрал семь наиболее интересных лексем.

✔️Нейросеть
Ежедневно с помощью таких программ пользователи со всего мира создают изображения, тексты — от дипломных работ до сценариев — и видеоролики: достаточно дать нейросети задание, и она сама начнет творить. В словарь включили и производное: «нейросетево́й». Кстати, нейросеть даже признали «словом года», по версии портала Грамота.ру, настолько популярен стал неологизм.

✔️Ко́птер
С его помощью поднимаются высоко над землей — чтобы снимать видео с высоты птичьего полета. Самая популярная разновидность такой технологии — квадрокоптер. Коптеры используются в основном в гражданских целях: для съемки видео, доставки грузов. Другое похожее устройство — «дрон», так называют беспилотные летательные аппараты, используемые в военных целях или для решения производственных задач.

✔️Профессионалите́т
Новая федеральная образовательная программа, призванная подготовить кадры непосредственно «под производство». По сути, возвращение к старой доброй системе профессиональных училищ, в которых образование получали в достаточно короткие сроки.

Обучение рабочей профессии по такой программе занимает два года, более технологичной — три.

✔️Запрещёнка
Санкции и новые законы в очередной раз вернули в обиход советское понятие — слово «запрещёнка». В ту эпоху термин обозначал запрещенные к публикации произведения литературы и публицистики. В современном значении — это продукция, запрещенная к ввозу в Россию из ряда зарубежных стран.

✔️Продэмба́рго
Параллельно с «запрещенкой» идет «продэмбарго» — запрет ввоза отдельных видов продукции. Продэмбарго (продовольственное эмбарго) в России действует с 2014 года. С тех пор эти меры каждый год продлевались.

✔️Санкцио́нно незави́симый
«Как выбрать санкционно независимую защищенную российскую операционную систему?» — спрашивает пользователь компьютеров. Из-за санкций, наложенных страной-производителем, у жителей РФ появились трудности с обновлением, блокировка некоторых функций, утечка данных с зарубежных облачных хранилищ. Насущный вопрос нашел отражение в языке.

✔️Про́кси-война́
Это термин, который обозначает опосредованную войну — ту, которая ведется между двумя державами через третью сторону. В политике этот термин также обозначает войну чужими руками.",2
2520958,-17862264,1703797058,"💬 «Торгово-развлекательные центры сегодня уже не отвечают всем потребностям покупателя, поэтому посещаемость снижается. Для привлечения покупателей владельцам ТРЦ надо кардинально пересмотреть маркетинговую стратегию», — отмечает эксперт Роман Данилов.

По его словам, снижение посещаемости ТРЦ в текущем году связано с активным развитием интернет-торговли, расширением сети пунктов выдачи. Влияет на ситуацию и уход с российского рынка зарубежных брендов, а также сокращение контента кинотеатров из-за санкций.

💬 «Совершение покупок онлайн по дороге с работы позволяет не тратить время на поход по магазинам. Цены на аналогичные товары в маркетплейсах также выгодно отличаются от цен в ТРЦ. Поэтому доля онлайн-торговли будет и дальше расти», — поясняет Данилов.

Эксперт рассказал АиФ, с чем связано уменьшение трафика в торгово-развлекательных центрах.",10
2520706,-17862264,1703785500,"🎅❌ Новые санкции обрушились на российскую детвору со стороны Финляндии — мальчики и девочки не смогут написать письма Санта-Клаусу. В апреле 2022 года Финская почтовая служба приостановила все перевозки писем и посылок между Финляндией и Россией, а также между Финляндией и Беларусью до дальнейшего уведомления.

Таким образом, все бумажные обращения из России до Санта-Клауса в Лапландии не дойдут. Но, утешают финские дипломаты, желающие могут обратиться к Санте по электронной почте.

Впрочем, западное сумасшествие на почве русофобии затронуло Санту несколько раньше. В ноябре 2021 года, в период разгула коронавируса, рождественский волшебник заявил изданию Daily Storm, что въезд в Финляндию для привитых российскими вакцинами невозможен. В общем, Санта с удовольствием принимал испанских, немецких, итальянских мальчиков и девочек, а вот российские дети со «Спутником V» к нему не попали.",11
2520009,-17862264,1703764501,"🗣Причастность западных спецслужб к организации беспорядков в Сербии не вызывает сомнений, заявил в беседе с РИА Новости лидер Сербской радикальной партии Воислав Шешель.

💬«За этими протестами, без всякого сомнения, стоят западные спецслужбы. В этот раз Федеральная разведывательная служба Германии играет главную роль, но участвуют и американская, британская и французская разведки», — уточнил политик.

По его словам, сербские власти долго медлили с применением силы против участников беспорядков, позволяя им «блокировать мосты, автомагистрали».

Шешель не исключил возможности возобновления протестов  в ближайшую субботу, и предположил, что Запад использует их, чтобы добиться от  главы Сербии Александра Вучича «отречения» от Косово, отказа от поддержки Республики Сербской и введения антироссийских санкций.

Фото: Наталья Башлыкова / АиФ",28
2519886,-17862264,1703761617,"📢Правительство Германии готовит дополнительные пакеты санкций против России, об этом говорится в заявлении министерства экономики и защиты климата страны.",22
2516038,-17862264,1703640300,"Белоруссия продлила эмбарго на ввоз ряда товаров из недружественных стран до конца 2024 года. Соответствующее постановление правительства республики опубликовано на национальном правовом интернет-портале.

Продовольственное эмбарго на импорт товаров из недружественных стран было введено Белоруссией в ответ на санкции против Минска. Власти республики позднее заявляли, что это решение не оказало негативного влияния на потребительский рынок.",1
