post_id,text,comment_time,from_id
260963,"Призыв, верный! Но похож на мечту. Для такого уровня нужны в разы большие инвестиции в НИОКР, другой уровень образования, другой уровень исследований. И время...",1673622861,51377480
260963,"Всё никак и никто не сможет импортозаместить. Огромным успехом будет цифра в 90% своего. А еще есть Китай, Индия и другие страны, которые не против нам что-то продать",1673623917,94373551
260963,"Систему образования надо настраивать так, чтобы дети еще в школе начинали верить в свои интелектуальные силы и их практическое применение. Умным и образованным быть выгодно сейчас. Для этого и программу обучения надо менять и учителей переучивать. А у нас министр образования рассказывает сколько школ построили за год, а не о системе образования и ее проблемах.. беда с этими чинушами менеджерами",1673629559,12697056
260963,Нужны заинтересованность и настойчивость властей в реализации хороших идей.,1673636428,77342254
260963,"Если пройтись по нашим техническим ВУЗам, то можно собрать огромное количество весьма актуальных изобретений. Но в условиях дорогих денег и отсутствия венчурного инвестирования, все они продолжат там пылиться. И новые 100 тысяч в год ждёт та же судьба",1673645613,557208055
260718,"Было сразу понятно, что воровские схемы сборки это тупик. Сейчас логично в 3 смены производить и 214е и 96е.",1672817142,710313517
260673,#ЦифроФашизмуНЕТ,1672666397,574229147
260642,"Прихватизаторы не эффективны. Только капиталы воруют у развития России.  Поэтому кризис после начала санкций показал : тот кто выводит капиталы из России и не возвращает экспортную выручку - это враг России. И результаты грабительских залоговых аукционов и серых приватизаций признать не законными, и вернуть предприятия в собственность государства. А также вместо вывода капитала провести новую индустриализацию, чтобы создать сети фабрик и заводов по производству всего необходимого внутри России. Без колонизаторов и вывода капитала.",1672586529,710313517
260642,"аферист дерипупсик в роли мудреца выглядит глубоко нелепым клоуном, у которого до сих пор штанишки не отстираны после его дефекационного позора в Пикалево, кто-нибудь уж передайте ему, чтоб не вылезал со своими бандеровскими разглагольствованиями",1672588602,261684845
260642,"Лайк. Жаль нормальных людей не слушают. В принципе, он пишет очевидные вещи.",1672592220,9710177
260642,"Предателей и искать не надо, они все на виду, копните историю! Хладнокровно, цинично, маскируясь под патриотов, уже много десятилетий проводят провокации, диверсии, почти открытый геноцид! Делают это с ""патриотическим"" пафосом и сатанинским садизмом, зная, что наш народ не способен даже представить такое, не то что понять и увидеть!",1672645886,552055577
260642,Уже ли и Саул во пророцех?,1672647701,10471891
260642,"""Семибанкирщина"" в середине 1990-х была...",1672682111,657288011
260642,"Давайте всем восхищённые напомню: Олег - это Базель 
Базель - это алюминий с начала 90-х.

Что такое алюминиевый толлинг все помнят?!",1672713750,648512866
260642,Снова мечтает о приватизациии ...,1672926990,78943547
260478,Конечно. Очень нужно. Сложности с этим аммиакопроводом Тольятти - Одесса. Сделать и не зависить то этих....,1671979732,468371613
260478,Пока жареный петух не клюнет...,1671980494,709848164
260478,Подарочек друзей в Южном ...,1671993396,524585426
260475,Опционально есть.,1671960022,219523024
260475,👍,1672002062,22638734
260475,Земля устанет от охамевших микробов и обнулит всю биосферу. Так нам и надо.,1672045702,154369535
260351,Чувашская сказка ответит а ваши вопросы,1671615676,461379477
260326,этому юнцу попу целовать,1671554091,461379477
260326,"...а в остальном, прекрасная маркиза. Всё хорошо, всё хорошо 🤔",1671830260,984524
260310,"Интересно, что там будут производить, нoкиан навряд-ли отдаст свое производство",1671548412,294833075
259791,На поклон идите),1669747914,85261830
259696,"Если вернуться к советской норме накладных расходов (17 %  от зарплаты основного производственного персонала), то зарплаты вырастут в разы при той же стоимости продукта, и появится внутренний рынок, который сечас не может создать народ, ограбленный директорами. При развитом внутреннем рынке экономика не будет критически зависеть от экспорта.",1669453699,170408811
