id,owner_id,post_time,post_text,comments.count
261222,-26517977,1674718200,"Экономические потрясения, вызванные санкционной политикой Запада, не только не отменяют стратегии успешных компаний, но даже ускоряют их реализацию.",0
261187,-26517977,1674585327,"«НоваТЭК» как будто не замечает тотальных санкций, обрушившихся на него в самый разгар реализации амбициозного проекта по производству сжиженного природного газа «Арктик СПГ — 2». На кону не только сам проект, но и будущее высокотехнологичной отрасли российского ТЭКа.",0
261165,-26517977,1674536522,Российский рынок акций продолжил подъем на публикации подробностей о разрабатываемом ЕС «юбилейном» санкционном пакете и на росте нефти. Рубль стабилен.,0
261137,-26517977,1674408530,"Промышленность минеральных удобрений оказалась одним из главных бенефициаров поразившего развитые страны газового и инфляционного кризисов. Российские лидеры отрасли заработали на высокой конъюнктуре, но в нынешнем году испытывают проблемы из-за санкций.

📖Полную статью читайте на сайте 

https://expert.ru/expert/2022/41/udobreniya-nashego-rosta/",0
260963,-26517977,1673619615,"Если в ближайшее время выйти на такие объемы не удастся, то можно де-факто забыть об импортозамещении и констатировать, что наша страна просто пережидает санкции и готовится снова начать закупать критически важную продукцию за рубежом в не всегда дружественных странах.",8
260870,-26517977,1673277600,"Горнодобывающая промышленность справилась с последствиями санкций в этом году, но следующий год может стать более тяжелым.",0
260838,-26517977,1673188200,"Более половины опрошенных руководителей компаний признали, что санкции заметно сказались на их работе

📖Полную статью читайте на сайте 

https://expert.ru/2023/01/8/glava-tpp-otsenil-polozheniye-biznesa-posle-ukhoda-inostrannykh-partnerov/",0
260718,-26517977,1672758600,"Введенные против российской авиационной отрасли санкции должны простимулировать ее участников и государство ускорить процесс создания собственных самолетов, производство которых не зависит от поставок импортных комплектующих. Иначе скоро летать будет не на чем.

https://expert.ru/expert/2022/10/rossiyskim-samoletam-ukorotili-vzletnuyu-polosu/",1
260673,-26517977,1672665000,Как российский производитель биометрических систем обеспечивает себя электронной компонентной базой в условиях санкций.,1
260642,-26517977,1672585943,"Россия оказалась под жесточайшим санкционным давлением. Это давление плюс разворачивающаяся в ответ на эти санкции мировая рецессия, по мнению предпринимателя Олега Дерипаска, грозят нам жестким экономическим кризисом. Угроза столь серьезна, что требует принципиального обновления всей экономической политики.",42
260574,-26517977,1672333800,"Под давлением санкций российский логистический рынок спешно перестраивается на другие направления. Новые транспортные коридоры — это новые сложности, в первую очередь инфраструктурные, но постепенно намечаются пути их преодоления.",0
