post_id,text,comment_time,from_id
3815585,ну хоть один поблагодарил!😊👍,1675175513,616794761
3815585,Айболит прилетел в Лимпопо продавать картофелекопалку,1675176924,333971111
3815585,"Так Россия тоже благодарна западным марионеткам за их неадекватные санкции против России, благодаря которым наша страна стала ещё более независимой от иностранных импортеров. У нас в округе прошлой весной были засеяны все поля, восстановили сельхозпредприятия. А то было всё заброшено много лет. А самое главное - людям дали работу. Так что не зря говорят - не было бы счастья, да несчастье помогло. Спасибо Западу за санкции, которые очень мощно стимульнули нашу страну в положительном ключе.",1675177035,598734958
3815585,"Интересно, никто не ВИЗЖАЛ, что теперь ГОРИЛЫ нам братья?",1675178521,556067487
3815585,"Пользуюсь случаем: от промышленности в сфере химической продукции, спасибо за санкции, наконецто российские продукты вышли на рынок.",1675180080,153402842
3815585,,1675181617,658315845
3815585,МТЗ это на 80% комплект изготовленный заграницей,1675185324,178423992
3815585,"и правда . Запад показал , как Россия должна и могла жить раньше . Спасибо , ошибайтесь и дальше",1675186638,778475702
3815585,"Удивительно получилось , что санкции исключительно положительно на нас сказались )",1675187922,682480518
3815585,Его разве не съели африканцы?,1675191297,165594526
3815585,презентовал свой китайский комп?,1675205310,464613209
3815585,Что-то у Луки морда недовольна недовольна,1675216626,355615289
3815585,"[id333971111|Елена], это ты так остришь? Да, ума...",1675236270,277218121
3814078,А в Германии будет что покупать ?,1675149956,708519845
3814078,Германия сама виновата не чего было делать санкции вот теперь Европа страдает и делать в Германии не чего,1675150067,776860573
3814078,"а перечислять эти компания я конечно же не буду, верте мне наслово 🤣🤣🤣",1675150356,-198473542
3814078,"Своими танками они ничего на фронте не изменят,но вот репутацию себе подпортили конкретно",1675150961,721032055
3814078,"Не надо стремиться с дружбе с Западом! Мы для них недочеловеки, люди второго сорта....у них даже в Законе убить русского не преступление.... Даже поощряется. И вообще они себя считают. ,,райским садом,, , а остальные —- джунгли, Борель на весь мир заявил.  Пусть живут в своем ,,саду,,!  Вон бразильский президент Лулу объявил за создание объединения  ,,Мир для всего мира,,......вот и надо всем объединиться!",1675152181,716465902
3814078,"Как было , так и будет. Война войной, а деньги олигархи не упустят.",1675152412,663020585
3814078,"Германия 🇩🇪 уже 70 лет колония США, Она не может решать сама с кем ей торговать...",1675153677,58545887
3814078,Надо ей выходить из НАТО и ЕС.,1675154105,559339596
3814078,"Германия сама усложнила себе жизнь даже тем что поставляла оружие и тем более танки ,а могла всего лишь то сказать нет",1675155224,772105890
3814078,"Да еще чего не хватало. Пусть торгуют со своими хлзяевами. Если, конечно, будет чем. если штаты тупо не отожмут все)",1675156361,709784545
3814078,"мы то без германии проживем, а германия наши ресурсы будет опять у третьих стран покупать?",1675156432,720118301
3814078,"Комментарий
кажется и тут ,и там забыли кто выйграл ,а кто проиграл вторую мировую.
Давно пора быть рынком сбыта для них ,это и будет санкцией.",1675170624,2109924
3810001,Борюська уехал,1675049478,706446323
3810001,Собака сутулая.,1675049771,3348663
3810001,"Борис, смирись - ты уже бывший))",1675049784,719856548
3810001,Борька всё не уймется XDDD,1675049975,258106531
3810001,"""Ай, Борька! знать она сильна, 
Что лает на Слона! """,1675050229,184152590
3810001,🙄смешно,1675050289,84263446
3810001,Защита донбасса по-расейски,1675050348,250519173
3810001,Дурачок с Великобритании,1675050511,536380668
3810001,"Расческу хоть бы купил, ходит растрепкой на пару с Зеленским.",1675050836,524601348
3810001,"Как вы убиваете мирных граждан,детей ангелочков ,топчете священое ,и закрываете на правду в глаза ,вы ни вечны на этой земле а лишь гости !!Рано или поздно ответить придется Вам",1675050939,754019515
3810001,"Чего-то он не договаривает. Главный интерес британцев в Европе, это Германия.",1675051223,750274593
3810001,Свинота🤣,1675052121,26673053
3810001,Это обезьянка чо хочет ищо .,1675052481,461754152
3810001,"А Владимир Путин положил йух, ой,  точнее трубку на его угрозы",1675052862,375737281
3810001,"А ты кто грозить то,кто ты?по жизни кто? Сутулый лохматый клещ",1675053034,151032287
3810001,полоумный! вот и все! кто пугать россию то вздумал? санкциями? нас? да пускай там британия с ума не сходит и сейчас вон видят что все санкции то действуют однако против европы! там то вон уже европа загибается под удавкой запада!,1675054767,688285110
3810001,"Алкаш б.... ь, сидел бы в своем мухосранске, неет тянет видимо горилки откушать.",1675056308,62051955
3810001,"вот это угроза, теперь вся европа сидит в яме с вашими санкциями",1675056539,707326672
3810001,"И без Бориса было понятно, что если Россия не станет мириться с гегемонией США, то они применят санкции. Это единственные рычаги давления, которыми они и могут управлять",1675058184,720960813
3810001,свои угрозы мог и для себя приберечь! потому что на нас они просто не действуют! все те кто желает зла россии - сам в этом зле и остается! даже по истории это видно!,1675058351,707242577
3810001,Сутулый,1675059766,15855586
3810001,"Напугал этот клоун Путина. Кто он вообще такой?? Только России угрожать и умеют, а в итоге сами свои страны в кризис загнали",1675066869,707867102
3810001,Поэтому и бывший.,1675067548,41247466
3810001,"ой, угрозы эти ничего не стоят и никак нас не пугают, так что пусть не старается зря) да и как мы видим, никакие санкции Россию даже чуть-чуть с намеченного пути сдвинуть не способны)",1675067705,730010847
3810001,"Как оказалось ему нужно было эти угрозы оставить для европейцев , глядишь и не пошли бы на эти санкции ,если бы знали чем всё закончится.",1675068755,720899168
3810001,"Угрознул он нам да? и где он щас. на самом дальнем можно сказать отшибе истории, что как премьер он налажал сильно, решив побадаться с нами",1675069916,708028362
3810001,"Да плевать как то о чем он нас там предупреждал, против нас и так были санкции и новые нам даже не оказали сильного давления, а вот мы начали люджям мирным помогать в отличии от них",1675070984,710435699
3810001,"Клоуны, Борька кончины клоун",1675071246,719712401
3810001,"Он видимо думал, что мы испугаемся, а они продолжать спонсировать нацизм в украине",1675071820,729370861
3810001,"нашел чем хвастаться, будто мы сами не слышали, что они так и хотели разгрома нашей экономики! и опять это подтвердили",1675072377,731484809
3810001,"Кому он там пригрозил??? пускай не позориться этот Трамп на минималках, смешно да и только",1675074819,710464747
3810001,"Давно не было новостей про него, Джонсон все пытается показать как он крут и что то решает, хотя он уже никто по сути",1675075053,731228779
3810001,"именно поэтому Россию и не коснулись все эти санкции, мы их ловко обходили, никаких изменений не было видно, по нашей стране это даже не ударило",1675075126,707489360
3810001,Мартышка угрожает медведю.это что то из басни...🤣🤣🤣,1675075579,623295133
3810001,🇬🇧💩💩💩👎,1675076765,288409912
3810001,"Что он раскрыл ? То что сидел по телефону угрожал Путину санкциями ? Это смешно , Россия была готова к этому , и сейчас страдает только Европа",1675078294,710448857
3810001,"Джонсон выплыл наружу, чтоб о себе напомнить? а был ли вообще разговор между ним и Путиным ?",1675079207,730018433
3810001,"Чем он мог вообще угрожать , каике санкции , это с самого начала было понятно что ничего у них не выйдет",1675081530,779476231
3810001,Помахал снова какими то там пакетиками. которые нам уже давно не страшны,1675081811,732313890
3810001,"а по итогу то что? Эти санкции для России ничто, никакого вреда они нам не принесли, так что зря пугали",1675081866,731170920
3810001,"Как фильм может называться документальным, являясь при этом пропагандистским высером?",1675082630,681436975
3810001,по итогу то все эти санкции обернулись для них сильным ударом) А Россия вреда не получила,1675083753,731171676
3810001,"Да какое нам дело до Борьки. Он уже на пенсии. Всем плевать на него. Всем, кроме Зеленского, у которого с ним тайный роман))",1675085730,730503293
3810001,Да вообще отчасти можно сказать спасибо этим санкциям. Наша экономика резко в гору пошла!!,1675086393,713580428
3810001,Да Борису животному вообще веры нет,1675087151,578170152
3810001,"А чего только сейчас вспомнил про этот разговор? Чего раньше не говорил,или надо показать какой он борец*",1675090696,678981003
3810001,"Ну и дальше то что, что он пригрозил!? Мы интересы людей на Донбассе ставим выше, чем возможность оплачивать телефоном покупки, и ходить со стаканами из Макдональдса",1675098146,720133309
3810001,"Слабоумие джонсона прогрессирует, но не просто так, он же употребляет кокаин",1675109160,720118634
3810001,"Какой же кринж, Джонсон просто хайпожорит, политикан долбанный4",1675110171,717914653
3810001,"Джонсон мог сколкьо угодно угрожать - ничего бы не было, если бы они и его компания не расширяли враждебное нам НАТО на восток, как ни посмотри",1675120481,706720215
3810001,"Забавно, что самого Джонсона уже снесли к чертовой матери",1675127916,720918601
3810001,"Да плевать на санкции, нам их сильно ДО начала СВО начали вводить... Что кстати в очередной раз подтверждает то, что США давно готовились к тому, чтобы развалить Россию, да только вот не вышло у них ничего)",1675128761,680870978
3810001,"и все же что эти санкции нам такого сделали? они еще с 14 года начали их вводить против нас , а толку?",1675149921,721109466
3810001,Без маски извращенец идёт,1675174801,741394976
3810001,Противные бойтесь противных,1675174828,741394976
3809885,Ну так по моему к этому и идёт,1675039532,732833152
3809885,Ну хоть что - то адекватное сказали.,1675039931,413201108
3809885,"Ничего не будет, Доллар был и будет основной резервной валюта мира.
Наши постоянно любят враждовать, нужно наоборот строить отношения на дружбу!",1675040465,273579176
3809885,владельцам доларов стоит сильно напрячься и проверить номера и серии на сайте ФРС если сможете😂. а ещё можете пойти в ближайший банк и попросить проверить номера и серии доларов на фальшивость но там вас ждёт сюрприз!,1675040655,447590331
3809885,"ктороый год мы уже бакс хороним, не подскажете? процветание налицо, мантуров черную львинку предлагает нам отведать",1675040997,20556122
3809885,"Хахахахаха, хорошая шутка 😆",1675041934,30591777
3809885,Надеюсь так и будет👍,1675042426,518589759
3809885,"Интересно за сколько гринов
гражданка США Грин
толкнула это шнягу 
С учётом статуса Конгрессмена , наверное за лям двести —- американских ни кому не нужых рублей.",1675042490,777063277
3809885,"Вот оказывается то,как можно руководить российским государством,обходясь без американской валюты и дружбы.вспоминаю ссср и,когда слышу,что он был "" великим"",становится грустно оттого,что  люди,утверждающие это  или злонамеренно врут,или не осознают текущую ситуацию,или еще там чего.",1675042858,288409912
3809885,"Доллар это ничем не обеспеченный фантик, рано или поздно он рухнет, и америкосы узнают, что такое нищета. А дружба с ними нам не нужна, это открытые враги, ненавидят Россию  и прилагают огромные усилия к уничтожению нашей страны.",1675044954,603374073
3809885,"С 90-х годов ждал, когда Мир сможет избавиться от этого воровского фантика, может человечество сможет.✋🇷🇺",1675045128,336620840
3809885,"Конкчно, если уже начали тараканов и червей жрать, вместе с Европой",1675050231,694787876
3809885,"Блин 70 лет процветал и развивался СССР без доллара,пока к власти не пришли предатели родины,воры и убийцы,гореть им всем в аду,а потом доллар оказался нужен",1675052108,170318540
