id,owner_id,post_time,post_text,comments.count
3815585,-27532693,1675175407,"Александр Лукашенко в ходе выступления в столице Зимбабве Хараре на церемонии передачи белорусской техники местным аграриям поблагодарил Запад за санкции:
https://iz.ru/1462956/2023-01-31/lukashenko-poblagodaril-strany-zapada-za-sanktcii?utm_source=vkontakte&utm_medium=social",25
3814078,-27532693,1675149600,"Торговля между Россией и Германией из-за угрозы усиления санкций уже вряд ли вернется к традиционной структуре, сложившейся в последние годы. Это, однако, не означает, что снижение динамики невозможно компенсировать за счет развития новых направлений, заявил в интервью ""Известиям"" торговый представитель РФ в Берлине Андрей Соболев. Больше всего компании в ФРГ, по словам немецких же экспертов, страдают от европейских финансовых санкций, направленных против российских банков и препятствующих проведению платежей. При этом торгпред уточнил: немецких компаний, продолжающих работу в России, ""остается немало"". 
 
Он также сказал, что на фоне энергокризиса потребители в Германии теперь вынуждены экономить даже на товарах повседневного спроса: https://iz.ru/1462397/elnar-bainazarov/torgovlia-mezhdu-rf-i-frg-ne-vernetsia-k-traditcionnoi-strukture",16
3810001,-27532693,1675049406,"Бывший премьер-министр Великобритании Борис Джонсон в разговоре с президентом России Владимиром Путиным пригрозил западными санкциями перед началом спецоперации по защите Донбасса. Подробности беседы Джонсон раскрыл в документальном фильме: 
https://iz.ru/1462093/2023-01-30/dzhonson-preduprezhdal-putina-o-zapadnykh-sanktciiakh-pered-spetcoperatciei?utm_source=vkontakte&utm_medium=social",114
3809885,-27532693,1675039200,"Доллар рискует потерять свой статус мировой валюты, потому что Россия доказала всему миру, что можно процветать и без американской валюты, и без американской дружбы. Такое мнение высказала конгрессвумен, республиканка Марджори Тэйлор Грин. 
 
""Это может привести к тому, что доллар больше не будет мировой валютой. Из-за нашей собственной самоуверенности и ""борьбы за спасение демократии"" на Украине, которая не входит в НАТО, Россия под бременем тяжелых санкций доказывает всему миру, что им не нужны американские доллары или дружба, чтобы торговать и процветать"", — написала она в своем Twitter.",25
3808437,-27532693,1674998107,"Отказ России вести консультации с Японией по промыслу ресурсов у Южных Курил окажет довольно чувствительное влияние на страну восходящего солнца, поскольку это очень принципиальный вопрос для японской стороны, заявил ""Известиям"" политолог Александр Асафов.

По словам эксперта, в последнее время Япония заняла флагманское положение по введению новых видов рестрикций против российской экономики. Последний пункт введения российских санкций был более грубым по сравнению с американскими и европейскими, потому что японцы наложили ограничение на медицинские товары, вакцины и медицинское оборудование, чего раньше еще никогда не было в истории разных стран.

После отказа России от консультаций все японские суда, входящие туда для вылова на территорию Курильских островов, пояснил политолог, будут считаться браконьерскими и не смогут находиться на территории РФ без предварительных консультаций.",82
3807791,-27532693,1674983405,"Япония не может согласовать межправительственные консультации по соглашению о морском промысле для японских рыбаков в районе южных Курильских островов в условиях антироссийских санкций, пояснили в МИД России: 
https://iz.ru/1461850/2023-01-29/mid-obiasnil-nezhelanie-rf-konsultirovatsia-s-iaponiei-po-promyslu-resursov-u-iuzhnykh-kuril?utm_source=vkontakte&utm_medium=social",45
3805245,-27532693,1674918004,"Япония ввела новые санкции против России. Теперь Токио запретил экспорт вакцин и медоборудования. 
 
В черный список также попали российские политики и предприниматели. При этом в стране призывают как можно скорее возобновить гуманитарные обмены с РФ на Южных Курилах. 
 
Какой политической линии придерживается Токио в отношении Москвы, разбирались ""Известия"":
https://iz.ru/1461254/kseniia-loginova/rossiisko-iaponskie-oslozhneniia-tokio-vvel-novye-sanktcii-protiv-moskvy",70
3800628,-27532693,1674810911,"Венгрия намерена не допустить введения санкций Евросоюза на российскую атомную энергетику, заявил венгерский премьер-министр Виктор Орбан.

Политик напомнил, что сейчас Брюссель разрабатывает план введения новых санкций в ядерной энергетике. Он указал на то, что Будапешт планирует не допустить ограничения, которые еще больше увеличивают инфляцию страны: https://iz.ru/1461011/2023-01-27/orban-poobeshchal-nalozhit-veto-na-sanktcii-es-protiv-iadernoi-energetiki-rossii?main_click",49
3800304,-27532693,1674804000,"В Санкт-Петербурге суд приговорил к штрафу молодую мать, оскорбившую знакомую в родительском чате. Ее обязали выплатить пострадавшей 5 тыс. рублей. 

Подобные дела в России не редкость: брошенные в сердцах слова легко могут обернуться крупными санкциями. Подробности о том, как суды разбирают дела об оскорблениях — в нашем материале:
https://iz.ru/1460223/mariia-frolova/zlye-iazyki-peterburzhenku-osudili-za-soobshchenie-v-roditelskom-chate",15
3800191,-27532693,1674801600,"По итогам прошлого года продажи новых мотоциклов в России сократились на 16%. Это существенно меньше падения автомобильного рынка. Импортеры двухколесной техники смогли обеспечить ее поставки, несмотря на санкции и проблемы с логистикой, считают эксперты. 

По их прогнозам, в нынешнем году продажи мотоциклов вырастут. Кроме того, на рынке появятся новые игроки. Подробности — в нашем материале:
https://iz.ru/1460788/kirill-sazonov/na-svoikh-dvoikh-prodazhi-mototciklov-v-rossii-sokratilis-na-16",1
3799689,-27532693,1674786604,"Япония вводит дополнительные персональные санкции против связанных с РФ лиц, расширяет экспортные ограничения, сообщает кабмин.

Япония с 3 февраля запретит экспорт в РФ радиоактивных материалов, оборудования для атомных объектов, разведки нефти и природного газа, сообщили в министерстве. Страна также введет запрет на экспорт в РФ вакцин и медицинских изделий.",24
3798760,-27532693,1674751506,"Вашингтон готов к смягчению санкций против Москвы ради серьезных переговоров по Украине и вывода оттуда войск РФ, заявила Виктория Нуланд.",87
3798692,-27532693,1674749808,США ввели визовые санкции против 531 представителя ВС РФ. Об этом говорится в заявлении американского госсекретаря Энтони Блинкена.,13
3798605,-27532693,1674747906,"США вводят новые санкции против российских юридических и физических лиц, заявили в Минфине Соединенных Штатов. В их числе оказались Денис Мантуров и Рустам Минниханов.

В списке судоремонтные предприятия, структуры и физлица, якобы связанные с группой ""Вагнер"" и ее главой Пригожиным. Минфин США объявил группу ""Вагнер"" транснациональной криминальной организацией.",35
3795798,-27532693,1674669601,"В 2022 году на Дальнем Востоке 67 инвесторов успешно воспользовались дополнительными механизмами господдержки, сообщили в аппарате полпреда президента в ДФО. 

Кроме того, системообразующие предприятия получили 44 млрд рублей льготных кредитов на пополнение оборотных средств. Специалисты отмечают, что в настоящее время внешнеэкономические санкции в большей степени ограничивают рост капиталоемких отраслей. Подробности — в нашем материале:
https://iz.ru/1459606/dmitrii-alekseev/neprostoi-makroregion-v-2023-godu-obem-investitcii-v-dfo-sostavit-24-trln-rublei",0
3793982,-27532693,1674629515,"Российской армии не составит труда уничтожить танки западных стран при их поставках на Украину, сообщил экс-разведчик США Скотт Риттер. 

По его словам, в Киеве верят, что поставки наступательной техники навредят России. Однако эффект будет такой же, как и от антироссийских санкций, которые не смогли навредить стране, утверждает Риттер.

""Россия последние 20 лет готовилась дать отпор НАТО. А это значит, Россия знает, как уничтожить эти танки. Эти несколько десятков танков могут быть легко уничтожены российскими силами"", — отметил он.

Как подчеркнул экс-разведчик США, передача Украине танков не поможет ей победить.",38
3789157,-27532693,1674481806,"Венгрия не поддержит антироссийские санкции Европейского союза, которые так или иначе скажутся на сотрудничестве Будапешта и Москвы в области атомной энергетики, заявил глава МИД Венгрии Петер Сийярто:
https://iz.ru/1458956/2023-01-23/vengriia-ne-podderzhit-meshaiushchie-iadernomu-sotrudnichestvu-s-rf-sanktcii?utm_source=vkontakte&utm_medium=social",11
3784916,-27532693,1674374402,"Германия расплачивается за антироссийские санкции и уже признала, что полный отказ от угля к 2030 году теперь невозможен. С этим согласились даже ""Зеленые"" в правительстве Олафа Шольца. Заменить российское топливо в прежних объемах пока что нечем. При этом в нарушении поставок обвиняют именно РФ. 
 
Немецкий министр экономики и проблем климата Роберт Хабек уверен, что время ""грязного"" ископаемого топлива заканчивается, но ФРГ остро необходим уголь. Даже к 2030 году отказаться от него не получится. Он теперь относится к возобновляемым источникам энергии, стоит только закачать в подземные пустоты сжиженный углекислый газ. 
 
Если февраль будет холодным, в хранилищах крупнейшей экономики ЕС совсем не останется основного топлива для жизни – газа. Корреспондент ""Известий"" Александр Тузиков узнал, как Германия под давлением США отказалась от ""зеленой"" энергетики.",32
3783176,-27532693,1674315001,"Руководитель центра политэкономических исследований Института нового общества Василий Колташов заявил, что попытки Запада ""выключить"" РФ из мировой экономики привели к обратному эффекту и негативно сказались на ЕС. 
 
Так он прокомментировал заявление профессора Гарвардского институт Кеннета Рогоффа на Всемирном экономическом форуме в Давосе. В нем он заявил, что Россия станет ""гигантским Ираном"" из-за санкционного давления Запада.",5
3783097,-27532693,1674312306,"Митинг в поддержку снятия санкций с России прошел столице Австрии. В акции приняли участие несколько сотен человек:
https://iz.ru/1458254/2023-01-21/v-vene-proshel-miting-v-podderzhku-sniatiia-sanktcii-es-s-rossii?main_click&utm_source=vkontakte&utm_medium=social",81
3782438,-27532693,1674293408,"Эксперт Вячеслав Мищенко прокомментировал ""Известиям"" сообщения о том, что США и союзники договорились ввести два потолка цен на российскую нефть.

Он заявил, что такая мера — это санкционная фантазия. Нет никаких гарантий, что следующим участником или предметом обсуждения ограничений не будет другая страна. Мищенко отметил, что российская нефтегазовая отрасль должна не привязываться к новостям, которые производит западное сообщество. По его мнению, необходимо учитывать процессы, но не сидеть и не ждать, когда введут очередные санкции, а потом искать способы их преодолевать: 

https://iz.ru/1458141/2023-01-21/ekspert-nazval-sanktcionnoi-fantaziei-plany-vvesti-dva-potolka-tcen-na-nefteprodukty-rf?utm_source=vkontakte&utm_medium=social",9
3782383,-27532693,1674291224,"Московский суд заочно выдал санкцию на арест экс-гендиректора центра им. Хруничева Андрея Калиновского по обвинению в мошенничестве.

Калиновский руководил ведомством с 2014 по 2017 годы. Ранее он был объявлен МВД в розыск.",9
3781204,-27532693,1674255607,"Министерство юстиции США предъявило бизнесмену с российским гражданством Владиславу Осипову обвинения в обходе антироссийских санкций и отмывании денег, сообщается на сайте ведомства.

Отмечается, что аналогичные обвинения также предъявлены гражданину Великобритании Ричарду Мастерсу.",0
3781004,-27532693,1674248407,"Минюст США предъявил обвинения в обходе санкций и отмывании средств гражданину РФ 51-летнему бизнесмену Владиславу Осипову.

Его вместе с гражданином Британии подозревают в якобы попытке вывести из-под санкций яхту российского предпринимателя Виктора Вексельберга.",18
3780620,-27532693,1674235807,"Прокуратура Берлина инициировала расследование в связи с деятельностью ""Русского дома"" в столице ФРГ — агентство DPA.

Представитель правоохранительных органов Себастьян Бюхнер уточнил, что сейчас проводится проверка на предмет нарушения Закона о внешнеэкономической деятельности ""Русским домом"" в Берлине. Как сообщает DPA, поводом стали санкции Евросоюза в отношении РФ из-за нынешних событий на Украине.",13
3779573,-27532693,1674211206,"Центризбирком России уже сейчас закладывает необходимую базу для проведения избирательной кампании по выборам президента РФ, которая пройдет в 2024 году. Об этом сообщила глава ЦИК РФ Элла Памфилова.

Одна из важнейших стратегических задач ЦИК — последовательное продолжение усилий по росту у избирателей доверия к выборам и самой избирательной системе. По словам Памфиловой, голосование на выборах в недружественных странах будет затруднено из-за санкций, но ЦИК приложит все усилия для организации его там, где это возможно.",34
3779406,-27532693,1674207011,"Глава Евросовета Шарль Мишель заявил о растущих сложностях с принятием санкций против России — Bloomberg. 

Также он считает, что ограничения должны быть усилены и в них ""должно быть задействовано больше стран"".",32
3779239,-27532693,1674204000,"Концерн Toyota первым из автопроизводителей в конце прошлого года возобновил прямые поставки запчастей в Россию. Речь идет о деталях, которые не подпали под санкции. 
 
Также российская дочка ""Тойота Мотор"" (официальный поставщик продукции в РФ) разрешила своим дилерам параллельный импорт запчастей, на которые распространяются ограничения, например, электроники. 
 
Почему компания решила пойти на этот шаг — в нашем материале. 
 
https://iz.ru/1457201/evgeniia-pertceva-anastasiia-lvova/vozvrashchenie-stroptivykh-toyota-pervoi-vozobnovila-postavki-zapchastei-v-rossiiu",0
3778428,-27532693,1674183601,"Российская экономика не переживает прогнозируемого ранее упадка: вместо обещанных 20% снижение российского ВВП составило не более 2,1%. Ни о каком кризисе, близком к 1990-м годам, и говорить не приходится. 
 
К таким выводам пришли авторы публикации в итальянской газете Corriere della Sera. Власти западных стран преувеличили влияние санкций на российскую экономику или потенциал РФ не был оценен корректно. 
 
Насколько близки к реальности замечания зарубежных изданий и какие сферы экономики оказались наиболее уязвимыми — в нашем материале. 
 
https://iz.ru/1457162/sofia-smirnova/bez-dela-progadat-prognozy-krakha-ekonomiki-rf-priznali-bespochvennymi",66
3777588,-27532693,1674147601,"На фоне санкций и ограничений по использованию доллара и евро компании стали массово запускать продукты инвестиционного и накопительного страхования жизни (ИСЖ и НСЖ) в валютах дружественных стран. Такие полисы уже можно оформить в юанях, игроки также рассматривают запуск инструментов в гонконгских долларах и тенге. 
 
Какую доходность принесут такие ИСЖ и НСЖ и насколько они рискованны — в нашем материале.

https://iz.ru/1456587/mariia-kolobova/skopi-i-sokhrani-strakhovshchiki-zhizni-perekhodiat-na-druzhestvennye-valiuty",6
3775625,-27532693,1674114000,"Контактов между представителями России и Евросоюза по вопросам украинского урегулирования в настоящее время нет. Об этом в нам интервью заявил и.о. постоянного представителя РФ при ЕС Кирилл Логвинов. 
 
При этом он добавил: несмотря на истощение запасов у ряда стран, поставки оружия на Украину продолжатся. 
 
О готовности членов ЕС к введению десятого пакета санкций и планах Брюсселя по конфискации российских активов — в нашем материале. 
 
https://iz.ru/1456354/mariia-vasileva/otnosheniia-s-es-teper-uzhe-predstoit-vystroit-zanovo",6
3775552,-27532693,1674112800,"Россиянам могут законодательно запретить выбрасывать бытовые и пищевые отходы в канализацию, а к нарушителям применять санкции. Специалисты всё чаще сталкиваются с бытовым мусором в очистных сооружениях канализации, кроме того, засоряют ее и жители многоквартирных домов. 
 
Почему мера стала актуальна именно сейчас и как будут решать проблему — в нашем материале. 
 
https://iz.ru/1456527/evgeniia-pertceva/chistye-trudy-vykidyvat-v-kanalizatciiu-bytovye-otkhody-mogut-zapretit-zakonom",36
