post_id,text,comment_time,from_id
4659254,еще совсем недавно катар финансировал террористов в чечне,1704006975,674331202
4658955,И рыбку съесть...,1703994439,158725418
4658955,👍 прежде всего он думает о своём народе. 👍,1703994912,453430133
4658955,Что за тупые шутки,1703994939,822951097
4658955,"если успеют,а то и ЕС не будет.",1703995283,115733701
4658955,"тут сложно им , если жесткую позицию выберут ,там сразу разожгут войну",1703995761,350486390
4658955,"Сначала наберут кредитов и займов, попадут в экономическую зависимость, а потом не хотят жить под дудку наглосаксов. А потом ещё хотят в ЕС для того что бы опять набрать льготных кредитов.  Но ЕС принимает и поддерживает в обмен на ВСЁ послушание. Только дураку это не понятно.",1703996189,117068240
4658955,На двух стульях….. братушка…,1703999635,806198389
4658955,"Велики сомнения а перспективе данного плана от Вучича. Слишком  разнополярные задачи. Либо есть ошибка и не просчёт всех ситуаций, либо одно из желаний ширма. Время покажет суть и смысл.",1704000743,163154116
4658955,"""Хороший ты мужик, Андрей Егорыч, но не орёл!""",1704003498,65657885
4658955,"это верно, нельзя портить отношения с Россией, наша страна всегда идёт навстречу другим",1704005395,676451966
4658955,"вот если бы ЕС не следовали позиции НАТО, то всё в мире было бы намного проще",1704005922,830846425
4658955,"наш европейский партнер. пожалуй чуть ли не единственный, который за суверенитет своей страны выступает",1704006010,698212702
4658955,"и как они себе это представляют,на двух стульях не усидишь уж точно",1704010424,731546941
4658955,"Всё правильно, здравомыслящие люди должны общаться и находить общий язык",1704018106,830775889
4658955,"Этой же стратегии придерживался Янукович, всё это вело к внутренним противоречиям и стало опорным ядром кризиса приведшего к государственному перевороту управляемому извне",1704022114,214024103
4658955,Зачем вам этот ес? Как женщины низкой социальной ответственности,1704026346,400123769
4658955,Кишка тонка! В любой момент отскочит! Зачем нам они! Таких  друзей...!,1704043994,651338503
4652464,че там слышно по изоляции то?),1703802628,681503834
4652464,"все пытаются санкции обойти, потому что начали проседать доходы компаний от потери российского рынка",1703809649,765805529
4652464,если появляются новые самолёты то это значит то что наша промышленность работает,1703813018,830774750
4652464,Ну то есть просто б/у самолёт отдадут.,1703816976,824221681
4652464,"Прикольно, это позитивно скажется на нашей стране и перелетах внутри!",1703819309,680874857
4652464,"вот это крутая новость! всегда россия отличалась высоким уровнем авиации, вот тому доказательство.",1703855005,818274541
4652464,"крутая новость. я чаще всего летаю этой авиакоманией и меня все устраивает! и качество обслуживания, и уровень перелетов.",1703861316,818274815
4652464,Ппц тут ботов в комментах ),1703873343,185322527
4652425,Никто работать и зарабатывать не хочет. Лишь бы что-нибудь спиз.... стырить с бюджета нашего государства.,1703799154,262005268
4652425,"украина просто эти самолёты гражданские продать хотят деньги им нужны , ведь наши самолёты в мире ценятся",1703799341,830775100
4652425,"Да никто все равно не позволит. Украине тем более, что они ни к чему.",1703802431,718998894
4652425,зеленкий готов для себя борт для побега и второй видимо для всех своих наворованных денег,1703806488,830799789
4652425,"Чет там Украина вообще раскатала губу свою на все, и там что-то хотят и тут что-то хотят что-то они вообще того там уже",1703806896,767118123
4652425,"с каждым днем только наглеют украинцы, скоро вообще потребуют русский язык им присвоить, раз уж никто не может угомонить этого разбалованного ребенка",1703809700,765805529
4652425,"а на каких основаниях они хотят это сделать? нет никаких законных оснований, только их перступные схемы, Зеленскому так деньги нужны? ну еще бы, ЗАпад то не хочет больше его спонсировать",1703813530,809299781
4652425,"у попрошаек ничего нет, как воруют не в себя, так и конфискуют у других все для себя",1703819889,830831264
4652425,"Готовится бежать, самолеты пригодятся",1703835172,828660447
4652425,"Если у Украины нет вобще техники ,то зачем же она тогда гоняется за другими? Всё равно больше техники страны запада давать не будут и тогда смысл?",1703842380,801663082
4652425,"О чём речь? По мне - таки можно и без конфискации отдать, если припёрло самолётами двумя завладеть. Пусть будут, но в обмен на две области краины",1703847101,574951021
4651907,😝у кого деньги есть для тех продление визы не проблема решили приманить снегом зимой...,1703783165,566900762
4651836,"Бедолаги, такие жалкие они всё и их судороги",1703781962,70847794
4651836,к музыке? какая нота не та?,1703782050,805921656
4651836,"Если оттуда уедут все русские, то в стране останутся ""две калеки, три чумы"". Чего они лаят, не понимаю. Им дал СССР , вернее уже Россия свободу, а они никак не угомонятся.",1703782060,262005268
4651836,Что такое Латвия,1703782256,15620494
