id,owner_id,post_time,post_text,comments.count
4659254,-27532693,1704004800,"Бишкек и Доха будут налаживать сотрудничество в военной сфере. Такой законопроект принял парламентский комитет Киргизии по международным делам, безопасности, обороне и миграции во втором чтении. 
 
Теперь к экономическим интересам Катара в регионе добавились и военные. Научный сотрудник отдела Ближнего и Постсоветского Востока ИНИОН РАН Данила Крылов в беседе с ""Известиями"" отметил, что в данном случае акцент делается именно на военном факторе. 
 
Он заявил, что это эффективно и с точки зрения повышения доходов, и с точки зрения усиления влияния и улучшения своих позиций в тех или иных странах. К тому же, поскольку эти отношения не касаются России, в данном случае Катар не рискует попасть ни под какие американские санкции, подчеркнул эксперт.",4
4658955,-27532693,1703994000,"Сербия будет продолжать путь в ЕС и хранить дружеские отношения с Россией и Китаем, заявил Вучич. 
 
""На протяжении шести лет мы будем защищать свою независимость. Мы продолжим наш путь в ЕС, но с той же гордостью сохраним нашу традиционную дружбу и отношения с КНР, Россией и всеми остальными"", — приводит портал Alo! слова сербского президента. 
 
Он также заявил, что его страна не намерена ради ""чьего-то удовлетворения"" вводить санкции против РФ или постоянно выступать с заявлениями против Москвы и Пекина.",23
4652464,-27532693,1703800881,"Авиакомпания ""Победа"" в 2024 году получит еще один самолет Boeing 737-800, он начнет летать в середине следующего года, сообщили РБК в пресс-службе компании, добавив, что парк лоукостера достигнет 42 лайнеров.

По данным источника издания, Boeing, который передадут ""Победе"", — это борт чартерной авиакомпании Royal Flight, которая прекратила полеты в 2022 году из-за санкций.",19
4652425,-27532693,1703798700,"Министерство юстиции Украины подало иск в ВАКС страны с требованием конфискации в доход государства двух пассажирских самолетов Ан-148-100Е, которые принадлежат российской лизинговой компании ОАО ""Ильюшин Финанс Ко"". Об этом ведомство сообщило на своей странице в соцсетях. 
 
""Министерство юстиции подало в Высший антикоррупционный суд очередной иск о применении санкции в виде взыскания активов в доход государства. Минюст просит применить санкцию к ""Ильюшн Финанс Ко"", – следует из сообщения. 
 
Ранее пресс-секретарь президента РФ Дмитрий Песков заявил, что Россия не оставит в покое тех, кто принял решение об изъятии ее активов.",22
4651907,-27532693,1703782835,"В России готовят новые меры для привлечения иностранных инвесторов, выяснили ""Известия"". Им предложили выдавать визу не на год, как сейчас, а на три.

Ее собираются оформлять для тех, кто вложил в проекты в РФ 100 млн рублей (или около $1 млн). Письмо с такой инициативой ""Деловая Россия"" направила в Минэк. Привлекать иностранных бизнесменов из дружественных стран важно в условиях санкций, это поможет удовлетворить возросший внутренний спрос.",1
4651836,-27532693,1703781634,"Власти в Латвии закрыли доступ ко всем сайтам, которые связаны с компанией ""Яндекс"". Об этом сообщает председатель национального совета по электронным СМИ Ивар Аболиньш в социальной сети X (бывш. Twitter).

""Кроме того, в Латвии будет заблокирован доступ к сайту ""Яндекс Музыка"", который также предлагает бесплатный доступ к русской музыке, подкастам лиц, попавших под санкции Евросоюза, и аналогичному контенту"", — добавил Аболиньш в публикации.

Ранее в этот же день латвийский портал национального гостелерадио сообщил, что власти Латвии намерены принудительно выслать из страны более 1,2 тыс. российских граждан, которые якобы не урегулировали свой правовой статус, также  портал со ссылкой на управление по делам гражданства и миграции сообщает, что 904 человека из этой категории уже покинули страну.

Период, когда проживающие в Латвии россияне могли подать документы на ВНЖ, чтобы продолжить легальное проживание в стране, закончился 18 декабря. Около 15,5 тыс. граждан РФ подали заявление на постоянный ВНЖ в стране, а почти 3 тыс. человек — на временный.",66
4650150,-27532693,1703745638,"Экономика Литвы переживает всеобъемлющий упадок: сокращаются объемы транзита, промышленного и сельскохозяйственного производства, население затягивает пояса, зато огромные суммы тратятся на вооруженные силы.

Как известно, в последнее время экономика стран Балтии столкнулась с серьезными трудностями из-за конфликта на Украине и санкций ЕС против России, обусловивших резкий рост в Прибалтике цен на электроэнергию, топливо и продукты питания. В этих условиях жители Литвы вынуждены экономить и сокращать потребление; многие местные компании увольняют сотрудников, приостанавливают работу и фиксируют спад производства. При этом власти Литовской Республики призывают к дальнейшему ужесточению ограничений против РФ. 

Исследование, проведенное недавно по заказу банка Swedbank, показало, что продолжительный рост цен и экономическая неопределенность увеличили число жителей Литвы, стесненных в расходах. Сотрудница Swedbank Юрате Цвиликене рассказала, что Литва лидирует в Прибалтике по количеству жителей, вынужденных жестко экономить: в Латвии таких 47%, а в Эстонии — 54%. При всем при этом населению страны внушают, что главное — ""защита от агрессивного и непредсказуемого соседа"", а экономика может и подождать.",41
4649413,-27532693,1703708969,"Доходы и расходы федерального бюджета РФ по итогам 2023 года будут выше запланированных, заявил Антон Силуанов.

Другие заявления главы Минфина:

— Экспорт алмазов из РФ несмотря на санкции продолжится;

— Россия и ОАЭ готовят соглашение об избежании двойного налогообложения;

— Минфин РФ не планирует повышать налог на прибыль в 2024 году, но будет рассматривать такие предложения от бизнеса на 2025-2026 годы;

— Минфину РФ известно, что застройщики готовы вкладывать свои ресурсы в продолжение льготной ипотеки, но есть риски перегрева;

— Минфин РФ допускает расходование ФНБ в 2024 году при падении цены нефти, но не готов ""обнулить ФНБ и сидеть без копейки в запасе"";

— Минфин РФ не закладывал поступления по налогу на сверхприбыль от компаний в 2024 году, но ""спросит со всех: заплатил или нет"".",27
4649150,-27532693,1703696461,"Российские провайдеры начали поднимать цены на домашний интернет, на данный момент речь идет о 5–15%. В этом убедились ""Известия"", изучив информацию на сайтах крупнейших операторов, а также предупреждения, разосланные абонентам. 

Связистам нужны средства для закупки нового оборудования, которое недешево из-за санкций — так они сами объясняют увеличение стоимости. Других источников доходов для модернизации и расширения сетей, кроме повышения тарифов, у провайдеров практически нет, признают специалисты. 

В среднем услуги могут подорожать примерно на 10%, считают эксперты.",28
4648271,-27532693,1703676000,"""Это заявления малограмотного человека"": Мария Захарова прокомментировала слова Борреля, который заявил о том, что Россия ""не смогла стать нацией"" и призвал мобилизовать все ресурсы, потому что РФ якобы представляет опасность для всей Европы. 

По словам официального представителя МИД, заявления Борреля ""отдают национализмом и расизмом"". В своем ответе корреспонденту ""Известий"" Захарова напомнила, что Боррель прославился по всему миру своей расистской риторикой: сравнивал Евросоюз с прекрасным садом, а остальной мир — с ""джунглями, которые наступают"". 

Что еще сказала представитель МИД в ходе брифинга:

— Новые экспортные санкции Южной Кореи против РФ негативно отразятся на отношениях, ответ Москвы необязательно будет симметричным;

— Слова главы МИД Британии о сохранении поддержки Украины в 2024 году ""абсолютно безумны, оторваны от реалий"";

— Отмена запрета в Японии на экспорт летальных вооружений будет иметь негативные последствия для региональной и глобальной безопасности;

— РФ расценит как враждебное действие попадание японских ракет в руки ВСУ, это повлечет самые серьезные последствия для отношений с Токио.",53
