post_id,text,comment_time,from_id
2856655,,1675190549,719572391
2856655,санкции все же действуют?,1675190886,767543403
2856655,"Главная суть всей русской стали,
Пожалуй в главном - но (!) не в одном,
Так вот первое в том, что мы не устали,
В железном Отечестве, Родном...
Ну а во-вторых, и тут короткий сказ,
Есть хлеба кусок, и правит не Сталин,
И есть у вас и у нас в квартире газ,
Хотя лучшие времена, ещё не настали...",1675191349,314215448
2856655,"если 9 пакет ""гнул сталь"" - то десятый её расплавит )",1675191472,606213694
2856655,"Падение меньше чем планировали. При этом металл от нас идёт в Индию у которой рост производства стали. При этом эти поставки остаются рентабельными, то есть в прибыль. Как так то? Но новый рынок сбыта все таки хорошо. Есть сбыт, есть производство. Есть производство, есть рабочие места и зарплаты работающим в этой отрасли.",1675191663,4468133
2856655,Скоро всё загнётся из-за поехавшего Путина и его войны,1675191866,678886079
2856655,Пока идёт СВО сталь востребована,1675192251,731341319
2856539,ещё один  немец  вылез !😁,1675187785,662832766
2856539,"Новый мир на наших глазах устанавливается. История, нам повезло. Зимбабве...",1675188119,343079464
2856539,В России в прошлом году был великий урожай аж 150 миллионов я думаю надо делится со всеми в этом море и нас полюбят.,1675188186,505186807
2856539,"зная как Лукашенко дает интервью, говорит напрямую, ничего не сдерживая, как есть, уверен это были потрясающие переговоры.",1675188397,768533986
2856539,"Встреча Президентов,   дружественных  стран, строиться  на ДОВЕРИЕ, уважение, взаимопонимание, деловые  отношения, решаются. 👍",1675188414,306265068
2856539,Зимбабве🤣🤣🤣 вот так союзник,1675188505,13544774
2856539,"Красавчики, так и должно быть, пора покончить с однополярным миром!",1675189198,711343786
2856539,Каннибалы😉,1675191782,420447217
2856539,Они будут кушать беларрусов?,1675191825,461498232
2856539,БЛИЗНЕЦЫ!!!,1675192928,781124508
2856539,"Советский анекдот: программа Время, конец 70-х. Диктор: сегодня в кремле президент Зимбабве вручил нашему дорогому Леониду Ильичу орден страны - кольцо для носа. Интересно, сегодня такая традиция сохранилась, кольцо дарить для носа?",1675192966,155485542
2856539,Уга уга,1675195191,187163445
2856539,"Да, да, надо союзников во всех странах приобретать, и всем миром против натовских шакалов начинать бороться. Сладко, да гладко, конечно не будет, но терпенье и труд , все перетрут. Наши пословицы всегда актуальны. Народ русский мудрый и умный, трудолюбивый, так что все будет в России хорошо, но конечно не сразу",1675224677,740636036
2856539,"«Скажи мне кто твой друг и я скажу кто ты».
Осталось только посмотреть: Зимбабве подтянется до уровня Белоруссии,или Белоруссия придёт к уровню Зимбабве 😂",1675233041,164196514
2856539,ну да.  всё будет  нишитячок!  Захватчики  чужих  земель будут  преданы  суду.,1675438292,662832766
2856284,"Уаз, ваз... не автомобили получается? 🧐
 В этом году еще и москвич появился",1675180490,162408013
2856284,Пускай пешком ходят.,1675180627,582249346
2856284,"Весты за 1,7 ляма  по ходу западло брать",1675181087,646388752
2856284,Почему не сделать заряжённую Гранту или Весту?!,1675181145,4766476
2856284,Приоры и Уазы самото,1675190180,206892519
2856284,Лярд... Куда столько...,1675192565,1775564
2855895,Можно даже в титрах американских фильмов писать российских актёров.,1675166975,756217783
2855895,"Я думала, суверенность - это когда всё своё родное, а не когда можно воровать чужое безнаказанно. Получается, что без импортного мы все равно не проживём.",1675167057,773665369
2855895,А до весны ещё месяц,1675167147,711861928
2855895,это он как обычно с айфона в твиттер написал?,1675167184,537059137
2855895,медведь это кто,1675167245,227079720
2855895,"О, первая умная мысль от Медведева. Сынуля подсказал?",1675167540,3205329
2855895,Мы выстоим! Всем врагам назло,1675167897,336040259
2855895,Всё правильно 👍 Медвед🇷🇺❤,1675167942,606733141
2855895,"Видимо, фильмы недружественных государств всё-таки соответствуют нашим традиционным духовным ценностям?",1675168102,195225364
2855895,"На все, и на это и на то...",1675168224,75065353
2855895,Мстителей защитникам (или как там этот кал назывался) не заменишь никогда,1675168718,15173200
2855895,"миша опять с бодуна, на этот раз белочка",1675169007,166197814
2855895,айфончик сломался,1675170720,214605552
2855895,Юристом себя называл.,1675174421,619740159
2855895,Интересно.... Ну все тут ясно,1675175127,769406282
2855895,"Так мы импортозамещать будем или воровать? Хотя...    Похоже, что для сего ""юриста"" нет разницы.",1675175986,6221168
2855895,"Меня умиляет этот момент-  ""на азиатское"". Когда на своё заменим уточнить слабо?",1675177369,484180354
2855895,"""Димон сказал-Димон сделал""  заменим всё на всё...",1675194069,752151064
2855405,Это плохо ...,1675139565,623120148
2855405,"А чё же, по телевизору сказали санкции не влияют.",1675143179,256141624
2855405,"В перспективе снижение доли на рынке инновационных препаратов не ""может"", а приведет к повышению смертности от онкологии и не только.",1675144200,294479526
2855405,Жизнь в рф не стоит ничего. Если это не жизнь элитки.,1675146416,729558369
2855405,,1675148960,745898101
2855405,По словам нашего любимого и неповторимого в РФ самая лучшая медицина в мире. Сваливаемся в каменный век. То ли еще будет. Летом заготавливаем травку.,1675149686,436409366
2855405,Самое последнее о чем завтра будет горевать государство ..это о полном отсуствии оригинальных медицинских препаратов .на внутреннем рынке ..причем даже если каким то чудом их сюда и привозили контрабандой ....то ценник у них будет настолько конский ..что покупать массово вообще никто не сможет .....,1675154911,12025189
2855405,"То что не будет проблем- никто и не говорил….естественно прийдется работать над проблемой…ни на одно государство- не наложено столько санкций,как на РФ..с отсутствием лекарств сегодня испытывает весь мир,санкции работают против всех..",1675167791,561586176
2855347,Что российского в серверах от Крафтвея?,1675121646,3205329
2855347,Ох сколько они бабла пилили этот вей ;),1675124158,30591777
2855347,"Да вообще капитализм заканчивается. Скоро у всех предпринимателей будет чекисткий пистолет у виска, а народ будет покупать продукты по талонам.",1675146053,65646043
2854349,"Российское правительство занималось переориентацией мировых потоков денег. Россия стала не просто самой богатой страной в мире, она стала неизмеримо богаче всех других стран. Весь мировой капитал стекался в Россию. Россия стала МИРОВЫМ НАУЧНЫМ ЦЕНТРОМ Кн5 глава,, Самое богатое государство,, ВН Мегре",1675039046,525115302
2854349,"Весь мировой капитал стекался в Россию. И люди среднего достатка, и богатые стремились хранить свой капитал только в российских банках. Многие состоятельные люди просто завещали свои сбережения на развитие российских программ :это были те, кто понимал зависимость будущего всего человечества от их воплощения. Кн5 глава,, Самое богатое государство,, ВН Мегре",1675039086,525115302
2854349,"Российские семьи вкладывали свои деньги в проекты.
—ПОКУПКА ХИМИЧНСКИХ КОНЦЕРНОВ ЗА ПРЕДЕЛАМИ РОССИИ, ЗАВОДОВ ПО ПРОИЗВОДСТВУ ОРУЖИЯ, НАУЧНЫХ ЦЕНТРОВ.
—Но целью таких проектов было не производство вредоносных химикатов и оружия, а уничтожение предприятий, их производящих. Российские правительство занималось переориентацией мировых потоков денег. Питающая смертоносное для человечества энергия денег теперь направлялась на ликвидацию этого смертоносого. Кн5 глава,, Самое богатое государство,, ВН Мегре",1675039132,525115302
2854349,"Немного ждать осталось, будет образ сильный у страны. ОН ПОБЕДИТ ВСЕ ВОЙНЫ, И МЕЧТЫ ЛЮДСКИЕ ПРЕКРАСНОЙ ЯВЬЮ ПРЕТВОРЯТЬСЯ СТАНУТ В ТВОЕЙ СТРАНЕ, ПОТОМ ПО ВСЕЙ ЗЕМЛЕ. КН4 ГЛАВА,, ТАЙНАЯ НАУКА,, ВН Мегре",1675039159,525115302
2853185,Красавы,1674975236,420931731
2853185,"Так, что у нас?  США предупредят Турцию, Объединенные Арабские Эмираты и Оман о рисках потери доступа к американскому рынку в случае пренебрежения санкциями против России. Замглавы Минфин США Брайан Нельсон посетит эти страны в конце января - начале февраля 2023 года и подробно обсудит вопрос по пресечению попыток России обойти санкции и экспортный контроль с представителями власти и бизнеса.",1674975604,729936742
2853185,"Ну всё, теперь заживут🤣🤣🤣",1674975904,621725024
2853185,Ввели и ввели. Наша страна с 14 года под санкциями живет и как-то уже научилась справляться),1674977832,777088917
2853185,Пора хорошо проучить центр принятия решений. Для этого у нас всё имеется. Бомбить больницы- это самое последнее. А что можно ожидать от нелюдей?,1674981469,712024845
2853185,"Ни одно преступление украинского режима не останется безнаказанным, сто процентов все причастные к убийствам людей понесут наказание!",1674985450,707524650
2853096,"А лётчиков где возьмут?
Этому мастерству ГОДАМИ учатся, это танкиста можно обучить за пару месяцев, но не пилотов.",1674967846,461942608
2853096,"НАТО хочет усилить свою группировку на Украине. Но пытается сохранить какую-то видимость, что НАТО не воюет напрямую с Россией.",1674968045,475427334
2853096,Тихо подталкивают к мировому апокалипсису,1674974039,21733256
2852955,"Как ж жить то теперь будем, Нарик опять санкции вводит🤣",1674976072,280558492
2852955,"У него какие-то действия циклично ограниченные) Ходит по кругу, ничерта не меняется",1674977887,777088917
2852955,"На санкции Зеленского вот только всем наплевать, его решения не являются значимыми, он никто и звать его никак.",1674985728,707524650
2852955,"Просто вот интересно, он весь мир призывает ввести санкции против России вот уже год как, а сам только ввёл санкции? Смешно",1675006400,12179004
2852955,Единороссы в Госдуме выступили против дополнительных льгот для сельских медиков,1675007296,7340496
2852955,... Ю. Видать Занятся нечем кокс кончился. Под синькой сидит,1675011426,3994095
2852884,ничего нового не происходит,1674937061,713079786
2852884,Тонкий намёк на толстые обстоятельства?!,1674937196,663222126
2852884,"Цели были достигнуты. Граница от Ленинграда отодвинута + несколько стратегических островов.
Но слишком велика цена.",1674937270,710263824
2852884,"Вcпoмнитe пpoшлoe cтoлeтиe, пepвyю и втopyю миpoвoю вoйны. Чeгo дoбилиcь иx инициaтopы? – Ничeгo. Пoзop и ocyждeниe нa мнoгиe гoдa, выплaты oбязaтeльcтв и peпapaций. К чeмy пpивeдeт СВО? Чтo Рoccия выигpaeт в этoм?",1674937744,259311809
2852884,СССР отодвинула границу от Ленинграда а комерсант пора прировнять к иноагенту,1674937949,97217348
2852884,"прочитал, и как дежа-вю прям",1674937966,20556122
2852884,"А кем ожидалось, что в считанные дни?",1674938725,82403
2852884,"Меняются кремлесидельцы,изменился строй,но суть осталась прежней. Как и повсеместный  бардак. Из серии «А колёса мы закрепим по дороге. Прикрутчиков много,и за ценой не постоим»…",1674938726,749865989
2852884,Мутно написано,1674938749,229846972
2852884,"Ну так же проиграете, чудовища 
Против нелюдей весь мир помогает Україні",1674939109,293763403
2852884,"Расстарался ""Коммерсантъ"": 3 дня с небольшими перерывами эту заказную обедню не слушать,так читать.",1674942684,542751928
2852884,"Удобное обвинение финов, для кострюлеголовых",1674943654,355304183
2852884,"Хельсинки за 3 дня, говорили они...",1674943735,638374890
2852884,Чистят коменты.,1674946209,3938809
2852884,"Коммерсант начал играть словами и значит, полагаться на его объективность не приходится. Жаль, вроде хорошее издание, а поплыло.",1674955671,219523024
2852884,Еще один «журналист» ушел слегка в сферу пропаганды получил денежек написал искажённую чушь и теперь собой доволен…,1674964051,356340018
2852884,История повторилась,1674975344,340377747
2852884,"Главное чем закончилось всё. СССР просил просто обменяться землями , чтобы финны отодвинули свою границу от СССР. Афины захотели воевать. В конце ВОВ , СССР забрало себе ещё большую территорию, чем предлагалось изначально. Мораль: русские своё всё равно заберут.",1674978861,768130390
2852884,"как легко многие схавали эту манипуляцию. Мало того, что притянутая параллель, так ещё говорится так, будто финны совсем ни в чём не виноваты.",1675067258,65147
2850416,"Запретите ввоз своих авто 
Сразу получите все что хотите",1674802135,777063277
2850416,Короткая память.,1674803398,30160376
2850416,"Германия может оправдываться как угодно, но поставки оружия на украину вовлекают ее в конфликт и это факт. Причем Германия сама же страдает от этого. И так обороноспособность страны на нуле",1674803747,720960813
2850416,Кто поддерживает Украину же становится стороной конфликта и соучастниками множества преступлений,1674804242,707664372
2850416,Япония все ближе к приостановке своего сотрудничества в проекте Сахалин-2,1674804304,720845306
2850416,"Германия забыла, как её от фашизма лечили 80 лет назад. Ну что же... Значит, придётся напомнить",1674809867,696457881
2850416,"Что-то Германия заднюю включать начинает. Не получится чистыми из воды выйти, когда танки поставляешь",1674811031,721037199
2850416,,1674814151,414484719
2850416,"Вы нах... никому не сдались, особенно Германии)",1674828546,12946847
2850416,"Поддержка украины таким вооружением как танки, еще как делает Германию стороной конфликта",1674832496,729377060
2850416,"Просит уладить вопрос, чтобы рыбаки из япоши рыбку ловили в экономической зоне России.",1674939216,634466811
2850326,"Да боже, лол, когда уже до этих стран дойдет, что всеми санкциями они делают только хуже себе и своим гражданским)?? 
Вон до Франции же дошло, что проблемы с энергоресурсами у них из-за антироссийских санкций, а вот че то до других это не дошло. Потому что думать надо, прежде чем за всеми повторять, лишь бы привлечь внимание. Все эти санкции никак на Россия по итогу не влияют)",1674798366,707148848
