post_id,text,comment_time,from_id
7405195,"Разве можно уничтожить то, что уже было уничтожено до них всякими Гайдара и и Чубайсянами?",1675192443,141262572
7405195,Че там принято? Скотч всемогущий и окропление кадилом?,1675192838,665338773
7405195,"Это они там, на западе, так думают. А оказалось, что санкции направлены на поднятие отечественного авиастроения !",1675193000,708519845
7405195,"Цитата:""Как заявил глава Росавиации в интервью РБК, санкции Запада, введенные после начала российской спецоперации на Украине, направлены на уничтожение российской авиации"" 
Вопрос  к Нерадько, а санкции что для процветания вводят?",1675193063,377920389
7405195,"Нельзя уничтожить то, чего нет.",1675193372,64366271
7405195,То что мертво умереть не может ©,1675193568,441790734
7405195,Не дождутся 🇷🇺🇷🇺🇷🇺,1675193794,235081504
7405195,Мне как то паралельно.я не летаю..а авиацию стали ещё в 90х уничтожать.и всем нравилось..у нас целый авиазавод закрыли делали ту 154м..,1675194724,371886443
7404888,На ямал там красота сам бы сьездил🤣,1675186404,291586643
7404888,Украину,1675186552,679578184
7404888,Вот и прекрасно!!! 🇷🇺❤️👍🏼🙌👏,1675187496,779538429
7404888,Открыли везде где можно заразу поцепить🤣,1675188597,151032287
7404888,Но мне туда не надо...,1675188782,477784817
7404888,"Нам бы свою страну облетать...... жизни не хватит ..... ты нести меня река ,да  в родные берега.... сколько мест, а народ -то какой !!! ... что несёшь,   то и видишь
ВСЕМ ДОБРА И БЛАГА",1675189344,230024913
7404888,Прямым рейсом из Москвы...,1675190667,10592759
7404888,Убрали все рейсы из Минска в Красноярск. На родину не попасть без мытарства пересадок. На фига мне Мьянма?,1675192434,155485542
7404888,А в России отдохнуть не хотите?,1675203102,508875037
7404888,"По своей стране тоже можно поездить) 
Да и в целом мы можем и отказаться от других стран) 
Лично мне кажется, что мы сможем жить, отдыхать, полноценно в своей стране. 
Даже различные санкции не помешают, даже если говорить про ограничения тех компаний, которые нас покинули, у нас и свои предприятия есть, производство, которое тоже хорошо развивается) 
https://www.mos.ru/news/item/118926073/",1675263545,637485459
7403537,,1675173246,340044546
7403537,Отрицательный рост😂,1675174147,131803080
7403537,Путин Сталина догоняет по экономическому росту. Разница всего в сто раз,1675174382,393634508
7403537,"Обьемы то могут расти и в 2 раза, за какие цены продается вопрос???",1675175103,707213620
