id,owner_id,post_time,post_text,comments.count
7405195,-15722194,1675192208,"Антироссийские санкции Запада, введенные после начала спецоперации на Украине, направлены на уничтожение российской авиации. Об этом заявил глава Росавиации.

По словам главы Федерального агентства воздушного транспорта РФ Александра Нерадько, попытки ЕС уничтожить авиацию России оказались неудачными из-за вовремя принятых мер российских властей:
https://www.kp.ru/online/news/5121109/?from=smm

#авиация #санкции #СВО",35
7404888,-15722194,1675186210,"«Комсомолка» составила список стран, куда россияне могут летать прямыми рейсами в 2023 году:

🔻 Весной обещают запустить полёты Тунис, летом в ЮАР;

🔻 Идут переговоры о возобновлении авиасообщения с Малайзией, Индонезией, Мьянмой, Вьетнамом, Ливаном;

🔻 Несмотря на авиационные санкции, российские пассажиры могут без пересадок добраться в 30 стран мира, в том числе Турцию, Египет, ОАЭ и Тайланд.

А полный список стран, куда зимой 2023 года можно улететь прямым рейсом, смотрите на сайте:
https://www.kp.ru/daily/27459/4713896/?from=smm

#отдых #страны #виза",16
7403537,-15722194,1675171806,"По мнению экспертов фонда, в этом году российская экономика вырастет на 0,3%. А все потому, что несмотря на антироссийские санкции, объемы российского экспорта сырья практически не снижаются. 

Но российские эксперты считают, что МВФ делает излишне оптимистичные прогнозы. Тем более, что подавляющее большинство стран в мире нас обходят. Средний экономический рост по планете составит 2,9%. При этом, центр мировой экономики все больше смещается на Восток. А вот в ""старушке Европе"" дела не так хороши.

Как будет расти экономика:

🔻 Великобритания -0,6%
🔻 Германия +0,1%
🔻 Россия +0,3%
🔻 Бразилия +1,2%
🔻 ЮАР +1,2%
🔻 США +1,4%
🔻 Саудовская Аравия +2,6%
🔻 Мир в целом +2,9%
🔻 Китай +5,2%
🔻 Индия +6,1%

https://www.kp.ru/daily/27459/4714146/?from=smm

#МВФ #экономика #прогнозы",9
7402856,-15722194,1675164906,"Турецкий экономист заявил, что США давят на страну с требованием ввести антироссийские санкции:
https://www.kp.ru/online/news/5119880/?from=smm

#санкции #Турция #США",13
7401234,-15722194,1675146609,"Россия создала прочную связь с Китаем. Все преграды США не помогли

В прошлом году наши страны, несмотря на антироссийские санкции, отгрузили друг другу разных товаров на $190,3 млрд (на треть больше, чем в 2021 г.). При этом мы поставили в Поднебесную товаров на сумму в 1,5 раза больше, чем получили. Позиция номер один в российском экспорте – энергоносители, прежде всего нефть и газ. В Поднебесной ценятся и другие наши товары: российские продукты, древесина и изделия из нее. 

Не боится ли Китай санкций? 

Китай всегда найдёт возможность сделать то, что считает нужным. Один из таких хитрых приемов сделать по-своему и ни с кем не поссориться - поставки в Россию мобильных телефонов. Это делается не напрямую от известного мирового производителя, а через множество мелких фирм, которые не сосчитаешь. Поэтому США ничего предъявить не сможет. 

https://www.kp.ru/daily/27458/4713842/?from=smm

#Китай #санкции #США",310
7399476,-15722194,1675091824,"Российский экспорт сырой нефти не пострадает из-за установленного странами G7 предела цен на топливо. 

Российская торговля перенаправлена в страны, не вводившие антироссийские санкции:
https://www.kp.ru/online/news/5119052/?from=smm

#нефть #экспорт #санкции",11
7397353,-15722194,1675066207,"Борис Джонсон в трехсерийном документальном фильме рассказал о подробностях своей беседы с Владимиром Путиным накануне начала спецоперации на Украине. 
 
По словам экс-премьера Великобритании, он пытался предостеречь российского президента от начала СВО, заявляя о введении в этом случае западных санкций против России: 
https://www.kp.ru/online/news/5117648/?from=smm 
 
#сво #Джонсон #Путин",55
7397324,-15722194,1675065612,"«Российская экономика рухнет на 11,2%!» - пророчил в апреле Всемирный банк. «Доллар будет стоить 200 рублей!» - вещал в марте Джо Байден. Но ничего этого не случилось. Вот как правительству удалось это сделать:

🔻Антироссийские санкции

В 2022 году Россия стала «чемпионом мира» по санкциям. Запад прочил крах экономике России, но по итогам 2022 года Россия вернулась в десятку сильнейших экономик мира и заняла девятое место в рейтинге стран по ВВП. 

Как правительство этого добилось? Одна из эффективных мер - весной 2022 года кабмин разрешил параллельный импорт. А еще, несмотря на европейское эмбарго и потолок цен, у нас не обвалился экспорт нефти. Поставки были перенаправлены в другие страны.

🔻Коронавирус 

С началом пандемии россияне рванули в магазины закупаться продуктами на месяцы вперед. Но правительству удалось избежать дефицита, установив «зеленый коридор» для импортных товаров первой необходимости и продуктов. А когда осенью резко взлетела стоимость базовых продуктов, правительство зафиксировало розничные цены на них.

В 2021 году представители разных стран и международных организаций признали эффективность этих мер нашего правительства.

Как в стране боролись с безработицей и инфляцией - в нашем материале:
https://www.kp.ru/daily/27458.5/4713281/?from=smm

#экономика #инфляция #санкции",145
7390668,-15722194,1674909607,"Эксперты, проанализировав конфликт в зоне спецоперации на Украине с точки зрения американских национальных интересов, заявили, что затягивание этого кризиса не будет выгодно Вашингтону. И предложили четыре важных шага: 

🔻США могут обязать Украину сесть за стол переговоров в качестве условия для получения военной помощи.

🔻Вашингтон призвали взять на себя ответственность за обеспечение украинской безопасности и нейтралитета.

🔻Гарантировать нейтралитет Украины, выполнив одно из ключевых требований Москвы, поскольку одностороннее обещание киевских властей не вызывает доверия в Кремле.

🔻Также для завершения конфликта на Украине авторы доклада называют условия, которые выдвинут США для смягчения санкций в отношении России.

https://www.kp.ru/online/news/5116298/?from=smm

#спецоперация #США #Украина",41
7386551,-15722194,1674827105,"Филипп Киркоров, как всегда, проводит вторую половину января в своем доме в Майами. Короля эстрады даже не испугало, что американские активисты хотят, чтобы против него ввели серьезные санкции. 

Узнали у адвоката, сможет ли артист вернуться в Россию, не потеряв особняк, если такие санкции все-таки введут:
https://www.kp.ru/daily/27458.5/4712619/?from=smm

#Киркоров #артист #санкции",68
