post_id,text,comment_time,from_id
8312112,Пох\|Й🤣,1703651193,11895705
8312112,Придурки,1703651608,140047367
8312112,У нас Дед Мороз вообще-то. Они хоть в курсе?,1703652519,536262548
8312112,А зачем он нам нужен.У нас свой Дедушка Мороз.,1703652891,518455029
8312112,"Господи помилуй, это что у них кончились санкции и они устроили вот такой высер? Письма Санте? Вы серьезно? Нет, я понимаю что мир чуть-чуть пошатало, но не до такой же истерии!",1703653788,809589141
8312112,Надо запретить Финляндию!,1703653952,627999594
8312112,Да и пофиг на Клауса! 😂,1703654049,63018801
8312112,,1703654072,415024372
8312112,"И Пиноккио запретите,красавчика Буратино позовём",1703654903,685360283
8312112,"Ой,ну фсё,мы этого прям не переживём 😂🤣🤣",1703656166,189739141
8312112,😁😁😁😁😁😁😁Ядом своим сами и траванетесь!,1703657299,777377322
8312112,"Вот чудилы, они не в курсе, что у нас свой Дед Мороз! 😂",1703659083,790358987
8312112,"У нас своих пиши не хочу:
Кыш Бабай
Ямал Ири
Якшамо Атя
Уэс Дадэ
Паккайне
Йущто Кугыза
Чысхаан
Хель Мучи
Тол Бабай
Саган Убген  и.т.д.",1703659373,87027881
8312112,Я тут подумала🤔 как же ему теперь тяжело на своих оленях мир облетать и не дай Бог нашу страну не зацепить копытом.,1703660791,118801324
8312112,"А Деду Морозу???
🤣🤣🤣",1703669382,93901223
8312112,А нахрена он нам нужен?,1703670319,522998795
8312112,Как мы теперь),1703672606,697681795
8312112,"Ну хз, я всегда пишу дедушке морозу",1703675374,7931707
8312112,"И смех, и грех....😆",1703682460,96306179
8312112,😭,1703684416,352947864
8307637,"Дружелюбно! Очень круто, что у нас в стране каждый регион так трепетно относится к гостям!",1703539909,732524550
8307637,"О, это очень прикольно)
Да вообще то столько разных регионов находят на выставки и как дружно они там все находятся, то просто прекрасно)",1703548493,767351789
8307637,Самый красивый город.,1703572268,790283358
8290962,А ограничения как должны на этих граждан влиять ? они же все равно с киевом не собираются судя по всему сотрудничать,1703337987,709941207
8290962,"Заняться то нечем, надо же показать что работает.....",1703338997,313843233
8290962,"ого, санкции от самого зеленского?) а кто их почувствовал?)",1703340610,690377097
8290962,,1703346676,581475699
8290190,"После того, как мир станет многополярным, доллар потеряет свою силу",1703327076,690352028
8290190,"В который раз понимаю, не зря систему мир создали, спб, и продолжают развивать. Все смяалась зачем мне этот мир, если есть виза. А в итоге то, надо свое все иметь",1703328039,656798841
8290190,А ничего что сами Штаты у России покупают уран? Умники бл нашлись с ограничениями,1703328304,732653946
8290190,"чТО БЫ ДОЛЛАР НЕ ПОТЕРЯЛ СИЛУ , ПИНДОСЫ ЕЩЕ РАЗВЯЖУТ ВОЙНУ... Благо стран для разорения до фига.",1703338140,824339821
8283585,"Так я не понимаю, как ЕС вообще принимает решение о дальнейших пакетах санкций в отношении нашего государства, когда эти санкции проблемами только по ним самим проигрываются?",1703128381,729651842
8283585,Россия плевать хотела на все санкции. Не нужно давить на Россию - подавитесь!,1703129256,422507039
8283585,"Уже дошло до гвоздей, до туалетной бумаги, только на себя надо надеяться, когда Россия покажет зубы и станет сильной-сами приползут",1703139831,828660447
8281718,Шольца повалять и макронить - это шедевр 🤣👍,1703059396,701796671
8281718,"Проще говоря, силы России доказали, что распиаренная западом техника - леопарды, пэтриоты, хаймарсы - не более чем мусор, который горит ярче консервных банок.",1703059758,732529064
8280347,"Дивинадцатый ужотко..

""- Комиссар, тобе пакет !
-Не ""тобе"" , а "" Вам"" пакет.
-Нам он на хрен не сдался. Сказано же :тобе пакет. Лично. Из штабу.",1703002599,494367262
8280347,На х...й эти алмазы нужны...бред,1703003043,348366252
8280347,Когда мы начнём изымать собственность иноагентов?,1703003128,254272563
8280347,"Ой, спасибо, разрешили зубные щетки ввозить, страшное оружие русских",1703003788,10338767
8280347,"не ""дисконтом"" а скидкой! задолбали своими кривыми англицизмами...",1703003881,386687894
8280347,"ЕС самим не смешно от санкций?🤦🏻 Уже 12 пакет, а на нас никак это не влияет, зато западные страны страдают от своих же ограничений. И хорошо, что Россия не гонится за падением других стран, а активно развивает свою. Благодаря этому мы имеем успехи не только в импортозамещении, но и повышении экономики. Так же многие отрасли стали показывать превосходные результаты своей работы, например, промышленные кластеры столицы. Им удалось не только расширить свои предприятия, но и увеличить вдвое объемы промышленного производства. Многие компании уже имеют неплохие успехи, которые позволяют закрыть те или иные потребности страны.
https://www.sobyanin.ru/o-moskovskoi-promyshlennosti",1703084511,717682764
8278945,"только понимать нужно ,что санкции против России невыгодны тем,кто их ввел , так что не надо страдать ерундой",1702974430,680883494
8278945,"Ну своими выпадами в сторону России,они лишь яму себе роют.РФ самый выгодный поставщик ресурсов,всегда был,есть и будет",1702974520,706768378
8278945,"Русофобия ЕС очевидна, а на деле они без России не протянут, их промышленность и сельские хозяйство связано с Россией",1702974909,706724019
8278945,Чего плохого то? Наши торгаши перестанут всё гнать на экспорт. Внутри страны цены снизятся.,1702974983,836434352
8278945,"О нет, санкции. Никогда такого не было и вот опять 😱",1702975182,712659472
8278945,"а потом будут говорить , что у них нет никакой русофобии . в то же время своими действмия доказывают обратное",1702975774,696457627
8278945,Очередной выстрел в пах ЕС самим себе. России хуже не будет,1702975902,706723914
8278945,Тем временем Запад нарушает собственные же санкции и торгует с Россией 😁,1702976667,680875532
8278945,ЕС сам стреляет себе в ногу,1702977771,277543811
8278945,А чего же тогда европейцы торговать продолжают с Россией и не отказываются от российских ресурсов?,1702986738,680012717
8274197,"Каждый сумасшедший сходит с ума по-своему. Удивляться нечему, Германия страна, которая жгла книги своих гениальных поэтов.",1702799914,493903273
8274197,Зато ни кто не подкакает России .В виде подарочка. Негодяев то не мало.,1702800324,164408630
8274197,Ворьё.,1702800387,34176144
8274197,"А что, в Германии так плохо с туалетной бумагой, что надо высылать ее в подарок?",1702800680,10338767
8274197,Идиотизм по-немецки,1702801679,772347814
8274197,То есть Германия все таки погружается за железный занавес?,1702803646,339652864
8274197,А зачем мы в Германию отправляем рождественские подарки?,1702804082,135052456
8274197,Это и открытку им теперь не послать?,1702807304,172546920
8273996,"укротеррористы все пытаются России навредить, да безуспешно. а в ответ получат удары куда сильнее же)))",1702794139,690384737
8273996,"Жаль что не в морду двинул. Никифор, голубчик, принеси-ка мне рояль из залы,на нем моя рюмка  коньяку стоит,что вы барыня ,рояля то в кустах,вы вчерась, накушавшись,на нем по саду изволили ездить.",1702794164,505790773
