id,owner_id,post_time,post_text,comments.count
8312112,-15722194,1703650742,"Финляндия запретила россиянам отправлять бумажные письма Санта-Клаусу.

О новом запрете сообщили в МИД страны. В ведомстве напомнили, что весной 2022 года Финская почтовая служба приостановила все перевозки писем и посылок между Финляндией и Россией. Там отметили, что принятые меры основаны ""на исключительных обстоятельствах в соответствии с соглашениями Всемирного почтового союза"". Однако в ведомстве уточнили, что каждый волен свободно написать Санта-Клаусу, в том числе по электронной почте.

Извините, а это какой пакет санкций?

 Источник: тг-канал truekpru
#новости #Финляндия #Россия #Санта_Клаус",25
8307637,-15722194,1703535003,"Месяц назад на землю Калининграда в аэропорту «Храброво» ступил 4-миллионный пассажир. Несмотря на санкции, пассажиропоток в обе стороны — с материка на полуэксклав и обратно — с каждым годом растет, отмечают специалисты. В связи с этим руководство аэропорта планирует расширять мощности, так как туристическая привлекательность Калининграда очевидна.

Этой новостью в рамках международной выставки «Россия» поделился на Дне региона глава Калининградской области Антон Алиханов. «Люди приезжают сюда жить, и это очень хороший для нас, местной власти, показатель», — искренне порадовался губернатор.

В янтарном крае есть что посмотреть и чем полюбоваться. Рассказываем подробнее: https://www.kp.ru/online/news/5605510/",3
8290962,-15722194,1703337659,"Ограничения коснулись граждан России, Украины и Латвии",5
8290190,-15722194,1703326501,"""А иначе отключим от доллара"": США пригрозили иностранным банкам, работающим с Россией

Америка снова давит на все остальные страны. Теперь в ход пошли косвенные санкции. А именно — пытаются запретить всему миру торговать с Россией и проводить финансовые операции по внешней торговле. Вчера Джо Байден подписал указ, и суть его заключается в том, что под кулак вторичных санкций могут попасть те банки, которые помогают проводить внешнеторговые операции.

Российские эксперты считают, что пока опасность этой угрозы не очевидна. Хотя дополнительные трудности для российского бизнеса это все же может создать:
https://www.kp.ru/daily/27598.5/4870417/?from=smm

#новости #доллар #экономика",5
8283585,-15722194,1703127657,Попытки ограничения российских поставок приводили к обратному эффекту,22
8281718,-15722194,1703059245,"🗣 Самые важные, необычные и забавные слова спецоперации на Украине: как «наглосаксов» накрывают артой, и что значит «Шольца повалять»

В этом KP.RU разбирался вместе с филологом Мариной Приемышевой. Как оказалось, многое из того, что мы стали чаще слышать в связи с СВО, относится к традиционному военному, профессиональному жаргону. Просто произошла его активизация и актуализация.

Пожалуй, новыми словами можно считать:

▪Обобщенные наименования парков вооружений. Из западных СМИ пришло обозначение для вооружения НАТО — «зоопарк» («Леопарды», «Тигры», «Росомахи»).

▪Аббревиатуру СВО. Слово часто используется при образовании новых сложных слов: СВО-выставка, СВО-доброволец, СВО-тематика.

▪Языковая игра с графическим символом Z. Наименований с этим символом поддержки СВО в неологической базе данных — около 350!

▪Много новых выражений связаны с экономическими санкциями, с их последствиями и с отношениями с Западом: «газогеддон», «наглосаксы», «байденить», «валять шольца», «макронить».

▪Ироничные наименования, которые касаются экономических последствий СВО: «деикеезация», «декокаколизация», «демакдональдизация».

▪А отток из страны некоторых представителей бизнес- и шоу-бизнеса дал нам «дечубайсизацию», «деургантизацию».

❗Однако попадут ли многие из них в большие толковые словари, покажет время. Необходимо, чтобы слово, стало широко употребляться в различных сферах, утверждает Марина Приемышева.

https://www.kp.ru/daily/27596/4868609/?from=smm

Источник: тг-канал truekpru
#спецоперация #сво #украина #словарный_запас #сленг #русский_язык #новости",3
8280347,-15722194,1703002207,"🚫 Изъятие российских активов и запрет на алмазы: как будет работать 12-й пакет санкций ЕС

Принятый Советом ЕС 12-й пакет санкций был самым обсуждаемым среди европейских политиков и первым, в котором Евросоюз отразил зеркальные меры в ответ на изъятие Россией активов уходящих западных компаний. Итак, в списке санкций появилась возможность конфисковать активы российских предприятий и физлиц, работающих на европейском рынке. Не факт, что принятые ЕС меры будут действовать. Для реализации нужна судебная процедура, и все зависит от тех решений, которые примет Европейский суд.

Но не запретами одними отметился 12-й пакет санкций. Авторы смягчили правила ввоза автомобилей и личных вещей. Ранее были сообщения, что даже ввоз зубной щетки и гигиенических прокладок на территорию ЕС будет ограничен:
https://www.kp.ru/daily/27596/4868470/?from=smm

#санкции #евросоюз #новости",11
8278945,-15722194,1702974354,В рамках нового пакета антироссийских санкций ЕС запретил реэкспорт в Россию определенных товаров,19
8274197,-15722194,1702799145,Ведомство напомнило о необходимости соблюдения санкций против РФ,12
8273996,-15722194,1702792802,"Последние новости на утро 17 декабря:

🔻Средства ПВО уничтожили 33 беспилотника ВСУ над тремя регионами РФ
 https://www.kp.ru/online/news/5592816/?from=smm

🔻Генерал-лейтенант США Антонио Агуто ударил украинского военного в грудь при президенте Зеленском на военной базе в Германии
https://www.kp.ru/online/news/5592798/?from=smm

🔻Экс-генерал ВСУ Кривонос заявил о превосходстве России в подготовке подразделений
https://www.kp.ru/online/news/5592791/?from=smm

🔻Депутат Европарламента Мик Уоллес заявил, что западные санкции против России нанесли большой вред жителям Евросоюза https://www.kp.ru/online/news/5592779/?from=smm

🔻В возрасте 93 лет умер американский актер Джек Аксельрод, наиболее известный ролями в сериалах «Клиника», «Офис» и «Декстер»
https://www.kp.ru/online/news/5592773/?from=smm

🔻Дональд Трамп заявил, что Джо Байден является угрозой демократии в США
https://www.kp.ru/online/news/5592757/?from=smm

#новости_кп #актер #пво",6
8270575,-15722194,1702641647,"По мнению немецких СМИ, запреты действуют условно, а экономика России лишь растет",12
8269262,-15722194,1702611044,Мера включена в новый пакет санкций против России,16
8269231,-15722194,1702609243,"В черный список также попали компании из Армении, ОАЭ, Сирии и Узбекистана",14
8269020,-15722194,1702591267,Процедура утверждения нового пакета рестрикций ЕС еще не завершена,2
8268543,-15722194,1702575645,Австрия сделала это в знак протеста действиям Киева в отношении её банков,6
8266084,-15722194,1702492547,В ходе выступления в итальянском Сенате нардеп Гончаренко также назвал российскую армию самой мощной в мире,5
8264005,-15722194,1702429543,Президент США боролся с насморком на совместной с украинским лидером пресс-конференции,8
8261789,-15722194,1702363202,"Количество экономических антироссийских санкций уже давно побило все мыслимые рекорды, а в тех же США не могут обходиться без «русских разработок». В Америке успешно применяются наши технологии, некоторые разработаны еще в Советском Союзе.

Среди них - использование инфракрасного света для производства компьютерных чипов, гидравлические методы добычи угля, измерение теплообмена внутри клеток, производство гиротронов (электровакуумных СВЧ-генераторов), литье полых слитков, стыковая сварка труб большого диаметра методом оплавления.

А недавно стало известно, что в США решили дать вторую жизнь еще одной советской разработке - экраноплану. В 1970-х годах советские инженеры создали гибрид самолета и катера, который мог летать с приличной скоростью на небольшой высоте над водной поверхностью.

Думаете на этом все? А вот и нет - Запад прибрал к рукам многие наши прорывные идеи. Рассказываем о них:
https://www.kp.ru/daily/27592/4864642/?from=smm

#сша #разработки #санкции #экраноплан",17
8260794,-15722194,1702306805,"Главные новости на этот час за 11 декабря. Что происходит в России и мире:

🔺Минобороны России предупредило о планах ВСУ заразить патогенами питьевую воду:
https://www.kp.ru/online/news/5584348/?from=smm

🔺Британия сохранит санкции против России после конфликта на Украине:
https://www.kp.ru/online/news/5584392/?from=smm

🔺В ТРЦ «Пассаж» в Екатеринбурге произошел пожар, эвакуированы 500 человек:
https://www.kp.ru/online/news/5584211/?from=smm

🔺Лауреат Нобелевской премии по литературе неправильно написал слово литература:
https://www.kp.ru/online/news/5584177/?from=smm

🔺Депортацию иностранцев из России в ряде случаев могут заменить штрафом:
https://www.kp.ru/online/news/5584163/?from=smm

🔺Кабмин РФ одобрил создание единого электронного реестра адвокатов:
https://www.kp.ru/online/news/5584155/?from=smm

🔺СКР завершил расследование дела о нападении на псковских десантников в 2000 году:
https://www.kp.ru/online/news/5584029/?from=smm

🔺СК: В Челябинске 8-летний ребенок получил ожоги, провалившись в яму с кипятком:
https://www.kp.ru/online/news/5583985/?from=smm

🔺Госдума одобрила во втором чтении проект об обезличивании персональных данных:
https://www.kp.ru/online/news/5583899/?from=smm

#депортация_иностранцев #возвращение_мухтара #персональные_данные",10
8257604,-15722194,1702200602,"Российский экспорт в недружественные страны, а также импорт товаров из этих стран по итогам этого года сократится втрое по сравнению с 2021 годом. А к 2030 году снижение импорта и экспорта окажется пятикратным. Напомним, в список недружественных России стран входит более 50 государств. Это страны ЕС, США, Канада, Япония, Австралия.

Свои главные торговые потоки Россия переориентировала на Восток. По оценкам экспертов Центра стратегических разработок, объем экспорта в Индию за это время вырос почти в 3,5 раза. Экспорт в Азербайджан вырос на 27%, в Китай – на 15%, в Турцию – на 15%, в Иран – на 7%. Растет и импорт товаров из этих стран.

💡Кстати, общие потери ЕС в связи со сворачиванием торговли с Россией в МИД оценили в 1,5 трлн долларов. Не случайно, лидеры некоторых стран ЕС, в том числе Венгрии и Хорватии, открыто заявили, что санкции наносят самому ЕС чуть не ли больше вреда, чем России.

https://www.kp.ru/daily/27592.5/4863848/?from=smm

Источник: тг-канал truekpru
#экспорт #санкции #страны_ЕС",37
8249222,-15722194,1701957620,Экономист Ракша: за санкции против российских бриллиантов заплатит сам Запад,5
8246853,-15722194,1701919828,Под ограничения попали заместители председателя СК и замминистра юстиции,4
8245228,-15722194,1701856846,"В США признали участие Вашингтона в госперевороте на Украине в 2014 году. Об этом заявил член палаты представителей США Томас Мэсси в беседе с журналистом Такером Карлсоном:

💬В 2014 году мы помогли свергнуть их избранное правительство. Я говорил, эти санкции, бряцание оружием, резолюции будут иметь последствия, и у них были последствия.

Ещё из интервью Томаса Мэсси:

🔻США тратят вдвое больше на разрушение инфраструктуры Украины, чем на собственные мосты и дороги. При этом Киев еще и попросит восстановить все за американский счет;

🔻Украина не сможет взять под свой контроль Крымский полуостров, не сможет победить в конфликте.

Источник: тг-канал truekpru
Фото: скриншот видео
#украина #такер_карлсон #госпереворот_на_украине",9
8239557,-15722194,1701661500,"В Госдуме предложили наказывать за повторную продажу табачной продукции детям. 
 
«Существует ряд продавцов, готовых рискнуть ради увеличения заработка. Дети всё ещё покупают вейпы и электронные сигареты. Мы считаем, что имеющегося набора санкций недостаточно, и предлагаем усилить наказание за повторные нарушения», — пояснил автор законопроекта Леонид Слуцкий. 
 
Согласно инициативе, за повторную продажу табачной и никотинсодержащей продукции, кальянов и устройств для потребления подобной продукции предлагается штрафовать на сумму от 60 до 200 тыс. руб. для должностных лиц от 300 до 400 тыс. руб., для юридических от 600 до 800 тыс. руб. Кроме того, предлагается приостанавливать деятельность юридических лиц со сроком до 90 суток, так же, как в случае с наказанием за реализацию алкоголя. 
 
#Россия #Госдума #дети",22
8238650,-15722194,1701616515,El Mundo: Россия стала крупнейшим поставщиком голубого топлива в 2023 году,8
8237417,-15722194,1701584721,ЕС с февраля 2022 года закупили у США около 61 миллиарда кубометров газа,6
8237149,-15722194,1701561601,"38-летнему футболисту предъявлен коллективный иск с требованием выплатить более 1 миллиарда долларов в качестве компенсации за продвижение незарегистрированных ценных бумаг. Согласно жалобе, поданной в окружной суд Флориды (США), платформа вычисляла пользователей, которые приобретали NFT-токены Роналду, и призывала их вкладываться в различные инвестиционные программы Binance.

По мнению истцов, звезда мирового футбола не мог не знать о том, что Binance торгует незарегистрированными криптовалютными бумагами, поскольку у него есть ""инвестиционный опыт и огромные ресурсы для привлечения внешних консультантов"". Ранее Binance признала вину в несоблюдении правил борьбы с отмыванием средств и нарушении санкций, а основателю компании грозит тюремный срок в 18 месяцев.

Источник: truekpru
#Криштиану_Роналду #футболист #реклама_криптобиржи",2
8236263,-15722194,1701518404,"Латвия, Литва и Польша (заметьте, Эстония не поддержала их в данном случае) настолько возмутились выступлением президента Белоруссии Александра Лукашенко на Всемирном саммите в Дубае и даже его присутствием, что лидеры этих стран отказались фотографироваться на групповое фото участников саммита.

А что в итоге? А в итоге все смешно – Александр Лукашенко сфотографировался с остальными 147-ю участниками саммита, а вот эти трое – нет. И получилось, что они сами себя исключили из этой общей семьи, а совсем и не Лукашенко.

В общем, получилось у этого трио русофобов все, как у Запада с антироссийскими санкциями. Думали развалить и уничтожить противника, а получилось разве что лишь наказать себя самих.

Обозреватель KP.RU Александр Гришин о том, как европейские лидеры по привычке сами «выстрелили себе в ногу»:
https://www.kp.ru/daily/27589.5/4860313/?from=smm

#Александр_Лукашенко #Всемирный_саммит #европейские_лидеры",23
8235794,-15722194,1701504044,"Российские миллиардеры на фоне санкций стали еще богаче

С начала года состояние российских миллиардеров увеличилось на $38,575 млрд. Больше всего удалось заработать совладельцу ЛУКОЙЛа Вагиту Алекперову – за год его состояние выросло на 60% или $9 млрд.

Всего же по данным агентства Bloomberg в списке 500 богатейших людей планеты находятся 25 россиян:
https://www.kp.ru/daily/27589.5/4860114/?from=smm

#российские_миллиардеры #санкции #богатство",36
8235654,-15722194,1701497111,"Страны хотят усилить надзор за судами под флагами Либерии, Маршалловых островов и Панамы",4
8234002,-15722194,1701429316,"«Партия свободы», возглавляемая Гертом Вилдерсом, получила в парламенте Нидерландов 37 мест",2
8224345,-15722194,1701092712,"✍️ Мода сменилась: 58% новых брендов, зарегистрированных в РФ в 2023 году, написаны кириллицей

В России сейчас настоящий бренд-бум. Сотни иностранных компаний покинули наш рынок на фоне антироссийских санкций, на их место приходят отечественные. Судите сами, более 75 000 заявок было подано в Роспатент за 8 месяцев 2023 года. Это на 35% больше, чем за такой же период прошлого года.

По данным Роспатента, наши бизнесмены стремятся занять освободившиеся ниши и конкурировать с западными в сегментах одежды и обуви, программного обеспечения, электроники и смартфонов, бытовой химии, парфюмерии и косметики, фармацевтики. Мы попросили аналитиков Роспатента и сервиса API Контур. Фокус сделать подборку названий, зарегистрированных в 2022 и 2023 годах, чтобы понять современные предпочтения российских предпринимателей (см. карточку 2).

https://www.kp.ru/daily/27586.5/4857110/?from=smm

#мода #новые_бренды #санкции",3
8222586,-15722194,1701026398,Немецкий политик Бакхейт: антироссийские санкции вредят экономике Германии,2
8220106,-15722194,1700911500,Несколько стран-членов ЕС выразили опасения по поводу законности антироссийских мер,4
8219052,-15722194,1700845208,"Советник главы Офиса президента Украины Михаил Подоляк объяснил неудачи в украинском контрнаступлении несвоевременными поставками Западом вооружений и введением санкций против России. А также поделился размышлениями о будущем, сомневаясь, что в случае мира без возвращения Крыма Украина сможет сохраниться, как государство.

А шанс сохранить хоть какое-то подобие государства у Украины есть лишь в случае капитуляции и выполнения российских условий. Впрочем, логика глубоко чужда разуму киевского руководства.

Обозреватель KP.RU Александр Гришин — о том, как команда Зеленского толкает украинцев не только в «мясные штурмы», но и готова кидать их воевать «голыми руками»:
https://www.kp.ru/daily/27586.5/4856230/?from=smm

#Украина #государство #сво",25
8217637,-15722194,1700803512,"Последние новости на утро 24 ноября: 
 
🔻Средства ПВО уничтожили ночью 13 украинских беспилотников над Крымом, еще 3 — над Волгоградской областью, сообщили в МО РФ; 
https://www.kp.ru/online/news/5558446/?from=smm 
 
🔻В Дублине прошли антимигрантские протесты после нападения на детей; 
https://www.kp.ru/online/news/5558300/?from=smm 
 
🔻Штат Нью-Джерси приостановил действие закона о санкциях за связи с РФ; 
https://www.kp.ru/online/news/5558391/?from=smm 
 
🔻МЧС предложило давать выходной пострадавшим от чрезвычайных ситуаций россиянам; 
https://www.kp.ru/online/news/5558317/?from=smm 
 
🔻Спецборт МЧС доставил в Москву еще 103 эвакуированных из Газы россиянина; 
https://www.kp.ru/online/news/5558313/?from=smm 
 
🔻На экс-депутата Заксобрания Красноярского края Гольдмана завели дело о мошенничестве. 
https://www.kp.ru/online/news/5558361/?from=smm 
 
#новости_кп #беспилотники #мчс",115
