post_id,text,comment_time,from_id
19503569,Благодетель.)),1675045957,298516759
19503569,"Значит плохо «предупреждал»! За это и выперли из премьеров! За  то, что не того предупреждал и не теми методами! Предупреждал бы гавнабородьку, может не ходил бы сейчас под Риши.",1675046021,379617231
19503569,Можно подумать до его предупреждений санкций не было.,1675046970,349898986
19503569,А до СВО разве не накладывали санкции? И без него понятно было. 🤡,1675046998,117985475
19503569,санкции против рашки,1675047640,227079720
19503569,Он уже никто и какая разница что он там говорит плевать украинский петушок ему в помощь.,1675047773,603566649
19503569,"Пёс всклоченый , блохастый , всё бегает по задворкам и тявкает ! 🙃",1675048291,717070731
19503569,А о последствиях санкций для Великобритании сам  хотя-бы подумал?,1675048465,71409855
19503569,"Типа: мы банда, и тебе устроим. Ты обязан бояться.",1675048651,17665932
19503569,А потом Боря проснулся в мокрой кровати.,1675050656,45121262
19503569,Да и плевать на чучело,1675051454,20115802
19503569,"Собака лает, караван идёт.",1675052126,388561984
19503569,Опять видимо перепил,1675052263,595449682
19503569,"Эх,лохматько,лохматько!Предупреждалка у тебя сломалась.",1675053469,151727855
19503569,"Пусть засунут себе в задницу эти санкции', может будут думать головой....
Нас наказывают, а мы крепчаем и развиваем новые для России технологии....",1675056922,602924095
19503569,"Лучше бы Минск выполняли, а то обманывали Россию и ещё усмехались.",1675057188,503621468
19503569,"Отработанное💩,еще воняет🤦‍♂️",1675057532,36343267
19503569,На  Сарматы и Посейдоны их санкции не действуют 👍👍😜😜,1675061928,4718048
19503569,"предупреждать надо было бидона, чтобы не лез к нашим границам, а нас не надо",1675062417,707326566
19503569,Домовенок кузя идёт лесом,1675065415,21696751
19503569,Кем он себя возомнил что решил что может вообще что либо говорить Путину!?,1675066974,710464747
19503569,"И чего он типа решил нас этим запугать что ли, как видим нам плевать на эти санкции, не знаю на что он там рассчитывал, но мы начали то что должны были, чтобы наладить мир",1675067283,708027049
19503569,да эти их санкции кому вообще вредят? только им самим,1675068206,729191256
19503569,"А к чему его предупреждения, он думал, что мы согласимся жить без санкций, но чтобы на нас напали? Правильно Путин сделал, что не стал слушать его",1675068212,674800620
19503569,,1675069420,579009931
19503569,"А Путин предупреждал ещё в 17 году, что если не будут выполненные минские соглашения. То Россия по другому действовать начнёт",1675070028,732466673
19503569,"они всю жизнь нам угрожали и предупреждали чему-то, сразу было понятно, что этоне просто угрозы, что они шли к этому",1675075012,731484809
19503569,"Хитрый дружок, сначала закупился энергоресурсами, а потом санкции ввели 🤔",1675075786,590010006
19503569,"Да? А Россия такая взяла и не испугалась угроз со стороны Британии? Если это правда, то не удивительно что так сша нервничать стали.",1675078860,713574588
19503569,"А еще он говорил, что Путин ему угрожал, хотя это вообще не правда",1675082183,731505348
19503569,🤮🤮👎,1675083702,455630302
19495519,А за щеку они не хотят))),1674762358,338273215
19495519,Пошли они далеко и над окном Америка заплатит за всё,1674762424,663866907
19495519,🤣🤣🤣🤣🤣🤣🤣,1674773288,711010363
19495519,"Америка умрёт как государство.
Их Империализации пришёл конец.",1674774871,59501492
19495519,Повторят историю с римской империей)))история ничему не учит!дурак учиться на своих ошибках,1674782747,378468083
