id,owner_id,post_time,post_text,comments.count
19503569,-24199209,1675045773,"Бывший британский премьер Джонсон заявил, что предупреждал Путина о санкциях в разговоре, состоявшемся в феврале 2022 года перед началом СВО https://life.ru/p/1555156",46
19495519,-24199209,1674762002,США назвали условия для смягчения антироссийских санкций: https://life.ru/p/1554554,20
19495351,-24199209,1674756602,Под антироссийские санкции США попали известные госдеятели: https://life.ru/p/1554546,5
19494021,-24199209,1674727203,"В эпоху санкций, ковида и сложной геополитической обстановки российская экономика не только выстояла, но и постепенно выходит на прежний уровень. В частности благодаря бизнес-омбудсмену Татьяне Минеевой, защищавшей права московских предпринимателей.

Она активно помогает Донбассу и освобождённым территориям, пишет книги, делает всё для того, чтобы повысить привлекательность бизнеса для граждан.

В новом выпуске шоу ""Изнанка. Женщины"" Татьяна Минеева рассказала, много ли женщин выбирают путь предпринимателя, об их сильных сторонах в профессии и о том, как тинейджеров в России учат зарабатывать миллионы.",5
19492076,-24199209,1674678602,"Названа страна, присоединившаяся к девятому пакету антироссийских санкций ЕС: https://life.ru/p/1554336",28
19485821,-24199209,1674498002,Ещё восемь стран присоединились к антироссийским санкциям Евросоюза: https://life.ru/p/1553859,58
19481341,-24199209,1674313801,Ещё в одной европейской стране прошёл митинг за отмену антироссийских санкций: https://life.ru/p/1553429,40
19479877,-24199209,1674246602,"Пригожин иронично отреагировал на решение США ввести санкции против ""Вагнера"": https://life.ru/p/1553290",40
19479804,-24199209,1674244202,Стали известны новые планы США по введению санкций: https://life.ru/p/1553288,29
19478755,-24199209,1674216300,"Хирург Дмитрий Хубезов — один из первых депутатов, которые прибыли на освобождённые территории после объявления частичной мобилизации. Ему пришлось работать в госпитале совсем рядом с линией соприкосновения и, что показательно, на его операционном столе не умер ни один боец. Теперь же в зону СВО приехал его сын, который также будет лечить пострадавших. 
 
В эфире шоу ""Дайте сказать!"" политик объяснил, чем отличается военный врач от гражданского, должен ли он применять оружие и необходимы ли сейчас военные кафедры медвузам.",39
19473323,-24199209,1674059103,"Названа возможность, которая открылась перед Россией на фоне введения против неё массовых санкций: https://life.ru/p/1552722",92
19470622,-24199209,1673973011,"Стало известно содержание десятого, юбилейного пакета санкций ЕС: https://life.ru/p/1552525",26
19470365,-24199209,1673964604,МИД РФ принял меры в ответ на девятый пакет санкций Евросоюза: https://life.ru/p/1552492,6
19466908,-24199209,1673809207,"Как украинский олигарх с яхтой Z пошёл против Зеленского.

Константин Жеваго — самый загадочный олигарх Украины и самый молодой миллиардер Европы — задержан в Куршевеле за поездки на яхте под именем Z и теперь ожидает экстрадиции. Чем он прославился?

Неделю назад французский суд освободил из экстрадиционной тюрьмы 49-летнего украинского олигарха Константина Жеваго, выдачи которого активно добивается Киев, под залог в €1 млн. Суд конфисковал два паспорта Жеваго, а также — пока идут слушания — ему запрещено покидать Францию и надлежит отмечаться трижды в неделю в полицейском участке по месту жительства. Жеваго был задержан на горнолыжном курорте Куршевель ещё в декабре. А задержанию предшествовал громкий скандал, связанный с главным символом российской спецоперации.

Этим летом воды бухты средиземноморских курортов активно посещала 65-метровая яхта Z. В июне Z заметили в марине средиземноморского острова Ибица, в июле её видели во французском Сан-Тропе, а в августе она вошла в воды Монако, произведя там грандиозный скандал, поскольку в княжестве сейчас настолько много беглых украинских нуворишей и членов их семей, что в Киеве уже окрестили беглецов ""монакским батальоном"".

Скандал усилился, когда выяснилось, что Z принадлежит занимающему третью позицию в топе богатейших людей Украины мажоритарному владельцу горнодобывающей группы Ferrexpo Константину Жеваго. Правда, компания Amels построила для олигарха яхту Z ещё в 2014 году.

Её стоимость — около $70 млн, ежегодное содержание — примерно $7 млн. В семи люкс-каютах может разместиться до 14 гостей, есть также две ВИП-каюты, гости могут попариться в сауне, посетить SPA-салон или тренажёрный зал. Над интерьером поработал британский дизайнерский дом Winch Design, а над внешним видом судна — компания Tim Heywood Design.

Пресс-служба Жеваго отреагировала на скандал своеобразно, сообщив, что бизнесмен не собирается менять название судна, поскольку оно соответствует первой букве английской транслитерации фамилии семьи Жеваго (Zhevago), что дало дополнительный повод Киеву обвинить олигарха в связях с Россией. Ему также припомнили старый крымский актив — судостроительный завод ""Залив"", который был национализирован, но Жеваго не опротестовал это в суде, чем навлёк на себя подозрения.

После скандала государственное бюро расследований (ГБР) Украины направило запрос на экстрадицию Жеваго. Есть мнение, что, демонстрируя отказ сменить название яхты, Жеваго подчёркивает свои симпатии к России, ведь он ни разу не выступил с осуждением СВО, как это сделал, например, тот же Ринат Ахметов, хотя все украинские олигархи обеднели после начала спецоперации: состояние того же Жеваго в марте 2021 года составляло $2,1 млрд, а сейчас — не более полутора миллиардов. В России он также с 2018 года под санкциями.

Из-за риска ареста по запросу Украины и экстрадиции адвокаты настоятельно советовали Жеваго не ездить в Европу. А ещё лучше — не покидать Дубай, где сейчас пришвартована его яхта. Но жажда покататься на горных лыжах в швейцарском Куршевеле, который после оттока русских активно осваивают украинцы, пересилила страх тюрьмы. 21 декабря бизнесджет Жеваго вылетел из Дубая в Женеву. А через семь дней его арестовали в Куршевеле.

Несмотря на давление Киева, освобождение под залог может означать для предпринимателя будущий отказ от экстрадиции. На суде Жеваго заявил, что не делал того, в чём его обвиняет Украина. Следующее заседание по слушанию об экстрадиции должно теперь состояться 19 января.

Самый молодой олигарх Европы

Жеваго — один из тех редких украинских олигархов, кто появился на свет не на Украине, а на территории современной России. Правда, посёлок Иультин Магаданской области, где 7 января 1974 года родился Жеваго, уже как двадцать лет исключён из реестра населённых пунктов России. Детство будущий олигарх провёл уже в украинском Днепрорудном Запорожской области. Опять же, в ходе СВО в марте этого года Днепрорудное было занято силами МО и присоединено к Российской Федерации.

Пост финансового директора ЗАО ""Финансы и кредит"" Жеваго занял в 19 лет, когда учился на втором курсе Киевского института народного хозяйства им. Д.С. Коротченко. Не исключено, что ""вундеркинда из глубинки"" поставили на бизнес в качестве номинального руководителя, хотя СМИ впоследствии называли его самым молодым миллиардером в Европе, который сделал своё состояние сам.

В лихие 90-е на Украине, как и в России, стартовала ""ваучерная приватизация"", которая озолотила Жеваго: студент скупал мелкие пакеты акций, продавая их иностранным компаниям после консолидации. На вырученный куш предприниматель в 1994 году заложил основу своей будущей империи — банк ""Финансы и кредит"". Впоследствии в бизнес-империю Жеваго вошли десятки предприятий горнорудной и металлургической отрасли, фармакологии, пищепрома, судостроения и машиностроения. В том числе и такие лакомые активы, как Полтавский ГОК с управляющей компанией Ferrexpo из Швейцарии и Кременчугский АвтоКрАЗ. Также с 24 лет Жеваго активно присутствует в политике и в двухтысячные был народным депутатом разных созывов.

Последние годы офис президента Зеленского проводит явную антиолигархическую политику, отбирая крупные активы у и без того обедневших украинских олигархов. В этом офису содействуют Соединённые Штаты, которые видят в национальном капитале соперника, мешающего в реализации их собственных замыслов.

Жеваго ещё в 2019 году выехал с Украины, где его подозревают в растрате $113 млн. Бегству предпринимателя предшествовала коммуникация между офисом Зеленского и ""ресурсными"" людьми, которую, по данным инсайдеров, инициировал глава офиса Андрей Ермак. Олигархам предлагалось сотрудничество с офисом по старой схеме: входная сумма плюс абонплата в обмен на невключение в санкционные списки. Казалось бы, предложение Ермака могло заинтересовать Жеваго, ведь Ferrexpo, которую в 2007 году олигарх первым из украинцев вывел на основную площадку Лондонской фондовой биржи, приносила бизнесмену около $600 млн годовой прибыли. Но Жеваго почему-то предпочёл тесной дружбе с Зеленским Лазурный Берег и международный розыск.

Несмотря на розыск, Жеваго до последних событий умудрялся спокойно управлять своей финансовой империей удалённо, а бывший премьер-министр Украины Алексей Гончарук даже совещался с ним в 2020 году по важным экономическим вопросам.

Активы и семья

В ходе своего европейского бегства Жеваго не обеспокоился покупкой недвижимости. В последнее время он и вовсе живёт между Дубаем и Лондоном. Часто ходит на своей яхте.

Помимо яхты, как и полагается олигарху, у Жеваго есть свой бизнесджет Bombardier BD-700-1A10 Global Express XRS с бортовым номером G-XXRS, который формально числится за британской чартерной компанией TAG Aviation.

Помимо самолёта у Жеваго есть вертолёт Augusta A109 стоимостью €16 млн с бортовым номером KVZ — инициалы имени олигарха. Владеет вертолётом компания ""Финансы и кредит лизинг"", поэтому Жеваго никогда не указывал его в декларации, когда был нардепом. Такие же номера — KVZ — красуются на любимом спорткаре олигарха — Aston Martin ONE-77 стоимостью $2 млн.

Жеваго женат на ровеснице Алине Жеваго, с которой олигарх воспитывает сына и дочь. Женщина старше предпринимателя всего на месяц и якобы работает простым доцентом на кафедре международного менеджмента в Киевском экономическом университете. Что, впрочем, не мешало ей жить на широкую ногу, дефилируя на светских тусовках с главными светскими львицами Украины.

Лайф также выяснил, что супруга миллиардера была трудоустроена в банке ""Финансы и кредит"". Алина заявлена как владелица скромной киевской квартиры площадью 207,9 кв. м. По данным Лайфа, речь идёт об этой сталинке по улице Костёльной.

С Жеваго также связывают люксембургскую компанию Calexco S. A. R. L. Также олигарх владеет футбольной командой Премьер-лиги Украины ""Ворскла"".

Автор: Станислав Сенькин",6
19463876,-24199209,1673692208,97% жителей одной из стран ЕС высказались против санкций в отношении России: https://life.ru/p/1551784,29
19462649,-24199209,1673631600,"Центробанк начал распродавать валюту: чем это обернётся для курса рубля и фондового рынка.

С 13 января Центробанк начинает операции по купле-продаже валюты по новому правилу впервые после долгого перерыва. С чем это связано, как повлияет на курс рубля и что изменится на фондовом рынке?

Чем уникальны валютные операции Центробанка в этом году 
 
13 января снова начинает работать бюджетное правило. Центробанк возобновляет операции с иностранной валютой на внутреннем рынке, которые не проводились уже год. 
 
В последней версии бюджетного правила, которая действовала год назад, была зафиксирована цена на нефть марки Urals в 40 долларов за баррель. При этом предусматривалась индексация на 2% каждый год. Все нефтегазовые доходы сверх этой цены шли в резервы через покупку валюты, а остальные — на текущие расходы бюджета. Если же нефтяные цены снижались, то валюта продавалась. При снижении нефтяных цен до уровня менее 40 долларов валюта продавалась, а эти деньги шли на текущие расходы бюджета. Теперь же цены отсечения нет, но её роль выполняет уровень объёма нефтегазовых доходов в 8 трлн рублей в год. Эти деньги пойдут на финансирование расходов бюджета. Всё, что выше, направят в Фонд национального благосостояния (ФНБ). 
 
В январе ожидается, что бюджет нефтегазовых доходов недополучит. Поэтому валюта будет продаваться. Только это будут не доллары, как раньше, а юани. По данным Минфина, сделки будут на 3,2 млрд рублей ежедневно с 13 января по 6 февраля.

— Конструкция перезапущенного бюджетного правила сформирована с учётом изменившейся экономической и геополитической конъюнктуры. В 2022 году действие правила было приостановлено, потому что резервы регулятора и ФНБ в ключевых валютах оказались заблокированы из-за санкций. Соответственно, продавать было нечего, а покупать не было смысла, так как эту валюту автоматически заблокировали бы на западных корреспондентских счетах, — рассказал инвестиционный стратег компании ""БКС Мир инвестиций"" Александр Бахтин. 
 
Он объяснил, почему в новом правиле фигурирует именно юань. Во-первых, китайская валюта составляет значительную часть ФНБ и в целом золотовалютных резервов России. Во-вторых, это валюта второй по размеру экономики мира. В-третьих, ликвидность юаня на Мосбирже достигла высокого уровня и она уже сопоставима с долларом.

Как операции Центробанка отразятся на курсе рубля и фондовом рынке 
 
По мнению Александра Бахтина, учитывая новые параметры механизма, его прямое влияние на курсовую динамику рубля ожидается незначительным. Минфин анонсировал ежедневный объём продажи иностранной валюты до 6 февраля на уровне 3,2 млрд рублей. Это меньше 1,5% от среднедневного оборота торгов юанем / долларом / евро на Мосбирже, если брать за основу декабрьские данные. 
 
— На длинном горизонте новое бюджетное правило, как и предыдущее, должно сглаживать курсовые колебания, обеспечивая рублю более стабильную динамику. А это важный момент с точки зрения настроений и ожиданий в экономической среде, — пояснил Александр Бахтин. 
 
То есть косвенно возвращение инструмента стабилизации курса позитивно для компаний, в том числе эмитентов российского фондового рынка. С другой стороны, отметил аналитик, имеющие наибольший вес в индексе Мосбиржи акции экспортёров (59,2%) обычно выступают бенефициарами более слабого курса нацвалюты.

— Сейчас задача состоит в том, что нужно пополнять доходную часть бюджета страны. Сильных потрясений на валютном рынке России из-за возврата Центробанка к бюджетному правилу не произошло. Рубль даже начал расти и торгуется в паре с долларом ниже уровня 70 рублей за единицу американской валюты. Но пока сложно сказать, как долго эта тенденция продлится. Сильная просадка экспорта (нефть, газ, уголь, а с февраля ещё и нефтепродукты) приведёт к падению доходов бюджета в больших объёмах, чем прогнозировалось раньше. Нам стоит быть готовыми к тому, что постепенно доллар вырастет до 76–78 рублей или выше 80 рублей за единицу, — считает руководитель аналитического департамента AMarkets Артём Деев.

Для курса рубля новости о возобновлении операций с валютой стали позитивом: сейчас национальная валюта укрепляется. Однако в дальнейшем, скорее всего, рубль будет ослаблен до уровня 70–75 рублей за доллар, поскольку снижение экспортных доходов увеличивает дефицит бюджета. Более дорогой доллар на внутреннем российском рынке — это возможность увеличить доходы бюджета, так как налоги компании перечисляют в национальной валюте. Такой прогноз сделал частный инвестор, основатель ""Школы практического инвестирования"" Фёдор Сидоров. 
 
— С 13 января по 6 февраля ЦБ по поручению Минфина России должен будет продать на Московской бирже китайских юаней на 54,5 млрд рублей, или 3,2 млрд рублей в день. Это не такая большая величина. Скажем, в декабре 2021 года — январе 2022 года Банк России приобретал валюту эквивалентом в 22–23 млрд рублей в день. И даже такой объём не оказывал слишком сильного воздействия на курс. Поэтому на текущий момент для рубля возврат бюджетного правила — история позитивная. Но важен здесь не сам факт продажи валюты ЦБ, а готовность российских финансовых властей защищать рубль, — отметил аналитик TeleTrade Алексей Фёдоров.

Он обратил внимание на то, что на следующей неделе у нас начнутся покупки рублей российскими экспортёрами, которые будут менять валютную выручку для налоговых выплат. На этом фоне до конца января курс рубля может не только оставаться на уровне 68–69 за доллар США, но и даже укрепиться посильнее — к 66–67. 
 
— Но уже в феврале дальнейшее ухудшение конъюнктуры на рынке энергоносителей, а также сокращение нефтегазовых доходов России вновь начнёт давить на рубль. Так что к марту мы можем увидеть курсовые отметки в 73–74 за доллар США, 76–78 за евро и 10,6–10,8 за юань, — добавил Алексей Фёдоров.

Автор: Нина Важдаева",4
19448664,-24199209,1673119502,Зеленский ввёл санкции против ряда россиян — подробнее: https://life.ru/p/1550405,45
