id,owner_id,post_time,post_text,comments.count
20372166,-24199209,1703954400,"Дар Аиды Мартиросян проявился, когда ей было всего шесть лет. Экстрасенсорные способности, по её словам, перешли ей от дедушки, ослепшего после болезни. Ясновидящая делает расклад на картах Таро. 
 
О том, чего ждать от 2024 года, о выборах в России, санкциях и третьей мировой — в новом выпуске ""Изнанка. Женщины"".",1
20371201,-24199209,1703937902,Киеву могут грозить санкции МОК при одном условии: https://life.ru/p/1630454,4
20368161,-24199209,1703855042,"Российские военные серьёзно укрепили свои позиции на фронте, в результате чего украинские бойцы не могут ускорить наступление, тогда как западная тактика, которой их обучают, показала свою неэффективность. Об этом сообщил генерал-майор Бундесвера Кристиан Фройдинг.

""Местами минные поля занимают в длину и ширину несколько километров. Если мотопехотный взвод сталкивается с таким полем, то мы учим: дым, отступить, обойти, попытаться снова. При преграде протяжённостью до десяти километров такой тактический подход невозможен"", — заявил генерал-майор.

По его словам, украинские военные попытались использовать противоминные тралы, которые были поставлены ВСУ Западом, однако ВС РФ успешно остановили их ответным огнём. В настоящее время украинские бойцы занимаются разминированием вручную по ночам, на что уходит большое количество времени.

Фройдинг также добавил, что российский военно-промышленный комплекс сумел нарастить производство в условиях жесточайших санкций. Он признался, что в Германии такого не ожидали.

#СВО",27
20366538,-24199209,1703799001,"Российская авиакомпания ""Победа"" увеличит парк самолётов. Как сообщают СМИ со ссылкой на пресс-службу компании, в следующем году ""Победа"" получит самолёт Boeing 737-800.

Борт поступит в распоряжение чартерной авиакомпании Royal Flight, которая прекратила полёты на фоне санкций в 2022 году. В прошлом году у перевозчика было 13 боингов, 11 из которых были задержаны по требованиям зарубежных лизингодателей. Сейчас эти судна находятся в аэропортах Турции и Египта, два оставшихся — в Шереметьево.

Таким образом, парк перевозчика вырастет до 42 воздушных судов. Предполагается, что Boeing 737-800 начнёт летать в середине следующего года.",36
20366423,-24199209,1703796001,"Киев планирует конфисковать в доход государства два пассажирских самолёта Ан-148-100Е, принадлежащих российской лизинговой компании ОАО ""Ильюшин финанс ко"". Соответствующий иск Минюст Украины подал в Высший антикоррупционный суд (ВАКС).

""Министерство юстиции подало в Высший антикоррупционный суд очередной иск о применении санкции в виде взыскания активов в доход государства. Минюст просит применить санкцию к ""Ильюшн финанс ко"". Предметом взыскания в доход государства являются два среднемагистральных пассажирских самолёта Ан-148-100Е"", — сказано в сообщении министерства на странице в социальной сети: https://life.ru/p/1630185",6
20366386,-24199209,1703794802,"Киев раскрыл новый скандальный антироссийский план.

Киев планирует конфисковать в доход государства два пассажирских самолёта Ан-148-100Е, принадлежащих российской лизинговой компании ОАО ""Ильюшин финанс ко"". Соответствующий иск Минюст Украины подал в Высший антикоррупционный суд (ВАКС).

""Министерство юстиции подало в Высший антикоррупционный суд очередной иск о применении санкции в виде взыскания активов в доход государства. Минюст просит применить санкцию к ""Ильюшн финанс ко"". Предметом взыскания в доход государства являются два среднемагистральных пассажирских самолёта Ан-148-100Е"", — сказано в сообщении министерства на странице в социальной сети.",16
20352729,-24199209,1703622001,"Германии предрекли потерю статуса третьей экономики мира.

Германия может лишиться статуса третьей крупнейшей экономики к 2026 году из-за зависимости от российских энергоносителей, на которые ввели санкции. Таким прогнозом поделились аналитики британского Центра экономических и бизнес-исследований (Centre for Economics and Business Research, CEBR), пишут СМИ со ссылкой на доклад организации.

""Сокращение разрыва между экономиками Великобритании и Германии будет вызвано замедлением последней в результате её зависимости от российской энергетики для развития производственного сектора"", — указано в публикации.

Издание пишет, что в период с 2033 по 2038 год разрыв между экономиками Британии и Германии немного сократится. Вместе с этим ожидается, что к 2026 году место ФРГ займёт Япония, а в 2027-м четвёртое место займёт Индия. Британские аналитики считают, что Индия с капиталом в десять триллионов долларов может стать третьей крупнейшей экономикой в 2035 году.

Сейчас первая и вторая экономики мира — американская и китайская. Россия в общемировом рейтинге занимает восьмое место. По прогнозам аналитиков, США могут отдать ""лидерское кресло"" Китаю в 2037 году, но снова займут первое место в 2050-х годах, а Индия станет крупнейшей экономикой мира в 2080-х годах.

В CEBR отметили, что за 2023 год мировой ВВП составит 104 триллиона долларов, а к 2038 году он вырастет до 219 триллионов долларов, причём большая часть роста будет обеспечена менее развитыми экономиками.",10
20338931,-24199209,1703505842,"Президент Сербии Александр Вучич располагает достоверной информацией о том, что беспорядки в Белграде поддерживались странами Запада. Об этом сказал посол РФ в республике Александр Боцан-Харченко, пообщавшись с сербским лидером.

""Оппозиция приступила к протестам, которые поощряются, поддерживаются извне. Об этом говорил Вучич, тут не могу вдаваться в подробности, потому что это доверительная информация. Но данные о том, что подстрекательство и поддержка идёт со стороны Запада, у него неопровержимые"", — отметил российский дипломат.

Он подчеркнул, что протесты в Сербии чётко проходили по ""майданным технологиям"", к которым любит прибегать Запад, стараясь сменить власть в стране на оппозиционные силы. Посол уверен, что противодействовать этому можно, если жёстко и незамедлительно реагировать на попытку переворота. По его словам, Запад вцепился в Сербию, так как Вучич не хочет присоединяться к санкциям против России.",35
20338277,-24199209,1703501641,"Глава Банка России Эльвира Набиуллина заявила, что ей сложно комментировать присвоение ей статуса ""разрушителя года"" журналом Politico за противодействие санкциям. Она призналась в искушении считать, что экономика РФ ""хорошо прошла 2022 год и теперь нам, что называется, море по колено"".

""Мне тяжело комментировать [присвоение статуса], сложно. Я считаю, что Центральный банк вёл, ведёт и будет вести политику, нацеленную на то, чтобы доходы не обесценивались от высокой инфляции, чтобы был устойчивый финансовый сектор, чтобы он позволял сохранять сбережения людей, бизнеса и давал финансовые ресурсы структурной перестройке экономики. Мы видим, что структурная перестройка экономики идёт достаточно быстро. И это прежде всего благодаря как раз рыночному характеру нашей экономики, бизнесу, который очень быстро адаптировался"", — объяснила глава ЦБ.

Несмотря на искушение думать, что Россия прошла 2022 год хорошо, и ей ""море по колено"", Набиуллина отметила необходимость быть готовым к дальнейшему усилению санкционного давления. Она обратила внимание на то, что в финансовом секторе у нас остаются проблемы, которые не до конца решены, в том числе трансграничные платежи. По словам главы ЦБ, острота этой проблемы чуть-чуть снизилась благодаря выстраиванию цепочек, которые постоянно меняются, но для многих предприятий она ещё остаётся нерешённой.

Набиуллина добавила, что вызовом остаётся поддерживать те же темпы развития инноваций и технологий. Вместе с тем она признала, что финансовый сектор России достаточно продвинутый по сравнению с другими странами, и многие за рубежом это сейчас понимают: https://life.ru/p/1629348",46
20336453,-24199209,1703486401,"Москва готовилась к антироссийским санкциям уже с 2014 года, однако блокировка активов граждан РФ и лишение возможности совершать международные платежи и переводы стало проблемой, заявила глава Центробанка Эльвира Набиуллина.

В условиях антироссийских санкций наша страна начала жить ещё девять лет назад. Власти всегда оценивали риск усиления ограничений, в том числе проводили стресс-тесты с большим количеством финансовых институтов, создали национальную платёжную инфраструктуру из-за риска отключения РФ от SWIFT и запасали резервы в золоте и юанях.

""Проблемой стали международные платежи, они до сих пор являются проблемой, хотя мы пытаемся её решить. Конечно, очень болезненной темой стала блокировка и замораживание активов частных лиц — миллионов людей, которые не попали под санкции, но оказались с замороженными активами"", — заявила она.

При этом Набиуллина отметила, что российское правительство работает над этим и пытается решить проблему. Как подчеркнула глава ЦБ, заморозка Западом резервов станет негативным сигналом для всех центробанков, потому что это нарушение базовых принципов защищённости резервов: https://life.ru/p/1629309",60
