post_id,text,comment_time,from_id
1348465,Такое может быть лишь в параллельной реальности,1675199329,564727366
1348465,Ключевое слово: “so far”.,1675199566,259468982
1348465,Еще все впереди,1675200007,251449767
1348465,"Мечтатели и недоброжелатели, которые надеются, что Россию порвут в клочья, вы кому зла желаете? Путину? А по факту желаете простым людям. Как же вам всем хочется, чтобы в России было максимально плохо, откуда столько злобы и ненависти к родной стране (не путать с политикой)?",1675200986,5277520
1348330,При чем тут бензин в сша и санкции против России ?че лепят то?,1675191470,780723341
1348330,..да пох.на них.свои проблемы решайте кинешся в росии многово нет. Производства мало.работы мало. Цены кто как хочет ставит.,1675194837,590031611
1348330,Чужие проблемы обсуждают а сами в лаптях бл...до сих пор ходят,1675194898,590031611
1348330,"Ну ненормальные они, чтож теперь поделать) 
Пусть живут как хотят и к нам не лезут. 
Мы то проживём, у нас есть и газ, и нефть, лёгкая промышленность, пищевая и медицинская отрасли тоже развиваются. https://www.mos.ru/news/item/118926073/",1675266243,482680448
1348326,"Сразу видно прокремлевские продажные новости.
Вы когда о наших проблемах говорить начнете, прикрывальщики хреновы!",1675188888,675394642
1348326,"Ага, поменяют! Да америкосы только взгянут,  западники сразу хвосты подожмут и сразу будут очередные санкции строчить...",1675198625,10292176
1348326,,1675239691,35718272
1348326,"Зачем война! Россия наша Страна Войны не хочет ни с кем, а кто захочет получит обмен!",1675239696,35718272
1348326,"Эти санкции, больше проблем принесли своим же создателям. Мы как правило, их не заметили, потому что все-таки можем создавать своё и власть оказала вовремя поддержку, льготные условия и так далее. Лёгкая промышленность, пищевая отрасль, медицинская отрасль и остальные сферы, всё работает и мы ни в чем нуждаться не будем. https://www.mos.ru/news/item/118926073/",1675264623,482680448
1348306,а как же хваленое импортозамещение?😎,1675188995,107953253
1348306,"А зачем нужно было самим уничтожать свою гражданскую авиацию на протяжении десятков лет в угоду боинга и аэрбаса, теперь опомнились?",1675189009,711343786
1348306,"Я очень верю в то, что мы со всеми ограничениями и санкции справимся самостоятельно. 
Уж тем более, не будем ни в чем нуждаться. Просто на всё надо время. 
https://www.mos.ru/news/item/118926073/
Да и поддержку постоянно получаем, тут грех не справиться)",1675263680,637485459
1348012,Доедут ли?,1675180426,738935966
1348012,"Лыжи Вологда пусть берут, они поширше.",1675182119,619740159
1348012,А разве из туда пустят?🤔,1675192434,658943136
1348012,"Производители лыж в стране есть, просто они были никому не нужны и никакой поддержки не имели, чиновники от государства и спорта наслаждались иностранным инвентарем и оборудованием, а вкладывать в отечественное им не дано. Откаты лучше там, где прямые закупки 🤷‍♂️",1675207590,374767414
1348012,А что случилось?,1675210486,773423798
1348012,"Винтовки как были буржуйские, так и останутся.
Про винтовки стыдливо умалчивают, даже не обещают. Что через 40 лет будут свои.",1675232662,473145918
1348012,Вот и отлично👍,1675234398,518589759
1347919,Допрыгались с параллельным импортом,1675176036,129137261
1347919,"Да, Россия нужна была тогда, когда обгадились от внезапного переворота внутри страны",1675176227,287595622
1347919,"А что американцы тоже поставили Казахстан раком? Вот это прикол. А я думала, что в Казахстане у власти мудрый человек.",1675176318,598734958
1347919,Великодержавность ничем хорошим не заканчивается. Особенно когда даже гвозди свои делать не умеем.,1675176504,196955696
1347919,"Уже и дружественные соседи отворачиваются.
Геополитическая победа!",1675176867,680153582
1347919,У казахов там новый январь намечается. Удачи с восстанием:),1675179969,12558054
1347919,"Нет в мировой политике друзей. Есть временныеэ попутчики. Считаю ШОС, БРИКС, ОДКБ и тд и тп откровенным фуфлом. Никто ни за кого не впишется, если рисково или не выгодно.",1675180206,584495464
1347919,И уже не в первый раз подставляют подножки.  Они такие же  как и другие.,1675180894,104286173
1347919,"Им вьезд в рф ужесточат, потом посмотрим, куда вы госторбайторы ездить будите.",1675182119,476999016
1347919,кремль так ничему не научился кроме коррупции,1675183025,742297751
1347919,"Это точно ,казахи из курганском обл фурами вывозят лес!а наши барыги им в этом помогают",1675183445,694083259
1347919,Нож в псину,1675184365,9338195
1347919,Какое унижение и неуважение проявляют соседней стране.,1675184658,340377747
1347919,С такими друзьями и врагов не надо,1675192824,104286173
1347919,"... как говорил комик:... а мамка любит богатых, вот и прогибаются под пендосов 😔",1675226528,453430133
1347919,"Казахи - скрытая угроза. Не любят русских, никаких - ни живых ни мёртвых. В принципе, взаимно.",1675226891,443336505
1347919,Да казахи давно зубы на нас точат. Только вот интересно они что научились жопы подтирает или так по степям с чайником ходят.,1675227615,400110363
1347919,"Да кто бы сомневался в них. Это же казахстан, скем выгодно тому и дают😁",1675229069,480140748
1347919,🤣🤣🤣,1675231132,216172033
1347919,"рф уже полностью зависит от Китая и Турции. Дорогие партнеры доят пуйло, зная его обреченное состояние. 
Естественно, что и другие дорогие соседи хотят урвать свой кусок.",1675232613,729558369
1347358,братушки….,1675145233,4010191
1347358,Не поделились,1675145393,555635926
1347358,Друг оказался вдруг....,1675145517,680321818
1347358,Казахстан це европа🤣,1675145708,159710292
1347358,Казахи решили пойти по пути хохлов? Ну-ну.,1675146202,30148476
1347358,"А как по казахски будет звучать ..""кто не скачет, тот маскаль""??🤔",1675148113,217942970
1347358,А мне интересно они все аки научились жопу вытирать или все так-же с чайничками ходят,1675156183,400110363
1347358,Земля круглая...  Ещё сами приползут!,1675172117,710833584
1347358,"Они сами ищут эти лазейки, обходя свои же санкции. К чему вообще все это, показуха.
А что касаемо нас, так мы благополучно развиваемся. И, кстати говоря, во всех сферах. https://www.mos.ru/mayor/themes/12299/8869050/ Так, например, с момента введения санкций, производство медицинского оборудования в Москве за 11 месяцев 2022 года выросло больше чем на треть по сравнению с таким же периодом 2021-го.",1675180903,752620489
1346238,Удивили. Всё страдают.,1675065141,215951981
1346094,"Жаль, что данный кухонный конгрессмен не знает, что есть бартер. Который имелся ещё до появления денежной единицы.",1675045014,753567633
1346094,"Наконец прозрела!  Хлеб, а не доллар всему голова!",1675051007,609029619
1346094,"Торговать ресурсами , можно,  пока не кончатся",1675055130,333534971
1346094,Конгрессвумэн?,1675055400,257475263
1346094,Умом Россию не понять 💪💪💪,1675056241,155087256
1346094,"По факту, Путин молодец.",1675056677,704906480
1346094,Точно..а Трамп самый умный на планете и спасёт мир..,1675057650,19623357
1346094,"Мне кажется, что наша страна как раз является тем самым примером сильной и независимой страны. 
Даже в санкционный период, мы смогли наладить производство во многих отраслях, тем самым, заставили многих нас ненавидеть. 
Но главное, что мы себя внутри страны, сможем всем необходимым обеспечить. 
https://www.mos.ru/news/item/118926073/",1675083830,482680448
1345530,Раз вводит санкции значит в этом есть смысл. Выходит.что во время конфликта наши бизнесмены из Беларуси и России ещё ведут торговые отношения с фашистской Украиной? Правильно я понял?,1675001354,132486621
1344903,,1674943052,67768122
1344903,"рельсы 
от возмущения расплавились...",1674950560,673704284
1344903,Ну и дурак,1674963567,746681023
1344903,Этот клоун просто задолба. Строит козни России. Только сам вних и здохнет.,1674971203,780504048
1344903,Тупица,1674972936,640819567
1344903,"Задрот зелебоба, как прыщь на заднице, ничего не значит, а присесть мешает. Давануть необходимо.",1674976895,658748040
1344903,"Еще не весь многотомник заполнили? Очень странно. 
А если серьезно, то ни кто и не замечает всех этих санкционных списков. Предприниматели России находят способы дохода внутри страны и делают это очень даже успешно. https://www.mos.ru/news/item/118926073/",1675076800,752048271
1344434,Никак,1674923630,52101099
1344434,Полный крах,1674924148,752590707
1344434,Оно пожрало.Ждо,1674924236,664414712
1344434,"Все , отразвивались, гвозди из Китая .",1674924411,570359098
1344434,"Где ,кто это,что он?",1674924604,664414712
1344434,Ну выделяйте деньги на борьбу с не пониманием.,1674924640,612089120
1344434,Лысенко опять?,1674924731,664414712
1344434,"Доукреплялись уже.
Пора запор лечить радикально!
«У нас должны быть свои разработки, которые будут поднимать экономику, социальную сферу и обеспечивать функционирование производств» - этой ""лапше"" уже 30 лет, так что ""просто добавь воды""! 
🤬🤬🤬",1674925153,19086506
1344434,Вы ряженное нелегитимное шапито до укреплялись ...,1674927378,469283776
1344434,"А вы верните обратно: пусть наука и образование будут единым министерством, институты и нии восстановите, на оборудование потратьтесь, преподов уволенных зовите обратно, завхозов с постов директоров  школ уберите. Наука - это не презентации. Инженеров готовить надо, физиками и химиками не рождаются.",1674931565,13605846
1344434,А рыбку золотую слабо,1674959614,573193858
1343682,Кто бы говорил,1674890803,420931731
1343682,У нас котельную щепой топят. Берут 3800р. каждый месяц в году за двухкомнатную...,1674891022,144963038
1343682,"Не ледяным душем ,а просто в Европу пришел реальный капитализм с реальными ценами на все ресурсы из за отказа от дешёвых поставок и создания Россией тепличных условий для Европы в сфере экономики итд долгое время с времён поставок ещё из СССР и позже из России ресурсов начиная от газа ,нефти итд",1674904956,323837032
1343682,Срала Европа на ваш газ.прожили зиму эту и смогут дальше.это Россия не может без газа в Европу,1674911954,151032287
1343682,"А зелёные то куда подевались?? Скоро смог и сажа будут лучшими друзьями европцев. А там глядишь и до средневековье рукой будет подать. Электричество то в Европе  дорогущим стало. Лишний раз чайник не включить, в душе не помыться. А уж про бассейн, ванну европцы могут забыть навсегда.",1674918602,595013843
1343682,"""зелёные ""пропали,...вместе с Гретой😏",1674923907,514152544
1343576,Орбана в отставку,1674890919,420931731
1343518,Уголь - стратегия  развития  государств .. Всегда будет востребован.,1674871730,768692189
1343518,Всегда нужен и востребован.,1674871752,768692189
1343518,Свято место пусто не бывает,1674875988,664458496
1343518,Да 5400 тонна рядового угля для населения,1674876357,155460482
1343518,😎,1674900627,641077428
1343010,Чем бы дитя не тешилось.,1674838712,501246531
1343010,"Давайте уже сразу 11-й,12-й,13-й и так далее.Толк будет тот же.Вернее-никакого толку",1674839626,735067154
1343010,Давайте сыграем в квн. Бл@ть ничего придумать уже не могут. Насрут все равно себе же в штаны.,1674841736,251424700
1343010,👿👿👿,1674844155,592396838
1342990,"Да понятно было с самого начала, что лоханувшийся Кабай попутно с дикой войнушкой (в угоду своему тщеславию), уничтожающей Россию, заодно просрал и скопленные за много лет ЗВР страны.",1674831232,206844113
1342990,Прямой грабеж это пенсионная реформа,1674832271,20556122
1342990,"Да ни чем эрэфия не ответит
Сопли пожует и сядет на попе ровно",1674834353,99115354
1342990,Ничем не сможет ответить.,1674835873,323506
1342990,Европа всегда жила грабежами!ворье))),1674836513,66732673
1342990,"Это не грабёж. Это спасения Росии от западной валюте. Зачем вам нациских денги? Вас спасает, а вы недовольные. Странный народ.",1674839555,490665743
1342990,"ес=Ворье с фашистским уклоном,слуги сша.",1674842164,358483333
1342981,Ну за спортсменов с нейтральным статусом с белым флагом будут болеть граждане нейтрального государства с белым паспортом.,1674830288,714959373
1342981,"Болеть за спортсменов под пустым белым флагом?!
Себя и свою Родину не уважать!",1674830841,585223639
1342981,"Нормалек. Белый флаг в руки, осуждение ""спецоперации"" - и добро пожаловать)",1674831014,13244213
1342981,"Да, конечно наши спортсмены молодцы, в 2018 сама болела... хоккеисты ""красная машина"" Капризов, Гусев💓🥇фигуристы Загитова, Медведева🥇💋. Но нейтралка уже затянулась, хватит. Только под своим флагом и гимном!!!",1674835186,550494967
1342669,Неужто прозрел.,1674807162,710982865
