id,owner_id,post_time,post_text,comments.count
1348465,-20648295,1675199141,"В статье New York Times обозреватель Ана Свонсон сообщила, что российской экономике удалось выдержать санкционный удар, а на Западе просчитались относительно ее устойчивости",5
1348330,-20648295,1675188561,"Очередные антироссийские санкции, которые Запад предполагает ввести с 5 февраля в отношении экспорта наших нефтепродуктов, способны нанести ответный и достаточно болезненный удар по экономике наших недоброжелателей",35
1348326,-20648295,1675188248,"Сотрудник Института европейских исследований Китайской академии общественных наук Хэ Чжигао считает, что европейские страны могут пересмотреть степень поддержки Украины из-за экономического кризиса, который был вызван антироссийскими санкциями",5
1348306,-20648295,1675186943,"Глава Росавиации Александр Нерадько в интервью РБК заявил, что западные санкции, которые включают запрет на поставки в РФ самолетов и комплектующих к воздушным судам, направлены на уничтожение авиации в России",3
1348012,-20648295,1675179907,"Российскому спорту в последний год приходится решать множество проблем — от поиска путей развития в условиях отстранения до элементарной нехватки инвентаря в условиях санкций. Союз биатлонистов России утверждает, что одну задачу они почти решили — с импортозамещением лыж и смазок. Впервые за десятилетия российские биатлонисты смогут, наконец, бегать на своем. Как это стало возможно, сколько это стоит и скоро ли на отечественные лыжи «пересядет» сборная России — в материале «МК-Спорт».",10
1347919,-20648295,1675175491,"⭕️Казахстан подставил России подножку

В Казахстане ужесточают правила работы для российских и белорусских автоперевозчиков",227
1347358,-20648295,1675145080,"Власти Казахстана решили прикрыть лазейку для российских и белорусских автоперевозчиков, которые перерегистрируют грузовики в республике для получения возможности возить грузы в Евросоюз в обход санкций",13
1346238,-20648295,1675060040,"Монгольский премьер-министр Лувсаннамсрайн Оюун-Эрдене в интервью газете Financial Times заявил, что Монголия страдает из-за антироссийских санкций",1
1346094,-20648295,1675044242,"Конгрессвумен Марджори Тэйлор Грин в социальных сетях заявила, что РФ, которая оказалась под тяжелыми санкциями западных стран, в настоящий момент демонстрирует всему миру, что для процветаний и торговли не нужны, ни доллар, ни американская дружба",13
1345530,-20648295,1674999072,"Компании ""Уралкалий"", ""Беларуськалий"", Московский коксогазовый завод, группа компаний ""Титан"", АО ""Ярославский технический углерод имени В",5
1344903,-20648295,1674942572,Украина вводит санкции против 185 физических и юридических лиц которые помогают России в перевозках по железной дорог,12
1344757,-20648295,1674931824,"Заместитель министра финансов США Брайан Нельсон собирается на следующей неделе посетить Турцию и Ближний Восток и обсудит там способы, с помощью которых Россия обходит санкции",0
1344434,-20648295,1674923400,"Как нам укреплять и развивать страну в столь непростое время, связанное с санкциями, обсудил в начале этой недели первый заместитель председателя правительства Андрей Белоусов с экспертным сообществом",14
1343682,-20648295,1674890206,Антироссийские санкции в сфере газа стали ледяным душем для европейских мечтаний о переходе на экологически чистые энергоносители,20
1343674,-20648295,1674889364,"Французский советник Франк Феррари, живущий в России, описал в подкасте на портале Lefrancais",0
1343576,-20648295,1674878764,Руководство Венгрии настаивает на выводе нескольких руководителей российских компаний из-под санкций ЕС,1
1343518,-20648295,1674871244,"Почти все угольные компании России, особенно крупные, нашли новых покупателей после санкций ЕС, заявил заместитель гендиректора РЖД Алексей Шило",5
1343010,-20648295,1674831496,«Все упоминаемые меры выглядят невнятно»,4
1342990,-20648295,1674830472,"⭕️ «Прямой грабеж»: в ЕС нашли способ законного использования активов России

Эксперты рассказали, чем сможет ответить наша страна",10
1342981,-20648295,1674829413,"МОК выкатил ряд требований для российских спортсменов, которые почти год находятся без крупных стартов. Это стало первым шагом на пути к возвращению России в мировой спорт. 

Иностранные коллеги возмущены: большинство требуют продолжения санкций, но есть и те, кто выразил нам поддержку...",5
1342669,-20648295,1674805121,"«Какие-то санкции мы тогда применили, запустили эту дипломатическую имитацию — нормандский процесс — и ничего не добились»

При этом, как заметил бывший британский премьер, Владимир Путин, в свою очередь, сделал вывод, что Запад не станет его останавливать.",5
1342542,-20648295,1674787909,Япония с 3 февраля вводит новые санкции против России,2
1342458,-20648295,1674773046,Член Совета федерации РФ Алексей Пушков в своем Телеграм-канале оценил заявление заместителя государственного секретаря США Виктории Нуланд об условиях смягчения санкций против России,0
1342442,-20648295,1674769950,"Власти ЕС изучают возможность введения нового пакета санкций против Беларуси. Как уточняет Bloomberg, на этот раз ограничения могут быть такой же силы, что сейчас наложены Западом на Россию.",5
1342246,-20648295,1674755013,"Вице-премьер российского правительства - глава Минпромторга РФ Денис Мантуров сообщил, что персональные санкции США не имеют для него никакого значения",2
1342147,-20648295,1674751621,"Соединенные штаты готовы к тому, чтобы пойти навстречу России и смягчить санкции ради серьезных переговоров по конфликту на Украине",11
1342098,-20648295,1674749509,"""Чистых"" спортсменов из РФ хотят отделить от ""нечистых""",3
1341970,-20648295,1674743539,Поставщики отечественного сырья научились эффективно обходить западные рестрикции,23
1341270,-20648295,1674705049,"Обозреватель издания AgoraVox Патрис Браво заявил, что в случае введения санкций в отношении российской атомной отрасли, ограничения вернутся к западным странам бумерангом",18
1339703,-20648295,1674597600,Главная санкция для российских женщин,9
1338811,-20648295,1674533377,"«Можете ли вы назвать, какое преступление совершила ЧВК «Вагнер»?» 
 
Евгений Пригожин пожаловался, что до сих пор не получил ответа от Вашингтона на свое письмо",35
1338678,-20648295,1674513092,"По словам официального представителя Госдепа США Неда Прайса, в Вашингтоне сразу пояснили, почему было принято решение признать ЧВК ""Вагнер"" ""международной преступной организацией"" и ввести против нее санкции",14
1338189,-20648295,1674483769,"⭕️ Россия подготовила жесткий ответ на энергетические санкции Запада: «потолок» будет своим

Экономические преимущества и недостатки нового регуляторного механизма на рынке нефти оценили эксперты «МК»",10
1338093,-20648295,1674472073,"⭕️Эксперты заговорили о массовом отключении смартфонов в России: пострадают не только айфоны

«Формально мы уже ходим с ""кирпичами"" — программное обеспечение телефонов работает лишь благодаря ""серому"" импорту»",5
1337832,-20648295,1674454202,"Токио намерен продолжить укреплять свое взаимодействие с парнерами по ""Большой семерке"" (G7) и странами ""глобального Юга"" в вопросах санкционного давления на Россию",9
1337192,-20648295,1674396371,"Глава Минэкономики Швейцарии Ги Пармелен заявил, что передача Киеву конфискованных у россиян в связи санкциями средств станет нарушением прав собственности",16
1336944,-20648295,1674384298,"В рамках санкций против России Финляндия заморозила российские активы на сумму €187 млн, сообщает Yle",69
1336911,-20648295,1674382307,"США продолжают преследовать одно из самых боеспособных российских военных формирований, известное, как частная военная компания (ЧВК) «Вагнер»",21
1335704,-20648295,1674310633,"Схемы параллельного импорта автомобилей в Россию активно заработали в 2022 году, после введения западными странами антироссийских санкций",6
1335488,-20648295,1674301617,"Бывший главный экономист МВФ, профессор Гарвардского института Кеннет Рогофф на форуме в Давосе негативно оценил перспективы экономики России в связи с действием санкций",5
1333935,-20648295,1674195635,"Европейскому союзу становится все сложнее принимать новые санкции в отношении России, заявил глава Евросовета Шарль Мишель",9
1333482,-20648295,1674147114,Уже почти год лекарственный рынок страны лихорадит,9
1333078,-20648295,1674132767,"⭕️В наступившем году россиян ждет новый налог — на доход от банковских вкладов

Эксперты раскрыли детали новой фискальной выплаты",28
1332170,-20648295,1674061960,"Наступивший 2023 год ставит перед страной проблемы, от решения которых, без преувеличения, зависит наше будущее",67
1332145,-20648295,1674061090,"Запад не интересует ничего, кроме санкций против России",19
1331367,-20648295,1674000971,"Как сообщает японский портал Yahoo News Japan, страны Запада постигло разочарование в связи с тем, что политика введения жестких санкций в отношении России не принесла тех результатов в виде обрушения российской экономики, на которые делалась ставка",12
1331189,-20648295,1673979932,Сельскохозяйственные товары будут и далее освобождены из-под антироссийских санкций,11
1330893,-20648295,1673971837,"С января по ноябрь 2022 года импорт товаров Грецией из РФ вырос по сравнению с тем же периодом 2021 года в 2,25 раза",2
1330866,-20648295,1673970874,Евросоюз собирается ввести 10-й пакет санкций против РФ. Он будет в основном сосредоточен на закрытии лазеек в уже принятых мерах.,5
1330467,-20648295,1673954360,"– Вы мечтали спеть со Стингом, которому сейчас 71 год…

– Мало ли с кем я мечтал. Я и с Уитни Хьюстон и с Майклом Джексоном. Ну да, Стинг – классный чувак. Я охладел к мечте спеть с ним, когда он поддержал «Пуси Райт».",7
