post_id,text,comment_time,from_id
1639909,Санкции ни по чем?,1703859640,82062614
1639423,"Збс чо...прост ""молодцы""",1703787831,834687073
1639296,"😂😂😂и в то же самое время ищут обходы своих же санкций,дебилы",1703781172,660459811
1638620,"Как лишились европейский рынков, решили на собственном народе подзаработать.",1703704927,143829280
1638570,"Индусы же занимаются огранкой , они и покупают , наверное ... они же не напишут там , что алмаз из России 😁",1703701083,392314240
1638570,А откуда в ж... пе алмаз у Ивлеевой?,1703706803,358257556
1638058,"Не пора ли англосаксов истребить, чтобы наконец то Мир вздохнул свободно? Кучька недоумков, а проблемы у всего Мира... Пора уже завязывать с ними 😡😜",1703671257,829831801
1637997,"Я тебе не маркетолог. Я создатель внутреннего мира. Как Паша Дуров,внешнего...",1703665602,762264703
1637997,"Да после того, как сво началась, все дорожать стало. Все, кроме человеческой жизни, увы",1703665619,632911906
1637997,"Яйца, интернет и так далее. Как говориться: ""В России всегда тюрьма и сума конечные пункты прогресса"".",1703669281,173628274
1637997,"Новое оборудование?...
А что, старое больше не работает??",1703669301,93901223
1637997,Они и не переставали,1703671134,716917733
1637997,"Не имеют права повышать цены, Путин же сказал, что нам санкции нипочём......... 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂",1703698329,429618891
1636001,"Очень технологически сложный проект, сушите вёсла, приплыли.",1703488452,694295529
1635905,"Путин сказал, что они нам на пользу!",1703482463,840711025
1635905,Она специально так безвкусно одевается?,1703484122,711527130
1635905,"Интересно, а за чей счёт столько рекламы  сбербанка по всем каналам.",1703484678,454254998
1635905,"Какие болезненные, санкции, если Путин заявил, что нам санкции нипочём?????.........",1703531190,429618891
1635905,Бабки стремительно стареют . Во что они превращаются? 🤣,1703546251,805881210
1635076,Да да. Санкции нам только на пользу!,1703408019,309095
1634569,"Санкции от Зеленского- это так умилительно!!!! Ну,прям душу греет Зеленского!!!",1703337900,706290154
1634313,О как,1703310788,202587055
1634313,"А че так?Продажи упали в Евросоюзе,без нас ни как?😀",1703317957,24139614
1634259,"Из текста выходит, что никто Анатолий  Антонов (кто он такой — из текста это не ясно) что-то заявил России. Интересно, что ему Россия ответила.",1703299985,436129104
1634259,"Не плачь Антонов, работай .",1703351416,597519422
1634077,"Однако при этом Америка закрывает гдаза на то, что компании обходят запреты и санкции",1703262816,830822216
1634077,Лецемер банановой республики только весь мир не обмануть  !😀😀😀,1703307841,752690892
1634050,"Сами съедим нам больше достанется пусть жкдяияарнские выловленные околоаварицеой вювэс это что за очередная глупость вс хотят пакостишку какую нибудь надо наши сказки читатьгде рефреном""я от бабки ушел от детки ушел, а от тебя волк тоже уйду. А потом умом Россию не понять. Он. Хитрят со своим умомнвдеюшсь доходы от продв жи краба в Америку доходы нашегобюджета мин мыльный. Ну напрягаемся сэкономим (мы же экономные черт побери и деловые обходимся без них иславп Богу. А по ом у нас тьма пенсионеров которые давненько не ели охлажденную треску и вообще дадим треске поразмножаться в связи с санкциями будем ловить сто тн другое донное вот камбалы хорошей нет в продаже на нее то санкции н распространяются ну от рабов мы то уже привыкли и вот повод попробовать пенсионерам поднять пенсии и они с удовольствием будут покупать наших крабов по зам яио как в томочим ценам. Том анекдоте:""не дождетесь"" вам же хуже будетотказываетесь добровольно от самого лучшего ну ято д хозяин Барин. А глупому море пр колено от его глупости и злобы",1703260684,34962482
1634050,Потзаморским ценам,1703260864,34962482
1634050,,1703260876,34962482
1634050,"Может у нас подешевеет,или опять в Африку бесплатно отправят.мне уже восьмой десяток, сколько помню со школы мы этим африканцам чем то помогали.собирали какие то посылки.они там все инвалиды видимо",1703273563,562513308
1634050,"Я уже вижу лосося в магазине, за десять рублей 😂🤣😡🙈 Не , ну клоуны информации....",1703307248,570359098
1634050,А давайте всем миром перестанем в США поставлять всё и вся  !😀😀😀,1703308062,752690892
1633925,Анекдоты америкосы какие ещё предумают,1703252300,834073637
1633925,Так и есть.,1703252834,13329321
1633801,А вторая половина стала автосалонами китайских автомобилей.,1703243643,997717
1633801,"Мантуров молодец , вице примером  его , на Ладе Весте наверно на работе ездит .",1703359417,597519422
1633582,"Санкции

Вновь новых санкций ждём пакет! 
Уже не знают, что придумать,
Стремясь наш обнулить бюджет, 
В своë уже стучат дно трюма. 

На днях пробили это дно, 
Витала новость в нашем парке –
С Европой Байден заодно, 
Он главный в этом зоопарке. 

Услышал, уши навострив, 
О чём судачили соседи – 
Нам Байден Зи́му отменил, 
И прошлый Новый Год последний. 

Что в декабре придëт Весна, 
И зацветёт повсюду Верба, 
Дней увеличится длина
И лёд растает весь, наверно.

Снегурку замуж отдадут, 
Слыхали, вроде за Добрыню, 
Морозу Бабку подберут, 
Те будут жить вдвоём отныне.

Отменят Масленицу нам, 
И это всё не оговорки, 
А в церковь, лишь по пропускам, 
Зачем она, ведь мы же ""орки"".

Я не дослушал, встал, ушёл, 
И всю дорогу размышляю –
Ах, как в России хорошо, 
Подумать, так не хуже Рая. 

Сказать я Байдену хочу, 
Хотя он вряд меня услышит:
Я русским воздухом дышу, 
И мне плевать, кто что напишет. 

Я клал с прибором на пакет, 
Который вы понаписали. 
Примите это как ответ, 
А ""Посейдон"" уже послали.",1703226485,29798767
1633030,"Опять пользу готовят, да они благодетели какие-то...😳",1703134683,245213392
1633030,Как же они стараются лучше бы думали как дефицитный бюжет стран ес вытащить из дыры а не все пакеты перебирают и стирают,1703134726,701734488
1633030,У них уже пакеты с дырками!,1703135945,647631072
1633030,"Уход кзападных компаний с рынка России принесет больше убытков им самим, чем менно России. Так что вряд ли это продлится долго, эксперты говорят, что есть все признаки возвращения зарубежных компаний обратно. В конце концов, терять покупателя никто не любит.",1703136061,791203500
1633030,"России давно пора было включить режим резкого отстаивания своих интересов. Запад не хочет вести с нами конструктивный диалог, они нам ничего не могут предложить кроме своих санкций, которые как правило бьют по ним же. Так что нам не следует боятся изоляции от западного мира. Нужно идти до конца",1703136061,795806400
1633030,"Используя санкционные меры, необходимо иметь объективные основания и фактические нарушения. Безраздельное и необоснованное применение санкций может причинить вред не только России, но и странам-членам Евросоюза.

Санкции, в свою очередь, не являются эффективным решением международных проблем. Они только усиливают напряженность и разрушают взаимное доверие между странами. Вместо поиска конструктивных путей диалога и сотрудничества, санкции лишь ухудшают отношения и негативно сказываются на экономике.

Мы призываем все стороны к нахождению мирных и дипломатических решений, основанных на взаимном уважении и диалоге. Только через открытый и конструктивный диалог мы сможем разрешить наши разногласия и достичь стабильности и процветания для всех народов.

Наша страна всегда поддерживала мир и сотрудничество между нациями. Мы искренне верим, что сотрудничество и диалог являются основополагающими факторами для решения международных проблем и достижения устойчивого мира.

Мы глубоко обеспокоены тем, что, даже после полного прекращения военных действий в Украине и подписания мирного соглашения, санкции не будут сняты. Это может привести к их продолжению на неопределенный срок, что ограничивает наши возможности для экономического и торгового взаимодействия.

Также вызывает тревогу воздействие санкций на обычных граждан. Они ограничивают транспортное сообщение между Евросоюзом и Россией, затрудняют торговлю и экономическое сотрудничество. Более того, санкции отражаются на доступности лекарств и разнообразии товаров. Нам очень важны продукты, предоставляемые зарубежными компаниями, и мы надеемся на их доступность и разнообразие.

Также стоит отметить, что отсутствие некоторых популярных телеканалов, таких как Discovery, Disney, National Geographic, TLC и Animal Planet, ограничивает доступ обычных людей к развлечениям и информации. Мы призываем вернуть эти каналы, чтобы граждане не страдали от политических разногласий.

В заключение, мы надеемся, что эта нежелательная война принесет мир и процветание каждому народу. Обычные граждане не должны страдать от политических и экономических конфликтов. Вместо этого, давайте стремиться к сотрудничеству и взаимопониманию.",1703142765,336495513
1632996,Дблы посмотрите на учётную ставку ЦБ и послушайте нытье Насибулиной)) яйца по 200 подтверждают квалификацию этого эксперта,1703139516,801989367
1632893,Ух ты,1703108853,262743752
1632893,"""Газпром"" скажет, что это нарушение контрактов, что правда, и что он будет поставлять европейцам ровно столько газа, сколько они оплатили по рыночной цене.",1703110052,792695787
1632893,"Ребята с наступающим,переводите на цыфру ,выключим,бусуйте.",1703110773,616275604
1632893,"Если введут, то цены подскочат",1703162172,711445060
1632413,"Санкции

Вновь новых санкций ждём пакет! 
Уже не знают, что придумать,
Стремясь наш обнулить бюджет, 
В своë уже стучат дно трюма. 

На днях пробили это дно, 
Витала новость в нашем парке –
С Европой Байден заодно, 
Он главный в этом зоопарке. 

Услышал, уши навострив, 
О чём судачили соседи – 
Нам Байден Зи́му отменил, 
И прошлый Новый Год последний. 

Что в декабре придëт Весна, 
И зацветёт повсюду Верба, 
Дней увеличится длина
И лёд растает весь, наверно.

Снегурку замуж отдадут, 
Слыхали, вроде за Добрыню, 
Морозу Бабку подберут, 
Те будут жить вдвоём отныне.

Отменят Масленицу нам, 
И это всё не оговорки, 
А в церковь, лишь по пропускам, 
Зачем она, ведь мы же ""орки"".

Я не дослушал, встал, ушёл, 
И всю дорогу размышляю –
Ах, как в России хорошо, 
Подумать, так не хуже Рая. 

Сказать я Байдену хочу, 
Хотя он вряд меня услышит:
Я русским воздухом дышу, 
И мне плевать, кто что напишет. 

Я клал с прибором на пакет, 
Который вы понаписали. 
Примите это как ответ, 
А ""Посейдон"" уже послали.",1703069846,29798767
1632381,"Так вот какая ты - ""невидимая рука рынка"", о которой так много говорили гайдар и чубайсята.",1703041874,50031449
1632381,"Мы глубоко обеспокоены тем, что, даже после полного прекращения боевых действий в Украине и подписания мирного соглашения, санкции не будут сняты. Это может привести к их продолжению на неопределенный срок, что ограничивает наши возможности для экономического и торгового взаимодействия.

Также вызывает тревогу влияние санкций на обычных граждан. Они ограничивают транспортное сообщение между Евросоюзом и Россией, затрудняют торговлю и экономическое сотрудничество. Более того, они сказываются на доступности лекарств и разнообразии товаров. Мы очень ценим продукты, предоставляемые зарубежными компаниями, и надеемся, что они будут доступны и разнообразны.

Также следует отметить, что отсутствие некоторых популярных телеканалов, таких как Discovery, Disney, National Geographic, TLC и Animal Planet, ограничивает доступ обычных людей к развлечению и информации. Мы призываем вернуть эти каналы, чтобы граждане не страдали от политических разногласий.

В заключение, мы надеемся, что эта нежелательная война принесет мир и процветание каждому народу. Обычным гражданам не следует страдать от политических и экономических конфликтов. Вместо этого, давайте стремиться к сотрудничеству и взаимопониманию.

Уважаемые представители Евросоюза, вы заслуживаете самого лучшего. Мы надеемся на вашу мудрость и способность найти решение, которое будет способствовать диалогу, сотрудничеству и мирному разрешению конфликта.",1703045524,336495513
1632381,Может и к лучшему.Начнем все сами делать.От батона до гон..на.,1703046005,697681795
1632381,"И где же были мозги европейских властей в тот момент, когда им поручили завалить Россию санкциями? В голове то не мелькнуло, что это может на них же отразиться?",1703047456,814272290
1632381,"Украина вобще не причём.Санкции как и давление на Россию всёравно не прекратятся,а мы станем ещё крепче потомучто мы Русские и этим всё сказано!!!",1703090033,221809060
1632168,"Да уж точно не столько Россия потеряла. сколько Европа, которая отказалась от наших ресурсов",1703006763,830822059
1632168,Потеряла? А откуда сверхприбыли?,1703063064,211374112
1632065,"Партия говорит, что Океания никогда не заключала союза с Евразией. Он, Уинстон Смит, знает, что Океания была в союзе с Евразией всего четыре года назад. Но где хранится это знание? Только в его уме, а он, так или иначе, скоро будет уничтожен. И если все принимают ложь, навязанную партией, если во всех документах одна и та же песня, тогда эта ложь поселяется в истории и становится правдой. «Кто управляет прошлым, — гласит партийный лозунг, — тот управляет будущим; кто управляет настоящим, тот управляет прошлым». И, однако, прошлое, по природе своей изменяемое, изменению никогда не подвергалось. То, что истинно сейчас, истинно от века и на веки вечные. Все очень просто. Нужна всего-навсего непрерывная цепь побед над собственной памятью. Это называется «покорение действительности»; на новоязе — «двоемыслие».",1702998197,836876056
1632065,"Все правильно,под контролем государства ВПК,это надёжнее и безопаснее!",1702998359,513500414
1631994,Конечно будут реализовываться по бросовым ценам.,1702991565,694295529
1631897,"Московский комсомолец, может, еще в детсад зайдете политическими мнениями поинтересоваться?",1702973747,153944317
1631731,Мягковато для страны террориста 😒,1702965195,16550236
1631630,"Европе больше некому в эти списки включать, вот же жалкие какие",1702921700,830822654
1631630,Бедняжка)),1702922617,1372124
1631630,Уже вернулся домой ?,1702922708,333534971
1631630,"Ну не плачь маленький, папка тебя отправит в другую страну, дружественную. 🍼🍼🍼",1702923068,826094605
1631630,"Так писали что у него в США большой бизнес, теперь папка пошлет осваивать просторы Африки.",1702926921,633137062
1631630,Все они прокляты и не раз.,1702933507,260675672
1631630,"Вспоминается анекдот 
Хоронят летчика 28 лет 
Народ идет плачет: ""Такой молодой, капитана еще не получил , почти не пожил"".
Рядом также идет траурная процессия и тоже в гробу лежит парень 28 лет.
""Кого хоронят?"" , - спрашивает народ.
- Да, старлея из ГАИ...
""А ну так этот пожить, так пожил..."", - радутся народ",1702934334,301831176
1631630,Аяяй??? Как теперь мальчику жить???? Аяяяй…… миллиардика не хватает на хлебушек……,1702935004,531585862
1631630,"По итогу что поменяется то спрашивается , все так же Россия будет продолжать СВО и развиваться",1702961774,701715323
1631630,Ну ты посмотри трагедия государственного масштаба !!,1702973301,540873877
1631630,"И что дальше, гланое, что меня в этих списках нет! Так что плевать я на санкции хотела",1702994447,729691320
1631630,"Европа в очередной раз выстрелила себе в ногу этими санкциями) Там уже нет никакого роста экономики, а скоро ЕС ждет и рецессия.",1702999536,699955464
