id,owner_id,post_time,post_text,comments.count
1640313,-20648295,1703903967,"Дипломат: РФ готова к новым санкциям ЕС

Москва готова к санкциям Евросоюза, при этом отмечается, что их арсенал явно скудеет, а эффективность стремительно падает, заявил директор департамента экономического сотрудничества МИД РФ Дмитрий Биричевский",0
1640060,-20648295,1703870089,"Эксперты перечислили события, которые могут вызвать кризис",0
1639909,-20648295,1703854407,"⭕️ У Китая появился новый министр обороны: не попал под американские санкции

Он призван заменить последнего министра страны, который исчез с «радаров» четыре месяца назад",1
1639423,-20648295,1703786754,"Германские власти к началу декабря 2023 года заморозили в рамках санкций российские активы на сумму примерно 4,1 млрд евро",1
1639296,-20648295,1703775804,"В Минэкономики Германии анонсировали новые пакеты санкций : «Санкционная система будет расширяться и совершенствоваться, возможности обхода будут обнаруживаться и пресекаться»

Немецкое правительство считает санкции в отношении России эффективными",1
1638620,-20648295,1703703501,Но это не обещает снизить тарифы на газ,3
1638570,-20648295,1703700182,"Россия не собирается прекращать экспорт своих алмазов, несмотря на ограничения, которые вводят западные страны",2
1638058,-20648295,1703670621,"Мария Захарова посетовала, что «коллективный Запад» объявил РФ торговую войну, а санкции – это только инструмент.

Это «нечестная конкурентная борьба», а половина подписавших документ о 12-м пакете санкций – «англосаксы».",3
1637997,-20648295,1703665400,"«Известия»: российские провайдеры поднимают цены на домашний Интернет на 5-15%

Объясняют тем, что они нуждаются в средствах для приобретения нового оборудования, которое дорого стоит из-за антироссийских санкций.",9
1636001,-20648295,1703487947,"Газета «Коммерсантъ» со ссылкой на источники в российском правительстве сообщает, что иностранные акционеры проекта «Арктик СПГ 2», попавшего в начале ноября под санкции США, объявили форс-мажор по участию в проекте",1
1635905,-20648295,1703481760,Самые болезненные для России санкции назвала глава ЦБ Эльвира Набиуллина в беседе с РБК,7
1635076,-20648295,1703407465,Решение японской фармкомпании Astellas прекратить продажу антибиотика джозамицина (Вильпрафена) в России никак не связано с санкциями в отношении РФ и ситуацией вокруг Украины,1
1634569,-20648295,1703336943,"Новые указы о введении санкций против физических и юридических лиц, ""вредящих стране"", подписал президент Украины Владимир Зеленский",1
1634313,-20648295,1703309467,"С февраля планируется запустить продажи в Россию за рубли итальянские товары, не подпадающие под санкции, сообщил РИА Новости глава Итало-российской торговой палаты (ИРТП) Фердинандо Пелаццо",3
1634259,-20648295,1703299187,"Вводя новые санкции, Вашингтон лишает себя возможностей для восстановления диалога с Москвой в тех сферах, где это еще возможно, заявил России в Вашингтоне Анатолий Антонов",2
1634077,-20648295,1703262320,"Президент США Джо Байден подписал документ, который дает возможность вводить санкции против финансовых структур, связанных с крупными поставками для российского оборонно-промышленного комплекса (ОПК)",2
1634050,-20648295,1703259554,"Министерство финансов США распространило на своем сайте заявление о том, что в рамках реализации указа президента Джо Байдена о расширении правовых оснований для антироссийских санкций, определен перечь рыбы и морепродуктов, на которые распространяется запрет на импорт",9
1633925,-20648295,1703251201,"Источник ТАСС в США заявил об эффективности санкций в отношении РФ: из-за отсутствия альтернативы страна переводит экономику на военные рельсы.

В Вашингтоне полагают, что ресурсов для продолжения СВО у Москвы осталось не надолго.",2
1633801,-20648295,1703237001,Половина автозаводов России не восстановили работу после начала СВО и санкций,2
1633597,-20648295,1703201732,"Как сообщает «Коммерсантъ», уведомление о форс-мажоре, которое НОВАТЭК направил клиентам, — следствие введенных в ноябре санкций США в отношении «Арктик СПГ-2»",0
1633582,-20648295,1703196577,"15 декабря власти Японии объявили о создании санкционного списка, касающегося отношений с российскими компаниями. Новые санкции вступают в силу в пятницу.",1
1633486,-20648295,1703182297,"""В такой ситуации остается только один выход""",0
1633030,-20648295,1703134557,"Депутат Европарламента от Чехии Томаш Здеховски сообщил, что ЕС в настоящее время приступил к подготовке 13-го и 14-го пакетов санкций в отношении России",6
1632996,-20648295,1703130200,"«Известия», ссылаясь на статью главы Центра исследований международной макроэкономики и внешнеэкономических связей Института экономики Российской академии наук (РАН) Дарьи Ушкаловой, объяснили стойкость РФ к западным санкциям «ловушкой большой страны»",1
1632893,-20648295,1703107564,"Члены Палаты представителей США отправили письмо советнику президента по нацбезопасности Джейку Салливану, выражая свою озабоченность неэффективностью политики ограничения максимальной цены на российскую нефть",4
1632419,-20648295,1703049450,Китайские эксперты оценили воздействие антироссийских санкций на отношения Москвы и Пекина,0
1632413,-20648295,1703048311,"Газета The Washington Post сообщила, что не смотря на введенные Западом санкции, российская экономика показала чрезвычайную устойчивость, рубль в настоящий момент остается сильным",1
1632381,-20648295,1703041619,"ТАСС, со ссылкой на дипломатический источник в миссии одной из европейских стран, сообщил, что Евросоюз не станет отменять антироссийские санкции даже в случае подписания соглашения о мире и полного завершения боевых действий на Украине",21
1632168,-20648295,1703006671,Сколько потеряла Россия от потери европейского экспорта углеводородов,2
1632065,-20648295,1702996676,Российская армия является самой боеспособной в мире,2
1631994,-20648295,1702990041,"Дмитрий Песков заверил, что Россия будет обходить санкции ЕС на экспорт алмазов",3
1631897,-20648295,1702972340,"""Предыдущие одиннадцать пакетов санкций были очень ""эффективными"". Умоляй о мире, преступник"", — отметил один из комментаторов.

Другой интернет-пользователь сообщил, что в Соединенных Штатах все равно продаются российские товары.

ЕС тратит свое время впустую, поделился своей точкой зрения третий.

""Путин выиграет, несмотря ни на что"", — резюмировал четвертый.",1
1631865,-20648295,1702966927,Телеканал «Царьград» во второй раз внесли в новый список персональных западных санкций,0
1631731,-20648295,1702930468,"Официальный журнал Европейского союза опубликовал список юридических и физических лиц, вошедших в 12-й санкционный пакет ЕС против России",1
1631728,-20648295,1702929518,"В конце декабря все традиционно подводят итоги года, а 12-й пакет антироссийских санкций Евросоюза говорит сам за себя",0
