id,owner_id,post_time,post_text,comments.count
4939964,-26284064,1675107013,"Офис генерального прокурора Украины сообщил об аресте 32 млн гривен ($870 тыс.) на счетах предприятия по производству алюминиевого сырья, принадлежащего российскому предпринимателю, против которого Киев ввел санкции. Его имя в ведомстве не называют, однако ранее украинские власти заявляли о планах конфисковать активы Олега Дерипаски:
https://vk.cc/clbHs7",9
4937680,-26284064,1675022414,"Россия, оказавшись под санкциями со стороны Запада, доказывает миру, что для ведения торговли и процветания ей не нужен американский доллар или дружба Вашингтона, считает член Палаты представителей Конгресса США Марджори Тейлор Грин.

Она предупредила, что политика США в отношении ситуации вокруг Украины может привести к потере долларом статуса мировой валюты:
https://vk.cc/cla4Od",22
4937104,-26284064,1675006215,"ЦБ России и Ирана заключили соглашение о сотрудничестве. Преимущество этого соглашения заключается в том, что на него не смогут повлиять западные санкции, отметил заместитель начальника ГУ Банка России:
https://vk.cc/cl9LtV",11
4936764,-26284064,1674998112,"Украина ввела санкции против химических и транспортных предприятий России и Белоруссии. В список из 182 компаний попали ""Уралкалий"" и ""Беларуськалий"", а также лизингодатели и перевозчики нефтепродуктов:
https://vk.cc/cl9BSO",25
4935463,-26284064,1674968539,"Главные новости к этому часу:

▪️В НАТО заявили о готовности к прямой конфронтации с Россией:
https://vk.cc/cl8VMy

▪️Идея передать Киеву F-16 набирает все большую поддержку в Пентагоне, сообщает Politico:
https://vk.cc/cl8U2B

▪️Пригожин сообщил о переходе поселка Благодатное под контроль российских сил:
https://vk.cc/cl8OWf

▪️Президент Аргентины заявил, что Латинская Америка не планирует отправлять оружие Украине:
https://vk.cc/cl8UmS

▪️Зеленский подписал указ о введении санкций против содействующих России 185 компаний и лиц:
https://vk.cc/cl8Lwl

▪️Кадыров прокомментировал слова украинского националиста о ракетных ударах по Грозному:
https://vk.cc/cl8TKr

▪️Власти Израиля после терактов упростят получение гражданами оружия:
https://vk.cc/cl8SjF

▪️В Минобороны Ирана связали взрыв в Исфахане с атакой беспилотников:
https://vk.cc/cl8X0j",70
4934913,-26284064,1674938173,"Владимир Зеленский подписал указ о введении санкций против 185 юридических и физических лиц, которые оказывают России содействие в перевозках по железной дороге:
https://vk.cc/cl8Lwl",31
4932251,-26284064,1674837907,"Главные темы дня:

▪Послу Латвии в Москве предписано покинуть РФ в течение двух недель:
https://vk.cc/cl76vi

▪Во Внуково вертолет повредил винт при посадке:
https://vk.cc/cl6Fa4

▪Роскомнадзор заблокировал сайты ЦРУ и ФБР за распространение фейков:
https://vk.cc/cl7bhu

▪ЕС продлил на полгода все санкции против России по Украине:
https://vk.cc/cl6Yfa

▪МО РФ заявило о срыве перевозки Украиной вооружений, в том числе поставленных НАТО:
https://vk.cc/cl6HQK

▪Путин поручил повышать МРОТ в 2023 году выше уровня инфляции:
https://vk.cc/cl723c

▪Российский и американский взгляд на ЧВК ""Вагнер"", возможности США в урегулировании конфликта на Украине, японские санкции и ужесточение Казахстаном миграционного законодательства стали основными темами брифинга Пескова. Собрали ключевые заявления представителя Кремля:
https://vk.cc/cl6yrZ

▪В ДНР сообщили, что силы РФ закрепились на востоке и юго-востоке Угледара:
https://vk.cc/cl6vbZ

▪Новые регионы перейдут на московское время:
https://vk.cc/cl6Hmg

▪Экс-схимонаха Сергия приговорили к 5,5 года колонии по второму уголовному делу:
https://vk.cc/cl7bKI

▪Промышленность Ленинграда продолжала работать и развиваться даже во время блокады. Одно из крупнейших предприятий — завод ""Электросила"" — производило вооружение, снаряжение, профильную продукцию, электрооборудование несмотря на то, что основное число работников ушли на фронт или в ополчение. Рассказываем о судьбе одного из старейших заводов Ленинграда:
https://vk.cc/cl7bLA",6
4931953,-26284064,1674829817,"Совет ЕС на полгода продлил действие всех санкций против России по Украине:
https://vk.cc/cl6Yfa",16
4931419,-26284064,1674814810,"Российский и американский взгляд на ЧВК ""Вагнер"", возможности США в урегулировании конфликта на Украине, японские санкции и ужесточение Казахстаном миграционного законодательства стали основными темами брифинга Дмитрия Пескова. Собрали ключевые заявления представителя Кремля:
https://vk.cc/cl6yrZ",30
4931198,-26284064,1674806475,"Владимир Путин распорядился до 1 марта уточнить методику определения цен на нефть и нефтепродукты, применяемую при налогообложении нефтяных компаний, следует из перечня поручений, опубликованных на сайте Кремля. Сделать это необходимо для снижения влияния санкций на бюджет страны:
https://vk.cc/cl6iJ9",17
4931116,-26284064,1674804611,"Венгрия наложит вето на возможные санкции Евросоюза против российской ядерной энергетики, заявил Орбан:
https://vk.cc/cl6fGS",26
4930827,-26284064,1674795724,"Главные новости к этому часу:

▪️Япония ввела санкции против Белоусова, Чернышенко, Памфиловой, Дугина и еще 33 лиц из России:
https://vk.cc/cl5Ust

▪️ЕС уведомили о наличии законных оснований для использования части активов ЦБ РФ, сообщило агентство Bloomberg:
https://vk.cc/cl5RU3

▪️В ""Росэнергоатоме"" опровергли сообщения МАГАТЭ о мощных взрывах около Запорожской АЭС:
https://vk.cc/cl5LwE

▪️Омбудсмены РФ и Украины договорились о содействии в обмене списками лиц для репатриации:
https://vk.cc/cl5OC8

▪️Посольство РФ в Вашингтоне прокомментировало введение новых антироссийских санкций США:
https://vk.cc/cl5WVx

▪️В Москве задержали начальника информационного управления ФТС:
https://vk.cc/cl5Rbb

▪️США признали отсутствие необходимых для Украины танков Abrams M1A2 в своем арсенале:
https://vk.cc/cl5WwS",23
4930684,-26284064,1674789612,"Российский рынок, невзирая на вводимые администрацией США санкции, остается привлекательным для иностранных инвесторов, говорится в распространенном комментарии российского посольства в Вашингтоне:
https://vk.cc/cl5WVx",13
4930651,-26284064,1674787511,"Япония в рамках нового пакета санкций в отношении России запрещает экспорт радиоактивных материалов, вакцин и медицинских изделий, а также роботов, говорится в сообщении Министерства экономики, торговли и промышленности Японии:
https://vk.cc/cl5VwQ",15
4930625,-26284064,1674785712,"Правительство Японии решило в связи с курсом на сохранение давления на РФ и поддержку Украины ввести персональные санкции, включающие заморозку активов в случае их наличия, против 36 лиц и 3 организаций из России. Кроме того, было решено ввести экспортные ограничения против 49 российских организаций и компаний. Списки опубликовал МИД Японии:
https://vk.cc/cl5Ust",10
4930456,-26284064,1674772212,"Евросоюз обсуждает возможность введения новых санкций против Белоруссии, сообщило агентство Bloomberg:
https://vk.cc/cl5NFX",12
4930242,-26284064,1674763213,"Президент Украины Владимир Зеленский не хотел мира, он готовился к войне, поэтому давно перестал быть возможным собеседником для Владимира Путина, заявил Дмитрий Песков в ответ на слова Зеленского о том, что тот не заинтересован в переговорах с Путиным.

США ввели новые санкции против России, под ограничения подпали физические и юридические лица, связанные с частной военной компанией ""Вагнер"", а сама она объявлена ""транснациональной преступной организацией"".

Мы собрали основное о событиях вокруг Украины:
https://vk.cc/cl5GVW",85
4929707,-26284064,1674751033,"Вашингтон готов к смягчению санкций против Москвы ради серьезных переговоров по Украине и вывода оттуда войск РФ, заявила Виктория Нуланд:
https://vk.cc/cl5pFt",97
