post_id,text,comment_time,from_id
5627766,,1704040382,422486032
5627644,"Россия первой сняла полноценный художественный фильм в космосе, причём очень достойный! 👍",1704031355,749603733
5627644,"Нечего смотреть, неинтересно, одни Елки👎",1704033293,276537755
5627644,"Нас иметь этим ""словом"" ещё долго будут?",1704035126,410067722
5627644,,1704035722,148988436
5627644,"ТАСС, как получилось, что ""космическое кино"" снимали ровно на 1 год более заявленного? Может быть в космосе запороли и переснимали на земле? И все молчат, под Эрнстом ходят? Вот где интрига.",1704035728,555925561
5627644,"Российский кинематограф  преклонился перед Западом и Голливудом, иначе офицеры МВД имеющие недвижимость в странах ЦРУ порвут за фильм о хо Ши мине за пропаганду иероглифов",1704036684,841344519
5627644,с февраля 2022 года не смотрю зарубежные фильмы,1704061501,194601876
5627241,"Ну и )))) ввёл он .  Вводилка не выросла )))Да и хрен на него )) 😂😂😂😂😂
Зеленскому надо думать чтобы ему не ввели .....",1704017861,490344120
5627241,Почему он ещё дышит?,1704017921,481981130
5627241,"Да, плевали они на его санкции. 
Через год максимум, украина прекратит своё существование в нынешнем виде.",1704017955,794815839
5627241,Полегчало? 😂😂😂,1704018055,364921442
5627241,"Зеля что-то вводит, что-то выводит, но так ни в чём не участвует (как в том анекдоте)… 😂😂😂",1704018113,364921442
5627241,Сейчас чай допью и начну бояться,1704018303,298551544
5627241,Когда этот микроб прекратит своё существование?,1704018700,670949728
5627241,"Шутом как был, так и остался",1704019176,9140522
5627241,На каждого Зеленского найдётся свой Сташинский.,1704019243,30432230
5627241,"Опять анекдоты от клоуна подъехали, можно смело скипать",1704019573,732651632
5627241,И как работают его санкции?,1704019812,835802101
5627241,,1704025563,816187988
5627241,,1704033957,437955789
5627241,собака лает ветер уносит,1704035797,68515404
5627241,"Может хватит ""гитлера"" публиковать?",1704036048,40127559
5627241,,1704036421,800380300
5627241,,1704042331,719214860
5627241,,1704043426,696713289
5627241,,1704043833,696713289
5627241,Да потому что. дыхалка ему нужна не для того . чтобы дышать .а чтобы вдыхать Сами понимаете,1704049025,565263468
5627241,Больной человек!!!!,1704065329,167679715
5627241,Какие слова проклятия шлют матери погибших этому ублютку! Как проклинают мать и отца  его!,1704093731,451676693
5627241,,1704184835,682958430
5611208,"Круто! Сразу видно, что губернатор заботится о своём регионе!👍👍👍👍",1703477322,218445700
5611208,"Ну , стоит сказать , что в целом вся Россия успешно адаптировалась к санкциям!))",1703494864,691008280
5609043,а он без поддержки Миронова точно не победит?,1703349322,629380175
5609043,"А то. Справедливая Россия всегда за правду, съезд устроила в элитном отеле, гулять так гулять, экономить не надо, в такое время.",1703353093,555925561
5608391,ДБ,1703333517,31148554
5608391,"Понятно,в Палате №-6 всё стабильно, Наполеон указы подписывает.",1703333570,815718535
5608391,Бумага все стерпит .,1703333870,472878691
5608391,вот такая у них перемога👹👹👹,1703333953,597600777
5608391,Самая независимая страна в мире! От неё ничего не зависит!,1703334160,707810366
5608391,Как прям в девяностые.Ему бы ещё красный пиджак и золотую цепь на шею.Что бы было потом на чём повесить.,1703334239,817153707
5608391,"А санкции в отношении солнца, оно светит России.",1703334339,15855586
5608391,"Идеальный для Путина Президент Украины☝
 
Вы сейчас могли подумать, что мы имеем в виду Медведчука, Мураева или Царёва, но мы о Владимире Александровиче Зеленском. Да-да, вы не ослышались, более удобного президента Украины чем Зеленский для Путина в нынешней ситуации невозможно представить. 
 
Подводя итоги пресс-конференции президента, мы много писали о том, что на ней было сказано. Однако мы забыли упомянуть, чего на пресс-конференции сказано не было. Зеленский так и не сказал как он видит концепцию развития страны и стратегию завершения войны, какова его визия сохранения / выживания государства и народа даже в ближайшем будущем☝ 
 
Отсутствие визии и стратегического планирования делает Зеленского таким выгодным для Путина. Зе не смотрит далеко вперёд, а действует с планированием в недели - ""нам бы ночь простоять да день продержаться"". Условия победы, видимо, должны удачно сложиться сами по себе: Путин умрёт и на смену придёт Навальный, Россия развалится, НАТО вступится за нас... Никакого способа достижения победы кроме свалившегося на голову ЧУДА не предлагается 🤷‍♂ 
 
Кучма или Тимошенко, Ющенко или Порошенко уже давно провели бы переговоры, подписали очередной Минск или Стамбул, сохранили бы бОльшую часть Украины (хоть и нейтральной), но укрепили бы её за счёт союзников. 
 
Для Путина это было бы приемлемое, но стратегически, не совсем то достижение в войне, которое он хотел бы продемонстрировать своему народу. 
 
✅ Без Зе в Конституции РФ не было бы 4х новых регионов. Именно его желание победить Россию и войти в историю, было использовано Джонсоном, чтобы уговорить выйти из «Стамбула». 
 
✅ Именно его упрямство и нежелание делиться хоть толикой власти хоть на выборах, хоть в рамках коалиционного правительства обеспечивает деструктивный внутри украинских элит. 
 
✅ Жадность, коррупционные скандалы и кумовство обеспечивают снижение поддержки Украины, в то время когда РФ каждый день системно наращивает военную мощь. 
 
✅ Именно бессистемность Зе во внутренней политике уже разбила общество воюющей страны на лагеря. 
 
✅ Кадровый цирк гарантирует управленческое отставание Украины от России. Эти идиоты просто выходят и пиздят как всё хорошо и ждут денег и снарядов от партнеров. По факту они вообще ничего не делают, союзники, ВСУ и народ всё тащат сами. 
 
И сейчас главную угрозу для второй украинской республики составляет именно позиция Зелеснкого‼ 
 
Идеальный путинский президент Украины - Зеленский сам даёт главе Кремля аргументы и основания идти дальше",1703334444,59664525
5608391,оно ещё умеет и какие-то указы что ли издавать?,1703334574,830846425
