id,owner_id,post_time,post_text,comments.count
5627766,-26284064,1704040243,"Главные темы дня:

▪️Владимир Путин обратился из Кремля с традиционным новогодним поздравлением. Первыми его увидели жители Камчатки и Чукотки. Новогоднее обращение будет показано перед полуночью по местному времени во всех часовых поясах:
https://vk.cc/ctETFS

▪️Не менее 24 мирных жителей погибло в Белгороде из-за массированной атаки со стороны Вооруженных сил Украины:
https://vk.cc/ctEBzg

▪️Вооруженные силы России поразили центры принятия решений и военные объекты в Харькове в ответ на террористический акт ВСУ с использованием реактивных систем залпового огня по Белгороду, сообщили в МО РФ:
https://vk.cc/ctEJ3a

▪️В Таиланде катер с туристами из России столкнулся со скалами. Погибла пятилетняя девочка из России, еще шесть россиян получили травмы:
https://vk.cc/ctEV0r

▪️Спецборт МЧС России доставил на лечение в Москву 25 человек, пострадавших при обстреле Белгорода:
https://vk.cc/ctEOl9

▪️На Украине ввели санкции в отношении еще шести россиян:
https://vk.cc/ctEMYk

▪️В Киевской области правоохранители могут вручать повестки на блокпостах, установленных на период с 28 декабря по 6 января:
https://vk.cc/ctEZFV",1
5627644,-26284064,1704031261,"Большинство голливудских блокбастеров из-за санкций все еще официально недоступны в России, но некоторые хорошие иностранные картины все же попадали в прокат, а теперь их можно увидеть и онлайн. Российские кинематографисты в этом году тоже преуспели: снимали кино в космосе и ставили рекорды по зрительскому интересу. Рассказываем о наиболее интересных свежих фильмах и сериалах, которые можно найти в онлайн-кинотеатрах:
https://vk.cc/ctEWGg",16
5627241,-26284064,1704017732,"Президент Украины Владимир Зеленский ввел в действие санкции против еще шести физических лиц. Соответствующий указ опубликован на сайте украинского лидера:
https://vk.cc/ctEMYk",27
5611208,-26284064,1703476844,"О том, как экономика Красноярского края адаптировалась к санкциям, об успехах и сложностях уходящего года в интервью нашему агентству рассказал губернатор края Михаил Котюков:
https://vk.cc/ctweRr",2
5609043,-26284064,1703349041,"Главные темы дня:

▪️Съезд партии ""Справедливая Россия — За правду"" поддержал выдвижение Владимира Путина на выборы президента РФ:
https://vk.cc/ctuwlu

▪️Число претендентов на выдвижение в президенты РФ достигло 29 человек, сообщила глава ЦИК Элла Памфилова:
https://vk.cc/ctun9T

▪️Кабмин обнулил таможенные пошлины на ввоз мяса кур на 2024 год:
https://vk.cc/ctuiDr

▪️Съезд КПРФ выдвинул Николая Харитонова кандидатом в президенты РФ:
https://vk.cc/ctuEVm

▪️Съезд ""Гражданской инициативы"" выдвинул Бориса Надеждина кандидатом в президенты РФ:
https://vk.cc/ctuOhC

▪️Украина ввела санкции против еще 51 человека и 134 компаний из РФ и других стран:
https://vk.cc/ctuC3d",3
5608391,-26284064,1703333429,"Украина ввела санкции против еще 51 человека и 134 компаний из РФ и других стран. Документы опубликованы на сайте президента.

Многие из попавших в новые списки компаний зарегистрированы в Крыму:
https://vk.cc/ctuC3d",35
5606367,-26284064,1703262648,"Главные темы дня: 

▪️Путин обсудил с Совбезом биологическую безопасность в СНГ: 
https://vk.cc/cttKsu

▪️Прокуратура заявила о причастности госорганов Украины к теракту в Армавире: 
https://vk.cc/ctt2n7

▪️Суд арестовал гендиректора АО ""НПП ""Геофизика-космос"" Евгения Фомичева до 21 февраля: 
https://vk.cc/cttKsY

▪️Совет Федерации одобрил закон об уголовном наказании за дискредитацию добровольцев Росгвардии: 
https://vk.cc/ctsVbY

▪️Минфин США вводит запрет на импорт лосося, трески, минтая и краба из России:
https://vk.cc/cttEIi

▪️Фигурант дела об убийстве чиновника в Краснодаре дал показания о причастности СБУ: 
https://vk.cc/cttypH 

▪️Швейцария присоединилась к 12-му пакету санкций ЕС против России: 
https://vk.cc/cttqXl

▪️Новый регламент экзамена на водительские права вступит в силу 1 апреля 2024 года: 
https://vk.cc/cttuyC 

▪️Байден подписал указ о мерах против финансовых структур, связанных с поставками для ОПК РФ: 
https://vk.cc/cttKtY 

▪️Украина продлила на год запрет на ввоз товаров из России:
https://vk.cc/cttKu7",8
5606005,-26284064,1703249135,"Швейцария присоединилась к санкциям против России, содержащимся в 12-м пакете, одобренном ранее Евросоюзом. Об этом сообщило швейцарское правительство:
https://vk.cc/cttqXl",50
5604516,-26284064,1703185649,"Держатели карт Газпромбанка китайской платежной системы UnionPay сообщают о невозможности совершать операции с ними в Австрии. В том, что карты не работают в банкоматах и терминалах, убедился наш корреспондент.

При этом Газпромбанк не входит в перечень российских финансовых структур, против которых введены санкции ЕС:
https://vk.cc/ctsdg3",1
5603005,-26284064,1703126740,"Евросоюз уже готовит как 13-й, так и 14-й пакеты санкций против России. Об этом пишет газета ""Известия"" со ссылкой на депутата Европарламента от Чехии Томаша Здеховски:
https://vk.cc/ctpSgt",35
