post_id,text,comment_time,from_id
1778025,капитан очевидность,1675189839,116007492
1778025,"Какой авиации ??? Военной да , обычной как не было и не будет )))",1675190000,1589639
1778025,20 лет че делали? Добивали то что Союзом было сделано?,1675190002,258935021
1778025,А где своя авиация? Почему в самой большой стране мира нет своей авиации?,1675190049,59336744
1778025,Даже при Ельцине сами самолеты делали,1675190071,767543403
1778025,Нашу авиацию добил Дмитрий Анатольевич на посту президента а потом и кремлевские ментжиры   ну и подниматель с колен при котором обнулили заводы и фабрики в России списав все на алкаша Ельцина которому храм открыли  ...Кто закрыл завод МиГ на Ленинградском проспекте в Москве?????....,1675190268,121484938
1778025,Глупости. Запрет на поставки иностранных самолётов дают шанс на Возрождение Российского авиапрома.   Нужны полностью российские самолёты. Как минимум 214е и 96е логично делать в 3 смены.,1675190316,710313517
1778025,Пусть они засунут свои санкции в свои гомосекские задницы.,1675190488,603566649
1778025,"не авиации, а сво - давайте не будем притягивать за уши",1675190600,606213694
1778025,"Вы её сами уничтожили, отказавшись от Ил и Ту! А теперь скулите…",1675190933,487982166
1778025,Так пускай Уничтожает!!!!!!!!,1675193197,609484532
1778025,"Никогда нельзя уничтожать свои заводы,в войну немуничтожали,вывозили,а потом под громкие лозунги все продали,снесли и построили жк.А где ж новые заводы,взамен снесеных?
Москвич,Зил,хладкомбинат,судостроительные,машиностроение,колхозы,совхозы и т.д и т.п...а все ж было",1675200146,155406182
1778025,Это очень свежая мысль! 🤨,1675225424,217378276
1776882,"ну а посему нет- если они нас так притесняют, то можно тоже просто не учитывать их законы и границы",1675165911,706722539
1776882,Поддерживаю.,1675166209,19002011
1776882,"Узаконьте пиратские фильмы и сериалы, чтоб можно было без лицензии их размещать на своём онлайн киносайте",1675166266,440159233
1776882,"Давно пора: они наши активы отобрали, обобрали нас, значит, до нитки, а мы до сих трясёмся над их ""интеллектуальной собственностью""😡",1675166379,4135412
1776882,А чё он не в отпуске⛷️,1675166568,280429315
1776882,А что? Почему бы и нет. Как вариант.,1675168377,14038676
1776882,"Встречаются вор и терпила .
Ты меня обокрал.
Ну и чё , и ты иди воруй.",1675170279,286873714
1776882,"А почему бы и нет, потому что они все же наши идеологические враги",1675179837,707682577
1776882,"Медведев все четко сказал, надо пользоваться всеми инструментами врага",1675181635,683611886
1776882,👍🏻,1675187925,52899959
1776882,"А другого выхода и нет, искусство, наука и другие новые технологии должны принадлежать всему человечеству.",1675190408,115583319
1776882,"Ну Запад же забирает наши активы, так что и мы можем теперь поступать также",1675191652,719458721
1776882,Медведев с каждым высказыванием нравится мне всё больше и больше)),1675229040,683602799
1775745,"я думаю, что все масло просто на на восток продавать, по-дроугому вопрос просто не решить- западу ничего продавать вообще нельзя",1675149138,710922368
1775745,"в 2021 сократили посевы подсолнечника на 50% - что бы получить в 2 раза больше при меньших затратах, а в 2022 на Украине ничего не собрали. т.ч., подсолнечное масло скоро х2, не х3 в рознице.",1675191626,256602320
1775233,Ура нам больше достанется)),1675119696,283931975
1775233,"Китай и Индия рада и спасибо говорит Европе.))) А Европа как и раньше, в душе четыре точки подмывает и своим детям пол меняет. Ждёт когда мигранты их выгонят 😂😂😂",1675120162,338273215
1775233,"Надо навремя вообще перекрыть поставку всех металлов. ОНИ ДЕЛАЮТ ИЗ НАШЕГО МЕТАЛА ОРУЖИЕ, ЧТОБ УБИВАТЬ НАС.
НЕФТЬ, ДИЗТОПЛИВО ЗАПРЕТИТЬ ВЫВОЗИТЬ. ВОЕННЫМ ПЕРЕКРЫТЬ ВСЁ. БИЗНЕС БУДЕТ ОРАТЬ, ЧТО ДЕНЬГИ ВАЖНЕЙ..... 
А НАШИ ЖИЗНИ? 
ГРОША ЛОМОНОГО НЕ СТОЯТ? 

ЕВРОПА ЗАПОЕТ ДРУГУЮ ПЕСНЮ СРАЗУ ЖЕ. 
НАША БЕЗОПАСНОСТЬ ВАЖНЕЕ.",1675137114,525115302
1774508,"Это такая закидуха, на тему, того что скоро коммерсов доить начнут",1675096831,610766420
1774508,"У общества есть другой запрос. К тем, кто создавал свои предприятия с нулевого уровня вопросов нет. Как правило они социально ответственны и патриотично настроены. Вопросы нелицеприятные к розовозадым обитателям Барвихи и Жуковки. Вопросы по их богатствам. Как старший инженера фирм Удобрения и Руда ВВО Союзпромэкспорт , резко стал олигархом, владельцем Норильского Никеля. Инициатором и главным выгодоприобретателем залоговых аукционов. Как Замминистра нефти СССР, получил в собственность множество месторождений и НПЗ. Как замполит, читавший социологию в академии Дзержинского, стал долларовым миллиардером. Как старший экономист Череповецкого металлургического комбината, стал его собственником. Как вчерашний студент, резко стал председателем правления Онексим банка, владельцем заводов, яхт, клуба НБА и любимцем куршавельских девиц с пониженной социальной ответственностью. Как львовский фарцовщик, работавший в Москве инженером металлургом, стал владельцем одного из самых крупных банков России. Как специалист по техническим маслам, получил в собственность лондонскую компанию Solvents and Lubricants, стал миллиардером и превратил элитный бренд советских игристых вин, в пойло.. Список вопросов намного длиннее. Главный вопрос, о пересмотре итогов грабительской приватизации, и возвращении стратегических предприятий в собственность государства и собственники незаконно владевшие этими предприятиями должны заплатить штрафы, вернуть незаконно полученную прибыль, и заплатить процент за использование.",1675097793,258045909
1774508,В обществе растет запрос на нового президента? Не?,1675098377,19407922
1774508,"Это что, плять, за запросы такие? Хорош бухать и идите работать",1675098804,710121114
1774508,Это что за бредятина??? У БИЗНЕСА СОВЕСТЬ ВЫРОСЛА??? Или честность Рублевских МОСКВИЧЕЙ ПРОСНУЛАСЬ???,1675103002,352179016
1774508,"А почему он, бизнес, должен сжаться? Ну кроме развлекательных. Он ещё десяток лет назад должен был стартануть на импортозамещение.  Как приказал один руководитель.  Но что то я не особо заметил что его кто то послушал.  Я бы даже сказал наоборот . Стали усиленно распродавать ресурсы и выводить деньги. Ааа , ещё опять депутатские и чиновничьи доходы засекретили. Ну что  бы ни враг ,ни народ не знал кто за кого воюет и куда вкладывает деньгу.  В иностранные вражеские государства или в аммуницию для Российских солдат которую разворовали.",1675104007,549173381
1774508,"Любой легальный бизнес - это социальный проект. Требовать ещё дополнительно ""делится"" - это наглость, результат отсутствия финансовой грамотности и должного просвещения со стороны государственных структур. Ну и пережитки 90-х наверное, когда слово ""бизнесмен"" было синонимом вора. 
Ни одному предпринимателю сегодня само ничего с неба не падает.",1675109504,546960151
1774508,Надо бы поделиться недрами земли матушки нашей.,1675151078,223956613
1772357,,1675058777,708106618
1772357,Он сказал куда его послали в ответ?,1675058872,413793446
1772357,"да какие предупреждения , если надо было Британии думать о том, что санкции только на запад и влияют , но никак не на Россию, которая и так несколько лет живёт под ними и развивается",1675060679,707147801
1772357,"В Британии все знают, что Лохматый Боря позорный пустобол. Много раз его ловили на лжи.
Поэтому:
""Лжецу мы не верим даже тогда, когда он говорит правду"".",1675062126,462414997
1772357,Ну так это и не было секретом. Об этом тогда говорили все. Но наши все просчитали.,1675063632,189637536
1772357,"Он че реально думает, что путин не знал, что могут санкции ввести, знал, что ради спасения людей пошел на операцию",1675066117,707660685
1772357,"Джонсон и Зеленский одного поле ягода. Умеют красиво рассказывать, что было, а как и так далее. А действий ноль. Лучше бы не о санкциях заботился, а о мирных людях на Донбассе",1675071978,732469828
