post_id,text,comment_time,from_id
1887088,Всё Индия скупает?!..,1703756413,55758568
1887088,"бензин верните в цене, млять",1703758179,23252446
1886493,Так по блокировкам других банков наверняка ещё больше денег простых граждан России заморожено на западе.,1703500603,710313517
1886493,"Америка пытается таким образом нас проогнуть, но мы не позвоим наши активы использовать",1703500882,830822216
1886493,"Не хрен инвестировать в чужую, в основном, вражескую экономику...",1703501552,242869346
1886493,"Запад давно стал ненадежным в плане вложений денег и покупки недвижимости. Нарушение договоров, узаконенное воровство денег.",1703507959,304990602
1886438,"И кому эти санкции вредят больше? Вот в конкретном данном случае ""Арктик СПГ-2"" - запад хоть какую-то пользу от этого получил? Сомневаюсь.",1703492996,800977768
1886429,"Ну это фактически кража имущества россиян.Надеюсь,что это Западу с рук не спустят и они вернут наши активы",1703487453,708607111
1886429,Активов каких граждан?,1703489759,713399046
1886429,Как пришло махом- так и пойдёт прахом..,1703501543,313884159
1886429,А ведь президент Путин предупреждал - храните деньги в России. Те кто не слушал - сейчас горько об этом жалеют.,1703502856,674514603
1886429,"Так деньги прахом не только ее. Там же и государственные деньги держали. Готовились к СВО, а 350 млрд. руб. хранили за границей.",1703504718,348762644
1886429,Ну и Мымра🤦‍♂️😭👌,1703507457,824917891
1886429,"Запад нарушает договора, внаглую ворует деньги вкладчиков, присваивает имущество. Там нет закона.",1703509525,304990602
1886034,"Ну всё. 
Янукович может сваливать за бугор . 
Хорош жить на халяву .
Он же будучи президентом Украины, глаз не сводил с ЕС",1703227388,563123107
1886034,А сколько ему это стоило???🤔,1703236661,506923264
1885984,Сама она физлицо.В конституции нет понятия физлицо.,1703166842,420447217
1885797,Цену себе набивают😄,1703140283,156472521
1885757,"Пусть в ЦАХАЛ записывается, права с оружием защищать...🤣",1703154854,668377026
1885439,Песков поседел.,1702984412,77055785
1885439,"Путин самый лучший президент, который был в нашей стране за все ее время. Мы очень сильно его уважаем и он это чувствует. Поэтому то Россия может противостоять всем санкциям",1702988634,830427216
1885379,"А что, предыдущие одинадцать пакетов не сработали? Странно, запад же активно продвигал идею того, что задушат Россию санкциями. ЧТо случилось сейчас?)",1702972146,793268840
1885379,Хуже от этих пакетов с пакетами только Еврособзу,1702972694,680879383
1885379,Просвещенный европейский и американский народ срывает русские флаги и громит рестораны русской кухни.,1702973235,812811980
1885358,санкции ЕС влияют негативано на них самих. так что не будем им мешать заниматься самоуничтожением),1702969218,690374340
1884817,"Я не знаю уже даже что было во второй пакете,ибо после первого пакета стала понятна их санкционная импотентность, 12ый пакет ну совсем уже потешно воспринимается",1702628768,831919204
1884817,"А что в 12 пакете европейских санкций то есть? Неужели запретят хрустящие палочки от Кузи Лакомкина?!
Шучу конечно. Просто есть ощущение, что там уже на повторе одни и теже санкции. И самое то главное - России от этого ни горячо ни холодно.",1702629655,800977768
1884060,Ын явно через дружественный Китай купил лимузин.,1702287964,259334288
1884060,"Ну если южная Корея сообщает, то по-любому правда",1702291020,267158477
1884060,В наше время все можно купить! Кроме совести и ума!👍😎,1702293324,790726622
1884060,Почему не Аурус?,1702302928,495536842
1883536,"И рыбку съесть и на … заморский прибор приземлиться. Это всё не об иноагентах, а о наших союзниках:)",1701951770,408434557
1883383,Я тут переживаю ! Но непопал под санкции😆,1702020998,790726622
1883223,,1701862887,790726622
1883223,Саудитам тоже санкции ведут????😆,1701862917,790726622
1883061,😆👍,1701775731,776976454
1883061,Финны.....😁😁😁,1701776997,525789211
1883061,"Что, не помогли заборы?",1701779745,501246531
1883061,Транзит застрял в России.,1701779828,711252510
1883061,"Никому  не говори, как Суоми нае---ли",1701781704,699608636
