id,owner_id,post_time,post_text,comments.count
1887992,-15548215,1704031804,"Серьезные вызовы еще больше сплотили народ России, страна выдержала испытания и смогла противостоять стремлению Запада сломить ее с помощью санкций и нагнетания русофобии, заявила председатель Совета Федерации Валентина Матвиенко в новогоднем обращении к россиянам.",0
1887142,-15548215,1703775005,"Минэкономики Германии заявило о подготовке Евросоюзом (ЕС) новых пакетов санкций в отношении России, а также расширении системы ограничений для исключения возможности их обхода. Об этом сообщил на брифинге представитель германского ведомства, передает ТАСС.",0
1887088,-15548215,1703756102,"Нефтегазовые доходы бюджета России по итогам 2023 г. вернутся к уровню 2021 г., сообщил 27 декабря курирующий ТЭК вице-премьер Александр Новак в интервью телеканалу «Россия 24».",4
1886934,-15548215,1703670606,"Последние два года показали, что Россия может успешно работать в условиях санкционного давления. Таким образом вице-премьер России Александр Новак прокомментировал введение ограничений против российского проекта по сжижению газа «Арктик СПГ – 2» в интервью телеканалу «Россия-24».",0
1886855,-15548215,1703621723,"Японская компания Mitsui & Co. отозвала всех своих сотрудников из проекта «Арктик СПГ – 2». Это было сделано для защиты работников фирмы от американских санкции, сообщает Sankei со ссылкой на источники.",0
1886630,-15548215,1703556015,"Антироссийские санкции, введенные в начале 2022 г., ударили по всем без исключения отраслям реального сектора. Грузопотоки были в короткие сроки переориентированы на новые маршруты, что привело к проблемам с пропускной способностью инфраструктуры, которая не была подготовлена к новым объемам перевозок. Из-за этого усилия властей были направлены на расширение пропускной способности инфраструктуры.",0
1886628,-15548215,1703554215,"Этот год стал первым, когда западные санкции в отношении российской нефтяной отрасли вступили в полную силу. С 5 декабря 2022 г. начало действовать эмбарго Евросоюза (ЕС) на морские поставки российской нефти. Затем 5 февраля вступил в силу запрет на поставки в ЕС нефтепродуктов из России. Одновременно начали действовать потолки цен на нефть и нефтепродукты российского происхождения, которые ввела большая семерка (G7). Эта мера должна была ограничить доступ российских компаний к услугам по перевозке топлива и его страхованию, а вследствие – экспорт нефти и доходы России от него.",0
1886589,-15548215,1703519110,"Пресс-секретарь президента РФ Дмитрий Песков не стал комментировать, как объявленный иностранными акционерами на фоне санкций форс-мажор по договорам в проекте «Арктик СПГ – 2» может отразиться на реализации проекта и планах России наращивать долю по на глобальном рынке сжиженного природного газа.",0
1886493,-15548215,1703500207,Активы инвесторов на сумму более $3 млрд оказались заморожены после попадания Санкт-Петербургской биржи под санкции США. Об этом сообщили «Ведомостям» в пресс-службе торговой площадки.,6
1886438,-15548215,1703491202,На фоне санкций против России иностранные акционеры объявили форс-мажор по договорам в проекте «Арктик СПГ-2». Об это пишет «Коммерсантъ» со ссылкой на источники в правительстве РФ.,4
1886429,-15548215,1703487300,Блокировка активов граждан РФ стала «очень болезненной темой». Об этом заявила председатель Банка России Эльвира Набиуллина в интервью РБК.,20
1886412,-15548215,1703466601,"Конфликт на Украине и введение Западом антироссийских санкций подтолкнули ряд государств Ближнего Востока к диверсификации своих внешних связей и снижению зависимости от США. Об этом говорится в докладе Российского совета по международным делам (РСМД) «Региональные тенденции на Ближнем Востоке: политическая и экономическая динамика», с которым ознакомились «Ведомости».",0
1886356,-15548215,1703400902,"Инструментом мирового влияния Вашингтона остается американский доллар, но государства будут активнее отказываться от него, угрозы США отключать банки от своей финансовой системы за нарушение санкций не добавляют доверия к этой валюте. Об этом заявил председатель Госдумы России Вячеслав Володин.",0
1886331,-15548215,1703335200,"Президент Украины Владимир Зеленский 23 декабря подписал два указа, которые вводят в действие решение Совета национальной безопасности и обороны (СНБО) о новых санкциях против российских компаний и физлиц. В списке перечислены 134 юрлица и 51 человек, следует из документов, опубликованных на сайте главы государства.",0
1886290,-15548215,1703274940,"Президент США Джо Байден подписал указ, позволяющий вводить санкции против финансовых институтов, которые помогают России обходить санкции. Об этом сообщает Белый дом.",0
1886289,-15548215,1703274040,"Швейцария объявила санкции в отношении 61 физического и 86 юридических лиц в связи с проведением Россией спецоперации на Украине. Мера принята в соответствии с очередными ограничениями, введенными Евросоюзом (ЕС). Об этом сообщается на сайте Федерального совета Швейцарии.",0
