id,owner_id,post_time,post_text,comments.count
7564226,-24136539,1674992238,,17
7557909,-24136539,1674810535,"Заявления пресс-секретаря президента РФ Дмитрия Пескова. Главное: 
 
📌 Указы о помиловании бывших осужденных, участвующих в спецоперации, имеют гриф секретности, все проходит в соответствии с законом.
📌 Вашингтон может положить конец украинскому конфликту, дав команду Киеву. 
📌 Трамп ""недалек от правды"" в том, что президент США мог бы быстро прекратить конфликт на Украине. 
📌 В Кремле не ведут обсуждений о переименовании Волгограда в Сталинград. 
📌 В Кремле отреагировали на слова Нуланд про возможное ослабление санкций после вывода сил с Украины: ничего нового в ее словах нет, дипломатические варианты решения сейчас не просматриваются.",60
7557104,-24136539,1674793846,"Япония вводит запрет на экспорт в Россию вакцин, медицинского оборудования и препаратов, ядерных материалов и устройств, оборудования для обнаружения взрывчатых веществ, сообщило министерство экономики, торговли и промышленности страны. Также расширяются персональные санкции в отношении 22 физических лиц и трех организаций (корпорация ""Иркут"", московский машиностроительный завод ""Авангард"" и ""КамАЗ""). МИД Японии новые санкции объясняет международной ситуацией вокруг Украины и своим вкладом в ""обеспечение мира"".

Смотрим подробности: https://smotrim.ru/article/3169634?utm_source=smm&utm_medium=vgtrk&utm_campaign=r24",279
7552852,-24136539,1674676822,,1
7542025,-24136539,1674397829,"США и их союзники продолжают всеми силами навязывать России свой ""порядок, основанный на правилах"". В ход идут и провокации, и санкции, и диверсии. Владимир Путин не раз отмечал, что эти правила даже в таких фундаментальных для Запада положениях, как неприкосновенность частной собственности, не работают и легко меняются, если это выгодно. ""Откуда они их [эти правила] выковыряли? Пусть сами по ним и живут"", - заявил президент РФ на ВЭФ в 2022 году. Архивные кадры показали в программе ""Москва. Кремль. Путин"" на телеканале ""Россия 1""

Все подробности только на ""Смотрим"": smotrim.ru/mkp",35
7525526,-24136539,1673955481,"""Фактическая динамика экономики РФ в 2022 году оказалась лучше многих прогнозов"", — сообщил Владимир Путин в прямом эфире телеканала ""Россия 24"".

📌Владимир Путин отметил проблемы с неполной занятостью и оплатой труда в ряде регионов.

📌ВВП России в 2022 году, по предварительным данным, снизился лишь на 2,5%, тогда как предрекали падение до 20%.

📌Необходимо закрепить тенденцию на рост экономики РФ, наметившуюся в конце года, и обсудить конкретные меры для решения первостепенных задач развития.

📌ОПК России за последний год набрал серьезные обороты и продолжает наращивать мощности. Оборонные предприятия РФ работают в несколько смен, некоторые круглосуточно.

📌Ситуация в лесопромышленном комплексе непростая, необходимо сберечь трудовые коллективы в этой отрасли.

📌Нужно отказаться от экспорта необработанной древесины и поставлять продукцию с высокой добавленной стоимостью.

📌Инфляция в России по итогам 2022 года составила 11,9%, это меньше, чем прогнозировали ЦБ и правительство.

📌Добыча нефти в 2022 году выросла, несмотря на санкции, примерно на 2% до 535 млн тонн.",23
7520818,-24136539,1673843403,"Государства ЕС свели к минимуму оформление многократных виз для граждан РФ. Об этом сообщил заместитель министра иностранных дел России Евгений Иванов. ""Некоторые страны Евросоюза, не отказывая в выдаче виз россиянам формально, выдвигают заведомо невыполнимые условия. В частности, требуют оплаты визовых сборов через западные банки или предъявления медицинского страхового полиса иностранного страховщика, что крайне проблематично в условиях беспрецедентных западных санкций"", — отметил он.",21
7519902,-24136539,1673798512,"""Все жду, когда Зеленский Хрюшу со Степашкой под санкции подведет"": Мария Захарова иронично отреагировала на новый санкционный список Украины. В частности, официальный представитель МИД РФ в своем Telegram-канале прокомментировала ограничения против народной артистки России Ангелины Вовк, которая много лет вела программу ""Спокойной ночи, малыши!"". По словам Захаровой, в таком случае нужно вводить санкции и против ее ""подельников"" – Хрюши и Степашки. ""Хотя, возможно, президент Украины своих не трогает, и марионеток пронесет"", – подытожила она.",40
7519646,-24136539,1673792652,"Журналист Павел Зарубин, телеведущие Борис Корчевников и Дмитрий Губерниев, режиссер Андрей Кончаловский, продюсер Яна Рудковская, актеры Егор Бероев и Эвелина Бледанс, певец Юрий Лоза и еще 190 человек попали в список санкций Украины. Соответствующий указ подписал Владимир Зеленский. В основном под ограничения попали граждане России, но есть и представили Украины.",32
7515557,-24136539,1673690715,"Большинство граждан Венгрии (97%), принявшие участие в национальных консультациях, высказались против санкции Евросоюза против России, сообщила официальный представитель венгерского правительства Александра Сенткирайи. ""Посыл ясен: санкционная политика Брюсселя должна быть пересмотрена"", - отметила она.",41
7492835,-24136539,1673108700,"Дмитрий Киселев, Сергей Лазарев, Филипп Киркоров, Баста, Михаил Галустян и еще более 100 российских и украинских культурных деятелей попали под украинские санкции. Соответствующий указ подписал Владимир Зеленский. Ограничения предусматривают блокировку активов и лишение государственных наград.",82
7486859,-24136539,1672997400,"Отказ незападных стран поддержать антироссийские санкции после начала специальной военной операции ВС РФ на Украине свидетельствует об их желании выйти из-под диктата США и Европы. Как пишет Йорг Кронауэр в издании Junge Welt, ""беспрецедентное восстание"" большинства стран мира привело к утрате Западом лидирующей роли на мировой арене.",26
7485134,-24136539,1672940707,"""Полгода назад Марат Касем рассказывал, как его преследуют власти прибалтийских стран за профессиональную деятельность. Сейчас он арестован. Это месть диктаторских режимов за его свободу, за его правду, за его принципиальность"". Так официальный представитель МИД РФ Мария Захарова прокомментировала задержание спецслужбами в Риге шеф-редактора Sputnik Литва Марата Касема. Его подозревают в нарушении экономических санкций и шпионаже.

Смотрим подробности: https://smotrim.ru/article/3133619?utm_source=smm&utm_medium=vgtrk&utm_campaign=r24",52
7473869,-24136539,1672642279,"Наступивший 2023 год многое определит в развитии России, а также всего мира на десятилетия вперед. Об этом сообщил спикер Госдумы Вячеслав Володин. По его словам, этот год должен стать годом развития и общей победы на основе единения граждан РФ. ""Мы вместе смогли противостоять вызовам и санкциям, с которыми столкнулась наша страна. Приняты судьбоносные решения президентом для обеспечения безопасности и защиты суверенитета России"", — отметил он.",121
7470290,-24136539,1672466402,"2022 год стал по-настоящему поворотным для нашей страны. За 12 месяцев случилось много исторических событий – как радостных, так и сложных. Начало спецоперации, вхождение в состав России новых регионов, Олимпиада в Пекине, борьба с санкциями и масштабное импортозамещение – это лишь часть того, что произошло. О том, чем запомнился уходящий год – в нашем видео.",33
7462871,-24136539,1672293629,"Несмотря на беспрецедентное давление и введение против России более 13 тысяч санкций, политическая система, созданная Владимиром Путиным, и экономическая модель выстояли, доказав свою эффективность, заявил председатель Госдумы Вячеслав Володин в своем Telegram-канале. ""В уходящем году Вашингтон и Брюссель предрекали крах экономики нашей страны: инфляцию свыше 100%, курс 200 рублей за доллар, падение ВВП на 25 %. Их планы провалились"", - подчеркнул он. 
 
""Преодолевая вызовы, мы становимся сильнее. Следующий год должен стать годом развития"", - резюмировал Вячеслав Володин.",86
7448441,-24136539,1671953781,"Все обязательства бюджета России будут выполнены, несмотря на любые ценовые ограничения, санкции и колебания цен на мировых рынках. Об этом сообщил глава Минфина РФ Антон Силуанов. 
 
▪Россия принципиально не будет поставлять нефть по назначенным Западом ценам, будет искать новые рынки и логистику даже при росте издержек.",38
7442198,-24136539,1671778717,"Наработки по новому учебнику истории представят в январе-феврале 2023 года. Об этом сообщил глава Минпросвещения России Сергей Кравцов. По его словам, в нем будут отражены новейшие события: специальная военная операция, вхождение в состав РФ четырех новых субъектов и санкции Запада в отношении России. Он также добавил, что учебник объединит всеобщую и российскую историю, пока предполагается создание линейки изданий для 5-6-х классов.",54
7439678,-24136539,1671714012,"⚡️ Владимир Путин дал правительству право выдавать временные разрешения на сделки с лицами, попавшими под российские санкции.",22
7439496,-24136539,1671712316,"Главным итогом уходящего года для россиян стала специальная военная операция (62%). Это следует из нового опроса ВЦИОМ, в котором приняли участие 1 600 человек старше 18 лет. Кроме того, в числе ключевых событий: 
 
📌9% — победа над коронавирусом и мобилизация. 
 
📌6% — вхождение в состав России новых регионов. 
 
📌3% — санкции, укрепление рубля и отказ от доллара. 
 
📌2% — внешняя политика и развитие промышленности и сельского хозяйства. 
 
📌28% респондентов затруднились с ответом. 
 
А что для вас стало главным событием 2022 года?",36
7438072,-24136539,1671691386,"За авантюрную политику глав европейских государств заплатят обычные граждане ЕС. Об этом сообщил Вячеслав Володин, комментируя антироссийские санкции Запада. ""Установив потолок цен на газ и нефть, европейские государства сами себя наказали. Будут покупать энергоресурсы по гораздо более высоким ценам. США поставляют в Европу сырье в четыре раза дороже, чем сами потребляют. Сегодня они наконец стали признавать, что лучшие годы Европы были благодаря России и ее ресурсам"", — отметил председатель Госдумы в своем Telegram-канале. Он также добавил, что страны, не способные проводить независимую политику в интересах собственных граждан, не имеют перспектив развития.",107
7435298,-24136539,1671627465,"Сергей Шойгу сообщил, что в ВС РФ начались серийные поставки гиперзвуковой ракеты морского базирования ""Циркон"". Другие заявления главы Минобороны России на расширенном заседании коллегии МО РФ:

📍Начались работы по развертыванию МБР ""Сармат"".
📍В интересах СВО поставки наиболее востребованных в армии вооружений перенесли с 2024-2025 годов на 2023-й.
📍Современность стратегических ядерных сил доведена до 91,3%.
📍Объем финансирования в этом году позволил нарастить поставку оружия в ВС РФ на 30%.
📍Россия продолжает расширять географию военно-технического сотрудничества. Несмотря на санкции, сейчас Минобороны РФ сотрудничает со 109 странами мира.
📍Стратегические ядерные силы в ходе учений успешно отработали задачи по нанесению массированного ядерного удара в ответ на нанесение противником ядерного удара.
📍Новейшая подлодка ""Генералиссимус Суворов"" проекта 955А ""Борей-А"" принята в состав ВМФ России.
📍Запущен шестой космический аппарат ""Купол"", что позволяет вести непрерывный контроль ракетоопасных районов в северном полушарии.

Кадры показали в эфире телеканала ""Россия 24"".",17
7434502,-24136539,1671613137,"""Как член Совбеза скажу: второй волны мобилизации не будет, тема не обсуждается, ее нет в повестке"", - заявила Валентина Матвиенко на пресс-конференции по итогам осенней сессии Совета Федерации. Кадры показали в эфире телеканала ""Россия 24"".

Важные высказываний председателя Совфеда:

📍Нельзя запрещать удаленную работу из-за рубежа для целых специальностей. Матвиенко предложила создать реестр компаний, которые имеют доступ к персональным данным, влияющим на информационную безопасность, и для их сотрудников запретить удаленку из-за рубежа.
📍Шесть сенаторов от новых регионов получат удостоверения 23 декабря. Это будут по два сенатора от ДНР и ЛНР и по один от Херсонской и Запорожской областей, вторых своих сенаторов две области направят после того, как в сентябре там будут избраны региональные парламенты.
📍Валентина Матвиенко не исключила, что в Совфеде подготовят закон о жестком ограничении сроков пребывания подозреваемых в СИЗО - срок должен быть ограничен годом. 
📍Панических настроений в экономике нет оснований, у нее запас прочности и большой потенциал для роста, жесточайшие санкции не лишили ее управляемости. 
📍В первой половине следующего года планируется визит в Китай делегации Совета Федерации. 
📍Матвиенко сообщила, что представит Россию на инаугурации президента Бразилии 1 января.",60
7433868,-24136539,1671604020,"Белый дом подтвердил, что Зеленский посетит Вашингтон, выступит в Конгрессе и встретится с президентом США 21 декабря. 
 
▫На встрече лидеров двух стран планируется обсуждение стратегической ситуации на поле боя, санкций и западной помощи Украине. 
 
▫В Белом доме визит назвали ""сигналом Путину"", что Вашингтон будет поддерживать Киев столько, сколько потребуется, но при этом уточнили, что США не ищут прямой конфронтации с Москвой и не пойдут на отправку своих сил на Украину. 
 
▫Вашингтон анонсировал новый пакет помощи Украине на $2 миллиарда, в который войдет батарея ПВО Patriot.",75
7429540,-24136539,1671477920,"Власти Канады инициировали процедуру ареста и конфискации активов российского миллиардера Романа Абрамовича, находящегося под западными санкциями. О таких мерах объявила глава МИД страны Мелани Жоли.
 
По ее словам, Оттава будет добиваться конфискации $26 миллионов у компании Granite Capital Holdings, которая, как считается, принадлежит Абрамовичу.

Смотрим подробности: https://smotrim.ru/article/3107405?utm_source=smm&utm_medium=vgtrk&utm_campaign=r24",42
