id,owner_id,post_time,post_text,comments.count
8574700,-24136539,1703845127,"Заявления пресс-секретаря президента РФ Дмитрия Пескова. Главное:
 
📌 Песков назвал неоспоримым тот факт, что Путина поддерживают разные возрастные категории, в том числе много молодежи. 
📌Уровень поддержки Путина россиянами в 2023 году стал максимально высоким. 
📌 Песков назвал личным делом каждого сдачу подписей в администрации президента в поддержку выдвижения Путина, ""здесь нет места компанейщине"". 
📌 Власти РФ продолжат поддержку отечественных производителей. 
📌 РФ заранее анализировала возможные ответные шаги на конфискацию своих активов Западом, Москва будет делать все, исходя из своих интересов. 
📌 У России есть список западных активов, которые она может конфисковать в ответ. 
📌 Предложение США по конфискации активов РФ не может быть законным, это подорвет международную экономику. 
📌 Эффект бумеранга от санкций Запада против России очевиден, многие задаются вопросом, правильно ли они поступили. 
📌 Путин в последний рабочий день уходящего года встретится с главой ""Аэрофлота"". 
📌 Путин планирует проводить рабочие мероприятия во время новогодних праздников, Кремль будет о них своевременно сообщать. 
📌 Песков не стал говорить, где и как встретит Новый год. 
📌 Кремль не будет анонсировать формат новогоднего телеобращения Владимира Путина к гражданам.",45
8572245,-24136539,1703756673,"Сергей Лавров в эфире телеканала ""Россия 24"" усомнился в слухах о ситуации в секторе Газа, что израильское руководство было предупреждено за год до начала конфликта. 
 
Министр иностранных дел напомнил, что слухи были также о теракте 11 сентября и о высадке американцев на Луне. 
 
🔺Лавров: американская глобализация развалилась из-за пандемии и санкций. Теперь все рассыпается на локальные регионы.
 
🔺Сергей Лавров рассказал Дмитрию Киселеву об основных тенденциях международного развития: становление полицентричного мира и дедолларизация.",16
8552427,-24136539,1703227500,"Леонида Гозмана (включен Минюстом России в список СМИ-иноагентов) обвиняют в распространении заведомо ложной информации о деятельности ВС РФ. 
 
Опубликованные им материалы прошли соответствующее психолого-лингвистическое исследование. Было доказано намеренное искажение информации. 
 
Санкция статьи предусматривает наказание в виде лишения свободы на срок до 10 лет.",129
8551011,-24136539,1703178031,,71
8550887,-24136539,1703175192,"Владимир Путин провел телефонный разговор с президентом Венесуэлы Николасом Мадуро. Как сообщили в Кремле, российский лидер пригласил венесуэльского коллегу посетить Россию в следующем году. 
 
🔺 Президенты подтвердили общность взглядов на формирование многополярного миропорядка и неприятие незаконных санкций. 
 
🔺 Мадуро проинформировал Путина о переговорах с Гайаной по вопросу спорного региона Эссекибо.",42
8550175,-24136539,1703162190,"Владимир Путин выступил на заседании Совета по стратегическому развитию и национальным проектам. Вот основные заявления президента: 
 
• Надо расширить национальные цели развития и уточнить планы до 2036 года. Все наши планы в развитии инфраструктуры и социальной сферы реалистичны, они учитывают динамику развития и индустриальный рост. 
 
• Уровень бедности в РФ в 2023 году будет на историческом минимуме, но нужно вообще сводить его к нулю. 
 
• Доля рубля во внешних расчетах удвоилась и составляет 35%, а вместе с валютами дружественных стран – 75%. 
 
• Об антироссийских санкциях Запада: ""Им пора закончить валять дурака и ждать, пока мы рухнем"". 
 
• Все решения по развитию экономики объединены главной целью – сбережением народа и повышением благосостояния людей. 
 
• Необходимо установить статус многодетной семьи с указанием льгот, сделать это следует оперативно.

• Нужно проработать меры по защите материнства и детства, надо возродить традиции многодетной семьи. 
 
• Оценка граждан – ключевой критерий эффективности работы правительства. Результаты, которых получается достичь, должны стать основой для долгосрочных планов.",62
8549503,-24136539,1703153100,"Заявления главы Генштаба ВС РФ в ходе брифинга для иностранных военных атташе по итогам деятельности Министерства обороны РФ в 2023. Главное: 
 
📌 Сегодня формируется новый многополярный мир, гегемония США и их союзников уходит в прошлое. 
📌 Европа стала ареной противостояния Запада с РФ в политической и экономической сферах. 
📌 Ежегодно у западных границ России проводится около 40 крупных учений НАТО, их сценарии основываются на вооруженном противоборстве с РФ. 
📌 Безответственная политика США привела к очередной эскалации палестино-израильского конфликта. 
📌 Запад стремится создать новые горячие точки и поддерживать конфликты на Балканах, в Приднестровье и Закавказье, Средней Азии и Афганистане. 
📌 Санкции США против РФ спровоцировали кризис продовольствия в Африке, это привело к смене власти в ряде стран. 
📌 Активность террористов деструктивно влияет на обстановку в Африке. 
📌 С начала спецоперации Киеву передано более 5 200 танков и бронемашин, более 1 300 орудий артиллерии, более 100 единиц авиации и 23 000 БПЛА. 
📌 Около 100 тысяч украинских военных прошли обучение в США и Европе, ВСУ передано более 200 ракет Storm Shadow, Scalp и ATACMS. 
📌 Основной задачей ВС РФ в 2023 году стало отражение контрнаступления группировки ВСУ, планировавшей лишить РФ сухопутного коридора в Крым. 
📌 ВСУ планировали за 15 суток наступления блокировать Мелитополь, продолжив наступать к Азовскому морю, Мариуполю и границе с Крымом.Группировка ВСУ, сосредоточенная на запорожском направлении, была увеличена с 50 до 80 батальонов, их продвижение оказалось незначительным. 
📌 Широко разрекламированное Украиной и ее союзниками из НАТО контрнаступление провалилось. 
📌 Войска РФ успешно ведут активную оборону, удерживают рубежи и расширяют зоны контроля на всей линии боевого соприкосновения. 
 
📌 Московский и Ленинградский военные округа формируются в ответ на расширение НАТО. 
📌 Три соединения Воздушно-космических сил, а также в Сухопутных войсках 2 общевойсковые армии и 14 соединений родов войск и видов обеспечения сформированы в ВС РФ. 
📌 Миротворцы РФ обеспечили выезд в Армению почти всех жителей Карабаха.",61
8548645,-24136539,1703140531,"Мария Захарова прокомментировала подготовку в Евросоюзе новых пакетов антироссийских санкций. ""Что же они никак на чемодан не накопят?"", - написала официальный представитель МИД РФ в своем Telegram-канале.",151
8546125,-24136539,1703057400,"ЕС не отменит антироссийские санкции даже в случае полного завершения СВО и подписания соглашения о мире с Украиной, сообщил ТАСС со ссылкой на источник.
 
По его словам, должно быть принято единогласное решение. ""Достаточно, чтобы одна из 27 стран ЕС не поддержала отмену санкций под любым предлогом, и этот вопрос может быть отложен на неограниченное количество времени"".",81
8544621,-24136539,1702992362,"No Russia назвали в ЕС правило санкционного реэкспорта в Россию. Об этом говорится в постановлении Совета Евросоюза о введении в действие 12-го пакета санкций. 
 
Статья будет применяться ко всему списку товаров и технологий военного и двойного назначения, который ЕС запретил к экспорту в РФ с 2014 года.",50
