num_posts,num_c_with,num_c,indicator,date_num,date
5,4,16,0.8,18871,2021-09-01
6,5,53,0.8333333333333334,18872,2021-09-02
1,0,3,0.0,18873,2021-09-03
0,0,1,,18874,2021-09-04
1,0,1,0.0,18875,2021-09-05
2,0,3,0.0,18876,2021-09-06
0,0,0,,18877,2021-09-07
6,2,56,0.3333333333333333,18878,2021-09-08
3,1,24,0.3333333333333333,18879,2021-09-09
5,0,6,0.0,18880,2021-09-10
1,0,2,0.0,18881,2021-09-11
1,0,0,0.0,18882,2021-09-12
6,3,66,0.5,18883,2021-09-13
1,1,9,1.0,18884,2021-09-14
3,0,4,0.0,18885,2021-09-15
6,1,19,0.16666666666666666,18886,2021-09-16
7,2,36,0.2857142857142857,18887,2021-09-17
0,0,12,,18888,2021-09-18
1,0,1,0.0,18889,2021-09-19
2,1,13,0.5,18890,2021-09-20
3,2,14,0.6666666666666666,18891,2021-09-21
6,3,23,0.5,18892,2021-09-22
4,1,9,0.25,18893,2021-09-23
1,0,0,0.0,18894,2021-09-24
1,1,17,1.0,18895,2021-09-25
0,0,0,,18896,2021-09-26
4,3,33,0.75,18897,2021-09-27
2,2,11,1.0,18898,2021-09-28
2,0,7,0.0,18899,2021-09-29
3,0,7,0.0,18900,2021-09-30
3,2,7,0.6666666666666666,18901,2021-10-01
2,0,11,0.0,18902,2021-10-02
1,0,3,0.0,18903,2021-10-03
3,1,4,0.3333333333333333,18904,2021-10-04
10,2,25,0.2,18905,2021-10-05
3,0,8,0.0,18906,2021-10-06
4,0,10,0.0,18907,2021-10-07
4,2,12,0.5,18908,2021-10-08
2,0,5,0.0,18909,2021-10-09
2,2,11,1.0,18910,2021-10-10
1,0,3,0.0,18911,2021-10-11
11,4,102,0.36363636363636365,18912,2021-10-12
9,3,32,0.3333333333333333,18913,2021-10-13
9,0,16,0.0,18914,2021-10-14
4,7,36,1.75,18915,2021-10-15
0,0,6,,18916,2021-10-16
2,0,4,0.0,18917,2021-10-17
4,0,10,0.0,18918,2021-10-18
0,0,0,,18919,2021-10-19
4,1,13,0.25,18920,2021-10-20
4,0,7,0.0,18921,2021-10-21
13,2,24,0.15384615384615385,18922,2021-10-22
0,0,6,,18923,2021-10-23
3,1,15,0.3333333333333333,18924,2021-10-24
3,3,18,1.0,18925,2021-10-25
4,1,62,0.25,18926,2021-10-26
6,2,20,0.3333333333333333,18927,2021-10-27
4,1,22,0.25,18928,2021-10-28
3,1,21,0.3333333333333333,18929,2021-10-29
3,0,3,0.0,18930,2021-10-30
5,1,16,0.2,18931,2021-10-31
3,1,11,0.3333333333333333,18932,2021-11-01
2,2,16,1.0,18933,2021-11-02
9,8,64,0.8888888888888888,18934,2021-11-03
2,1,17,0.5,18935,2021-11-04
1,0,0,0.0,18936,2021-11-05
2,1,13,0.5,18937,2021-11-06
3,0,4,0.0,18938,2021-11-07
4,5,46,1.25,18939,2021-11-08
0,0,3,,18940,2021-11-09
2,0,6,0.0,18941,2021-11-10
10,1,23,0.1,18942,2021-11-11
1,0,5,0.0,18943,2021-11-12
2,0,8,0.0,18944,2021-11-13
3,5,31,1.6666666666666667,18945,2021-11-14
11,7,72,0.6363636363636364,18946,2021-11-15
3,3,17,1.0,18947,2021-11-16
5,4,23,0.8,18948,2021-11-17
15,9,145,0.6,18949,2021-11-18
5,9,65,1.8,18950,2021-11-19
2,1,13,0.5,18951,2021-11-20
3,0,5,0.0,18952,2021-11-21
3,4,23,1.3333333333333333,18953,2021-11-22
3,0,4,0.0,18954,2021-11-23
13,4,65,0.3076923076923077,18955,2021-11-24
5,0,12,0.0,18956,2021-11-25
4,2,25,0.5,18957,2021-11-26
2,0,5,0.0,18958,2021-11-27
1,0,3,0.0,18959,2021-11-28
6,1,33,0.16666666666666666,18960,2021-11-29
19,12,148,0.631578947368421,18961,2021-11-30
13,4,67,0.3076923076923077,18962,2021-12-01
3,3,29,1.0,18963,2021-12-02
6,1,15,0.16666666666666666,18964,2021-12-03
3,0,4,0.0,18965,2021-12-04
6,2,36,0.3333333333333333,18966,2021-12-05
7,2,44,0.2857142857142857,18967,2021-12-06
11,6,76,0.5454545454545454,18968,2021-12-07
4,0,16,0.0,18969,2021-12-08
5,2,35,0.4,18970,2021-12-09
11,5,45,0.45454545454545453,18971,2021-12-10
0,1,6,inf,18972,2021-12-11
3,2,7,0.6666666666666666,18973,2021-12-12
8,5,62,0.625,18974,2021-12-13
2,2,15,1.0,18975,2021-12-14
5,0,15,0.0,18976,2021-12-15
9,6,39,0.6666666666666666,18977,2021-12-16
9,2,36,0.2222222222222222,18978,2021-12-17
1,4,13,4.0,18979,2021-12-18
1,0,0,0.0,18980,2021-12-19
7,2,9,0.2857142857142857,18981,2021-12-20
6,0,15,0.0,18982,2021-12-21
7,3,68,0.42857142857142855,18983,2021-12-22
16,7,68,0.4375,18984,2021-12-23
11,6,68,0.5454545454545454,18985,2021-12-24
1,0,3,0.0,18986,2021-12-25
4,3,75,0.75,18987,2021-12-26
7,1,61,0.14285714285714285,18988,2021-12-27
5,0,36,0.0,18989,2021-12-28
12,3,63,0.25,18990,2021-12-29
8,0,28,0.0,18991,2021-12-30
2,0,3,0.0,18992,2021-12-31
2,0,6,0.0,18993,2022-01-01
3,0,5,0.0,18994,2022-01-02
0,0,0,,18995,2022-01-03
1,0,6,0.0,18996,2022-01-04
1,0,3,0.0,18997,2022-01-05
2,3,12,1.5,18998,2022-01-06
1,2,6,2.0,18999,2022-01-07
0,0,0,,19000,2022-01-08
3,0,3,0.0,19001,2022-01-09
3,0,6,0.0,19002,2022-01-10
6,2,32,0.3333333333333333,19003,2022-01-11
18,9,93,0.5,19004,2022-01-12
13,1,13,0.07692307692307693,19005,2022-01-13
9,2,60,0.2222222222222222,19006,2022-01-14
5,5,61,1.0,19007,2022-01-15
1,2,23,2.0,19008,2022-01-16
1,0,0,0.0,19009,2022-01-17
3,0,8,0.0,19010,2022-01-18
7,3,45,0.42857142857142855,19011,2022-01-19
11,2,68,0.18181818181818182,19012,2022-01-20
2,1,13,0.5,19013,2022-01-21
1,1,4,1.0,19014,2022-01-22
5,1,14,0.2,19015,2022-01-23
5,0,7,0.0,19016,2022-01-24
9,0,33,0.0,19017,2022-01-25
6,5,43,0.8333333333333334,19018,2022-01-26
4,5,47,1.25,19019,2022-01-27
0,0,1,,19020,2022-01-28
5,0,10,0.0,19021,2022-01-29
3,0,3,0.0,19022,2022-01-30
6,0,35,0.0,19023,2022-01-31
6,2,35,0.3333333333333333,19024,2022-02-01
6,2,30,0.3333333333333333,19025,2022-02-02
3,0,4,0.0,19026,2022-02-03
2,1,3,0.5,19027,2022-02-04
6,0,1,0.0,19028,2022-02-05
2,0,1,0.0,19029,2022-02-06
7,2,26,0.2857142857142857,19030,2022-02-07
6,0,15,0.0,19031,2022-02-08
9,0,16,0.0,19032,2022-02-09
5,0,13,0.0,19033,2022-02-10
11,4,67,0.36363636363636365,19034,2022-02-11
0,2,15,inf,19035,2022-02-12
0,0,1,,19036,2022-02-13
4,2,9,0.5,19037,2022-02-14
5,0,18,0.0,19038,2022-02-15
5,4,28,0.8,19039,2022-02-16
5,0,23,0.0,19040,2022-02-17
0,0,2,,19041,2022-02-18
0,0,0,,19042,2022-02-19
0,0,0,,19043,2022-02-20
2,0,4,0.0,19044,2022-02-21
2,0,2,0.0,19045,2022-02-22
3,1,5,0.3333333333333333,19046,2022-02-23
2,0,2,0.0,19047,2022-02-24
2,1,4,0.5,19048,2022-02-25
1,1,11,1.0,19049,2022-02-26
1,1,49,1.0,19050,2022-02-27
6,3,53,0.5,19051,2022-02-28
1,1,7,1.0,19052,2022-03-01
0,0,0,,19053,2022-03-02
3,1,11,0.3333333333333333,19054,2022-03-03
3,0,6,0.0,19055,2022-03-04
0,0,2,,19056,2022-03-05
2,0,6,0.0,19057,2022-03-06
1,2,45,2.0,19058,2022-03-07
1,0,22,0.0,19059,2022-03-08
2,1,84,0.5,19060,2022-03-09
12,2,179,0.16666666666666666,19061,2022-03-10
