num_posts,num_c_with,num_c,indicator,date_num,date
1,0,1,0.0,18871,2021-09-01
0,0,0,,18872,2021-09-02
1,0,0,0.0,18873,2021-09-03
1,0,4,0.0,18874,2021-09-04
0,0,1,,18875,2021-09-05
0,0,0,,18876,2021-09-06
0,0,0,,18877,2021-09-07
0,0,0,,18878,2021-09-08
0,0,0,,18879,2021-09-09
0,0,0,,18880,2021-09-10
0,0,0,,18881,2021-09-11
0,0,0,,18882,2021-09-12
0,0,0,,18883,2021-09-13
0,0,0,,18884,2021-09-14
0,0,0,,18885,2021-09-15
0,0,0,,18886,2021-09-16
0,0,0,,18887,2021-09-17
0,0,0,,18888,2021-09-18
1,0,1,0.0,18889,2021-09-19
0,0,0,,18890,2021-09-20
0,0,0,,18891,2021-09-21
0,0,0,,18892,2021-09-22
0,0,0,,18893,2021-09-23
1,0,0,0.0,18894,2021-09-24
0,0,0,,18895,2021-09-25
0,0,0,,18896,2021-09-26
0,0,0,,18897,2021-09-27
0,0,0,,18898,2021-09-28
0,0,0,,18899,2021-09-29
0,0,0,,18900,2021-09-30
0,0,0,,18901,2021-10-01
0,0,0,,18902,2021-10-02
0,0,0,,18903,2021-10-03
0,0,0,,18904,2021-10-04
0,0,0,,18905,2021-10-05
0,0,0,,18906,2021-10-06
0,0,0,,18907,2021-10-07
0,0,0,,18908,2021-10-08
0,0,0,,18909,2021-10-09
0,0,0,,18910,2021-10-10
0,0,0,,18911,2021-10-11
0,0,0,,18912,2021-10-12
0,0,0,,18913,2021-10-13
0,0,0,,18914,2021-10-14
0,0,0,,18915,2021-10-15
1,0,0,0.0,18916,2021-10-16
0,0,0,,18917,2021-10-17
0,0,0,,18918,2021-10-18
1,0,0,0.0,18919,2021-10-19
1,0,0,0.0,18920,2021-10-20
0,0,0,,18921,2021-10-21
0,0,0,,18922,2021-10-22
0,0,0,,18923,2021-10-23
0,0,0,,18924,2021-10-24
0,0,0,,18925,2021-10-25
0,0,0,,18926,2021-10-26
0,0,0,,18927,2021-10-27
0,0,0,,18928,2021-10-28
0,0,0,,18929,2021-10-29
0,0,0,,18930,2021-10-30
0,0,0,,18931,2021-10-31
0,0,0,,18932,2021-11-01
0,0,0,,18933,2021-11-02
0,0,0,,18934,2021-11-03
0,0,0,,18935,2021-11-04
0,0,0,,18936,2021-11-05
0,0,0,,18937,2021-11-06
0,0,0,,18938,2021-11-07
0,0,0,,18939,2021-11-08
1,0,1,0.0,18940,2021-11-09
1,0,0,0.0,18941,2021-11-10
0,0,0,,18942,2021-11-11
1,0,0,0.0,18943,2021-11-12
0,0,1,,18944,2021-11-13
0,0,0,,18945,2021-11-14
1,0,0,0.0,18946,2021-11-15
0,0,0,,18947,2021-11-16
1,0,0,0.0,18948,2021-11-17
0,0,0,,18949,2021-11-18
0,0,0,,18950,2021-11-19
0,0,0,,18951,2021-11-20
0,0,0,,18952,2021-11-21
0,0,0,,18953,2021-11-22
0,0,0,,18954,2021-11-23
0,0,0,,18955,2021-11-24
0,0,0,,18956,2021-11-25
0,0,0,,18957,2021-11-26
0,0,0,,18958,2021-11-27
0,0,0,,18959,2021-11-28
0,0,0,,18960,2021-11-29
0,0,0,,18961,2021-11-30
0,0,0,,18962,2021-12-01
2,0,1,0.0,18963,2021-12-02
1,0,0,0.0,18964,2021-12-03
0,0,0,,18965,2021-12-04
0,0,0,,18966,2021-12-05
0,0,0,,18967,2021-12-06
2,0,0,0.0,18968,2021-12-07
1,0,0,0.0,18969,2021-12-08
1,0,1,0.0,18970,2021-12-09
1,0,1,0.0,18971,2021-12-10
0,0,0,,18972,2021-12-11
0,0,0,,18973,2021-12-12
0,0,0,,18974,2021-12-13
0,0,0,,18975,2021-12-14
0,0,0,,18976,2021-12-15
2,0,0,0.0,18977,2021-12-16
2,0,0,0.0,18978,2021-12-17
1,0,2,0.0,18979,2021-12-18
0,0,1,,18980,2021-12-19
0,0,0,,18981,2021-12-20
0,0,0,,18982,2021-12-21
0,0,0,,18983,2021-12-22
0,0,0,,18984,2021-12-23
0,0,0,,18985,2021-12-24
0,0,0,,18986,2021-12-25
0,0,0,,18987,2021-12-26
0,0,0,,18988,2021-12-27
1,0,0,0.0,18989,2021-12-28
0,0,0,,18990,2021-12-29
1,0,0,0.0,18991,2021-12-30
1,0,0,0.0,18992,2021-12-31
0,0,0,,18993,2022-01-01
0,0,0,,18994,2022-01-02
1,0,0,0.0,18995,2022-01-03
0,0,0,,18996,2022-01-04
0,0,1,,18997,2022-01-05
0,0,0,,18998,2022-01-06
0,0,0,,18999,2022-01-07
0,0,0,,19000,2022-01-08
0,0,0,,19001,2022-01-09
0,0,0,,19002,2022-01-10
0,0,0,,19003,2022-01-11
1,0,0,0.0,19004,2022-01-12
1,0,2,0.0,19005,2022-01-13
2,0,0,0.0,19006,2022-01-14
1,0,0,0.0,19007,2022-01-15
0,0,0,,19008,2022-01-16
0,0,0,,19009,2022-01-17
1,0,0,0.0,19010,2022-01-18
1,0,2,0.0,19011,2022-01-19
2,0,0,0.0,19012,2022-01-20
2,0,4,0.0,19013,2022-01-21
0,0,0,,19014,2022-01-22
0,0,0,,19015,2022-01-23
1,0,0,0.0,19016,2022-01-24
0,0,0,,19017,2022-01-25
1,0,0,0.0,19018,2022-01-26
0,0,0,,19019,2022-01-27
1,0,0,0.0,19020,2022-01-28
0,0,1,,19021,2022-01-29
1,0,3,0.0,19022,2022-01-30
2,1,5,0.5,19023,2022-01-31
1,0,0,0.0,19024,2022-02-01
1,0,1,0.0,19025,2022-02-02
1,0,3,0.0,19026,2022-02-03
2,0,2,0.0,19027,2022-02-04
1,0,9,0.0,19028,2022-02-05
0,0,1,,19029,2022-02-06
1,1,1,1.0,19030,2022-02-07
0,0,0,,19031,2022-02-08
1,0,2,0.0,19032,2022-02-09
2,0,1,0.0,19033,2022-02-10
2,0,6,0.0,19034,2022-02-11
0,0,0,,19035,2022-02-12
0,0,0,,19036,2022-02-13
1,0,2,0.0,19037,2022-02-14
2,0,0,0.0,19038,2022-02-15
0,0,0,,19039,2022-02-16
2,0,0,0.0,19040,2022-02-17
0,0,0,,19041,2022-02-18
0,0,0,,19042,2022-02-19
0,0,0,,19043,2022-02-20
0,0,0,,19044,2022-02-21
7,0,1,0.0,19045,2022-02-22
2,0,1,0.0,19046,2022-02-23
1,0,5,0.0,19047,2022-02-24
5,0,13,0.0,19048,2022-02-25
2,0,3,0.0,19049,2022-02-26
2,1,15,0.5,19050,2022-02-27
6,0,7,0.0,19051,2022-02-28
1,2,7,2.0,19052,2022-03-01
2,0,3,0.0,19053,2022-03-02
4,2,6,0.5,19054,2022-03-03
2,0,0,0.0,19055,2022-03-04
4,0,3,0.0,19056,2022-03-05
2,0,0,0.0,19057,2022-03-06
4,0,11,0.0,19058,2022-03-07
2,5,29,2.5,19059,2022-03-08
2,2,7,1.0,19060,2022-03-09
3,0,4,0.0,19061,2022-03-10
1,0,2,0.0,19062,2022-03-11
3,1,5,0.3333333333333333,19063,2022-03-12
3,0,7,0.0,19064,2022-03-13
3,0,13,0.0,19065,2022-03-14
2,0,1,0.0,19066,2022-03-15
3,2,23,0.6666666666666666,19067,2022-03-16
5,0,5,0.0,19068,2022-03-17
3,0,5,0.0,19069,2022-03-18
4,2,18,0.5,19070,2022-03-19
1,1,5,1.0,19071,2022-03-20
5,0,7,0.0,19072,2022-03-21
3,0,4,0.0,19073,2022-03-22
4,0,5,0.0,19074,2022-03-23
2,1,6,0.5,19075,2022-03-24
3,1,7,0.3333333333333333,19076,2022-03-25
1,0,4,0.0,19077,2022-03-26
1,0,1,0.0,19078,2022-03-27
4,0,3,0.0,19079,2022-03-28
0,0,2,,19080,2022-03-29
1,0,2,0.0,19081,2022-03-30
3,1,4,0.3333333333333333,19082,2022-03-31
1,0,0,0.0,19083,2022-04-01
