post_id,text,comment_time
2843169,Подкрепился хомяками,1674503405
2843169,"""Участники криптовалютного рынка продолжают игру на повышение. Курс биткойна закрепился выше""

Так же и курс рубля работает.",1674506458
2842149,"То есть вы опросили россиян, и на основе их личных ощущений сделали выводы? )",1674467892
2842149,Танки это 20 век ...в 21 танками уже никто не воюет ...поэтому тысяч танков как у Путина ...у НАТО просто нет ...зато есть спутники ...глобал хавки ...АВАКСы .... бомбардировщики невидимки ......ракеты летающие ниже верхушек деревьев ...........и ракетные крейсеры на пяти океанах .......,1674468038
2840070,"Цены как обычно будут расти. Это байденовский мир тут по другому не бывает. Тупые геополитические решения Байдена оплачивают все. Так было, так есть и так и будет. Пока терпим это безумие.",1674374933
2840070,С ценами все понятно и без эмбарго и без курса. Они летят в небеса.,1674375698
2840070,"Мдааа... Жути-то нагнали.
Почему тогда весь ваш апокалипсис не случился в прошлом году, когда вас стали адски бомбить санкциями?
И последнее, в начале января вышла свежая стата, которая гласит, что РФ вернулась в ТОП-10 экономик мира. С 11-го места прыгнула на 9-ое.",1674376175
2840070,"Коммерсант прозападный! Напишешь про Байдена и Америку правду нелицеприятную, сразу удаляет комментарий!",1674376537
2840070,А делать-то что?,1674376790
2840070,"Хочу доллар по 200, который байдену продали)))",1674377070
2840070,"Ну как вариант. Если только наши гении (без сарказма, наоборот, с уважением) не придумают ответный  ход.",1674377284
2840070,"""..В частности, эту идею активно продвигал профессор Гарвардского университета экономист Кеннет Рогофф. По его словам, ""даже в случае военного поражения России санкции не должны быть просто отменены, поскольку необходимо добиться смены режима"". Этот американский экономист и по совместительству большой любитель шахмат полагает, что санкции должны быть нацелены на то, чтобы привести Россию к ""ужасающей бедности"". ..Подобные объемы санкции в совокупности с внутренними финансовыми органичениями стирают с лица земли любые экономические системы ....Сирия .. Венесуэла ...Куба .....Иран ..просто в силу объемности экономики РФ на это потребуется несколько больше времени ............",1674378122
2838400,"А можно эти новости вот там и транслировать? Чтобы они понимали, что в жопе, потому что связались с Россией! А мы уже привыкли к жопе, ни чего нового...",1674245656
2838400,Хэх если бы Советский Слюз не напал на Финляндию в 1939 году со всеми вытекающими из этого последствиями ....то Гитлер бы никогда не отважился напасть на СССР ...и если бы не пандемия коронавируса то Мир никогда бы не решился ввести настолько масштабные санкции против РФ ...........,1674296419
2837676,"Смысл содержать эту структуру, если им давно никто не верит?",1674209219
2837676,"Какая инфляция в старом свете? А то нам уже почти год рассказывают, что инфляция там зашкаливает🤔",1674210509
2837676,"‘Россия по годовым темпам роста занимает место далеко не в первой десятке’? Ну, это смотря, как считать - ни одного независимого аудитора в эрэфии с 2022 года не осталось 😊 Верим Росстату!",1674216322
2836704,Жизнь взаймы,1674144588
2836704,А вот и самое интересное. Отказ от доллара растёт. Растут и проблемы в США.  Слава России 🇷🇺 🇷🇺 🇷🇺 🇷🇺 🇷🇺,1674144682
2836704,Еще напечатают кучу🤣🤣🤣🤣,1674144705
2836704,"Скоро, доллар будет просто фантик,дети будут играть в миллионеров , печатать можно,но он обесценивается в мире",1674145044
2836704,"Ну так инфляция - основной экспортный товар США. Разберутся. Платить, конечно, будут - но не они.",1674146705
2836704,Как хорошо что все в опе🤣,1674147401
2836704,Не... ну если очень надо...можем обратно Аляску и Калифорнию выкупить...,1674147727
2836704,И на фоне этого они донатят хохлам 🤦‍♂️,1674149202
2834852,А всем остальным что сужить сухари сразу ?,1674056438
2834852,Такие всё нужные профессии.,1674056764
2834852,"Как видим, главных, на которых и держится производство - работяг (токарей, слесарей, монтажников, фрезеровщиков и ещё многих, которые и создают прибавочную стоимость  и изделия) вообще не видят... Видят только тех, кто по своим функциональным обязанностям должен создавать условия высокопроизводительной работы для работяг.",1674057312
2834852,ни одного слесаря.токаря или сварщика.,1674058346
2834852,"Я так понимаю,учителя вообще рады,что с зарплатой, что без...",1674058451
2834852,"Не всегда понимается, кто такие- ""программисты""..
То-есть это, например, те ребята, что пишут размещаемые на страницах инета команды на исполнение- ""всем вашим процессорам""...
( например, еще недавно- верившие в некий само-чудесный ""закон Мура"" и т.п...)
То-есть: ""все те, от кого- ставят uBlock""...( или там- ad-блок, блокировщики скриптов, блокировщики обновлений блокировщиков скриптов и т.д и т.п., )
Но ""менеджеры по рекламе""- присутствуют в той таблице- среди ""недовольных"". :)",1674060215
2834852,"Это, я так понимаю, чаще всего сидящие без дела работники, раз у них появилось время участвовать в опросе, поэтому других профессий ни в одном графике нет",1674063300
2834852,"Ну понятно, недовольны все. Аж смешно стало.",1674102158
2833971,А как же Газпром?),1674025227
2833971,Хэх Amazon стоит 300 млрд $ ...а весь годовой ВВП РФ - теперь 500 млрд $ .......),1674030575
2833752,,1674007092
2833752,,1674007106
2833752,"Ну и где те, кто над санкциями смеялся? Объясню доходчиво: снижение доходов – это непостроенные больницы, школы, дороги. А учитывая то, что военные действия требуют огромное количество денег + снижение доходов, то денег остается сильно меньше, чем в довоенное время, ибо доходы пониженные, а расходы повышенные.",1674007990
2833752,"Не могут отказаться от российской нефти ,это не 90-й год двух 2023-й ,вы представьте сколько машин ездит по миру и грузовых ,их надо заправлять даже если дешёвый русский не захотят ,дорогой другом государстве не существует это только Россия, нигде найти замену🤷‍♂️ это грузовые корабли военные туристические катера их стало очень много по миру почти два раза больше чем было в девяностых, тогда эта практика получилось у американцев экономику СССР разрушены сейчас не то время, а зерно а удобрения кушать надо этот народ кормить надо с голоду порвут все правительство которая против России. Временно могут неудобства сделать России но временно а время прошло проблемы начались, Украина заминировала свой как скажу огород🤣🤣 потом Россия идёт Америка американский никто не покупает она не подходит европейскому стандарту там много химиката чтобы собрали много урожай проблем много будет у всех государств кроме России в России проблемы только с электроникой это несерьезно у нас есть электроника, электроника всё равно можно использовать смотрите как наши ракеты летят красиво",1674013232
2833752,Вопрос один - кто первый сорвётся,1674029704
2833752,смысл в том что на полученные юани ничего нельзя купить за юани,1674040612
2833684,"Типо сами же закупают свои Акции ?
А как же тогда продажа этих акций ?",1674000416
2833684,Пусть газ станет ещё дешевле 👍,1674000454
2832046,"В декабре Сбербанк заработал 125,5 млрд руб. чистой прибыли (+40,1% г/г), а чистая прибыль за 2022 г. превысила 300 млрд руб. 
Сбербанк с запасом выполняет все ограничения по аппетиту к риску по нормативам достаточности капитала, установленные наблюдательным советом в декабре 2021 г., отмечается в сообщении. 
Результаты банка достигнуты без использования послаблений Банка России для кредитных организаций. 
 
Ждем хороших дивидендов за 2021-2022гг., и соответствующий рост котировок акций Сбера, - как фаворита фондового рынка на 2023г.",1673953729
2831885,"От авторов ""рубль самая крепкая валюта в мире"" )))",1673892116
2830874,"А зарплата не подросла, вот только гос пошлины, ЖКХ, и страховки выросли. Отрицательный рост🤦‍♂️",1673834788
2830874,,1673847961
2830874,Рыночной экономики у Путина больше нет ...бейтесь головой о бетонную стену ... скоро не станет и самой фальшивой федерации ......,1673859746
2829929,мне кажется он оказался провальным для всех рынков)) даже мой продуктовый рынок у дома загибается)),1673790123
2829929,"ахаха, аналитики не забыли, как газпром кинул на дивы миноритариев? уже объявил путин что отнимет половину прибыли у госкомпаний, у угольщиков - ему деньги на сво нужны. а потом до всех частников доберется.",1673790378
2829929,🤣🤣🤣,1673790785
2829929,это когда Тихвинский вагоностроительный встал без амерских подшипников ?,1673791099
2826992,"Не знаю что там у вас за лукавая статистика такая, а по ценам в магазине инфляция выглядит процентов на 40. Спасибо Путину и его дурацкой спецоперации.",1673628952
2826992,"Кому эта лапша?
Люди без работы остаются денег не хватает ни на что",1673628996
2826992,Я не голосовал за Путина и этой войны тоже не хотел. Почему я должен страдать от её последствий?,1673629029
2826992,Одно враньё,1673629143
2826992,"они там рисуют ерунду. одежда, обувь техника в несоклько раз подорожала. еда тоже сильно",1673629197
2826992,"Максимальная инфляция , в современной истории России, была не в 2015 году а в 90-е, когда страной рулили жулики Чубайс, Немцов, Гайдар и прочая семибанкирщина. Даже ценники в СКВ везде были, чтобы не менять их по три раза на дню.",1673629277
2826992,"С такой инфляцией, как есть на самом деле, а не в отчетах, скоро из еды останется только лапша с ушей.",1673629299
2826992,"Результат правления Путина. Отличный президент 🤝🤝🤝 всё для народа, смотрите не подавитесь",1673629319
2826992,"Не знаю что там у вас за лукавая статистика такая, а по ценам в магазине инфляция выглядит процентов на 40. Спасибо Путину и его дурацкой спецоперации.",1673628952
2826992,"Кому эта лапша?
Люди без работы остаются денег не хватает ни на что",1673628996
2826992,Я не голосовал за Путина и этой войны тоже не хотел. Почему я должен страдать от её последствий?,1673629029
2826992,Одно враньё,1673629143
2826992,"они там рисуют ерунду. одежда, обувь техника в несоклько раз подорожала. еда тоже сильно",1673629197
2826992,"Максимальная инфляция , в современной истории России, была не в 2015 году а в 90-е, когда страной рулили жулики Чубайс, Немцов, Гайдар и прочая семибанкирщина. Даже ценники в СКВ везде были, чтобы не менять их по три раза на дню.",1673629277
2826992,"С такой инфляцией, как есть на самом деле, а не в отчетах, скоро из еды останется только лапша с ушей.",1673629299
2826992,"Результат правления Путина. Отличный президент 🤝🤝🤝 всё для народа, смотрите не подавитесь",1673629319
2826992,"Не знаю что там у вас за лукавая статистика такая, а по ценам в магазине инфляция выглядит процентов на 40. Спасибо Путину и его дурацкой спецоперации.",1673628952
2826992,"Кому эта лапша?
Люди без работы остаются денег не хватает ни на что",1673628996
2826992,Я не голосовал за Путина и этой войны тоже не хотел. Почему я должен страдать от её последствий?,1673629029
2826992,Одно враньё,1673629143
2826992,"они там рисуют ерунду. одежда, обувь техника в несоклько раз подорожала. еда тоже сильно",1673629197
2826992,"Максимальная инфляция , в современной истории России, была не в 2015 году а в 90-е, когда страной рулили жулики Чубайс, Немцов, Гайдар и прочая семибанкирщина. Даже ценники в СКВ везде были, чтобы не менять их по три раза на дню.",1673629277
2826992,"С такой инфляцией, как есть на самом деле, а не в отчетах, скоро из еды останется только лапша с ушей.",1673629299
2826992,"Результат правления Путина. Отличный президент 🤝🤝🤝 всё для народа, смотрите не подавитесь",1673629319
2826992,"Не знаю что там у вас за лукавая статистика такая, а по ценам в магазине инфляция выглядит процентов на 40. Спасибо Путину и его дурацкой спецоперации.",1673628952
2826992,"Кому эта лапша?
Люди без работы остаются денег не хватает ни на что",1673628996
2826992,Я не голосовал за Путина и этой войны тоже не хотел. Почему я должен страдать от её последствий?,1673629029
2826992,Одно враньё,1673629143
2826992,"они там рисуют ерунду. одежда, обувь техника в несоклько раз подорожала. еда тоже сильно",1673629197
2826992,"Максимальная инфляция , в современной истории России, была не в 2015 году а в 90-е, когда страной рулили жулики Чубайс, Немцов, Гайдар и прочая семибанкирщина. Даже ценники в СКВ везде были, чтобы не менять их по три раза на дню.",1673629277
2826992,"С такой инфляцией, как есть на самом деле, а не в отчетах, скоро из еды останется только лапша с ушей.",1673629299
2826992,"Результат правления Путина. Отличный президент 🤝🤝🤝 всё для народа, смотрите не подавитесь",1673629319
2826992,"Не знаю что там у вас за лукавая статистика такая, а по ценам в магазине инфляция выглядит процентов на 40. Спасибо Путину и его дурацкой спецоперации.",1673628952
2826992,"Кому эта лапша?
Люди без работы остаются денег не хватает ни на что",1673628996
2826992,Я не голосовал за Путина и этой войны тоже не хотел. Почему я должен страдать от её последствий?,1673629029
2826992,Одно враньё,1673629143
2826992,"они там рисуют ерунду. одежда, обувь техника в несоклько раз подорожала. еда тоже сильно",1673629197
2826992,"Максимальная инфляция , в современной истории России, была не в 2015 году а в 90-е, когда страной рулили жулики Чубайс, Немцов, Гайдар и прочая семибанкирщина. Даже ценники в СКВ везде были, чтобы не менять их по три раза на дню.",1673629277
2826992,"С такой инфляцией, как есть на самом деле, а не в отчетах, скоро из еды останется только лапша с ушей.",1673629299
2826992,"Результат правления Путина. Отличный президент 🤝🤝🤝 всё для народа, смотрите не подавитесь",1673629319
2826031,"Господи, что за идиоты сочиняют заголовки!",1673582215
2826031,Жадность государства не знает границ..........,1673604435
2825869,Пусть растёт- я его каждый день поливать буду!!!,1673555033
2825869,,1673555075
2825051,При официальной инфляции в 12% повышение МРОТ на 3% это прорыв или рывок?,1673492103
2825051,"Конечно, оживился! Что ж вы думаете, чиновники и их окружение будет на себе экономить? Их аппетиты только растут, а вы про температуру среднюю по больнице сказки рассказываете",1673505047
2825051,Дело в том что такого декабря не было никогда ...за всю историю наблюдений за рыночной экономикой начиная по сути с 1991 года ......что именно конкретно сделал центробанк в октябре и ноябре точных достоверных данных нет не у кого ....либо они засекречены ... но Орешкин проговорился в конце декабря на интервью РБК о замороженных на всех счетах гос компаний 9 триллионах рублей ...которые только планируют вернуть в экономику в начале февраля ..2023 г...........,1673515235
2825051,"Не ложь и подтасовки, а «косвенные индикаторы»",1673595753
2825051,При официальной инфляции в 12% повышение МРОТ на 3% это прорыв или рывок?,1673492103
2825051,"Конечно, оживился! Что ж вы думаете, чиновники и их окружение будет на себе экономить? Их аппетиты только растут, а вы про температуру среднюю по больнице сказки рассказываете",1673505047
2825051,Дело в том что такого декабря не было никогда ...за всю историю наблюдений за рыночной экономикой начиная по сути с 1991 года ......что именно конкретно сделал центробанк в октябре и ноябре точных достоверных данных нет не у кого ....либо они засекречены ... но Орешкин проговорился в конце декабря на интервью РБК о замороженных на всех счетах гос компаний 9 триллионах рублей ...которые только планируют вернуть в экономику в начале февраля ..2023 г...........,1673515235
2825051,"Не ложь и подтасовки, а «косвенные индикаторы»",1673595753
2824763,"Смешно читать, как Шойгу мог там какого-то назначить)) Бортников этим рулит",1673464152
2824763,У Суровкина нет доступа к кнопке?,1673464199
2824763,Ой а шо такое?) Шото случилось?),1673464642
2824763,"Поменяется ли качество борделя от перестановки кроватей?
Полководческие таланты Герасимова, мягко говоря, спорны: ведь по его лекалам отстроили наши современные вооружённые силы, из которых исчезли кадрированные(они же - по дореволюционной терминологии, ""запасные"") части, что не позволило принять даже 300 тысяч мобилизованных - не было для них штатных единиц и - соответственно, обмундирования и вооружения.
Да и сам тувинец остаётся на месте - рулит ""хозяйством"". Качество его ""руления"" можно наблюдать по череде банкротств оборонных предприятий, дефициту снарядов и снаряжения(во всех смыслах).",1673464686
2824250,"Данные тут не сходятся с ценам в магазине, где то 30-40% мне кажться ближе, да и развитием уже давно и не пахнет",1673442812
2824250,дефицит по итогам года побил все рекорды - 3.3 трлн. Скоро включат печатный станок и начнем кайфовать,1673443623
2824250,"Возможно, наверно и 
скорее всего...😂)))",1673444813
2824250,"А можно раскрыть элементы расчёта инфляции? Думаю, что если взять весь спектр товаров и услуг, то инфляция будет выше 50%.",1673446379
2824250,"Сам факт того, что Президент чехвостит Министра уже задаёт много вопросов. Административно есть Премьер Министр. Почему наганяй даёт Президент???",1673452103
2824250,Интересно он о какой стране сейчас говорит,1673466562
2823663,В ЕС практически совсем нет желтых ценников ...и на элементарных продуктах питания там по прежнему никто не экономит ........да сократилось количество людей обедающих и ужинающих только в ресторанах ..с 50 % населения до 40 %.......................,1673429104
2823528,"А рост то, простите, с каких огурцов?, всё везде падает, а они про рост какой-то",1673385534
2823251,"Для наших граждан авторитет - это Ванга, а не Всемирный банк )",1673372839
2823251,"не кончаются рецессии эти, нормы прибыли падают. капитализм загибается",1673372843
2823251,"Лучше предупредите, когда евросовок развалится.",1673373104
2823251,"Все относительно. Возможно, планете это только на пользу.",1673374900
2823145,"Не угадаешь! Даже аналитика не поможет, если не знаешь что будет завтра...",1673379661
2823145,"Какая экономика?наша страна это,, купи продам продают леса газ  нефть говорят что это народное достояние, ложь ,вся экономика в руках барыг бывших комсомольских вожаков ,они говорили ,,кто носит Адидас тот родину продаст,, сами продали страну без всякого Адидас,,козлы позорные",1673448208
2823145,Не стоит обобщать. Далеко не все комсомольские вожаки стали барыгами. Предатели и воры есть во всех социальных группах.,1673704231
2823145,Крипту забыли,1673704559
2823145,"соль, спички, патроны",1673916411
2816870,Франция - спонсор нацизма и терроризма,1673102362
2816870,"Как приятно, что хоть где-то можно протестовать, и тебя за это не изобьют и не посадят",1673102471
2816870,В поддержку ребятам на передовой наша новая работа...🇷🇺🙏🏻,1673102517
2816870,"МЕНЬШЕ БЫ СПОНСИРОВАЛА ТЕРРОРИСТОВ, А БОЛЬШЕ БЫ ОБРАЩАЛА ВНИМАНИЕ НА ГРАЖДАН СВОЕЙ СТРАНЫ!!!",1673102576
2816870,Свободная страна уважающая палитру мнений,1673102649
2816870,"Смешно читать об этом на фоне новостей, что в России СНОВА повышают пенсионный возраст",1673102692
2816870,"Да всем плевать там на них, могут ещё что лет так ходить",1673102786
2816870,,1673102896
2816870,хочу как в париже. у нас тоже пенсионная реформа и двузначная инфляция,1673103038
2816870,Где жилеты??? 🤔,1673103156
2820272,"В отдаленьи от Европы, 
Где Земли проходит край, 
Правил Царь – конечно, добрый, 
Молодой, спортивный, бодрый – 
Там пингвинов он покорных 
Обещал отправить в рай. 
 
Каждый день, по распорядку, 
Телерадиоэфир 
Сообщал, что всё в порядке – 
Урожай растёт на грядках, 
Рыбка тралится, и чахнет 
Остальной враждебный мир. 
 
Нет причин для беспокойства – 
Под контролем всё вполне: 
Власть от Бога – непорочна, 
В экономике – всё прочно, 
Всех сильней пингвины точно 
Дрессированы уже. 
 
Стая птиц – они ж как дети, 
Помани – пойдут гурьбой, 
И стриги с них пух да перья, 
Брякнешь им про долголетье – 
И добавят пятилетье 
В пенсионный возраст свой. 
 
Коли вверх идёт оплата 
Ипотечного жилья – 
То вина лишь супостатов 
Из враждебных, злобных Штатов, 
А не взяток и откатов 
В рамках местного жулья. 
 
И не надо обострений! 
Митинг птицам не к лицу – 
То обычай чуждых прерий 
Да лесов, где злые звери, 
А пернатым дОлжно верить 
В мир, любовь и доброту. 
 
Пшиком вышел рост зарплаты 
От инфляций многих лет? 
Строить домыслы не надо – 
То вредит коварный Запад! 
За паёк трудись, пернатый, 
Свой недолгий птичий век. 
 
Память птиц, увы, непрочна – 
Лет с десяток уж назад 
Обещал великий кормчий, 
Что с отсталостью покончит, 
Миллионы мест рабочим 
Модерновых он создаст. 
 
Только, видно, крыльев всё же 
Невелик его размах: 
Хоть в дворцах он спец хороший, 
Клювом лишь пощёлкать может, 
Тут и там проблемы множит 
В государственных делах. 
 
Вот и вышла неувязка, 
Что повсюду лишь провал! 
Пингвинарий верил в сказку, 
А выходит, что напрасно, 
Но коварный план запАсный 
Приготовил интриган. 
 
Дабы всех оставить с носом, 
Всюду плотно рассадил 
Он своих партайгеноссе – 
Те с него не ищут спроса 
И законы за бабосы 
Принимают вместе с ним. 
 
Кто не видит улучшений – 
Тот враждебный элемент! 
Чтобы не было двух мнений, 
Было принято решенье, 
Что пингвин, в ком есть сомненья, – 
Иностранный злой агент. 
 
Тот, кто шибко недоволен, – 
Дело скользкое, смотри! 
Не играй, пингвин, с судьбою: 
Бац об лёд – и нету боле, 
Держат льдину под контролем 
Сплошь матёрые моржи. 
 
Те, кто клюв пугливо пряча, 
Выйдут группкой побузить – 
Экстремисты, не иначе, 
Схватят их и раскулачат, 
Перья выщипав, запрячут 
Лет на десять, может быть. 
 
Ну и вишенка на торте: 
Молодёжь свою любя, 
Царь предпринял хитрый фортель – 
Сплавил ввергнутых в невзгоды 
Сгинуть на бесславном фронте 
За великого себя. 
 
И не надо инноваций! 
Думать, строить и творить – 
То забавы праздных наций, 
Только склеят скоро ласты: 
К ним идёт пингвин зубастый, 
Чтоб нацистов там добить. 
 
Как наивна вера птичья! 
Только пропасть глубока – 
Там, под сказкой про величье, 
Сам фашизм скрывал обличье, 
Гнёт, бесправие, бессилье – 
Плод политики царька. 
 
Так решаются проблемы 
В отдаленьи от Европ: 
Либеральной нету скверны, 
Оппонент любой – повержен, 
И ничто не треплет нервы 
Льдиной правящих особ. 
 
Вот такая жизнь на льдине 
У далёких берегов. 
Хорошо, что в нашем мире 
Нету тех страстей пингвиньих, 
И гуманный, справедливый 
Дух царит спокон веков. 
 
И. Розгут - ""ОБЫКНОВЕННЫЙ ПИНГВИНИЗМ""",1673251433
2820272,"какое совпадение, иноагент, очередной выпускник гайдаровского гадюшника ВШЭ.)",1673252715
2816870,Франция - спонсор нацизма и терроризма,1673102362
2816870,"Как приятно, что хоть где-то можно протестовать, и тебя за это не изобьют и не посадят",1673102471
2816870,В поддержку ребятам на передовой наша новая работа...🇷🇺🙏🏻,1673102517
2816870,"МЕНЬШЕ БЫ СПОНСИРОВАЛА ТЕРРОРИСТОВ, А БОЛЬШЕ БЫ ОБРАЩАЛА ВНИМАНИЕ НА ГРАЖДАН СВОЕЙ СТРАНЫ!!!",1673102576
2816870,Свободная страна уважающая палитру мнений,1673102649
2816870,"Смешно читать об этом на фоне новостей, что в России СНОВА повышают пенсионный возраст",1673102692
2816870,"Да всем плевать там на них, могут ещё что лет так ходить",1673102786
2816870,,1673102896
2816870,хочу как в париже. у нас тоже пенсионная реформа и двузначная инфляция,1673103038
2816870,Где жилеты??? 🤔,1673103156
