post_id,text,comment_time,from_id
19508041,Та и дожить то не мечтаю))),1675196412,132720354
19482240,Прямо беда!😭,1674366490,698957865
19482240,Е....ать! А россияне прям обогатились! В квитанции за жкх смотрели?,1674366718,409469450
19482240,"Россиян ""успокаивают"" такими новостями? Может быть про наши проблемы начнёте писать? Или у россиян всё Супер???????",1674368044,324792529
19482240,Ну это их велике итальянские проблемы. Потеряли?! Пусть ищут!,1674368233,379617231
19482240,"пускай скажут спасибо своим властям, которые захотели подлизать американцам",1674369364,707326566
19482240,"Туда им и дорога. Хватит помогать, предатели. В пондемию только мы им и помогали",1674370413,742327386
19482240,,1674373634,590010006
19482240,Пусть больше США подмахивают и Украине помогают.,1674396945,587755572
19482240,"Итальянцам хотя бы с климатом повезло, там сейчас мягкая и теплая зима",1674474649,105915385
19468699,Ждём очередного повышения цен на процент индексации от МРОТ?))))),1673896195,41595317
19468699,Ну если только цен,1673897532,73326633
19468699,"Ну как же помню ""амерам и еэсовсам кердык."" Газ дорожает бензина нет. И тут мы получили платёжки. Так это у нас все дорожает? А говорили у них?когнективный диссонанс.",1673933818,26368437
19468699,Лучше бы цены не повышали!,1673941588,591352769
19455922,Все равно цены вздуют в разы вашей индексации,1673384801,151609204
19455922,"Ещё б работали медики хорошо, скорую час ждали. Когда приехала уже поздно было.",1673416558,38149104
19418379,Уже ж смеялись в прошлом году?,1671912184,772673318
19418379,А когда пенсия  12 т. р станет хоть ближе к средней 25 т. р.? ... И повышается на копейки!!!....,1671912606,273160603
19418379,"Зачем пишут то, о чем не знают? С 1 июля 2022 года пенсионеру выходящему на пенсию, не надо ждать трех месяцев для индексации. Если, например, уволился 31 октября, то 1 ноября сведения уже подадут в ПФР, За ноябрь пересчитают, а в декабре пенсионер получит все уже проиндексированные деньги, плюс те, которые ему не выплатили в ноябре.",1671914526,317656060
19418379,""" с 1 февраля — ежемесячные денежные выплаты всем получателям, кому они положены'  - 
КОМУ ПОЛОЖЕНЫ? Тайна, покрытая мраком..",1671915792,272202974
19418379,пусть сами проживут на 21800)),1671916311,4294431
19418379,И квартплату поднимут у нас в городе на 15% 🤔,1671935723,710635750
19418379,"Да, Новый год будет тяжелым для всех с таким повышением на все, что не приколочено.
Хорошего ждать не приходится.
Лишь бы мирно жилось всем на планете.И здоровье не подвело.",1671937288,547928039
19418379,👿,1671938001,465398637
19418379,,1671938012,427616446
19418379,Где прибавили там и убавили,1671938735,75481722
19418379,Что- то я сильно сомневаюсь насчёт налогового возврата ..,1671939998,690184592
19418379,Новости Буркина-Фасо😡,1671940453,509664557
19418379,"Чушь полная, кормят годами.",1671940623,209525533
19418379,Ю,1671941534,266864322
19418379,зачем работающим пенсионерам платить пенсию?!.,1671942263,165468845
19418379,В. Москве на 10 проц а на. Севере. Надо на 15 тогда,1671943695,494496494
19418379,"Кому-то очень хочется, чтобы люди работали прямо до смерти...",1671943808,166635725
19418379,Путин обещал 8.9 и где,1671945588,344391757
19418379,Хорошая новость,1671946935,193578184
