id,owner_id,post_time,post_text,comments.count
40298564,-15755094,1674832779,"⚡⚡⚡
Президент также поручил до 10 февраля разработать и представить комплекс допмер, направленных на повышение рождаемости и поддержку семей с детьми.",759
40251443,-15755094,1674645370,"В Хорватии жители жалуются на рост цен. Покупатели отмечают, что после входа в Еврозону, продукты в магазинах подорожали в несколько раз. Также люди недовольны уровнем инфляции и увеличением стоимости на энергоносители.",474
40072009,-15755094,1673801617,Сотни французов вышли на улицы Парижа в знак протеста против роста цен. Из-за энергетического кризиса в Европе многим хватает денег только на оплату счетов. Минингующие также требуют выхода Франции из ЕС и НАТО и прекращения поставок оружия Украине.,528
39866240,-15755094,1672847206,"Ушедший 2022-й стал для американских политиков годом серьезных испытаний. Пожилой президент, инфляция, украинский конфликт и внутренние противоречия — лишь часть проблем, с которыми столкнулись США.",403
39863196,-15755094,1672835906,"В Лондоне прошла забастовка железнодорожников. Сотрудники требовали увеличения зарплат из-за инфляции и роста цен. Также они просили обеспечить безопасность труда. Многие жаловались, что им приходится выживать из-за кризиса и увеличения стоимости жизни.",473
39850381,-15755094,1672766644,"В Стамбуле местные жители жалуются на инфляцию. Продавцы рассказали, что из-за роста цен и себестоимости продуктов резко упал спрос на многие товары. А люди признаются, что стремительный уровень инфляции сделал ситуацию ""невозможной для выживания"".",297
39820104,-15755094,1672622177,Они были проиндексированы ниже уровня инфляции.,61
39566350,-15755094,1671363314,Во Франции прошли протесты против высоких цен на энергоносители и инфляции. Также митингующие выступили с призывом выйти из НАТО и остановить антироссийские санкции.,292
39450417,-15755094,1670778594,"В Вене прошел митинг против роста цен на энергоносители, инфляции и антироссийских санкций. Также протестующие потребовали от властей Австрии сохранения нейтралитета. 
Участники мероприятия традиционно держали австрийские и российские флаги, а также плакаты с надписями ""Вместо санкций — дешевое электричество, топливо, продукты питания"".",337
39432514,-15755094,1670679306,"В Германии на фоне энергокризиса предприниматели вынуждены искать альтернативные источники топлива. 
Некоторые стали использовать древесный газ вместо ископаемого топлива. Из-за роста цен на энергоносители и инфляции многие просто не могут позволить себе использовать другие источники топлива. Вместо этого они ищут более дешевые варианты.",514
39381672,-15755094,1670419707,Американский закон о снижении инфляции поставил под вопрос единство коллективного Запада. Недавние переговоры об уступках Вашингтона Евросоюзу провалились. Как традиционные союзники дожили до беспрецедентных противоречий и что их теперь ждет — в нашем материале.,96
39278257,-15755094,1669904802,"Во Франции мясники вышли на протесты из-за высоких цен на электроэнергию и растущей инфляции. 
Владельцы лавок признаются, что счета за электричество выросли в несколько раз, некоторые просто не могут заплатить налоги. Многие владельцы бизнеса уже находятся на грани банкротства.",273
39262106,-15755094,1669819028,"Владимир Путин поручил провести индексацию зарплат бюджетников в январе. 
Президент отметил, что в этом году страна столкнулись с инфляцией, цены заметно выросли. Он поручил предоставить финансы нуждающимся в помощи регионам.",411
39257307,-15755094,1669804991,"В Германии сотни жителей Хемница вышли на митинг против высоких цен на энергоносители. 
Также протестующие выступили за возобновление поставок российского газа и открытие ""Северного потока - 2"". 
Цены на энергоносители выросли на 43%, а на природный газ более чем в 2 раза по сравнению с прошлым годом. Уровень инфляции в стране вырос до 10,4% и достиг своего исторического максимума.",288
39194465,-15755094,1669474395,"Волонтеры в Испании начали сбор продовольствия для фудбанков. Энергетический кризис в Европе спровоцировал рост цен и инфляцию, поэтому местные жители все чаще нуждаются в бесплатных продуктах. Число обращений постоянно растет, и фудбанки вскоре могут не выдержать нагрузки.",179
39159743,-15755094,1669307213,"В США из-за инфляции выросли цены на продукты ко Дню благодарения. Например, стоимость индейки увеличилась на 21-23% по сравнению с прошлым годом.",572
39125923,-15755094,1669171652,,382
39119380,-15755094,1669132625,В Германии сотни людей вышли на митинг против инфляции и роста цен на энергоносители. Протестующие прошли по центру Лейпцига и Цвиккау с требованием прекратить поставки оружия на Украину и принять меры по сдерживанию цен на электроэнергию.,412
39077428,-15755094,1668928581,"Уровень инфляции в стране составил 13,7%.",547
39069527,-15755094,1668869717,"Рабочие в Германии выходят на протесты. Они требуют повышения зарплат, потому что из-за инфляции и энергокризиса в Европе цены растут невероятно быстро. Люди опасаются, что вскоре не смогут позволить себе даже самое необходимое.",331
39010943,-15755094,1668599742,"В Германии сотни людей вышли на митинг на улицы Лейпцига. Протестующие выступили против поставок оружия на Украину, роста цен на энергоносители и растущей инфляции.",316
38986550,-15755094,1668505579,"В Болгарии тысячи рабочих вышли на митинг и потребовали повышения зарплат. Они выступили против растущей инфляции и увеличения счетов за электроэнергию. Акцию организовали два крупнейших профсоюза Болгарии. 
В протесте также участвовала автомобильная колонна более чем из тысячи машин.",218
38967227,-15755094,1668426817,"В Германии прошли протесты с требованием открыть ""Северный поток — 2"". Митингующие также выступили против роста цен на энергоносители и высокой инфляции. Люди потребовали у правительства отменить санкции против России.",307
38947600,-15755094,1668326116,"Американские фермеры ощутили на себе последствия инфляции. Рост цен и огромные расходы на топливо и сырье ставят под угрозу их бизнес. Прибыль сокращается все больше, многие владельцы ферм уже на грани разорения.",199
38862696,-15755094,1667990857,"В Германии прошла ""предупредительная забастовка"" рабочих. Митингующие требовали повышения зарплаты из-за роста инфляции и непосильных счетов за электроэнергию. Рабочие заявили, что будут выходить на протесты, пока не выполнят их требования.",237
38849255,-15755094,1667922677,"⚡⚡⚡
Маткапитал на первого ребенка составит около 590 тысяч рублей, а средний размер единого пособия для семей с детьми вырастет до 13 900 рублей.",400
38797997,-15755094,1667667924,"В Испании продолжаются протесты работников и членов профсоюзов. Манифестанты требуют повышения зарплаты на фоне постоянной инфляции. Им кажется несправедливым, что за кризис цен платят именно они.",191
38770448,-15755094,1667530544,"По мнению министра юстиции, антироссийские санкции со стороны Евросоюза спровоцировали энергетический кризис и рост инфляции.",159
38725147,-15755094,1667303920,"Жители Италии протестуют против роста цен и политики правительства. Инфляция достигла самого высокого уровня за последние десятилетия. Протестующие говорят, что им приходится покупать только самое необходимое и приспосабливаться к высоким ценам на электроэнергию и продукты.",253
38622433,-15755094,1666809386,Британцы жалуются на рост цен. Из-за невероятной инфляции люди даже пытаются меньше есть и покупать продукты. Стоимость некоторых товаров взлетает практически на глазах.,473
38551757,-15755094,1666505981,"Российские операторы будут стараться ""держать маржинальность"" и развиваться за счет имеющихся клиентов.",640
38492621,-15755094,1666201291,"Американская экономика неизбежно впадет в рецессию в течение года, уверены западные аналитики. Власти продолжают повышать процентную ставку, пытаясь обуздать рекордную инфляцию. Однако тем самым провоцируют рост безработицы и экономический спад. Что ждет США в ближайшее время — разбиралось РИА Новости.",270
38382879,-15755094,1665651896,В среднем на тысячу рублей.,229
38289145,-15755094,1665243861,"В Греции тысячи пенсионеров вышли на акции протеста из-за роста инфляции. Они требовали повышения пенсий и расширения прав. Также люди выступили против роста цен на электроэнергию и понижения стоимости товаров первой необходимости. Некоторые депутаты местного парламента тоже вышли на акцию, чтобы поддержать протестующих.",156
38152520,-15755094,1664642745,"Как и во всей Европе, в Бельгии ищут способы борьбы с энергокризисом. Пару дней назад инфляция в стране побила более чем сорокалетний рекорд. Местные рестораны пытаются экономить. Они отказались от электричества и поэтому зажгли в залах свечи, а блюда готовили на углях. Таким образом они надеются обратить внимание правительства на проблемы ресторанного бизнеса.",268
38131505,-15755094,1664564384,"В Молдавии продолжаются антиправительственные протесты. Митингующие требуют отставки руководства страны и проведения досрочных парламентских выборов. 
Возмущение протестующих вызывают увеличение цен на газ, другие энергоресурсы и продукты питания, а также высокая инфляция и падение уровня жизни. Они обвиняют власти в неспособности справиться с кризисом.",309
38119563,-15755094,1664538999,"Во Франции протестуют из-за роста инфляции. 
Сотни людей вышли на улицы Парижа, чтобы выразить свое недовольство. Демонстранты требуют повышения зарплат и понижения цен. Забастовка в Париже была частью более крупного общенационального движения. Протесты прошли и в других городах: Марселе и Монпелье.",161
38052814,-15755094,1664282290,"Инфляция в Европе обновляет исторические максимумы: взлетают цены на электричество, дорожают продукты. Простые европейцы затягивают пояса, а компании сворачивают бизнес. ЕС ждет длительная рецессия, возможны народные волнения, предупреждают аналитики.",277
38010434,-15755094,1664115188,"Возмущение протестующих вызывают увеличение цен на газ, высокая инфляция и падение уровня жизни.",295
37982520,-15755094,1664017053,"Растет инфляция, цены на продукты и топливо, заявил глава МИД Венгрии.",201
37922338,-15755094,1663802548,"По его словам, в Европе сразу снизятся цены и инфляция, а экономика получит шанс восстановиться и избежать рецессии.",88
37872789,-15755094,1663668205,"Жители немецкого города Росток вышли на улицы из-за рекордной стоимости на электроэнергию и растущей инфляции. Цены выросли после прекращения поставок по ""Северному потоку"".",209
